Feature,ZMYND8_1,ZMYND8_2,ZMYND8_3,ZMYND8_4,AAVS1_0,AAVS1_1,AAVS1_2,AAVS1_3
SAPCD2,1532,1121,1283,1302,1382,1067,1753,1161
EDARADD,2,0,0,0,0,1,0,1
CYP4F12,0,0,0,0,0,0,0,0
MARC1,15,8,10,12,10,9,14,10
SOWAHB,1,1,1,0,0,0,0,0
BLOC1S4,450,383,437,520,336,330,499,336
LCE1E,0,0,0,0,0,0,0,0
ZNF749,156,99,121,142,119,121,133,125
KLHL32,0,0,0,0,1,0,0,1
FAM86MP,0,0,0,0,0,0,0,0
LINC02610,125,58,62,81,91,37,87,35
MRTFB,47,17,46,37,40,51,50,40
BTLA,4,3,4,0,0,1,1,0
OR10D4P,0,0,0,0,0,0,0,0
ZNF17,216,160,227,160,105,137,174,154
KDM4D,6,7,4,6,6,14,18,2
GPAT2,0,3,0,0,2,0,0,1
TOR3A,1053,807,929,979,719,591,1069,707
PABPC1L2A,0,0,0,0,0,0,0,0
PPP1CC,6111,4161,4753,4482,3748,6137,6297,8074
ZNF555,255,170,123,147,87,126,147,155
MST1P2,0,0,1,2,0,0,0,3
OR10T2,0,0,0,0,0,0,0,0
CA5BP1,242,207,197,218,223,184,234,178
PRELID2,125,78,94,81,101,126,151,134
BACE1,471,350,349,300,389,350,447,508
RGS9BP,25,34,27,36,35,15,32,23
TMEM212,0,0,0,0,0,2,0,0
SLC36A3,0,0,0,0,0,0,0,0
SLC36A2,0,0,0,0,0,0,0,0
THBS2,81,39,73,72,36,34,35,46
RXRA,4953,3389,4236,4230,4374,3562,4978,3758
ANKRD37,26,21,21,24,13,22,18,31
NUDT17,46,26,37,85,29,22,67,45
MINAR2,0,0,0,0,0,0,0,0
LINC00643,0,0,0,0,0,1,0,0
ZNF75D,231,190,206,209,148,163,193,235
KRT26,0,0,0,0,0,0,0,0
KRT10,457,372,424,546,322,277,373,279
GOLGA8R,1014,661,719,738,542,691,870,725
CD300E,0,0,0,0,4,0,0,0
CCDC30,31,29,50,16,16,20,28,42
NKRF,1083,806,791,808,699,894,909,1127
GLDN,0,5,0,0,1,3,3,0
FCAR,0,0,0,3,2,0,0,0
KPNA4,2834,1935,2265,2181,1794,2862,2817,3676
KRT3,0,0,0,1,0,0,0,0
ZNF501,12,14,7,12,11,6,5,5
ZNF197,208,160,179,142,75,120,173,209
SPATA12,0,0,2,0,0,0,0,0
TMPRSS12,0,0,0,0,0,0,0,0
FAM228A,0,0,3,3,3,3,0,0
NAP1L2,0,0,0,0,0,0,0,0
RPS23,47257,36664,38771,44393,33372,36347,44061,35031
GNG2,40,32,62,43,14,42,35,43
BTN3A2,596,492,461,597,513,490,605,555
AKAP14,0,0,2,0,0,0,0,0
PCLO,187,118,121,87,91,98,90,144
RGS7BP,0,0,0,0,0,0,1,0
INSIG1,7027,5004,6112,7162,4369,5960,6868,7532
ANKRD20A5P,0,0,0,0,0,0,0,0
MYT1L,0,0,0,0,2,2,1,0
ZNF396,25,36,19,20,17,31,43,24
TMEM222,772,627,651,636,613,446,658,430
CLCNKA,2,0,2,1,0,1,0,2
ARHGAP30,6029,4010,5102,5577,5264,4576,5563,4681
SEPTIN10,0,0,0,0,2,0,0,4
FAM86B1,52,36,48,47,57,58,65,41
CYP4F8,0,0,0,0,0,0,0,0
CYP4F3,0,0,0,0,2,0,2,4
SMYD4,332,157,274,248,184,195,235,233
CROCCP5,0,0,0,0,0,0,0,0
FOXD2,46,31,36,48,52,41,35,46
GPATCH8,1711,1058,1266,1259,1165,1250,1631,1584
CEACAM19,11,9,5,15,9,9,2,4
NF2,1871,1368,1651,1501,1586,1518,1735,1608
SMIM29,184,175,184,195,131,143,184,130
SPATC1,3,2,9,4,1,7,0,1
UBE2H,1158,743,859,888,668,791,925,997
MIR22HG,45,35,26,37,33,40,37,39
HPDL,436,305,434,374,420,289,475,299
KTN1-AS1,46,34,44,44,43,29,45,44
KATNA1,753,603,641,536,502,550,565,715
FSD2,3,1,1,0,3,3,13,1
ARAP1,3324,2213,2801,2564,2460,1964,2739,2169
KIF24,526,258,345,354,339,384,476,476
PDE2A,0,0,0,0,0,0,0,0
CARMIL3,0,0,0,0,0,0,0,0
PRG2,837,761,738,880,814,664,910,626
PRR5,322,254,250,287,320,243,365,249
ZFP91,5301,3504,3855,3503,3242,4836,5098,6532
C17orf58,214,174,202,171,127,141,174,201
BCDIN3D,197,138,182,182,87,84,129,138
EEF1GP1,0,0,0,0,0,0,0,0
CYP27C1,0,0,0,0,0,0,0,0
LYRM7,1139,832,882,843,781,1081,1177,1537
DTX2P1,69,41,45,47,51,62,70,42
CFAP73,0,0,2,2,3,3,8,0
CCDC73,2,10,2,5,4,6,2,11
MST1L,0,0,0,0,0,0,0,0
BCR,878,616,690,645,718,602,810,650
MPPED1,31,10,19,7,6,13,12,8
TPI1P3,0,0,0,0,0,0,0,0
FSCN2,0,3,1,0,4,2,3,2
SPIN4,1707,1105,1242,1112,757,1418,1650,1780
ZNF732,3,2,5,0,3,3,0,3
SPIN2B,127,72,69,86,60,61,96,97
FOXE3,2,3,0,0,0,0,0,0
HYAL3,599,451,498,561,547,436,552,372
VSIG10L,30,43,38,40,26,12,35,26
CXCR3,182,121,139,152,179,109,172,105
ZNF397,424,285,302,300,161,167,249,205
ZSCAN30,116,73,103,77,56,91,89,120
TPCN1,632,388,470,484,485,458,665,455
LILRB4,4591,3141,3625,3803,3611,3474,4668,3627
C2orf27B,0,0,0,0,0,0,0,0
TNFRSF4,0,1,0,4,4,0,1,4
KRT17P2,0,0,1,0,1,0,2,0
KRT16,0,0,0,0,0,0,0,0
HEXIM1,1173,906,1078,1116,867,947,1009,1019
SELENOV,0,0,0,0,0,0,0,0
LINC00846,0,0,0,0,0,0,0,0
TRABD2A,15,2,8,1,4,0,12,5
PDZD7,796,551,736,689,485,497,637,461
POFUT2,404,269,359,366,247,237,258,251
MAPT,10,6,6,7,13,6,10,4
ERCC6L,233,178,177,174,184,204,257,271
OR13F1,0,0,0,0,0,0,0,0
TMEM17,36,41,54,31,30,47,22,45
TNFRSF18,0,0,0,1,0,0,0,0
C1QL4,9,8,12,19,13,13,34,11
RTN4RL2,37,27,36,27,54,39,30,32
ZDHHC17,434,304,430,416,210,379,401,476
P2RY4,0,0,0,0,0,0,0,0
ZNF395,1438,973,1221,1415,1536,1481,1900,1680
ZACN,587,565,564,626,632,372,481,331
CHCHD2P9,0,2,0,0,0,0,0,0
PPARA,455,343,451,334,346,358,525,518
TMEM232,6,0,3,0,0,0,5,3
LINC01551,0,0,0,0,0,0,0,0
FAM183A,0,0,0,0,0,0,0,0
EFCAB6,8,1,2,0,0,2,3,3
KANK3,4,1,1,1,3,1,8,0
EMID1,209,141,197,227,162,90,166,102
ACTL7A,0,0,0,0,0,0,0,0
RHD,0,0,0,0,0,0,0,0
C17orf82,2,0,0,0,0,0,3,0
ESPN,34,28,47,38,70,48,76,45
PTRH1,134,83,91,104,78,78,133,65
GPR141,13,7,11,10,2,5,15,6
TMPRSS6,0,0,0,0,0,0,1,0
CYP4A11,0,0,0,0,0,0,0,0
TMEM216,410,312,304,320,218,206,261,217
RPS19BP1,968,781,910,918,888,586,857,528
TMPRSS11A,0,0,0,0,0,0,0,0
TMEM262,13,14,24,7,4,9,12,5
C3orf70,4,5,6,4,4,10,2,2
TEAD1,0,0,0,0,0,0,0,0
OR2AK2,0,0,0,0,0,0,0,0
PLCD1,39,32,15,38,50,27,50,33
ENTPD5,200,124,178,146,108,173,210,229
MITF,19,13,7,8,13,24,17,25
HEATR4,2,1,0,0,4,1,0,3
NAP1L1,18529,13820,15687,15154,12739,21943,19269,26294
LILRA5,22,10,13,17,16,16,31,19
CMC1,775,636,675,717,432,590,633,513
SLIT1,49,26,32,26,45,25,57,24
LYPD6,0,0,0,0,0,0,0,0
AKR1C1,22,13,9,31,3,7,5,9
VSTM2B,0,0,0,0,0,0,0,0
FOXD3,0,0,0,0,0,0,0,0
SPATA21,8,3,9,7,4,2,4,8
RNF220,2456,1902,1939,2085,1758,1761,2079,1764
ANGPTL5,0,0,0,0,0,0,0,0
SHTN1,451,310,307,303,232,447,491,600
H1-7,0,0,0,0,0,0,0,0
BAGE2,0,0,0,0,0,0,0,0
LCE2C,0,0,0,0,2,0,0,0
ZNF546,115,102,91,87,52,106,79,132
TSPYL4,160,98,133,106,91,130,165,105
MT1X,1269,1041,1225,1195,854,1060,995,929
GCNT1,1386,877,988,906,923,1035,1345,1342
SESTD1,452,300,292,270,197,308,284,468
FNBP1,4687,3292,3546,3428,3430,3860,4870,4306
DYNC2H1,38,25,28,14,38,37,44,56
KRT12,0,0,0,0,0,0,0,0
BCAM,3,1,1,1,0,2,3,1
RSBN1L,1299,942,984,1079,754,1044,1071,1407
NPSR1,0,0,0,0,0,0,0,0
WDR86,0,0,0,2,1,0,0,3
EPOR,311,229,256,293,216,184,252,241
FAM9C,0,0,0,0,0,0,0,0
CIDEC,1,0,0,0,3,1,7,0
DCC,0,0,0,1,0,0,0,0
TAF9B,379,257,299,280,182,388,364,460
PCDHB13,2,3,4,5,0,1,1,2
MAGI2,16,14,13,13,10,25,8,23
LUZP2,0,0,0,0,0,0,0,0
LHFPL3,0,0,0,0,0,0,0,0
CHP1,3768,2725,2771,2930,2254,2521,3058,3048
FPR3,2,1,0,0,0,0,0,0
H1-6,0,0,0,0,0,0,0,0
C11orf96,6,1,1,1,2,6,7,4
HSD3BP1,0,0,0,0,0,0,0,0
KCNJ11,4,0,8,4,15,2,15,8
CDHR4,2,5,1,0,7,0,2,2
COL4A1,0,0,0,0,0,0,0,0
RPL7P48,0,0,1,0,0,0,0,0
PLEKHG7,0,1,0,0,0,0,0,0
GJA4,0,0,0,0,0,0,0,0
PTMA,94763,71976,73349,81857,65193,83214,84663,88389
HSPA14,1359,932,1026,945,810,1173,1520,1248
ATP13A5,0,0,0,0,0,0,0,0
SIRT7,1273,914,1092,1159,714,712,922,670
PRR27,0,0,0,0,0,0,0,0
PRR13P5,12,2,5,6,1,2,5,3
IFT140,347,223,297,250,224,196,361,272
TPM3P7,0,0,0,0,0,0,0,0
POTEG,0,0,0,0,0,0,0,0
AGMO,0,0,0,0,0,0,0,2
SBK2,0,0,0,0,0,0,0,0
CYP26C1,0,0,0,0,0,0,0,0
TLR5,40,15,36,33,20,33,31,39
USP7,6066,4015,4479,4351,3830,5436,5992,6576
NANOS3,0,0,0,0,0,0,0,0
FOXD4L3,0,0,0,0,0,0,0,0
NHLRC1,0,0,0,0,0,0,0,0
DPPA3,0,0,0,0,0,0,0,0
COX8C,0,1,0,1,0,0,0,2
PLEKHN1,16,6,4,17,20,7,12,8
TERF1P2,0,0,0,0,0,0,0,0
ZNF385C,28,23,20,33,11,14,5,18
LINC02583,0,0,0,0,0,0,0,0
MAGEH1,66,55,58,69,44,56,43,73
TET3,2306,1434,1802,1569,1581,2028,2285,2682
ZNF286A,1165,737,916,799,644,933,1079,1271
ISG15,184,118,141,182,119,65,119,77
EXD3,111,108,117,86,83,77,132,68
MYMK,0,0,0,0,0,0,0,0
TCL6,0,0,0,0,0,0,0,0
C17orf97,219,174,162,180,180,178,242,187
ZKSCAN4,205,185,194,180,101,122,159,110
RGPD1,0,1,0,6,10,0,0,2
DHRS4L2,224,191,176,285,175,129,156,115
SAMD11,0,3,4,1,5,1,4,3
PERM1,2,3,3,1,0,2,9,3
VMAC,102,86,85,109,71,76,80,78
TMSB4XP8,0,0,0,0,0,0,0,0
HAPLN4,208,121,164,163,174,171,205,262
ERC2,0,0,0,0,0,0,0,0
B3GLCT,146,80,87,87,111,133,153,191
SPRY4,4,5,7,2,2,8,10,10
ERAS,0,0,0,0,0,0,0,0
KRT18P59,1,0,1,1,1,0,0,2
TRPV2,1002,679,837,870,877,652,1083,701
C2orf88,2,6,13,2,1,4,5,5
OR2T27,0,0,0,0,0,0,0,0
TMEM203,1035,797,902,928,699,540,869,614
KBTBD12,0,0,1,1,0,0,0,0
THSD4,3,0,5,0,0,4,2,1
DNAJB13,0,1,7,2,0,2,1,0
GABRD,23,6,13,12,10,4,17,9
AMY1C,445,317,306,335,93,163,139,173
TCEA1,4565,2908,3220,3061,2699,4245,4786,5661
NHEJ1,591,383,462,395,404,410,540,438
FANCA,1343,932,1169,1084,1049,821,1285,912
SECISBP2,664,505,613,584,451,530,579,647
OR52B6,0,0,3,0,0,0,0,0
C9orf153,0,3,0,0,0,0,0,0
ADH1A,0,0,0,0,0,0,0,0
HSPE1P11,0,0,0,0,0,0,0,0
OR2B7P,0,0,0,0,0,0,0,0
SEMA4D,2602,1855,2122,1941,1657,1535,2158,1838
DIPK1C,4,2,8,4,10,4,1,14
DNAH17,16,13,9,12,7,5,8,6
MCRS1,1977,1455,1591,1734,1439,1067,1810,1154
TMEM72,1,2,4,2,0,1,4,1
FANCM,239,132,136,142,135,206,181,299
FAM205C,0,0,0,0,0,0,0,0
ZNF70,196,129,153,133,100,161,140,159
CARD9,1368,1032,1327,1150,978,848,1135,795
PEAR1,4,1,0,0,0,5,0,2
ZFP69B,38,40,42,44,45,32,87,60
SOWAHD,302,198,269,307,246,202,281,235
ZFP69,259,188,227,182,150,228,247,267
TMEM220,12,17,17,14,7,23,19,26
C2orf78,0,0,0,0,0,0,0,0
H1-2,142,138,119,161,105,111,121,92
PLSCR3,261,154,183,185,234,137,215,158
EIF4EBP1,2912,2185,2471,2566,2443,2152,2898,2026
OR7E25P,0,0,0,0,0,0,0,0
P2RX2,0,1,1,1,1,1,0,0
ASCL4,0,0,0,0,0,0,0,0
OR6C75,0,0,0,0,0,0,0,0
CCDC157,36,22,42,19,27,19,29,21
TTC24,0,0,0,0,0,0,0,0
FAM122A,425,258,398,297,207,312,389,473
PALM3,0,0,0,0,0,0,0,0
RNFT1P3,2,1,1,0,0,0,2,0
GFRAL,0,0,0,0,0,0,0,0
SHISA7,1429,1019,1144,1167,1134,1180,1255,1042
LRRC74B,0,0,1,2,0,0,0,0
DMBT1,0,0,0,0,0,0,0,0
CLEC17A,0,0,0,0,1,0,4,0
OR51I2,0,0,0,0,0,0,0,0
LCN10,0,0,0,0,0,0,0,0
LDLRAD2,104,114,141,121,68,46,94,52
C2orf66,0,0,0,0,0,1,0,0
OVCH1,0,0,0,0,0,0,0,0
HS6ST1P1,1,0,0,0,5,1,4,1
PMS2CL,381,270,310,357,191,259,254,269
CYHR1,1496,1081,1306,1384,1104,830,1273,836
COL14A1,3,13,2,9,4,0,10,1
DNER,0,0,0,3,0,0,0,0
CPSF4L,1,0,0,0,0,1,0,2
KLHL17,99,65,74,72,41,52,70,34
FAM230D,0,0,0,0,0,0,0,0
PLA2G2C,7,11,7,18,5,9,3,5
ANKRD19P,1,2,5,6,0,0,0,2
ZSCAN23,10,3,1,4,2,0,6,3
KCTD9P3,0,0,0,0,0,0,0,0
RINL,558,352,479,537,372,339,530,290
C17orf99,0,0,0,0,0,0,0,0
HNRNPA1P61,0,0,0,0,0,0,0,0
OR7D2,0,5,2,3,0,0,0,3
TPRG1,17,10,10,7,2,2,7,12
SNHG28,0,0,0,0,0,0,0,0
MORN2,167,140,172,182,105,147,177,138
MEIS3P2,5,0,3,3,8,0,6,1
S100A3,0,0,0,0,0,0,0,2
UBQLN2,931,638,685,682,613,807,871,900
RILPL1,10,16,7,7,11,14,7,14
C19orf67,0,0,0,0,0,0,0,0
ZNF490,187,118,152,145,95,113,153,114
CLCN1,0,0,0,0,0,0,0,0
NRN1L,0,0,1,0,0,3,0,1
NWD1,1,0,0,0,0,0,0,0
ARL4C,597,477,583,418,530,842,893,1082
TMEM221,18,3,10,19,9,15,12,4
TREML4,0,0,2,0,0,0,0,0
RAB42,2,0,0,3,0,0,1,0
WNT7B,0,0,0,0,0,0,0,0
C11orf95,123,84,118,123,117,125,140,84
PRSS45P,0,0,0,0,0,0,0,0
PLA2G4E,0,0,0,0,0,0,0,0
GPR89B,252,176,189,208,208,168,230,299
MESP2,0,4,1,5,2,2,1,1
ALOX15P2,0,0,0,0,0,0,0,0
EYS,4,3,3,0,0,4,2,2
C6orf132,7,8,8,6,13,2,14,10
DAZ1,0,0,0,0,0,0,0,0
OR2AG2,0,0,0,0,0,0,3,0
MAPK12,680,524,656,625,555,508,713,499
TMEM215,2,0,2,0,0,0,0,0
