Feature,ZMYND8_1,ZMYND8_2,ZMYND8_3,ZMYND8_4,AAVS1_0,AAVS1_1,AAVS1_2,AAVS1_3
TSPAN6,0,0,0,0,0,0,0,0
TNMD,0,0,0,0,0,0,0,0
DPM1,1599,1114,1305,1297,1017,1525,1658,1895
SCYL3,260,181,180,205,107,155,185,224
C1orf112,526,405,420,429,383,424,526,536
FGR,980,697,848,987,403,391,521,360
CFH,40,35,18,28,22,13,31,28
FUCA2,2776,1999,2263,2270,1383,1657,2057,1814
GCLC,340,221,366,252,219,363,403,398
NFYA,1834,1170,1449,1189,1139,1503,1748,1861
STPG1,59,32,46,40,43,50,52,48
NIPAL3,735,487,656,563,441,530,594,660
LAS1L,2881,1979,2348,2203,2094,2075,2733,2137
ENPP4,0,0,0,0,0,0,0,0
SEMA3F,40,16,27,41,50,26,41,27
CFTR,0,0,0,0,0,0,0,0
ANKIB1,593,442,464,443,379,555,523,701
CYP51A1,2822,1872,2369,2712,1985,3081,3176,3713
KRIT1,526,334,456,396,224,403,399,557
RAD52,98,87,77,99,54,102,106,97
MYH16,0,1,2,0,1,0,0,0
BAD,245,219,296,301,253,154,238,108
LAP3,2627,1747,2031,1915,1733,1754,2357,1919
HS3ST1,0,0,0,0,0,0,0,0
AOC1,54,29,50,50,29,18,26,26
WNT16,0,0,0,0,0,0,1,0
HECW1,2,1,1,0,5,3,11,6
MAD1L1,1523,986,1104,1242,993,883,1157,821
LASP1,6632,4716,5301,5561,4428,4048,5291,4544
SNX11,1076,687,833,863,645,509,901,616
TMEM176A,18,14,15,14,2,7,21,7
M6PR,9026,6280,6841,6903,5590,6217,7893,7096
KLHL13,70,59,72,46,72,77,106,97
CYP26B1,0,0,0,0,0,0,0,0
ICA1,100,92,112,125,73,107,99,93
DBNDD1,60,48,47,47,36,36,40,47
ALS2,405,258,289,247,262,267,347,360
CASP10,382,250,311,268,212,233,345,306
CFLAR,3391,2436,2806,2669,1765,2275,2540,2789
TFPI,0,0,1,0,1,1,3,2
NDUFAF7,437,262,321,262,200,348,374,377
RBM5,2527,1689,2095,2203,1309,1490,1962,1695
MTMR7,12,23,13,15,10,29,24,38
SLC7A2,0,0,0,0,0,0,0,0
ARF5,1390,1028,1199,1261,996,913,1305,872
SARM1,19,22,7,22,18,16,27,10
POLDIP2,2944,2065,2281,2485,2277,1943,3135,2028
PLXND1,3793,2453,2908,3069,2048,1680,2415,1995
AK2,20835,14803,16474,17056,13290,15254,18224,17350
CD38,406,319,389,387,275,311,461,496
FKBP4,5953,4444,4973,5170,5430,5092,6855,5412
KDM1A,2394,1456,1705,1623,1830,1716,2677,2215
RBM6,2887,1905,2108,2107,1894,2217,2382,2431
CAMKK1,285,225,252,269,275,205,329,241
RECQL,1465,864,1088,1000,815,1211,1404,1556
VPS50,295,202,228,186,162,302,279,357
HSPB6,8,6,2,6,4,6,8,9
ARHGAP33,329,169,275,233,183,178,222,136
NDUFAB1,1991,1561,1824,2005,1276,1318,1982,1472
PDK4,0,0,0,0,0,0,0,0
SLC22A16,233,147,159,162,107,105,159,113
ZMYND10,9,12,12,13,16,29,15,15
ABCB5,0,0,0,0,0,0,0,0
ARX,3,3,0,0,0,5,0,1
SLC25A13,736,568,594,567,435,564,741,751
ST7,580,382,420,437,348,457,485,518
CDC27,1785,1176,1408,1331,1083,1793,1904,2401
SLC4A1,0,0,0,0,0,0,0,0
CALCR,0,0,0,0,0,0,0,0
HCCS,848,623,662,667,532,675,801,595
DVL2,689,431,564,651,621,456,768,472
PRSS22,0,0,0,0,0,0,0,0
UPF1,4171,2744,3527,3410,2632,2238,3267,2435
SKAP2,2981,2106,2454,2255,1617,2378,2555,2912
SLC25A5,13844,10079,11267,11132,9186,8817,12516,10066
MCUB,88,52,46,58,70,79,97,76
HOXA11,58,15,33,30,18,14,48,16
POLR2J,1470,1054,1231,1348,1131,950,1288,883
DHX33,973,712,790,707,704,879,1128,1016
MEOX1,0,0,0,0,0,0,0,0
THSD7A,512,374,372,389,329,408,404,511
LIG3,1349,921,988,1023,802,960,1115,979
RPAP3,838,496,647,590,472,790,837,1012
ACSM3,1288,880,977,922,754,839,990,1001
REXO5,971,806,833,735,535,545,730,580
CIAPIN1,1497,959,1037,1073,995,868,1343,847
SPPL2B,1210,830,1177,1047,906,669,1129,741
FAM214B,409,302,349,325,278,331,387,350
COPZ2,55,54,64,69,58,38,49,37
PRKAR2B,142,116,143,78,120,156,173,245
MSL3,807,584,644,599,542,591,759,757
CREBBP,1340,858,1002,914,1136,1204,1396,1527
TSPOAP1,420,314,464,378,390,255,294,275
MPO,1069,692,845,751,213,202,237,200
GCFC2,256,186,211,156,145,288,268,359
WDR54,400,309,359,373,339,228,436,248
CROT,86,33,41,62,31,64,76,38
ABCB4,5,3,0,6,3,0,1,1
KMT2E,4027,2679,3051,2787,2227,3717,3358,4648
RHBDD2,619,475,605,572,433,359,538,387
SOX8,0,0,0,0,0,0,0,0
IBTK,1226,731,919,762,726,1097,1292,1512
ZNF195,1291,983,942,1070,696,1093,1024,1311
MYCBP2,4263,2667,3240,2949,2401,2781,3585,3785
FBXL3,815,506,619,545,440,736,642,936
ITGAL,32612,21893,26182,25221,27063,24958,33804,27243
PDK2,455,365,439,383,375,317,419,383
ITGA3,49,45,45,51,41,39,65,61
ZFX,1021,663,910,704,639,832,951,1142
LAMP2,7912,5280,6163,5496,4533,7051,7785,9887
ITGA2B,113,64,90,101,99,64,129,55
ASB4,0,0,0,0,0,0,0,0
GDE1,2417,1812,1902,1883,1401,1692,2012,2079
REX1BD,663,525,682,701,498,447,710,442
CRLF1,91,35,52,113,62,98,49,69
OSBPL7,299,176,248,235,215,164,256,177
YBX2,3,5,7,4,2,3,1,11
KRT33A,0,0,0,0,1,0,0,0
MAP3K14,87,59,108,85,59,60,96,59
ABCC8,0,0,0,0,0,0,0,0
TMEM132A,1,1,1,2,0,3,2,0
AP2B1,6151,4088,4540,4187,3927,3842,5400,4903
ZNF263,1465,1019,1171,1160,1010,988,1252,1086
CX3CL1,0,0,0,0,0,0,0,0
SPATA20,579,413,568,593,399,345,609,357
CACNA1G,0,0,3,0,1,0,0,0
TNFRSF12A,62,24,30,58,39,37,50,23
DLX6,0,0,0,0,0,0,0,0
MAP3K9,6,0,1,3,5,1,0,2
RALA,908,658,739,622,468,788,787,903
BAIAP2L1,0,1,5,0,0,0,2,1
KDM7A,9,3,5,4,6,13,8,15
ETV1,11,5,8,17,4,4,6,10
AGK,277,189,202,202,181,185,271,244
ALDH3B1,1628,1116,1289,1341,717,668,988,657
TTC22,0,0,0,0,0,0,0,0
PHTF2,511,347,396,353,310,523,496,719
CCL26,0,0,0,0,0,0,0,0
FARP2,1025,675,750,609,746,832,1015,1001
USH1C,0,0,0,0,0,0,0,0
GGCT,2618,2103,2355,2206,1811,2822,2675,3493
DBF4,1384,1011,1146,1031,896,1854,1548,2250
TBXA2R,25,8,23,21,0,0,5,4
IFRD1,390,270,356,286,149,288,331,348
LGALS14,0,0,0,0,0,0,1,0
COX10,777,562,664,579,604,554,857,697
GTF2IRD1,622,440,414,527,509,437,608,447
PAF1,2725,2107,2309,2493,1957,2196,2480,2145
VPS41,1307,883,1034,917,820,1102,1338,1320
ARHGAP44,1790,1225,1513,1573,1492,1561,1781,1693
ELAC2,3226,2232,2534,2508,2573,2189,3395,2418
SCIN,0,0,0,0,0,0,0,0
ARSD,1718,1274,1301,1355,968,874,1043,1023
PNPLA4,143,117,105,118,102,94,134,123
MYH13,0,0,0,0,0,0,1,0
ADIPOR2,5670,3919,4550,4787,3090,3316,4218,4067
CDKL3,10,11,5,21,6,10,20,16
UPP2,0,0,0,0,0,0,0,0
PRSS21,0,0,0,0,0,0,0,0
MARK4,726,459,614,653,591,584,794,676
PROM1,0,0,0,0,0,0,0,0
CCDC124,2555,1961,2405,2515,2294,2085,2570,1825
CEACAM21,111,82,84,93,72,63,78,69
PAFAH1B1,4191,2795,3245,2925,2579,2850,3895,3796
NOS2,8,11,12,24,13,10,15,5
DNAH9,0,0,0,0,0,0,0,0
KIAA0100,15968,10081,11610,11369,12782,11323,15520,13123
SLC13A2,0,0,0,0,0,0,0,0
TRAPPC6A,1123,740,937,1053,744,533,916,589
MATK,1936,1357,1662,1838,1997,1644,2320,1635
CEACAM7,0,0,0,0,0,0,0,0
CD79B,9,4,1,9,2,7,6,8
SCN4A,1,2,1,0,0,3,0,1
ST7L,170,127,133,123,81,151,172,139
TKTL1,68,57,63,70,19,16,27,25
PAX6,0,0,0,1,0,0,0,0
RPUSD1,852,617,752,714,822,594,912,496
RHBDF1,19,27,45,24,22,11,33,12
LUC7L,753,572,684,736,570,579,663,590
CACNA2D2,4,6,0,0,1,0,3,0
BAIAP3,1,1,3,6,3,0,0,2
TSR3,542,469,577,582,478,438,589,416
PIGQ,647,446,493,520,526,308,544,352
CRAMP1,1236,869,1088,1050,964,807,1097,1050
TEAD3,481,327,446,430,414,270,468,295
SELE,0,0,0,0,0,0,0,0
DNAJC11,2244,1427,1689,1838,1852,1770,2413,1992
MYLIP,813,621,700,686,562,610,782,772
NOX1,1,1,0,0,0,0,0,0
E2F2,509,373,474,419,415,344,503,383
PSMB1,4863,3586,4022,4049,3080,3474,4449,3671
SYN1,2,0,9,4,4,2,5,3
JARID2,2230,1359,1670,1767,1561,1712,1946,1953
CDKL5,51,20,11,34,15,29,23,29
CAMK1G,0,0,0,0,0,0,0,0
CDK11A,1041,777,961,1010,785,939,805,725
NADK,2693,2029,2281,2395,1901,1684,2497,1867
TFAP2B,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0
DLEC1,1,19,0,6,8,14,0,6
CYTH3,502,287,424,348,255,351,394,399
ADAM22,19,15,8,16,9,18,17,8
SYPL1,2159,1596,1929,1561,1266,1749,2207,2444
CYB561,235,183,174,181,165,162,213,208
SPAG9,1970,1200,1349,1343,1167,1640,1756,1912
CELSR3,85,65,105,115,80,78,95,75
AASS,0,0,0,0,0,0,0,0
PLEKHG6,0,0,0,2,5,1,1,5
SS18L2,695,558,605,688,498,622,651,651
MPND,60,55,51,56,82,63,77,55
MGST1,2084,1660,1659,1671,1089,1570,1492,1888
CRY1,341,221,269,234,217,265,335,323
PGLYRP1,0,0,0,0,0,0,0,0
NFIX,743,522,537,543,662,623,763,783
ST3GAL1,1986,1335,1492,1782,1618,1477,1833,1774
MMP25,117,81,94,97,69,74,82,43
IL32,0,0,0,2,0,0,0,0
PKD1,1000,675,940,814,752,680,1054,682
MAPK8IP2,3,3,9,6,6,3,9,0
MED24,1878,1227,1468,1444,1430,1176,1924,1335
RHOBTB2,2235,1324,1729,1868,1798,1511,1925,1593
HEATR5B,1036,758,833,748,538,882,1088,1112
SEC62,5505,4341,4369,4403,3159,4770,4694,5549
RPS20,36183,29602,29599,34375,26422,25715,32902,27587
CSDE1,22486,15040,16660,16438,14085,19360,21692,24148
UBE3C,3206,2067,2331,2252,2106,2346,3159,3079
REV3L,851,618,730,544,500,759,988,1095
TENM1,0,0,0,0,0,0,0,0
MASP2,13,24,21,16,14,16,17,22
IYD,0,0,1,0,0,0,0,0
FAM76A,118,124,139,124,98,141,155,181
TRAF3IP3,2061,1528,1602,1920,1214,1404,1527,1315
POMT2,521,374,408,473,408,375,543,354
VTA1,1913,1420,1522,1467,1103,1749,1802,2282
MLXIPL,8,5,8,14,4,5,5,4
BAZ1B,5388,3562,3997,4046,4053,4566,5160,5414
RANBP9,4243,2899,3115,3103,2179,3125,3510,3842
ETV7,0,2,2,1,0,1,0,0
SPRTN,334,216,282,219,215,226,309,383
EEF1AKNMT,1553,1226,1237,1193,1188,1087,1496,1265
DYRK4,176,138,157,155,91,134,171,148
ZNF207,7630,4900,5912,5531,4407,5964,6914,7285
UQCRC1,6616,4978,5497,5924,4557,4017,5946,4065
STARD3NL,1060,829,860,779,682,714,922,908
CD9,19,15,23,20,4,5,16,19
HHATL,0,0,0,0,0,0,0,0
NCAPD2,8318,5213,6507,6166,5991,5642,8405,6570
IFFO1,260,194,283,240,198,161,246,188
GIPR,61,44,82,91,35,34,42,42
PHF7,508,294,397,413,278,339,382,331
SEMA3G,48,14,49,59,39,36,34,46
NISCH,1685,1217,1461,1393,1072,939,1445,1053
STAB1,11,4,3,9,4,1,8,5
FUZ,263,237,244,281,224,215,319,230
SLC6A13,0,12,3,3,2,3,2,1
IDS,1059,805,841,836,705,1145,1193,1308
PRSS3,0,0,0,0,0,0,0,0
ZNF200,634,477,502,493,297,378,529,449
CD4,14496,9998,10791,10671,7497,6747,9412,7311
LRRC23,287,202,219,215,189,197,246,134
BTK,3982,2861,3118,3170,2866,3104,3897,3521
HFE,4,2,0,0,0,0,0,0
SCMH1,1038,724,833,856,857,766,1028,910
FYN,75,56,42,74,61,62,81,71
HIVEP2,0,0,0,0,0,1,2,1
FMO1,0,0,0,0,0,0,0,0
ELOA,1687,1178,1331,1158,1078,1141,1521,1325
LYPLA2,1374,1009,1247,1236,1112,846,1316,811
CLCN6,426,361,479,454,405,395,467,402
MRC2,4682,2975,4011,3852,3852,2821,4464,3215
NME1-NME2,543,378,473,422,354,291,398,210
SLC6A7,0,0,0,0,0,0,0,0
TSPAN9,8,10,13,8,6,4,8,4
BTBD7,1600,1081,1210,1044,992,1179,1478,1718
APBA3,205,167,232,224,198,126,257,108
MKS1,276,190,228,188,178,177,277,154
ABHD5,305,190,205,172,148,287,270,353
ANOS1,2,0,0,0,0,0,1,0
AKAP8L,1674,1050,1304,1472,1246,1227,1526,1339
MBTD1,1164,897,1021,893,819,1369,1455,1837
UTP18,2667,1869,2095,1915,1730,2012,2671,2408
RNF216,1573,1122,1213,1147,1363,1101,1568,1304
TTC19,1223,890,1003,934,735,1027,1099,1081
PTBP1,16745,11368,13589,13177,12663,12093,16647,12787
DPF1,44,46,21,27,16,52,79,62
SYT7,4,1,1,2,3,0,7,1
LARS2,771,512,589,582,561,545,817,625
PIK3C2A,454,276,305,246,204,464,348,610
PLAUR,1509,1218,1331,1604,1182,1029,1402,1022
ANLN,2371,1439,1606,1535,1372,2169,2168,2638
WIZ,1698,1145,1429,1344,1374,1348,1765,1359
RABGAP1,485,334,336,327,274,378,438,486
DCN,0,0,0,0,0,0,0,0
QPCTL,625,494,668,680,562,467,725,420
PPP5C,3032,1982,2503,2499,2192,1968,2678,2215
CEP68,335,276,302,242,289,329,318,400
MAP4K3,209,146,160,159,106,198,177,257
ZBTB32,5,3,1,2,0,1,0,2
TYROBP,2181,1826,2180,2323,1534,1430,1650,1313
TMEM159,272,239,228,234,147,160,226,150
GABRA3,0,0,0,0,0,0,0,0
BRCA1,2699,1824,1926,1867,1711,2141,2743,2817
ERCC1,3467,2530,2800,3189,2484,2303,3001,2248
CD22,4,4,3,4,5,2,3,2
SEMA3B,9,1,3,5,1,0,11,10
MBTPS2,379,280,331,261,249,368,405,483
PRICKLE3,275,182,224,229,269,182,235,192
LTF,0,0,0,0,0,0,0,0
EXTL3,730,533,675,559,623,506,774,647
NR1H4,0,0,0,0,0,0,0,0
ELOVL5,2128,1268,1562,1400,1362,2144,2238,2768
ALOX5,0,0,0,0,0,1,0,0
KDM5D,587,387,479,451,381,398,489,384
CALCOCO1,568,349,395,479,326,365,478,405
UBR7,3088,2286,2401,2298,1815,2228,2821,2836
MAP4K5,629,402,448,378,327,696,605,866
EHD3,1,3,1,0,0,0,0,1
PSMC4,3179,2371,2553,2716,2301,2023,2796,2251
MAN2B2,1947,1262,1558,1480,1271,1201,1454,1422
SLC7A14,0,0,0,0,0,0,0,0
CLDN11,0,0,0,0,0,0,0,0
SLC25A39,3038,2262,2470,2788,2271,1811,2956,1842
MVP,1411,921,1087,1221,1190,835,1271,926
NUB1,1684,1227,1297,1240,1120,1369,1509,1513
PGM3,513,372,434,395,274,456,485,531
RWDD2A,69,42,50,42,24,43,60,34
CLK1,1494,1118,1290,1306,540,1064,960,1202
POLR3B,574,390,368,380,367,425,664,563
ANGEL1,563,389,447,444,402,340,522,416
RNF14,778,583,623,593,417,655,771,728
DNASE1L1,335,220,249,261,243,170,312,255
DDX11,1050,750,866,839,831,758,1016,721
HEBP1,525,442,444,449,366,367,457,348
GPRC5A,1,1,0,0,0,0,1,0
MAMLD1,0,0,0,4,0,0,0,1
CD6,4,1,0,0,2,0,0,1
TACC3,5999,4412,5069,5082,4287,4058,5394,4250
UFL1,697,420,517,523,378,665,612,952
POLA2,1769,1314,1359,1303,1280,1134,1633,1189
ZC3H3,975,712,901,794,726,614,945,686
CAPN1,5066,3306,4067,4131,3402,2651,4449,2980
ACPP,291,196,208,220,362,464,583,587
MDH1,7366,5299,5654,5866,3943,4175,5795,4724
SLC30A9,2700,1690,1897,1769,1507,2547,2657,3356
MTMR11,319,240,277,329,278,288,411,331
COX15,1506,1075,1190,1069,995,1037,1444,1339
CCDC88C,999,639,864,830,897,984,974,1045
YAF2,547,435,396,478,277,442,448,551
ZMYND11,1270,818,943,890,575,1007,977,1311
WAS,4149,2921,3621,3407,2818,2754,3153,2703
DPEP1,0,0,0,0,0,0,0,0
BID,2300,1693,1934,1884,1653,1604,2168,1826
MATR3,12261,8781,9368,8602,7055,11892,11730,14282
NPC1L1,0,0,0,0,0,0,2,0
XYLT2,420,259,315,317,223,228,283,229
RGPD5,3,0,8,3,0,0,0,1
STMN4,0,1,0,0,0,1,0,0
NUDCD3,1642,1287,1443,1504,1287,1079,1614,1178
ISL1,0,0,0,0,0,0,0,0
CHDH,0,7,4,9,3,1,2,0
IL20RA,0,0,0,0,0,0,0,0
GLT8D1,1172,928,951,975,767,840,1214,1063
ATP2C1,1287,785,912,911,826,1025,1319,1341
IGF1,340,267,262,211,182,323,261,367
SLC38A5,673,521,532,635,921,731,1175,841
RALBP1,5521,3931,4307,4523,3508,4665,4847,5354
RUFY3,20,15,22,12,13,38,20,32
CNTN1,0,0,0,0,0,0,0,0
SLC11A1,39,31,18,43,16,11,27,18
WWTR1,3,0,3,0,1,1,1,3
AGPS,2875,1904,2035,1970,1602,2360,2776,3172
ZNF806,0,0,0,0,0,0,0,0
CXorf56,816,566,632,578,581,607,733,678
ATP1A2,0,0,2,0,1,0,5,0
TTC27,1091,722,751,775,679,909,1129,1012
ZNF582,112,63,72,74,71,61,70,70
VSIG2,5,2,3,4,3,1,1,0
PHLDB1,141,90,115,55,109,96,129,93
MARCO,218,166,178,199,129,100,112,91
PRDM11,75,42,84,79,98,56,98,86
SYT13,0,0,0,0,2,0,0,0
SNAI2,2,0,0,0,2,0,0,0
CD74,7589,5635,6428,6854,8059,7388,8565,7182
HGF,0,0,0,0,0,0,0,0
ZRANB1,825,524,618,601,538,742,825,793
NCDN,841,614,672,729,728,549,832,555
ADGRA2,5133,3502,4377,4418,4525,4142,5396,4584
CCT8L1P,0,0,0,0,0,0,0,0
ZFP64,381,255,299,297,304,284,365,377
MNAT1,809,515,598,559,441,679,601,760
SAMD4A,0,0,0,0,0,0,0,0
RUNX3,3646,2775,2918,3017,3342,3244,4047,3425
MRE11,2928,2087,2335,2328,1696,2431,2795,3153
PLEKHB1,0,1,5,0,0,0,0,0
SERPINB1,5461,3957,4168,4314,2093,2293,3007,2815
CYP3A43,4,0,0,0,0,0,0,0
SLC7A9,0,0,1,0,0,0,0,0
SPAST,915,520,724,513,513,878,868,1003
NRXN3,4,1,2,0,0,0,0,0
OSBPL5,1973,1256,1709,1680,1341,1073,1503,1078
AQR,2122,1335,1595,1438,1306,1866,2045,2282
CPS1,84,54,71,85,36,52,58,80
C8B,0,0,0,0,0,0,0,0
FHL1,311,198,193,222,279,265,297,328
RTF2,4998,3434,3843,4014,3273,3329,4161,3462
GABRA1,0,0,0,0,0,0,0,0
NLRP2,77,56,43,57,41,24,35,30
SLC45A4,1483,987,1188,1077,976,736,1160,918
RNF10,3649,2479,2626,2777,2449,2125,3170,2471
ZNF839,159,131,134,138,105,134,144,140
ZDHHC6,1128,872,1041,906,784,951,1190,1148
GRAMD1B,425,258,318,320,248,219,347,374
RNH1,6344,4523,5604,5747,4880,3665,5984,3710
NDUFS1,4305,2932,2996,2973,2661,3025,4143,3821
RB1CC1,2163,1546,1639,1559,1239,2449,2158,3108
ERP44,3476,2554,2693,2716,2090,3223,3053,3769
ALAS1,2644,1692,1921,2031,1530,1412,1769,1505
BIRC3,5,1,6,12,2,3,3,11
AKAP11,1012,643,825,698,734,1148,1202,1628
GLRX2,676,510,542,569,402,587,687,709
SNAPC1,370,196,262,229,212,344,386,488
DERA,949,673,723,682,528,602,820,788
STRAP,3637,2679,2853,2693,2487,3406,3792,4088
ABCC2,41,44,30,32,34,28,25,33
DEF6,1134,830,988,944,808,671,1028,650
PLEKHO1,224,192,200,254,217,183,214,165
GCLM,680,451,520,462,345,484,541,574
UBR2,1271,785,1102,1007,709,1030,1302,1312
EHD2,0,0,2,3,0,3,0,2
DEPDC1,605,460,513,517,366,645,613,952
CCDC28A,447,398,407,470,281,367,409,367
RRAGD,137,111,119,117,125,139,176,138
HSF2,450,310,378,332,279,412,404,493
PHF20,1350,982,1078,1080,897,1074,1229,1288
HSD17B6,24,16,26,18,19,28,31,28
NR1H3,75,70,85,99,99,78,106,55
TYMP,1435,1218,1411,1321,1139,901,1273,847
NCAPH2,1589,1029,1256,1349,1168,769,1491,882
TOMM34,1404,995,1063,1047,1111,1130,1512,1175
SEC63,5217,3510,3985,3685,3339,5644,4998,6744
KPNA6,2830,1893,2289,2367,2160,2418,2521,2450
VIM,20087,13829,16240,15774,17002,20558,24892,23200
RTEL1-TNFRSF6B,190,119,132,141,153,77,109,36
FAS,29,36,42,38,30,68,57,64
RNASET2,4610,3527,3832,4032,2922,2600,3689,2748
CD44,9208,6123,7054,6936,6914,8458,9760,10819
KCNG1,61,46,41,46,72,55,99,66
AGPAT4,78,75,88,103,53,52,49,60
SLAMF7,1,1,0,1,1,1,0,3
BTN3A1,125,69,117,85,95,78,106,100
MIPEP,390,256,296,341,298,315,466,435
PRKCH,1,3,6,14,1,4,3,0
INSRR,0,0,0,0,0,0,0,0
IFNGR1,1362,970,1011,1049,838,1057,1243,1348
B4GALT7,284,217,274,268,235,205,262,146
SH2D2A,0,2,0,0,1,0,0,0
VRK2,473,368,382,400,341,543,519,616
TNFRSF1B,2668,1812,2136,2249,1993,1752,2201,1797
VEZT,644,467,504,481,324,476,583,623
POU2F2,1220,994,1077,1095,847,1034,920,1104
BRD9,1594,1234,1278,1309,1156,1193,1275,1191
SNX1,3391,2179,2613,2548,2113,1997,2689,2341
TBPL1,247,204,237,191,195,301,354,321
ARNTL2,115,118,104,125,85,103,119,133
BCLAF1,7031,4757,5326,4857,4633,7625,7155,9696
SLC39A9,3472,2339,2848,2626,2133,2621,3171,3227
ANK1,3,5,0,2,16,2,0,1
TFB1M,365,191,232,288,229,240,371,235
RABEP1,2466,1691,1814,1877,1601,2102,2481,2634
HMGB3,4322,2941,3452,3561,2385,3137,3477,3404
NUP160,2536,1397,1823,1608,1563,1828,2674,2331
BAK1,945,646,793,767,732,503,787,486
MUSK,0,0,0,0,0,0,0,5
IKZF2,31,27,46,25,23,44,40,53
GRN,10298,7090,8589,8336,7624,6325,9115,6553
FAM13B,1315,766,957,922,813,1121,1211,1645
ARHGAP31,6,2,1,3,0,4,12,0
CENPQ,137,120,142,116,126,202,158,261
SARS1,2344,1637,1713,1922,1654,1574,2170,1707
RANBP3,2099,1436,1782,1714,1614,1489,2040,1587
ARID4A,2422,1753,2069,2094,1539,2890,2124,3415
EIPR1,1421,951,1131,1145,1015,943,1233,939
PNPLA6,3119,2236,2704,2768,2328,1824,2951,2041
IFT88,185,159,150,189,97,179,148,259
ALG1,1023,845,901,883,640,572,917,665
ZCCHC8,614,437,506,412,350,498,590,555
ABCF2,2596,1665,1944,2083,2121,1822,2675,1812
CHPF2,1252,885,941,944,780,671,1083,718
LRRC7,5,4,1,4,3,1,4,3
FUT8,565,397,450,393,293,391,444,390
UBA6,845,640,747,687,648,1097,1115,1495
GAB2,3217,2336,2654,2754,2852,2713,3203,3227
ATP6V0A1,662,405,512,535,420,374,554,472
PIAS1,1688,1111,1252,1095,910,1415,1382,1852
SLC4A7,108,118,110,77,70,164,151,204
APBA2,146,96,127,125,80,82,154,120
MAP2K3,1393,935,1068,1033,1090,884,1289,897
TMSB10,7351,5733,6485,8282,6095,4448,6481,3847
ASTE1,189,178,179,167,128,160,242,216
RNF19A,1131,726,790,670,529,1031,1019,1381
PEX3,164,149,150,173,130,195,237,227
GABARAPL2,1159,971,969,978,660,750,1013,968
MYOC,0,0,0,0,0,0,0,0
SH3YL1,455,290,333,430,275,390,398,470
FAM136A,2424,1883,2040,2013,1590,2055,2269,2434
VCL,2982,1841,2270,2273,1836,2120,2664,2390
DEPDC1B,806,521,588,585,453,621,744,789
DAPK2,18,17,12,14,2,6,5,2
NSMAF,7413,4821,5331,5349,4111,5151,5938,6294
ADSS2,2074,1429,1771,1437,1327,2154,2374,2618
STAP1,4,4,2,6,3,10,5,1
TIMP2,893,560,632,640,491,462,558,577
RFC1,2480,1716,1779,1757,1593,1972,2453,2559
TBC1D23,661,376,574,462,331,583,648,801
CUL3,3366,2349,2609,2534,2205,3331,3594,4570
MYOM2,34,27,43,30,37,15,11,15
CYP46A1,2,5,17,6,1,5,2,1
ZZZ3,1607,1087,1270,1239,981,1481,1697,1956
SLC18A1,4,0,0,2,0,0,2,0
USP2,446,273,313,334,276,235,333,234
CASR,0,0,0,3,0,0,0,0
TUBG2,55,24,44,45,33,34,25,52
RPL26L1,844,701,658,820,513,599,748,602
FLT4,1,0,0,0,0,0,0,0
NSUN2,3240,2267,2610,2627,2333,2707,3223,3143
FBXO42,623,493,577,576,534,498,750,640
MFAP3,240,106,170,134,118,154,202,260
MRI1,1047,676,889,905,808,873,977,768
METTL1,719,488,589,573,507,446,576,433
AGA,318,259,261,247,188,240,324,266
PI4K2B,1033,702,810,666,564,866,1000,1332
BOD1L1,3416,2479,2488,2377,1805,2825,2623,3310
MAT2B,2237,1527,1780,1669,1333,1730,2212,2117
TLL1,0,0,0,0,0,0,0,0
EDC4,1577,953,1258,1182,1324,1047,1536,1184
TRIO,418,372,368,370,237,287,356,331
VCAN,3,0,2,4,3,3,0,4
CLEC16A,1314,802,975,992,1036,976,1238,1125
MSR1,8,14,16,16,7,13,30,17
CDH1,0,0,0,0,0,0,0,0
MTREX,3450,2461,2870,2593,2164,3329,3934,4180
DNAH5,0,0,0,0,1,0,0,1
ZFYVE16,214,125,204,147,146,189,257,308
RIPOR1,923,578,710,710,781,675,874,819
RAI14,1,0,0,0,1,2,0,3
SOX30,0,2,0,0,0,0,0,0
PNKP,1397,982,1237,1232,961,775,1113,743
BEST2,1,1,0,2,0,0,0,0
PHLPP2,59,33,28,40,41,38,73,65
SPDL1,960,560,736,677,473,720,890,843
STAU2,1857,1164,1479,1250,1024,1744,1850,2263
SLC66A1,1006,748,866,964,731,605,822,532
CTNS,455,359,367,344,343,288,415,297
RTN4R,65,59,66,68,78,57,81,51
PHF23,1088,830,898,919,785,663,928,770
CDH10,0,0,0,0,0,0,0,0
INPP4A,795,513,684,579,525,667,748,762
RAB27B,11,6,11,7,11,40,35,43
PSMA4,6584,5037,5222,5198,3843,5664,5788,6307
MYO16,0,0,0,0,0,0,0,0
LSG1,1687,1184,1361,1232,964,954,1319,1265
PARP3,151,146,133,137,77,92,146,87
TNC,0,0,0,0,0,0,0,0
THAP3,163,124,155,167,92,115,127,98
RIPOR3,3,10,5,3,1,1,0,2
TDP1,2080,1338,1500,1435,1354,1493,1934,1708
AIFM2,114,57,67,85,50,49,96,86
C2orf83,0,0,0,0,0,0,0,0
MED17,608,453,517,568,401,631,698,764
RETSAT,764,530,579,562,614,524,866,572
CAPG,3206,2265,2660,2882,2321,1573,2490,1782
