ARID2
CEBPA
CEBPE
E2F3
FLI1
FOSL2
GFI1
GFI1B
HHEX
IRF8
LYL1
MEF2C
MEF2D
MEIS1
MTF1
MYB
MYC
PLAGL2
RUNX1
RUNX2
RXRA
SETDB1
SNAPC5
SP1
SPI1
SREBF1
STAT5B
TERF2
TFAP4
ZEB2
ZFPM1
ZMYND8
LMO2
MAX
ELF2
ETV6
HOXA9
GATA2
