m_id,image,area_sum,area_min,area_max,x_mean,y_mean,z_mean,z_min,z_max,class,max_red_mean,max_green_mean,max_dapi_mean,mean_red_mean,mean_red_var,mean_green_mean,mean_green_var,mean_dapi_mean,mean_dapi_var,min_red_mean,min_green_mean,min_dapi_mean,pixsum_red_sum,pixsum_green_sum,pixsum_dapi_sum,range_red_mean,range_green_mean,range_dapi_mean,std_red_mean,std_green_mean,std_dapi_mean,sum_red_sum,sum_green_sum,sum_dapi_sum,sum2_red_mean,sum2_green_mean,sum2_dapi_mean,group,exp,treat,part,counts_
id_1,28,1121953,38215,108766,3952.285714285714,1662.2142857142858,637.5,85,1190,red,14868.42857142857,172.28571428571428,3362.0,9106.084402003251,674437.8496814144,29.017414054309008,109.52317628201969,2097.8393189185786,277041.072375125,3736.1428571428573,0.0,790.4285714285714,1145.0,1145.0,1145.0,11132.285714285714,172.28571428571428,2571.5714285714284,2986.2350336499926,44.383670370579864,598.7093877036435,10668700.0,35746.0,2398928.0,8089257656.285714,274321.71428571426,405642896.28571427,MEF2D-MEF2C-VHL-G1--28--2-5,MEF2D-MEF2C,VHL,2-5,14
id_10,28,44094,21557,22537,3124.0,2796.0,807.5,765,850,red,7918.0,170.5,4350.0,6193.26976284585,37461.68704595736,82.8478260869565,400.56805293005783,3498.1195652174,111751.41989602201,4336.0,0.0,2435.0,45.0,45.0,45.0,3582.0,170.5,1915.0,1060.3495512771099,55.6824225215085,571.30935412799,278834.0,3714.0,157179.0,888554464.0,224530.0,283445929.5,MEF2D-MEF2C-VHL-G1--28--2-5,MEF2D-MEF2C,VHL,2-5,2
id_100,28,686883,25476,63691,7088.6875,8391.25,2592.5,1955,3230,red,11795.5,353.9375,4364.6875,8819.07223885473,744627.001572414,79.16900748424317,1618.6707312302979,2824.9535326430214,1642517.2934993783,5561.5625,0.625,1646.375,701.0,701.0,701.0,6233.9375,353.3125,2718.3125,1679.416450567535,98.9436698114888,727.6189368611825,6310214.0,55789.0,1965912.0,3731466615.0,838322.0625,423509373.875,MEF2D-MEF2C-VHL-G1--28--2-5,MEF2D-MEF2C,VHL,2-5,16
id_1000,28,1833335,37235,142081,5852.55,7807.25,2847.5,2040,3655,red,13650.35,1659.45,15883.0,9296.513150245653,2883103.1402438143,267.337589135057,10040.08276715747,8501.087969528495,3230752.4990367503,4117.45,0.0,1259.65,1871.0,1871.0,1871.0,9532.9,1659.45,14623.35,2391.5312286376247,407.0235606739426,4307.853574627626,17292277.0,541416.0,15696418.0,8776784724.95,29442165.1,8734755380.9,MEF2D-MEF2C-VHL-G1--28--4-4,MEF2D-MEF2C,VHL,4-4,20
id_10000,8,50952,24496,26456,4856.0,7516.5,2422.5,2380,2465,red,6503.0,56.5,2996.5,5549.742222222199,11339.510676549999,4.7074074074074,8.882331961591158,1497.68444444445,29183.132483947924,4578.5,0.0,42.0,52.0,52.0,52.0,1924.5,56.5,2954.5,557.2902750998401,13.801281088785599,808.5583194267849,288436.0,249.0,77638.0,807868473.0,6281.5,74671866.0,MEF2D-MEF2C-DMSO-G1--8--3-1,MEF2D-MEF2C,DMSO,3-1,2
id_10001,8,128361,20577,29396,4996.0,5256.6,2635.0,2465,2805,red,7067.8,231.0,9214.6,5271.8432071632,10750.404309123058,89.1426292226288,1171.6779432602355,6519.29661375662,170960.74430777796,2869.0,0.0,3822.4,131.0,131.0,131.0,4198.8,231.0,5392.2,1134.3163484859201,71.1791241730922,1671.44836990646,691191.0,11356.0,858028.0,762048685.4,348412.4,1200118608.4,MEF2D-MEF2C-DMSO-G1--8--3-1,MEF2D-MEF2C,DMSO,3-1,5
id_10002,8,97006,23516,38215,5017.333333333333,8767.666666666666,2635.0,2550,2720,red,9045.0,1107.3333333333333,8470.666666666666,5923.467592592567,83626.36889146276,673.9718660968666,1896.0096751194433,7580.172720797734,9732.955772341007,2589.3333333333335,83.33333333333333,5744.333333333333,99.0,99.0,99.0,6455.666666666667,1024.0,2726.3333333333335,1837.3062044535334,266.9081307013033,663.4360642879367,582630.0,67370.0,751024.0,1253670960.6666667,17604892.666666668,1913783687.3333333,MEF2D-MEF2C-DMSO-G1--8--3-1,MEF2D-MEF2C,DMSO,3-1,3
id_10003,8,124442,21557,28416,7140.6,8821.6,2720.0,2550,2890,red,7539.2,450.8,8320.2,5830.607460605361,59946.284121781326,49.496754109347805,1363.1490124842755,7683.4258381687205,122050.6305071547,3520.6,0.0,6934.4,127.0,127.0,127.0,4018.6,450.8,1385.8,1208.39146529704,109.9031579052642,417.62634940853394,739404.0,6603.0,972617.0,897755927.2,514672.2,1496638081.4,MEF2D-MEF2C-DMSO-G1--8--3-1,MEF2D-MEF2C,DMSO,3-1,5
id_10004,8,480131,20577,37235,6371.294117647059,7588.529411764706,3400.0,2720,4080,red,8915.882352941177,1407.3529411764705,4053.823529411765,7046.949983622741,1012454.7946326337,749.0340601824233,74489.9319483131,2432.378315492482,1025309.3026951597,4794.941176470588,213.05882352941177,988.2941176470588,490.0,490.0,490.0,4120.941176470588,1194.2941176470588,3065.529411764706,1151.137294185613,329.3732323575482,867.086553651864,3410330.0,360828.0,1205577.0,1462816083.0588236,20821950.94117647,224902760.17647058,MEF2D-MEF2C-DMSO-G1--8--3-1,MEF2D-MEF2C,DMSO,3-1,17
id_10005,8,310616,22537,38215,4146.7,7666.2,3102.5,2720,3485,red,8702.7,254.3,7465.1,6562.7045492568195,122449.80732514184,105.28311317324251,881.2878087805241,4481.824453152431,1427877.7273624924,4258.3,5.0,1429.9,317.0,317.0,317.0,4444.4,249.3,6035.2,1228.2368134791998,73.34562042855819,1584.46377905886,2087864.0,33611.0,1401194.0,1427864497.4,563703.7,736368558.4,MEF2D-MEF2C-DMSO-G1--8--3-1,MEF2D-MEF2C,DMSO,3-1,10
