baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes,gene_id
0.0,-0.0,,,0.0,,A2M,A2M
0.0,-0.0,,,0.0,,A2MP1,A2MP1
10.742092699616505,0.42961186289258757,0.4151990212667493,-1.0347130915238323,0.3008029203200627,,NAT1,NAT1
14.027302513672167,-0.6810779196479091,0.39563921953500086,1.7214620948054329,0.08516700481797163,,AAMP,AAMP
37.097996583067165,-0.2339312514188529,0.25673382493556385,0.9111820441952515,0.36219946324291075,0.4268822811164349,AARS1,AARS1
3.5844886037757413,-1.1394451716153413,0.7132932056815673,1.597442906422439,0.11016701472097848,,ABAT,ABAT
4.0443057830625975,-1.2203313250625223,0.6823163428645351,1.7885125247612645,0.07369335678289762,,ABCA1,ABCA1
3.5677226703059297,0.29855753892030323,0.661199917745653,-0.45153898375884377,0.6516011348992077,,ABCA2,ABCA2
0.0,-0.0,,,0.0,,ABCA3,ABCA3
0.6403976058459839,-0.21128238181109876,1.4955360567012717,0.14127535131257735,0.8876524211019329,,ABCB7,ABCB7
73.8874378007398,-0.5270007343520496,0.2122943397771742,2.4824059600703143,0.013049850813470319,0.09237505283486752,ABCF1,ABCF1
62.10484910867897,-0.38811986626965816,0.2914902774717218,1.331501927392109,0.18302391122653042,0.26357545213960143,ABL1,ABL1
104.80538150692885,-0.6253289108825296,0.2434862313338695,2.5682310965053112,0.010221898498499034,0.08585905652686629,ABL2,ABL2
0.0,-0.0,,,0.0,,ABO,ABO
79.67012742105587,-0.45105628667176056,0.26137365270818225,1.7257144398381832,0.08439879894827643,0.1749257279264454,ABR,ABR
12.048132459946798,-0.6074018861811744,0.4497256334305877,1.3506054381374795,0.1768218578647079,,ACAA1,ACAA1
86.19156877757337,-0.5187559354309565,0.24043212855393964,2.157598231779479,0.030959082302598487,0.12026597908316593,ACACA,ACACA
0.05217970089138463,0.2902190827170369,3.160746997927919,-0.09181977643490444,0.9268412311137403,,ACACB,ACACB
6.29196978646737,-0.3935064668928547,0.5708561325925984,0.6893268626294807,0.4906175970361194,,ACADM,ACADM
1.5878640377923736,-0.8119995310355972,1.0302724199676838,0.7881406075696629,0.4306144648756551,,ACADS,ACADS
7.610972993550995,0.04548186353967312,0.46401444308449147,-0.09801820658283135,0.921917836220549,,ACADSB,ACADSB
5.585136496301639,-0.5009435909486918,0.5738070394567186,0.8730175067614819,0.38265353552395526,,ACADVL,ACADVL
5.801740164652273,-1.1155390300296462,0.583615244918234,1.9114288732912315,0.05594948915113675,,ACAT1,ACAT1
20.304452406478276,1.019043407988061,0.3402617007655568,-2.9948813095782136,0.002745516529338597,,ACAT2,ACAT2
1.3369063886065027,-1.7841771974664673,1.1295123657834552,1.5795995258794018,0.11419860791302844,,ASIC1,ASIC1
0.0,-0.0,,,0.0,,ACHE,ACHE
82.79364256627109,0.03844757970242459,0.21682291763316053,-0.17732249027048647,0.8592550860320916,0.8764801298834032,ACLY,ACLY
3.959112928956239,-0.574646247018941,0.6489315900513698,0.8855266962322664,0.3758726277312362,,ACO1,ACO1
8.658654705348136,-0.47990581864635456,0.47033533371686076,1.0203482159289678,0.30756334382775585,,ACO2,ACO2
21.159428070596082,-0.4521571100554989,0.3135369331719371,1.4421175377369193,0.14926921835283813,,ACOX1,ACOX1
77.5202836265067,-0.4259277727439978,0.22131910684001924,1.9244961667583458,0.054292420751447044,0.1477679761692485,ACP1,ACP1
5.810156788781979,-0.32122192945155714,0.5414469268979231,0.5932657726804605,0.5530033011534458,,ACP2,ACP2
2.4894316490711383,-0.6255401972460604,0.7784428275158334,0.8035788565774112,0.42164023805998246,,ACP3,ACP3
0.0,-0.0,,,0.0,,ACRV1,ACRV1
1474.0267569812245,-0.34681339094949465,0.17734039339407082,1.9556367520784466,0.05050796024105334,0.1438151297767434,ACTB,ACTB
904.5149326287029,-0.04998367320384117,0.16700218057177182,0.2992995243098631,0.7647115175090474,0.7913062593499162,ACTG1,ACTG1
62.59213262193671,-0.14224841917775422,0.2531944722935248,0.5618148685838907,0.574242160647703,0.6171301579535002,ACTN4,ACTN4
18.771205543151527,-0.29431712544480865,0.3775689244442246,0.779505691253693,0.4356818863578805,,ACTL6A,ACTL6A
18.227791658626664,-0.2502435387211948,0.3069988240632391,0.8151286555731133,0.4149986705084653,,ACTN1,ACTN1
1.8241075083700349,-0.36756303895629083,0.9137602292603182,0.4022532686214963,0.6874976427707034,,ACVR1,ACVR1
30.19112632973448,-0.48886597881312327,0.28842474073910074,1.6949516104630389,0.09008460072298624,,ACVR1B,ACVR1B
4.47560884127086,-0.7880340036945117,0.6174071292939347,1.276360388963609,0.20182815184966496,,ACVR2A,ACVR2A
17.26553371102283,-0.44407156584999624,0.3918538016028858,1.1332582816180745,0.25710580557843515,,ACVR2B,ACVR2B
0.08859039179043185,-0.8639225368339337,3.160746997927919,0.2733285952340674,0.7846006360922263,,ACVRL1,ACVRL1
1.249715010705726,0.03110180858926222,1.0820113363058317,-0.028744438755557787,0.9770684139942896,,ACY1,ACY1
11.339810524061523,0.0164488833884785,0.3982412453581547,-0.04130381666942947,0.9670536904064424,,ACYP1,ACYP1
1.5805270750004135,-1.4863429829928336,1.0525111632891082,1.4121873808425904,0.15789479514547933,,ACYP2,ACYP2
6.352953271799871,-0.2971964091051327,0.5192364602981283,0.5723719958619478,0.5670699837556027,,ADA,ADA
3.3648340327220394,-0.5098053847951273,0.6775318973034052,0.7524448469867856,0.4517835854929767,,ADAM8,ADAM8
