GENE,MV411-RUNX1-dTAG-DMSO_1h,MV411-RUNX1-dTAG-VHL_1h,MV411-RUNX2-dTAG-DMSO_1h,MV411-RUNX2-dTAG-VHL_1h,MV411-SPI1-dTAG-DMSO_1h,MV411-SPI1-dTAG-VHL_1h,MV411-GFI1-dTAG-DMSO_2h,MV411-GFI1-dTAG-VHL_2h
HAX1,5.5,8.5,8.5,17.5,12.0,13.0,7.0,12.5
GPNMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAIAP2,3.0,5.0,15.0,28.0,16.0,24.0,15.0,13.0
MAD2L2,6.5,15.5,11.0,13.5,10.0,9.0,5.0,4.5
TACC3,10.0,10.5,6.0,13.0,6.0,9.0,7.0,1.5
CLEC10A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC30A9,30.0,27.0,23.0,26.0,34.0,37.0,20.0,28.0
PIBF1,5.0,3.0,6.5,6.0,2.0,5.0,6.0,7.5
PPIH,10.5,14.5,6.5,18.0,11.0,13.0,10.0,12.5
COG5,23.5,19.0,18.0,38.0,22.0,21.0,18.0,18.5
ZNHIT1,4.0,4.0,2.0,5.5,4.0,3.0,6.0,3.5
FST,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
TIMM44,6.0,6.5,9.5,20.5,10.0,11.0,10.0,14.5
PFDN6,1.5,1.5,1.5,1.5,0.0,2.0,1.0,2.0
ZBTB18,31.5,33.5,29.0,37.5,49.0,53.0,21.0,19.5
HMGN4,48.5,49.0,44.0,63.0,48.0,48.0,35.0,39.5
TADA3,41.0,42.0,17.5,45.0,23.0,16.0,26.0,25.5
TRIM38,77.5,62.5,30.5,47.5,44.0,40.0,33.0,44.5
ATP5PD,3.0,2.5,2.5,7.0,6.0,3.0,5.0,4.0
UBE2E3,5.0,6.5,4.5,10.0,9.0,8.0,5.0,3.0
SLC25A17,27.5,32.0,25.0,35.5,37.0,32.0,40.0,31.0
SLC9A6,39.0,28.0,18.0,31.5,29.0,18.0,20.0,28.0
EIF3M,16.5,16.5,14.0,28.0,19.0,15.0,17.0,23.5
HOXB13,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
NXF1,134.0,121.5,121.5,284.5,102.0,88.0,174.0,202.0
SEC23B,17.5,19.0,7.5,14.5,11.0,9.0,6.0,13.0
SEC23A,11.5,12.0,10.0,6.5,10.0,5.0,7.0,6.5
CAP1,147.5,137.5,96.0,160.5,95.0,73.0,96.0,118.5
CREB3,0.5,1.5,1.0,2.5,1.0,0.0,1.0,1.0
LRRC41,16.5,13.5,15.0,36.5,20.0,14.0,16.0,22.0
VTI1B,12.0,10.0,16.0,20.5,11.0,10.0,10.0,13.5
CRTAP,22.0,28.0,30.5,52.0,35.0,36.0,26.0,31.0
SYNCRIP,434.0,403.5,408.5,478.5,611.0,552.0,380.0,434.0
VAT1,18.0,17.0,32.5,69.5,22.0,30.0,24.0,20.0
STK25,4.0,4.0,8.0,17.0,8.0,6.0,9.0,7.5
ENOX2,9.0,10.5,18.5,18.0,12.0,11.0,18.0,12.0
UNC13B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARM1,19.0,18.5,29.0,45.5,25.0,24.0,21.0,27.0
NCOA2,78.5,53.5,35.0,43.5,136.0,100.0,28.0,37.5
SEMA6C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMA6B,5.0,6.5,4.0,9.5,2.0,1.0,9.0,7.0
SEMA4F,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SEMA4D,110.5,87.0,85.5,130.5,36.0,23.0,109.0,104.5
SEMA4B,4.0,3.0,1.5,3.5,2.0,2.0,1.0,0.5
APPBP2,56.5,59.5,45.5,59.0,39.0,31.0,36.0,47.5
MYBBP1A,18.5,16.5,16.5,43.0,16.0,13.0,22.0,23.0
CIB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIB1,25.5,25.5,15.5,31.5,21.0,19.0,23.0,21.0
ZNF211,13.0,17.5,12.5,21.0,7.0,6.0,9.0,11.5
DDX17,378.5,393.0,298.0,544.0,460.0,403.0,335.0,391.0
DEAF1,3.0,3.5,7.5,15.5,4.0,3.0,7.0,5.0
CHERP,149.5,142.5,153.0,293.0,117.0,138.0,170.0,189.5
KAT5,9.0,10.0,9.0,27.0,7.0,8.0,11.0,16.0
HYOU1,258.0,254.5,126.5,225.0,84.0,87.0,148.0,179.5
IPO8,29.5,29.0,30.5,35.5,34.0,36.0,26.0,32.5
IPO7,190.0,163.5,157.0,220.5,188.0,180.0,178.0,194.5
NOP56,57.0,70.5,86.5,157.0,84.0,88.0,120.0,100.5
NEBL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PITRM1,6.5,3.0,6.5,12.0,6.0,6.0,5.0,5.0
ATG7,28.0,21.5,17.5,24.5,11.0,6.0,23.0,30.5
ZNRD2,3.5,2.5,4.5,4.0,3.0,1.0,5.0,5.0
RNASEH2A,3.5,3.5,3.5,10.0,3.0,2.0,4.0,4.5
P3H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATF,1.5,2.0,6.0,12.5,4.0,2.0,8.0,6.0
GLRX3,2.0,4.0,2.0,6.0,2.0,2.0,7.0,3.5
DCTN2,7.5,9.0,11.5,13.0,12.0,11.0,8.0,8.5
ANP32B,156.0,176.5,147.5,264.0,203.0,208.0,195.0,169.5
LAMTOR5,7.0,7.5,10.5,17.5,11.0,11.0,17.0,11.5
PROCR,0.5,0.0,3.5,7.5,0.0,0.0,5.0,4.5
TM9SF1,18.0,23.5,13.5,23.0,13.0,15.0,16.0,16.0
PRDX4,0.5,0.5,0.5,1.5,1.0,1.0,1.0,1.5
ARL6IP5,49.0,66.5,32.0,53.0,35.0,26.0,55.0,50.0
ARPC1A,13.5,20.0,14.0,24.0,19.0,20.0,19.0,15.0
HTATIP2,3.5,4.0,9.5,12.5,7.0,13.0,5.0,5.5
AGPAT1,5.0,7.5,2.5,11.0,10.0,6.0,3.0,3.0
AGPAT2,13.5,22.5,25.0,62.0,11.0,16.0,12.0,15.5
RPP30,29.5,27.0,24.5,26.0,9.0,10.0,21.0,39.5
RPP38,4.0,3.5,2.5,10.0,3.0,3.0,7.0,11.0
SPTLC1,33.0,35.5,27.5,50.5,43.0,33.0,36.0,35.5
SLC35A1,11.0,11.5,13.0,25.0,25.0,31.0,14.0,19.0
SLC19A2,6.0,10.0,14.5,20.5,29.0,29.0,7.0,11.5
IFI44,1.5,2.5,1.0,0.5,2.0,1.0,1.0,1.5
ARFGEF2,117.5,104.0,85.5,120.5,103.0,86.0,84.0,106.0
ARFGEF1,20.5,28.5,27.5,41.0,35.0,29.0,19.0,28.0
RABAC1,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
SLU7,35.0,33.5,25.0,44.0,32.0,23.0,29.0,35.5
SIVA1,4.5,4.5,5.5,12.0,5.0,8.0,7.0,5.5
MRPL28,1.5,6.0,6.0,8.5,4.0,7.0,2.0,3.0
CCT7,6.5,6.5,9.5,22.0,6.0,5.0,13.0,10.5
CCT4,21.5,16.5,18.0,33.0,23.0,19.0,20.0,27.5
CCT2,21.5,13.5,25.0,24.5,19.0,19.0,22.0,22.5
NPC2,0.0,0.0,0.5,2.5,1.0,0.0,1.0,1.0
GNLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TACC2,1.5,1.0,6.0,9.5,1.0,1.0,4.0,7.0
SORBS1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFITM2,41.5,38.5,22.0,42.0,11.0,12.0,13.0,12.0
POMT1,3.0,1.5,4.0,8.0,2.0,4.0,4.0,5.0
TXNRD2,1.0,0.5,3.5,6.0,1.0,1.0,3.0,2.0
MTHFS,3.0,3.5,5.5,7.5,7.0,5.0,4.0,5.5
DRAP1,3.0,3.5,2.5,5.5,2.0,3.0,4.0,2.5
DNPH1,5.0,4.0,8.0,14.0,11.0,17.0,10.0,8.0
SMC2,31.5,24.5,21.5,24.0,28.0,29.0,15.0,24.5
PRPF8,22.5,19.5,12.0,31.5,17.0,16.0,23.0,26.0
ERN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAPPC2B,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
AHSA1,8.5,13.0,14.5,32.5,9.0,13.0,21.0,22.0
USP16,10.0,12.0,6.0,13.0,4.0,7.0,14.0,18.5
CDC42EP3,908.5,896.5,1018.0,1588.0,660.0,659.0,1533.0,2192.0
SH2B2,0.5,0.5,0.0,2.5,0.0,0.0,0.0,0.0
PAIP1,11.0,8.5,19.5,20.0,36.0,29.0,12.0,11.0
PAICS,194.5,166.5,151.0,273.0,217.0,206.0,183.0,262.5
TBL3,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0
MXD4,19.5,25.0,11.5,20.5,9.0,4.0,28.0,20.0
P3H4,0.0,0.0,1.5,2.0,0.0,2.0,0.0,0.5
ST6GALNAC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDLIM5,28.5,23.0,16.5,20.5,26.0,22.0,18.0,13.0
TRIM3,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5
ERLIN1,313.0,294.5,260.0,491.0,248.0,269.0,197.0,221.0
HEXIM1,54.0,53.5,78.5,144.0,44.0,49.0,98.0,115.5
SPAG5,11.0,3.5,2.0,4.5,5.0,6.0,4.0,4.5
RBCK1,1.5,2.5,3.0,5.5,3.0,1.0,2.0,1.5
STAMBP,42.0,34.5,29.0,38.0,41.0,34.0,19.0,21.5
TGOLN2,483.0,382.5,280.0,510.0,299.0,201.0,293.0,395.5
ARID3B,159.5,147.5,142.0,292.0,85.0,103.0,123.0,168.0
POLR3F,21.0,34.0,22.0,42.0,28.0,28.0,26.0,28.5
POLR3G,9.0,15.0,22.0,28.0,16.0,15.0,23.0,23.0
POLR3C,51.0,51.0,48.0,77.5,26.0,21.0,53.0,62.0
IVNS1ABP,45.0,40.0,22.0,40.0,39.0,37.0,32.0,35.5
TRIM16,58.5,81.5,135.0,352.5,167.0,197.0,201.0,180.0
MYL12A,88.5,59.5,48.5,80.0,48.0,44.0,51.0,57.0
TXNIP,1968.0,1469.0,866.0,1387.5,704.0,599.0,1195.0,1457.5
TAF6L,0.0,0.5,0.0,2.0,0.0,0.0,0.0,1.0
PDPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5MG,18.0,14.5,14.0,22.0,18.0,15.0,15.0,22.5
RASL10A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GAS2L1,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0
RAD51AP1,17.0,12.5,9.0,7.5,20.0,17.0,9.0,9.0
RGS14,13.0,15.0,6.0,25.5,6.0,3.0,17.0,12.0
LEFTY1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10638,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0
EXOC5,65.0,47.0,56.0,58.0,50.0,43.0,32.0,41.5
NPRL2,1.0,2.0,1.0,4.0,2.0,0.0,1.0,2.5
IGF2BP1,203.5,194.5,160.0,322.0,181.0,180.0,155.0,158.5
IGF2BP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF2BP2,118.5,117.5,85.0,155.0,89.0,99.0,110.0,111.5
CAMKK2,84.0,98.5,120.0,202.0,139.0,93.0,102.0,120.0
PRELID3A,3.0,2.0,3.0,7.5,7.0,6.0,4.0,4.0
MTX2,6.0,4.0,2.5,10.5,10.0,12.0,5.0,5.0
YKT6,55.0,52.5,41.0,97.5,56.0,48.0,45.0,57.5
SPINT2,3.0,1.0,1.5,2.0,0.0,0.0,1.0,6.5
PMVK,2.0,3.5,4.0,6.0,3.0,2.0,2.0,2.5
KHDRBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHDRBS1,75.0,83.5,52.5,83.0,69.0,77.0,47.0,69.0
CELF1,306.0,279.0,249.5,413.5,345.0,260.0,292.0,340.0
CELF2,823.0,671.0,472.0,725.5,301.0,268.0,496.0,603.5
KLF1,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0
CTCF,138.5,122.5,95.0,137.5,168.0,141.0,100.0,114.5
CD226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FARS2,0.0,1.0,0.0,2.5,1.0,5.0,2.0,0.5
CGRRF1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
CGREF1,4.5,4.0,5.5,13.5,3.0,2.0,6.0,5.5
RRAGA,22.5,18.5,15.0,25.5,18.0,16.0,17.0,19.5
DCTN6,13.0,13.5,11.0,16.0,25.0,17.0,6.0,13.5
GNA13,346.0,306.5,283.0,404.0,296.0,195.0,159.0,215.5
TNFSF13B,7.0,14.5,6.5,21.0,19.0,11.0,8.0,11.5
CSPG5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
AVIL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B3GNT2,145.0,113.5,86.5,96.0,89.0,80.0,52.0,63.5
GNB5,6.0,6.0,4.5,3.5,2.0,2.0,1.0,2.5
EBP,16.5,26.0,14.5,53.0,13.0,12.0,21.0,28.5
PNMA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMEB1,18.0,16.0,16.5,29.0,16.0,17.0,23.0,26.5
RRH,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCT6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCT8,31.5,33.0,27.5,36.0,18.0,20.0,35.0,23.5
CNPY3,110.0,91.5,50.5,106.5,60.0,37.0,67.0,102.0
CORIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM189B,2.5,3.0,2.5,6.5,3.0,3.0,2.0,2.0
USP39,34.0,28.5,34.5,55.0,41.0,34.0,36.0,42.0
POLD3,65.5,78.5,30.5,54.0,58.0,51.0,44.0,59.5
CERS1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
AP4B1,2.5,3.5,2.0,3.0,2.0,0.0,2.0,0.0
POLQ,30.0,30.0,20.5,27.0,34.0,40.0,16.0,24.0
SLC12A7,52.0,38.0,24.0,43.5,12.0,15.0,22.0,19.5
OGA,123.5,109.0,77.0,139.0,110.0,99.0,105.0,113.0
NFAT5,94.0,89.5,74.0,86.0,160.0,115.0,72.0,86.0
NUDC,15.0,19.0,17.0,55.5,29.0,21.0,29.0,33.0
PTGES3,338.0,263.0,216.0,343.0,318.0,243.0,219.0,271.5
YME1L1,74.0,61.0,49.5,82.0,47.0,49.0,38.0,55.0
TCFL5,21.5,18.0,30.0,45.5,42.0,34.0,27.0,33.0
PLK4,13.5,17.0,9.0,5.5,32.0,19.0,10.0,8.0
STAG3,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
STAG2,50.0,44.5,33.0,33.5,37.0,33.0,23.0,23.0
RFPL3S,1.5,1.0,0.5,1.5,0.0,0.0,0.0,0.0
10740,27.5,19.0,17.0,35.0,11.0,7.0,29.0,37.5
RBBP9,11.0,6.5,9.5,7.5,8.0,9.0,7.0,10.0
RAI1,35.5,36.0,22.0,61.0,29.0,25.0,27.0,22.5
PTTG2,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.5
PHTF1,0.5,1.5,0.0,1.5,0.0,0.0,1.0,1.0
MAP3K2,224.0,221.0,165.5,235.5,200.0,190.0,145.0,228.5
MASP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10748,7.0,6.0,5.5,9.5,8.0,7.0,4.0,6.0
KIF1C,6.0,9.0,13.0,22.5,3.0,6.0,11.0,7.0
GRAP,6.0,7.0,11.0,37.5,5.0,6.0,18.0,19.5
