GENE,MV411-RUNX1-dTAG-DMSO_1h,MV411-RUNX1-dTAG-VHL_1h,MV411-RUNX2-dTAG-DMSO_1h,MV411-RUNX2-dTAG-VHL_1h,MV411-SPI1-dTAG-DMSO_1h,MV411-SPI1-dTAG-VHL_1h,MV411-GFI1-dTAG-DMSO_2h,MV411-GFI1-dTAG-VHL_2h
FAM230B,1.0,0.0,1.5,0.5,2.0,2.0,2.0,1.0
SCX,9.0,6.0,7.0,11.0,14.0,14.0,15.0,11.0
TBC1D22A-AS1,7.0,4.5,4.0,5.5,4.0,5.0,5.0,7.5
NPIPA2,6.0,9.5,7.0,11.0,13.0,10.0,11.0,8.0
642826,303.5,269.0,219.0,232.0,178.0,197.0,209.0,246.0
CPSF4L,41.5,43.5,30.0,38.0,59.0,53.0,50.0,41.5
LINC00535,1.5,0.0,3.5,1.5,1.0,1.0,2.0,3.5
ANKRD20A3P,1.5,2.0,2.0,2.0,0.0,0.0,1.0,0.5
CERNA2,0.0,0.5,1.0,1.5,0.0,0.0,0.0,2.5
FLVCR1-DT,95.5,86.5,59.0,67.5,79.0,93.0,56.0,75.0
TMEM232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
SMIM5,3.0,3.5,0.5,3.0,1.0,0.0,3.0,2.0
643036,8.0,5.5,3.5,4.0,2.0,3.0,4.0,4.0
C11orf97,2.5,1.5,1.5,1.0,4.0,2.0,2.0,1.0
SMIM15,2247.5,1862.0,1815.5,2229.5,2680.0,2305.0,2666.0,2851.0
CCT6P3,130.0,121.5,78.0,100.5,164.0,167.0,94.0,94.5
643201,1.0,2.5,5.0,1.5,2.0,7.0,1.0,2.0
MAP1LC3B2,11.5,14.5,11.0,16.0,24.0,20.0,12.0,16.0
643314,7.0,9.0,5.0,5.0,2.0,6.0,4.0,2.5
C15orf62,66.0,44.0,24.0,44.5,59.0,55.0,31.0,30.0
643339,0.0,0.5,1.0,0.0,1.0,2.0,0.0,0.5
LINC01750,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
BTBD18,15.0,10.0,10.5,12.0,8.0,5.0,14.0,14.5
TMEM253,3.5,0.0,1.0,2.0,1.0,0.0,2.0,2.5
RNF224,5.0,3.0,3.0,4.5,4.0,0.0,2.0,2.0
ZNF862,28.5,17.0,13.5,16.5,47.0,34.0,27.0,39.0
CCER2,12.0,9.5,11.5,9.0,7.0,4.0,12.0,8.0
GOLGA8N,7937.5,6823.5,3687.5,4230.5,3514.0,3576.0,5680.0,5043.5
GOLGA6L4,108.0,105.0,58.5,48.0,62.0,61.0,52.0,43.5
643719,8.5,7.0,9.0,14.0,18.0,13.0,11.0,12.5
643723,8.0,10.0,8.5,8.0,7.0,15.0,7.0,3.5
643749,54.0,51.5,36.5,43.5,40.0,37.0,38.0,28.5
LINC02453,16.5,14.0,5.0,5.0,5.0,5.0,6.0,5.5
643783,61.0,57.5,48.5,68.0,75.0,77.0,32.0,40.0
ZFP62,345.5,289.5,171.5,260.0,216.0,232.0,323.0,291.0
LINC01128,181.5,177.5,177.5,213.5,143.0,136.0,213.0,235.0
TMPPE,197.0,166.0,150.0,205.0,167.0,126.0,186.0,242.5
CBLN3,3.5,2.5,4.5,4.5,4.0,3.0,6.0,6.5
RNF222,3.5,2.0,5.5,6.5,10.0,9.0,1.0,2.5
CRNDE,1396.5,1186.5,955.5,1120.0,1272.0,1386.0,1154.0,1070.5
643977,194.5,156.5,42.0,65.5,244.0,252.0,27.0,31.0
FNDC10,364.5,222.0,2.5,5.0,65.0,48.0,453.0,427.5
CBWD6,1.5,1.5,0.5,1.0,1.0,1.0,1.0,2.0
SDHAF1,539.0,459.5,292.0,422.0,287.0,274.0,470.0,408.5
644128,807.5,700.0,879.0,1042.0,1233.0,1335.0,1386.0,1312.0
WIPF3,0.5,1.0,1.5,1.5,0.0,0.0,0.0,0.0
644172,26.0,25.0,12.0,20.5,17.0,24.0,24.0,24.5
SYCE3,4.0,3.0,0.0,1.5,3.0,3.0,5.0,2.5
LINC00622,2.0,2.5,3.0,2.5,1.0,0.0,6.0,4.5
644285,24.5,16.5,28.5,39.5,25.0,22.0,49.0,68.0
RPL13AP6,88.5,81.0,55.0,94.5,43.0,39.0,64.0,80.5
SMIM10,0.0,0.0,319.5,409.0,388.0,441.0,384.0,281.5
SMIM10L2B,0.5,1.0,3.0,8.0,3.0,1.0,1.0,2.0
644649,43.0,43.5,42.5,40.0,40.0,43.0,51.0,50.5
AC132192.2,58.5,50.5,40.0,52.0,67.0,61.0,57.0,70.5
RAD21-AS1,519.5,395.5,478.5,517.0,732.0,642.0,312.0,348.5
644714,617.5,506.5,524.0,690.5,785.0,867.0,742.0,805.0
644762,450.5,434.5,380.0,451.0,491.0,529.0,464.0,423.0
FAM83G,64.5,48.5,48.5,87.5,60.0,43.0,87.0,93.5
LINC01184,330.5,272.5,359.5,464.5,279.0,290.0,476.0,502.0
MEIG1,0.0,1.5,0.5,0.5,2.0,2.0,1.0,0.0
GCC2-AS1,31.0,25.0,17.0,22.0,37.0,27.0,21.0,17.5
644936,13.5,19.0,20.5,19.0,25.0,18.0,21.0,18.5
644962,30.0,24.0,27.5,35.5,65.0,46.0,30.0,32.0
ALG1L2,7.5,9.0,5.0,6.0,6.0,9.0,5.0,6.5
PIK3CD-AS1,94.0,94.5,36.5,64.5,47.0,36.0,35.0,23.5
CCNI2,9.0,13.0,8.5,8.5,11.0,8.0,7.0,3.0
PPIAL4D,2.0,1.5,2.0,0.5,3.0,2.0,2.0,2.0
CBX3P2,61.0,48.0,26.5,26.0,57.0,72.0,39.0,24.0
LINC02802,5.0,4.0,4.0,5.5,8.0,4.0,6.0,10.0
LINGO3,7.0,5.0,3.0,2.5,2.0,3.0,4.0,2.5
EIF3J-DT,191.5,172.5,158.0,212.5,209.0,242.0,137.0,140.0
LINC00461,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5
FAM86C2P,262.0,211.5,173.5,236.0,150.0,132.0,162.0,199.0
645431,18.0,19.0,15.5,15.0,13.0,15.0,7.0,14.5
LINC01625,2.0,1.0,1.0,1.0,4.0,5.0,0.0,1.5
FAM238A,1.5,2.0,4.0,3.5,1.0,1.0,3.0,4.0
LHFPL3-AS1,2.0,1.0,3.5,1.0,1.0,1.0,2.0,1.5
645638,2.0,4.5,3.5,4.0,7.0,3.0,3.0,2.5
POU5F1P4,9.0,3.5,6.5,5.0,3.0,6.0,4.0,3.5
RPL13AP3,8.0,6.5,6.0,6.0,4.0,5.0,6.0,7.5
LINC00520,1.5,2.5,3.0,2.5,0.0,1.0,1.0,2.0
645700,3.5,5.0,4.0,1.5,3.0,3.0,2.0,3.5
645752,9.0,7.5,11.0,10.5,2.0,2.0,8.0,10.0
