RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
0,3,10
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
0,3,10
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
2,2,8
0,3,11
1,4,12
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
2,3,9
0,4,12
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
4,3,9
0,4,14
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
5,3,9
1,4,15
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
6,3,9
1,4,16
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
11,3,9
1,4,21
3, , 
1,2,5
0,3,7
0,4,8
0,2,9
11,3,10
2,4,22
3, , 
1,2,5
0,3,7
0,4,8
0,2,9
9,3,10
2,4,20
3, , 
1,2,5
0,3,7
0,4,8
0,2,9
9,3,10
2,4,20
3, , 
1,2,5
0,3,7
0,4,8
2,2,9
8,3,12
4,4,21
3, , 
1,2,5
0,3,7
0,4,8
2,2,9
7,3,12
0,4,20
3, , 
1,2,5
0,3,7
0,4,8
3,2,9
9,3,13
1,4,23
3, , 
1,2,5
0,3,7
0,4,8
5,2,9
13,3,15
1,4,29
3, , 
0,2,5
0,3,6
0,4,7
4,2,8
12,3,13
0,4,26
3, , 
0,2,5
0,3,6
0,4,7
4,2,8
9,3,13
1,4,23
3, , 
0,2,5
0,3,6
0,4,7
3,2,8
9,3,12
2,4,22
3, , 
0,2,5
0,3,6
0,4,7
3,2,8
7,3,12
1,4,20
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
7,3,9
1,4,17
3, , 
0,2,5
0,3,6
1,4,7
0,2,9
8,3,10
2,4,19
3, , 
0,2,5
0,3,6
0,4,7
2,2,8
11,3,11
2,4,23
3, , 
0,2,5
0,3,6
0,4,7
2,2,8
14,3,11
1,4,26
3, , 
0,2,5
0,3,6
0,4,7
3,2,8
15,3,12
0,4,28
3, , 
0,2,5
0,3,6
0,4,7
5,2,8
12,3,14
0,4,27
3, , 
0,2,5
0,3,6
0,4,7
4,2,8
7,3,13
0,4,21
3, , 
0,2,5
0,3,6
0,4,7
5,2,8
9,3,14
0,4,24
3, , 
0,2,5
0,3,6
0,4,7
3,2,8
11,3,12
0,4,24
3, , 
0,2,5
0,3,6
0,4,7
3,2,8
10,3,12
0,4,23
3, , 
0,2,5
0,3,6
1,4,7
2,2,9
9,3,12
0,4,22
3, , 
0,2,5
0,3,6
1,4,7
1,2,9
8,3,11
0,4,20
3, , 
0,2,5
0,3,6
1,4,7
2,2,9
8,3,12
0,4,21
3, , 
0,2,5
0,3,6
1,4,7
3,2,9
8,3,13
0,4,22
3, , 
0,2,5
0,3,6
1,4,7
2,2,9
7,3,12
0,4,20
3, , 
0,2,5
0,3,6
1,4,7
3,2,9
10,3,13
0,4,24
3, , 
0,2,5
0,3,6
1,4,7
3,2,9
8,3,13
0,4,22
3, , 
0,2,5
0,3,6
1,4,7
2,2,9
8,3,12
0,4,21
3, , 
0,2,5
0,3,6
0,4,7
2,2,8
7,3,11
0,4,19
3, , 
0,2,5
0,3,6
0,4,7
2,2,8
5,3,11
0,4,17
3, , 
0,2,5
0,3,6
0,4,7
2,2,8
7,3,11
0,4,19
3, , 
0,2,5
0,3,6
0,4,7
2,2,8
7,3,11
0,4,19
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
3,3,10
0,4,14
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
4,3,10
0,4,15
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
5,3,10
0,4,16
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
5,3,10
0,4,16
3, , 
0,2,5
0,3,6
0,4,7
2,2,8
4,3,11
0,4,16
3, , 
0,2,5
0,3,6
0,4,7
3,2,8
3,3,12
0,4,16
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
3,3,10
0,4,14
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
4,3,10
0,4,15
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
4,3,10
0,4,15
3, , 
0,2,5
0,3,6
0,4,7
1,2,8
3,3,10
0,4,14
3, , 
0,2,5
0,3,6
