ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,45074.235220315,256.04347826087,137.63043478261,50, , ,"White", , ,6425,5147,9301,3222.4347826087,3616.9130434783,5674.8260869565,873,1922,3469,46,46,46,5552,3225,5832,1596.8632537596,888.96018723718,1556.291679379,148232,166378,261042,592416704,637336018,1590359922
"Image 8_Out_Channel Alignment_P2-6.czi",6,8,29396.240361075,315.86666666667,181.13333333333,50, , ,"White", , ,1188,4453,6059,420.73333333333,3205.2,2072.7,0,1992,0,30,30,30,1188,2461,6059,361.53923174665,784.66669401068,2012.3686532422,12622,96156,62181,9101104,326054564,246321759
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57043404.420666,318.97597698188,236.36968994246,51,31.30295,31.30295,"Yellow",2,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,43114.48586291,263.13636363636,216.36363636364,51, , ,"Aqua", , ,17682,2878,7369,12924.386363636,1394.8863636364,2689.4090909091,8004,699,11,44,44,44,9678,2179,7358,2571.4988319267,498.28576912922,2189.1481333347,568673,61375,118334,7634091635,96287565,524320426
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,69571.102187878,367.27464788732,236.88028169014,51, , ,"Aqua", , ,19825,318,1079,14058.563380282,56.605633802817,589.12676056338,8783,0,0,71,71,71,11042,318,1079,3053.8343894305,92.226658506288,294.00893716142,998158,4019,41828,14685480820,822901,30692882
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,52913.232649935,255.5,138,51, , ,"White", , ,6920,5678,9265,3231.2037037037,3829.9444444444,5610.5,870,2150,3490,54,54,54,6050,3528,5775,1629.838565679,999.01100937645,1620.8258173501,174485,206817,302967,704584387,844992839,1839031399
"Image 8_Out_Channel Alignment_P2-6.czi",6,8,38215.112469398,315.9358974359,180.96153846154,51, , ,"White", , ,1697,4480,4960,576.41025641026,3153.8461538462,1549.5897435897,0,1987,0,39,39,39,1697,2493,4960,564.07146420834,762.06342250434,1604.3863348555,22480,123000,60434,25048414,409991222,191462016
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57106116.400103,318.61976869885,236.29381938606,52,31.30295,31.30295,"Yellow",3,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,27436.49100367,250.32142857143,194.25,52, , ,"Aqua", , ,16740,4603,746,13014.892857143,2186.6071428571,68.5,8788,56,0,28,28,28,7952,4547,746,2156.8644995866,1317.1565991232,184.70667436656,364417,61225,1918,4868453951,180717363,1052530
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,38215.112469398,263.03846153846,216.47435897436,52, , ,"Aqua", , ,18494,3103,6954,13507.794871795,1545.3076923077,2444.5897435897,7974,846,22,39,39,39,10520,2257,6932,2721.2710476375,545.76562127009,2046.3192979996,526804,60267,95339,7397362382,104449743,392186803
