,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4.11_DMSO_rep.1,MV4.11_DMSO_rep.2,MV4.11_DMSO_rep.3,MV4.11_JQ1_rep.1,MV4.11_JQ1_rep.2,MV4.11_JQ1_rep.3,genes
2432,228,215,200,408,321,277,373,292,501,479,684,500,PPP1R10
2433,470,546,476,650,522,405,503,430,805,499,688,626,PPP2CA
2434,228,261,210,287,282,219,225,237,415,236,408,283,PPP2CB
2435,44,82,68,90,63,53,170,159,246,153,227,181,PPP2R1A
2436,60,47,64,64,53,42,36,43,83,34,53,37,PPP2R1B
2437,287,236,225,232,227,153,355,300,545,321,460,333,PPP2R2A
2438,3,1,1,0,0,0,0,0,0,0,0,0,PPP2R2C
2439,1,4,3,4,1,3,0,2,0,0,0,0,PPP2R3A
2440,7,13,8,11,7,2,17,13,13,9,15,11,PTPA
2441,108,95,87,89,72,60,75,61,99,84,95,92,PPP2R5A
2442,4,6,2,1,3,3,1,1,0,1,0,1,PPP2R5B
2443,49,59,36,54,57,37,102,71,137,86,159,115,PPP2R5C
2444,34,25,29,42,37,21,26,36,51,36,63,39,PPP2R5D
2445,134,98,115,119,117,101,186,138,241,138,196,166,PPP2R5E
2446,36,33,35,30,37,28,299,229,409,287,496,349,PPP3CA
2447,29,33,47,28,27,20,30,23,44,25,52,27,PPP4C
2448,19,33,25,28,20,17,41,46,70,32,63,41,PPP3CB
2449,64,66,45,42,58,26,102,67,110,72,109,93,PPP3CC
2450,353,256,300,256,227,195,506,396,710,373,890,433,PPP3R1
2451,14,5,3,3,2,2,0,7,11,10,1,1,PPP5C
2452,120,133,122,146,110,106,130,139,221,125,190,180,PPP6C
2453,108,85,74,62,60,28,83,68,115,68,107,86,PPT1
2454,94,122,73,134,95,61,162,132,230,108,133,136,PRCC
2455,10,10,24,32,25,19,15,4,22,13,21,23,PRCP
2456,41,43,37,68,47,34,83,51,117,76,96,103,PREP
2457,146,162,146,100,98,96,3081,2518,4739,1367,2162,1739,SRGN
2458,2,0,0,1,0,0,3,3,4,2,4,0,PRG2
2459,0,0,2,0,0,0,1,1,1,0,2,1,PRH1
2460,14,13,5,11,13,9,32,21,33,18,19,17,PRIM1
2461,36,37,27,35,33,29,37,34,45,33,44,46,PRIM2
2462,133,135,124,139,101,64,54,26,68,28,64,40,PRKAA1
2463,252,204,189,204,192,134,150,113,194,104,144,123,PRKAB1
2464,38,34,27,50,35,29,59,38,68,40,50,45,PRKAB2
2465,33,14,26,28,24,22,29,11,39,23,30,23,PRKACA
2466,3,1,2,4,2,0,65,63,82,22,71,30,PRKACB
2467,33,41,39,47,34,31,124,96,211,68,61,49,PKIB
2468,67,41,37,70,67,50,85,68,74,59,119,90,PRKAG1
2469,48,69,47,84,69,70,166,151,285,167,311,227,PRKAR1A
2470,11,10,8,3,13,8,12,9,17,8,7,16,PRKAR1B
2471,149,151,146,201,151,124,229,211,336,207,291,248,PRKAR2A
2472,157,137,140,82,101,78,12,11,17,1,22,4,PRKAR2B
2473,35,48,27,45,32,25,16,9,18,20,32,17,PRKCA
2474,309,327,283,360,317,223,141,121,182,131,203,165,PRKCB
2475,23,17,12,22,10,13,314,237,324,211,321,228,PRKCD
2476,3,5,2,4,5,5,110,52,98,81,155,107,PRKCE
2477,5,1,5,1,0,8,0,0,2,0,0,0,PRKCH
2478,28,22,25,18,16,16,33,18,27,18,10,20,PRKCI
2479,2,1,2,0,3,1,7,3,7,1,5,4,PKN1
2480,72,58,63,75,61,37,44,43,97,42,57,47,PKN2
2481,20,28,18,17,15,10,21,16,23,12,15,8,PRKCQ
2482,4,7,3,3,3,1,6,10,13,9,2,17,PRKCSH
2483,1,2,0,1,0,3,3,0,3,1,0,0,PRKCZ
2484,89,101,77,126,95,67,202,159,269,155,187,211,PRKDC
2485,634,623,527,682,648,475,145,115,234,148,210,145,MAPK1
2486,3,1,2,1,1,1,0,1,3,3,0,4,MAPK3
2487,412,467,359,360,352,257,399,334,708,311,523,448,MAPK6
2488,23,20,10,22,24,18,19,28,31,38,38,32,MAPK7
2489,59,63,37,34,45,26,36,27,63,31,40,47,MAPK8
2490,3,0,0,1,0,1,1,0,1,0,0,0,MAPK11
2491,28,32,17,26,26,14,28,19,37,24,31,27,MAPK9
2492,2,0,2,0,2,0,0,0,1,1,2,0,MAPK13
2493,69,63,69,60,74,50,71,35,81,64,88,62,MAP2K1
2494,18,14,12,16,18,9,22,9,36,20,24,15,MAP2K2
2495,14,20,9,26,20,12,91,77,151,85,138,84,MAP2K3
2496,11,7,7,8,6,7,16,12,23,17,15,25,MAP2K5
2497,0,0,0,0,0,0,7,3,2,4,1,6,MAP2K6
2498,76,62,37,46,74,26,127,77,117,77,92,79,MAP2K7
2499,23,16,14,15,9,11,10,4,10,3,12,4,EIF2AK2
2500,64,65,66,71,67,42,193,180,281,179,358,198,DNAJC3
2501,162,156,118,150,119,96,139,128,200,111,213,111,THAP12
2502,73,54,46,60,50,35,75,49,109,32,94,64,PRKX
2503,0,0,0,1,1,2,64,55,87,55,59,60,PRKY
2504,0,0,0,0,0,0,2,2,4,1,3,1,PRL
2505,0,0,0,0,0,0,7,9,12,4,10,2,PRLR
2506,106,107,88,87,86,58,20,20,62,25,32,23,PRNP
2507,16,14,20,12,6,10,1,5,4,3,0,1,PROS1
2508,4,3,0,0,3,3,4,3,2,0,2,2,PROX1
2509,113,145,117,143,111,82,128,98,148,100,131,96,PRPS1
2510,37,50,42,70,51,35,52,49,88,49,85,50,PRPS2
2511,21,30,20,30,20,19,13,11,20,6,15,10,PRPSAP1
2512,54,58,49,63,38,40,60,45,79,45,117,66,PRPSAP2
2513,30,31,24,25,28,26,46,35,58,36,62,38,PRRG1
2514,2,1,1,0,1,0,3,1,5,3,2,5,PRRG2
2515,1,2,4,1,1,1,0,3,6,2,1,2,LGMN
2516,0,0,0,1,0,0,0,0,0,0,0,0,PRSS2
2517,0,0,0,0,0,1,0,0,0,0,0,0,MASP1
2518,54,35,43,52,27,44,0,0,0,0,0,0,RELN
2519,1,0,0,0,0,0,0,0,0,0,0,0,KLK6
2520,0,0,0,0,0,0,47,38,48,21,35,52,PRTN3
2521,151,139,147,142,169,109,14,20,35,18,32,22,PSAP
2522,18,33,20,31,25,26,151,133,285,155,210,220,PSEN1
2523,48,22,30,40,29,12,4,2,1,3,2,2,PSEN2
2524,8,20,15,20,10,21,51,44,80,64,112,58,PSKH1
2525,295,237,193,181,196,126,180,165,321,143,260,175,PSMA1
2526,271,294,286,276,212,245,344,268,487,246,415,329,PSMA2
2527,98,117,99,94,125,85,215,138,306,141,219,170,PSMA3
2528,232,245,151,228,190,131,189,137,253,154,259,197,PSMA4
2529,147,166,147,217,134,143,88,84,132,77,92,76,PSMA5
2530,84,79,71,87,77,48,150,163,329,144,145,129,PSMA6
2531,274,305,251,243,281,230,355,260,407,247,356,272,PSMA7
2532,335,370,316,385,349,263,177,191,265,185,215,181,PSMB1
2533,235,273,234,260,226,195,150,126,251,136,152,155,PSMB2
2534,48,42,40,61,35,30,40,47,82,35,62,69,PSMB3
2535,337,357,298,323,320,234,183,167,304,186,229,204,PSMB4
2536,352,361,336,321,333,268,330,254,532,222,297,291,PSMB5
2537,75,90,91,59,62,56,78,87,123,85,102,64,PSMB6
2538,155,108,115,117,113,77,106,62,147,51,115,75,PSMB7
2539,0,0,0,0,0,0,56,46,100,33,40,31,PSMB8
2540,0,0,0,0,0,0,11,6,15,11,12,13,PSMB9
2541,11,7,3,5,4,2,27,21,51,17,16,22,PSMB10
2542,156,135,141,160,149,91,218,191,327,151,276,211,PSMC1
2543,228,237,234,207,192,149,112,84,153,88,120,145,PSMC2
2544,49,25,21,34,37,23,29,33,51,30,42,36,PSMC3
2545,61,47,45,49,23,34,41,47,86,30,51,46,PSMC4
2546,81,44,56,65,65,38,30,42,81,39,43,34,PSMC5
2547,201,190,158,195,185,109,250,177,253,192,316,216,PSMC6
2548,65,105,45,83,82,76,73,63,149,79,99,110,PSMD1
2549,74,90,56,120,85,48,50,65,73,47,51,57,PSMD2
2550,289,187,182,232,236,150,197,159,241,172,331,192,PSMD3
2551,125,98,88,134,126,77,64,47,65,40,86,75,PSMD4
2552,183,236,186,210,174,142,93,63,123,57,151,92,PSMD5
2553,186,187,186,174,161,145,239,176,272,150,236,175,PSMD7
2554,116,106,89,119,97,72,123,123,169,106,156,136,PSMD8
2555,87,96,73,79,61,54,71,75,101,70,108,76,PSMD9
2556,67,49,55,93,50,42,85,61,77,62,116,57,PSMD10
2557,252,317,224,331,257,146,182,170,242,150,192,175,PSMD11
2558,321,321,285,347,312,228,246,216,317,196,318,259,PSMD12
2559,62,47,43,74,56,31,43,23,62,35,36,50,PSMD13
2560,7,10,6,17,4,4,48,53,104,50,46,59,PSME1
2561,5,8,4,15,6,9,18,19,37,12,16,17,PSME2
2562,18,30,12,29,30,9,21,15,29,18,29,15,PSPH
2563,5,1,2,3,0,0,11,17,13,0,8,7,PTAFR
2564,539,601,451,670,624,413,772,707,1131,804,1053,941,PTBP1
2565,56,59,46,60,27,25,36,26,46,19,28,29,PTCH1
2566,26,32,28,35,25,24,417,380,653,297,348,354,PTEN
2567,0,0,0,1,0,0,0,1,0,0,0,0,PTGER1
2568,0,0,0,0,0,1,18,12,28,7,15,8,PTGER2
2569,111,110,108,74,39,45,0,0,1,0,0,0,PTGER3
2570,0,0,0,0,1,0,744,639,1082,393,681,459,PTGER4
2571,0,0,0,0,0,0,0,0,0,1,0,0,PTGFR
2572,45,49,51,24,33,27,12,23,35,16,10,12,PTGFRN
2573,0,0,0,0,0,0,1,2,10,2,2,3,PTGIR
2574,3,2,4,9,4,0,0,3,7,1,4,3,PTGS1
2575,0,0,0,0,0,0,13,8,15,8,19,14,PTGS2
2576,8,3,7,1,1,0,0,0,0,0,0,1,PTHLH
2577,1,1,0,0,0,0,0,0,0,0,0,0,PTH2R
2578,69,70,46,71,56,24,17,16,35,23,25,27,PTK2
2579,0,0,0,0,0,0,0,0,1,0,1,0,PTK6
2580,6,5,1,4,3,1,0,0,0,0,1,0,PTK7
2581,103,129,119,123,117,83,135,97,197,90,167,134,TWF1
2582,1270,1439,1241,1535,1318,1123,4925,4292,7365,4483,7430,5305,PTMA
2583,27,7,12,8,9,7,0,1,2,1,0,1,PTMS
2584,2,5,5,10,2,1,25,23,49,30,29,32,QSOX1
2585,159,181,168,207,168,129,179,159,275,173,376,202,PTPN1
2586,61,75,60,69,42,31,81,87,101,83,110,77,PTPN2
2587,0,0,0,0,0,0,12,8,21,3,1,4,PTPN3
2588,65,41,39,34,41,29,7,7,16,6,9,10,PTPN4
2589,0,0,0,0,0,0,122,119,166,105,72,96,PTPN6
2590,14,11,6,4,7,5,29,27,52,35,19,30,PTPN7
2591,40,24,34,29,25,25,126,114,144,86,117,85,PTPN9
2592,92,74,79,100,73,55,118,72,161,100,121,86,PTPN11
2593,32,51,49,32,40,35,97,67,133,44,69,79,PTPN12
2594,0,0,0,0,1,0,53,34,72,44,49,41,PTPN14
2595,29,45,30,28,29,23,42,25,55,12,54,34,PTPRA
2596,1,1,5,5,5,2,0,0,0,0,0,0,PTPRB
2597,39,37,30,22,26,16,18,19,37,13,43,20,PTPRC
2598,0,0,0,0,0,0,403,375,658,261,393,269,PTPRE
2599,23,13,14,15,18,11,0,0,0,0,0,0,PTPRF
2600,12,10,5,20,7,6,0,0,0,2,0,0,PTPRH
2601,10,11,2,5,3,10,59,44,51,50,87,44,PTPRJ
2602,0,1,0,1,0,0,0,0,0,0,0,0,PTPRN
2603,0,0,0,0,0,0,43,35,69,26,38,32,PTPRN2
2604,0,0,0,0,0,0,3,1,10,0,0,0,PTPRO
2605,9,17,12,19,6,12,0,0,0,0,0,0,PTPRR
2606,6,10,3,4,10,5,0,0,0,0,0,0,PTPRS
2607,44,62,58,48,39,27,37,38,82,22,61,30,PTS
2608,182,189,177,203,212,135,131,129,280,155,197,186,RAD1
2609,391,347,336,379,348,230,336,268,414,259,382,328,PURA
2610,202,194,160,203,170,124,199,190,316,145,243,161,PURB
2611,17,8,12,18,5,6,38,39,39,36,34,52,PVR
2612,0,0,0,0,0,1,59,38,62,31,52,34,NECTIN1
2613,18,10,3,15,7,6,25,11,41,21,31,22,NECTIN2
2614,23,20,12,19,6,7,34,39,54,44,57,36,PVT1
2615,51,33,39,35,33,21,29,30,40,20,24,26,PWP2
2616,43,37,47,47,41,31,56,48,70,46,65,56,PEX19
2617,20,21,20,33,21,6,54,27,63,43,64,48,ABCD3
2618,20,11,14,13,14,7,30,31,34,12,23,18,ABCD4
2619,17,30,21,31,27,22,15,13,36,9,18,16,PXMP2
2620,25,47,32,43,25,21,140,92,205,96,168,146,PEX2
2621,23,37,24,24,23,16,0,0,2,0,0,0,PXN
2622,29,17,19,39,26,22,13,17,23,18,21,8,PEX5
2623,101,78,61,67,57,41,33,42,68,20,29,32,PYCR1
2624,31,40,31,30,31,21,44,60,119,50,74,49,ALDH18A1
2625,8,6,9,5,4,5,3,4,2,3,6,8,PCYT2
2626,6,3,3,8,4,8,16,13,37,17,18,21,PYGB
2627,1,0,2,1,0,1,16,20,24,19,20,21,PYGL
2628,0,0,0,0,2,0,0,1,3,1,0,0,PYGM
2629,28,42,24,42,42,8,46,41,72,38,48,38,QARS1
2630,72,66,48,74,67,64,66,50,82,48,65,62,QDPR
2631,216,216,176,219,205,185,240,192,314,211,325,226,RAB1A
2632,101,130,91,116,112,101,307,246,459,257,433,327,RAB2A
2633,11,9,6,5,7,2,4,3,15,11,2,4,RGL2
2634,3,10,5,4,9,7,21,13,37,23,13,19,RAB3A
2635,1,0,0,0,0,0,0,0,0,0,0,0,RAB3B
2636,23,25,25,9,12,7,0,0,1,0,0,1,RAB3IL1
2637,81,74,58,87,70,68,133,109,209,100,136,111,RAB4A
2638,142,142,109,140,106,91,104,86,163,107,174,147,RAB5A
2639,33,26,21,31,30,22,29,43,46,52,54,44,RAB5B
2640,53,59,52,39,39,25,74,70,110,87,149,88,RAB6A
2641,0,1,2,1,1,0,1,3,0,0,1,1,MAP4K2
2642,29,18,12,20,16,6,0,0,0,0,0,0,RAB13
2643,121,204,138,98,104,61,188,188,300,78,143,128,RAB27A
2644,1,1,1,0,0,0,7,8,11,5,5,3,RAB27B
2645,2,4,7,4,2,5,9,6,15,1,3,14,RABGGTA
2646,871,772,696,857,719,439,308,237,320,252,497,263,RABGGTB
2647,128,158,149,144,151,94,99,82,142,106,158,128,RABIF
2648,141,181,171,170,178,120,265,253,395,287,453,276,RAB5C
2649,561,570,507,622,533,403,876,777,1337,765,1021,818,RAC1
2650,28,34,30,18,26,15,258,216,323,174,253,185,RAC2
2651,38,39,34,25,9,11,14,14,26,8,10,6,RAC3
2652,3,5,2,12,11,5,6,2,7,3,13,5,RAD9A
2653,67,50,58,67,62,37,46,54,87,60,112,39,RAD17
2654,508,494,421,490,438,345,1239,1120,1776,1054,2034,1268,RAD21
2655,63,55,29,42,38,36,62,68,130,47,76,56,RAD23A
2656,403,473,370,364,340,252,300,263,434,224,389,284,RAD23B
2657,57,72,44,69,47,50,68,71,141,46,95,65,RAD51
2658,130,101,111,85,92,62,53,36,45,52,63,33,RAD51C
2659,1,3,4,3,0,2,3,4,6,4,8,5,RAD51B
2660,0,4,3,3,3,0,1,2,0,0,0,0,MOK
2661,3,5,5,9,11,9,7,12,19,6,16,8,RAD51D
2662,2,9,6,4,4,0,11,6,8,19,14,21,RAD52
2663,93,84,87,97,75,57,97,73,98,70,152,103,RAF1
2664,1,2,0,0,0,0,0,0,0,0,0,2,RAG1
2665,56,41,40,50,34,33,55,39,89,64,92,81,RALA
2666,11,25,14,14,13,6,46,43,79,46,72,49,RALB
2667,109,88,62,58,39,45,78,66,111,31,107,66,RALGDS
2668,2062,2115,1704,1907,1737,1292,1618,1310,2394,1349,1994,1602,RAN
2669,636,817,576,709,502,414,202,215,410,177,201,212,RANBP1
2670,138,165,143,144,140,120,130,140,253,147,247,174,RANBP2
2671,53,50,49,63,55,31,127,96,154,89,97,100,RANGAP1
2672,95,136,113,129,109,71,106,83,163,110,178,115,RAP1A
2673,178,199,171,257,237,165,337,244,492,333,532,405,RAP1B
2674,18,10,8,8,14,6,4,0,2,0,3,4,RAP1GAP
2675,37,28,30,32,27,18,50,41,80,55,77,55,RAP1GDS1
2676,19,19,18,25,14,33,66,56,95,73,94,61,RAP2A
2677,422,480,441,426,399,326,235,225,362,295,389,298,RAP2B
2678,39,30,21,17,22,19,310,254,322,194,240,219,RARA
2679,16,14,9,7,4,3,14,7,25,3,1,5,RARG
2680,46,56,35,63,50,42,57,59,96,63,83,70,RARS1
2681,0,0,0,0,0,0,1,0,0,0,0,0,PLAAT4
2682,19,20,14,28,15,14,23,33,53,17,40,28,RASA1
2683,39,63,47,64,62,37,86,64,108,57,141,54,RASA2
2684,0,0,0,0,0,0,0,0,2,0,0,1,RASGRF1
2685,40,25,43,57,48,33,206,170,207,156,288,194,RB1
2686,26,23,17,19,19,7,46,48,71,55,83,56,ARID4A
2687,47,43,55,65,44,33,172,145,234,140,187,194,KDM5A
2688,130,159,127,125,146,68,172,200,328,158,193,213,RBBP4
2689,96,97,93,112,86,81,71,60,113,71,92,66,RBBP5
2690,185,161,170,216,192,142,232,197,309,220,343,195,RBBP6
2691,113,149,88,127,104,86,82,70,129,58,83,70,RBBP7
2692,77,89,81,92,83,60,69,60,108,83,74,76,RBBP8
2693,60,60,39,51,70,33,158,120,200,91,144,114,RBL1
2694,16,17,22,16,16,27,48,37,64,26,53,51,RBL2
2695,581,556,456,393,417,313,476,378,645,239,448,324,RBM3
2696,197,260,189,279,263,187,261,234,351,226,302,237,RBM4
2697,0,0,0,0,0,0,67,100,116,62,86,63,RBMS1
2698,0,2,0,0,0,0,4,3,2,1,6,1,RBMS2
2699,3,2,2,4,2,1,30,31,60,19,34,43,RCN1
2700,66,81,73,74,75,65,52,49,86,65,96,74,RCN2
2701,2,2,0,3,0,1,0,4,4,1,3,3,RDH5
2702,136,132,127,149,130,94,38,49,97,39,79,54,RDX
2703,22,24,9,16,21,14,45,31,63,58,55,75,RECQL
2704,41,49,48,57,34,27,74,50,93,66,78,73,REL
2705,104,91,74,89,61,53,130,102,207,101,154,143,RELA
2706,1,0,0,0,0,0,19,6,10,9,21,14,RELB
2707,172,159,130,161,136,106,313,260,423,247,326,299,UPF1
2708,74,81,73,77,79,58,76,55,120,79,136,93,DPF2
2709,152,142,163,134,126,95,150,115,168,126,174,96,REST
2710,86,99,82,82,105,46,70,61,82,52,86,53,REV3L
2711,100,64,63,72,65,50,118,105,166,85,119,102,RFC1
2712,26,36,27,30,25,25,24,24,56,17,31,26,RFC2
2713,94,77,73,93,56,38,108,101,149,104,124,88,RFC3
2714,86,70,54,43,61,37,56,27,86,38,48,58,RFC4
2715,54,81,56,70,64,39,46,46,61,44,51,53,RFC5
2716,7,6,2,5,2,2,5,5,16,2,5,4,RFNG
2717,176,167,152,178,115,99,161,153,272,127,97,124,TRIM27
2718,41,43,42,41,28,24,34,34,56,37,46,50,RFX1
2719,5,6,10,13,12,10,10,26,27,24,35,25,RFX2
2720,5,1,1,14,5,3,10,17,12,17,29,27,RFX3
2721,12,19,5,18,4,7,31,34,43,18,16,25,RFX5
2722,19,21,16,5,9,7,49,49,56,20,25,27,RFXAP
2723,79,54,77,72,70,58,7,5,6,25,78,30,RGS2
2724,73,62,56,58,56,45,148,103,216,109,157,138,RGS10
2725,4,3,1,9,0,0,11,11,11,6,5,11,RGS12
2726,10,15,13,10,6,9,245,192,368,125,209,135,RGS16
2727,488,500,420,298,258,182,0,0,0,0,0,0,RHAG
2728,9,3,6,7,8,6,0,0,0,0,0,1,RHCE
2729,16,22,12,11,11,8,0,0,0,0,0,0,RHD
2730,600,629,558,700,611,434,381,376,574,350,542,464,RHEB
2731,16,20,13,20,19,6,14,14,28,18,27,10,RING1
2732,51,40,46,44,43,32,47,58,68,47,57,55,RIT1
2733,180,259,184,203,218,133,261,216,271,201,376,237,RLF
2734,0,0,1,0,0,0,0,0,0,0,0,0,RMRP
2735,4,3,9,9,14,9,17,9,13,11,12,6,RN7SL1
2736,2,4,0,1,2,0,0,0,0,0,0,0,RNASE1
2737,0,0,0,0,0,0,105,89,135,28,71,67,RNASE2
2738,0,0,0,0,0,0,16,21,27,8,9,13,RNASE3
2739,0,0,0,0,0,0,4,5,1,2,4,3,RNASE4
2740,0,0,0,0,0,0,41,51,107,15,37,27,RNASE6
2741,11,12,5,14,11,8,36,38,56,40,58,31,RNASEL
2742,0,4,0,4,3,3,5,4,5,2,0,6,SNORA63
2743,0,0,1,0,0,0,0,0,0,0,0,0,SNORA62
2744,97,115,125,121,82,94,58,55,96,53,80,41,RNF2
2745,537,709,564,939,756,596,799,647,925,756,965,857,BRD2
2746,276,201,256,313,242,164,279,286,479,285,420,330,RNF4
2747,58,74,55,66,59,46,47,39,80,51,46,39,RNF5
2748,116,113,92,88,98,56,200,131,242,193,226,135,RNF6
2749,61,60,41,60,55,27,181,154,241,102,143,116,RNH1
2750,57,28,29,31,39,29,51,58,106,59,82,55,RNPEP
2751,299,296,250,229,193,146,259,246,343,171,316,176,ABCE1
2752,9,2,4,11,6,6,2,1,6,3,7,3,RNU1-4
2753,77,73,88,95,92,92,98,58,121,59,96,95,RNU2-1
2754,0,0,0,1,1,2,2,0,1,0,0,0,SNORD21
2755,7,0,1,1,0,1,0,0,2,0,0,1,RNY1
2756,0,0,0,0,1,0,2,1,3,1,1,1,RNY3
2757,2,7,0,0,0,2,0,1,0,0,1,0,RNY4
2758,7,9,1,11,3,8,0,0,0,1,1,3,ROBO1
2759,1,2,0,0,0,1,0,0,0,1,0,0,ROBO2
2760,34,35,37,17,29,20,68,51,94,73,129,77,ROCK1
2761,3,1,0,0,0,3,3,3,4,1,2,1,ROM1
2762,51,50,33,48,42,27,45,18,48,34,43,25,RP9
2763,24,13,16,20,24,16,185,141,201,151,215,166,RP2
2764,3,1,4,3,2,2,6,8,14,8,10,10,RPGR
2765,52,67,45,67,49,40,119,74,133,106,133,108,RPA1
2766,221,218,211,187,177,144,211,155,236,110,218,157,RPA2
2767,63,65,45,64,65,55,63,65,104,70,78,72,RPA3
2768,25,14,8,24,16,8,26,40,38,24,55,45,RPE
2769,514,388,392,404,373,242,348,308,592,320,423,436,RPL3
2770,504,442,517,449,435,333,291,273,457,259,430,386,RPL4
2771,632,460,485,409,424,300,455,470,738,361,547,451,RPL5
2772,927,929,918,862,835,598,911,790,1378,711,996,883,RPL6
2773,260,178,183,147,165,146,244,211,306,200,270,214,RPL7
2774,1170,857,879,846,885,670,863,701,1336,733,1160,822,RPL7A
2775,330,318,286,331,298,271,397,324,610,341,393,393,RPL8
2776,418,285,316,223,250,207,236,225,334,195,238,232,RPL9
2777,353,476,320,566,398,300,540,489,895,485,541,614,RPL10
2778,350,326,296,252,243,202,303,218,364,177,279,226,RPL11
2779,272,225,174,195,213,149,121,94,174,91,160,153,RPL12
2780,675,584,493,615,503,413,530,380,792,411,553,525,RPL13
2781,1497,1365,1309,1410,1327,1090,1330,1004,1947,1225,1748,1373,RPL15
2782,175,82,93,92,72,57,83,66,131,77,52,74,RPL17
2783,387,369,293,318,308,236,516,354,642,386,523,474,RPL18
2784,130,131,117,155,158,65,150,145,226,99,197,188,RPL18A
2785,714,690,617,544,497,471,516,461,827,425,584,522,RPL19
2786,164,150,156,105,117,89,181,175,271,133,172,155,RPL21
2787,522,479,445,477,394,307,421,369,633,334,476,349,RPL22
2788,300,277,240,236,249,165,175,147,236,147,148,146,RPL23A
2789,4,4,5,7,6,5,9,4,11,7,9,8,MRPL23
2790,507,383,428,360,326,277,456,328,607,306,448,422,RPL24
2791,538,346,336,246,308,220,589,452,718,366,620,472,RPL26
2792,284,239,259,212,213,170,266,184,367,176,300,214,RPL27
2793,1801,1976,1871,2290,1978,1345,3174,2357,4581,2425,3871,3108,RPL30
2794,761,529,547,476,418,301,886,616,1062,499,880,569,RPL27A
2795,91,114,89,145,112,79,175,145,254,131,154,177,RPL28
2796,124,110,123,101,111,71,138,128,209,94,119,129,RPL29
2797,893,576,539,539,498,428,464,422,681,409,524,415,RPL31
2798,708,527,576,486,469,365,305,261,545,260,394,351,RPL32
2799,737,529,548,364,393,301,495,392,718,328,498,437,RPL34
2800,860,676,702,569,609,542,716,548,951,507,727,604,RPL35A
2801,378,310,322,338,316,250,593,523,783,508,718,606,RPL36AL
2802,609,621,598,564,521,375,369,321,585,279,308,345,RPL37
2803,465,402,383,435,348,275,687,555,1029,539,758,646,RPL37A
2804,444,302,314,259,315,218,240,211,370,211,324,275,RPL38
2805,502,532,463,540,481,346,661,537,946,593,724,724,RPL39
2806,2534,2641,2202,2477,2419,1688,1900,1745,3173,1853,2468,2385,RPL41
2807,288,202,221,193,207,143,240,176,269,173,289,185,RPL36A
2808,1744,1285,1241,1367,1435,1059,890,688,1148,682,1076,912,RPLP0
2809,1385,910,1100,1130,1133,900,708,541,1012,678,1087,874,RPLP1
2810,675,500,556,493,431,380,614,452,869,387,527,530,RPLP2
2811,14,19,10,13,11,5,39,16,43,22,13,32,MRPL12
2812,154,146,136,190,157,128,286,245,396,209,279,259,MRPS12
2813,46,49,39,51,32,31,55,50,94,64,68,58,RPN1
2814,120,95,117,127,96,80,105,107,214,97,132,125,RPN2
2815,716,527,574,606,593,431,428,337,573,378,490,444,RPS2
2816,656,526,475,537,540,443,510,405,808,457,718,435,RPS3
2817,1041,824,853,694,877,633,576,500,974,478,781,593,RPS3A
2818,614,390,415,419,417,347,388,277,514,315,534,395,RPS4X
2819,0,0,0,0,0,0,36,33,56,24,39,26,RPS4Y1
2820,431,450,395,500,505,369,487,448,811,435,627,598,RPS5
2821,520,442,449,502,433,317,611,475,916,543,862,707,RPS6
2822,12,9,8,25,14,9,163,125,268,136,196,163,RPS6KA1
2823,1,0,0,0,0,1,16,11,14,15,21,14,RPS6KA2
2824,22,45,39,43,22,19,96,89,120,58,118,88,RPS6KA3
2825,103,95,96,118,87,78,107,78,143,92,151,87,RPS6KB1
2826,19,20,10,22,22,11,12,6,16,11,13,14,RPS6KB2
2827,1191,909,861,767,795,629,606,452,846,398,627,556,RPS7
2828,1391,1144,1200,1375,1261,950,1137,1021,2023,1027,1621,1389,RPS8
2829,560,505,514,526,575,351,484,368,657,395,472,493,RPS9
2830,533,444,417,367,421,293,331,232,459,232,282,283,RPS10
2831,365,364,270,318,242,153,467,366,776,373,404,409,RPS11
2832,1146,897,856,898,950,676,424,397,746,434,694,531,RPS12
2833,371,303,294,270,267,207,287,255,438,181,276,274,RPS13
2834,545,497,457,418,423,300,526,338,645,323,531,394,RPS14
2835,241,262,217,287,258,183,298,233,364,196,251,283,RPS15
2836,530,380,425,360,378,257,345,277,588,279,398,428,RPS15A
2837,594,595,551,670,573,438,783,658,1247,614,905,747,RPS16
2838,658,750,698,710,667,526,796,684,1330,671,1051,866,RPS17
2839,753,592,643,616,602,448,495,422,655,379,463,406,RPS18
2840,426,315,303,244,232,195,319,287,511,204,366,327,RPS19
2841,928,760,776,848,834,641,932,737,1361,817,1094,1003,RPS20
2842,709,535,509,486,529,324,433,337,582,275,349,313,RPS21
2843,1880,1696,1508,1285,1317,1021,1530,1177,2329,998,1594,1279,RPS23
2844,1556,1157,1118,972,982,711,818,582,1089,538,792,620,RPS24
2845,274,136,142,129,131,87,82,67,124,41,75,63,RPS25
2846,316,264,281,352,361,205,322,297,477,276,317,357,RPS26
2847,250,234,198,203,226,157,106,115,221,103,133,145,RPS27
2848,1391,1101,1006,1020,973,690,1424,925,1722,850,1600,1035,RPS27A
2849,740,741,723,774,766,468,986,667,1336,727,991,906,RPS28
