,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4.11_DMSO_rep.1,MV4.11_DMSO_rep.2,MV4.11_DMSO_rep.3,MV4.11_JQ1_rep.1,MV4.11_JQ1_rep.2,MV4.11_JQ1_rep.3,genes
31,0,0,0,0,0,0,37,32,62,12,18,11,ACPP
32,0,0,0,0,0,0,0,0,0,0,0,1,ACTA2
33,820,963,799,1211,860,715,2510,2165,3778,2635,2732,3019,ACTB
34,1,3,0,1,0,1,0,0,0,0,0,0,ACTC1
35,814,972,801,1485,1335,981,3624,3143,5923,4349,6233,4877,ACTG1
36,164,166,119,182,142,76,205,216,370,240,332,281,ACTN4
37,118,119,115,134,122,76,114,118,205,113,183,144,ACTL6A
38,52,64,50,36,29,28,228,205,301,120,224,162,ACTN1
39,5,3,5,4,4,2,0,1,0,0,0,0,ACTN2
40,32,40,24,38,35,25,6,11,16,7,18,18,ACVR1
41,61,73,55,49,57,42,75,65,80,49,68,73,ACVR1B
42,13,10,9,10,14,15,5,2,10,2,13,4,ACVR2A
43,33,25,32,33,29,15,71,39,49,25,30,37,ACVR2B
44,0,0,0,0,0,0,1,0,2,0,0,1,ACVRL1
45,5,6,5,6,6,2,7,12,11,2,2,3,ACY1
46,39,32,17,37,42,25,45,58,78,58,63,59,ACYP1
47,0,1,3,4,3,2,7,2,2,4,5,3,ACYP2
48,6,3,2,5,4,1,30,26,37,13,24,14,ADA
49,14,15,2,13,19,7,40,35,46,11,32,18,ADAM8
50,55,67,57,57,73,48,133,112,180,104,167,92,ADAM10
51,96,105,88,106,91,65,152,118,167,126,159,99,ADAR
52,5,4,1,5,1,0,10,16,19,7,7,10,ADARB1
53,0,0,0,0,0,0,4,1,2,0,4,0,ADCY1
54,18,28,18,25,30,22,38,38,51,20,33,23,ADCY3
55,4,0,1,0,0,0,0,0,1,0,0,0,ADCY6
56,53,31,29,22,24,18,181,178,234,81,163,115,ADCY7
57,6,8,5,12,2,4,176,156,229,173,185,131,ADCY9
58,57,63,50,48,38,27,53,57,64,47,68,42,ADD1
59,42,43,38,27,19,13,27,17,35,9,12,5,ADD2
60,61,66,49,65,47,30,26,12,30,18,28,10,ADD3
61,95,102,88,76,55,46,28,31,46,35,63,24,PLIN2
62,100,104,95,80,91,67,92,100,154,86,143,92,ADH5
63,41,37,44,41,40,40,78,70,115,75,120,110,ADK
64,0,0,0,0,0,0,2,1,6,1,0,3,ADORA1
65,4,2,7,2,1,2,5,5,10,1,0,4,ADORA2A
66,18,23,20,14,8,6,56,30,85,20,33,22,ADORA2B
67,0,0,0,0,0,0,3,1,2,0,1,0,ADORA3
68,2,0,0,0,0,1,5,4,5,4,1,4,ADPRH
69,222,273,228,299,206,129,132,131,201,109,190,133,PARP1
70,10,9,12,18,8,9,65,41,66,34,71,39,PARP4
71,0,4,3,1,1,4,0,0,0,0,0,0,ADRA1D
72,1,1,2,1,1,0,1,2,4,4,2,1,ADRA2C
73,1,1,0,2,1,0,167,140,235,69,111,74,ADRB2
74,23,27,24,28,24,14,208,156,254,130,121,146,GRK2
75,4,5,2,4,3,3,30,28,52,25,31,18,GRK3
76,53,51,35,28,37,15,40,47,69,28,40,32,ADSL
77,63,61,47,61,46,47,87,68,168,59,73,54,ADSS2
78,0,0,0,1,1,2,2,0,1,3,3,1,AP2A1
79,7,5,2,13,7,5,7,6,12,9,10,5,AP2A2
