,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4-11_DMSO_rep-1,MV4-11_DMSO_rep-2,MV4-11_DMSO_rep-3,MV4-11_JQ1_rep-1,MV4-11_JQ1_rep-2,MV4-11_JQ1_rep-3,genes
0,117,101,95,148,139,85,77,60,105,53,76,74,A1BG
1,436,374,368,369,356,325,581,389,678,423,900,502,NAT1
2,4792,4230,4198,5099,4676,3746,4124,3294,4927,3197,6761,3771,AAMP
3,3051,3302,2921,3593,3387,2492,2603,2151,3878,2264,3361,3011,AARS1
4,4,7,9,6,3,4,86,69,83,57,145,92,ABAT
5,0,2,4,3,3,1,54,29,66,21,50,40,ABCA1
6,58,38,36,46,35,20,459,364,501,292,504,385,ABCA2
7,321,268,274,343,290,255,11,13,14,8,15,12,ABCA3
8,591,671,571,571,646,485,716,516,935,543,1035,725,ABCB7
9,6856,6469,5802,7857,6844,5525,2213,1810,3016,2058,3133,2345,ABCF1
10,3587,4508,3518,4799,4165,3219,1785,1343,1980,1281,2007,1455,ABL1
11,1437,1445,1435,1663,1526,1190,726,512,914,576,895,648,ABL2
12,115,79,55,67,59,50,2,0,2,0,2,0,ABO
13,5,3,6,11,5,2,2874,2284,3896,2503,3921,2943,ABR
14,1287,931,1004,1136,1129,873,1220,848,1622,1041,1473,1222,ACAA1
15,1407,1401,1251,1565,1438,1201,664,555,944,571,1056,689,ACACA
16,6,3,1,3,2,0,92,114,164,121,191,118,ACACB
17,4220,4782,4244,4908,4733,3847,1977,1601,2585,1589,2946,1849,ACADM
18,422,391,389,511,448,357,819,536,868,586,1019,712,ACADS
19,565,480,476,511,527,393,746,549,850,554,1227,604,ACADSB
20,1897,2075,1864,2471,2349,1712,5171,4283,6889,4472,6486,5615,ACADVL
21,3095,4037,3516,4758,3861,2826,2876,2261,3354,2500,4292,2806,ACAT1
22,5794,4928,4835,5001,5378,4374,1940,1465,2509,1487,2891,1790,ACAT2
23,107,105,92,138,143,75,103,74,136,94,122,93,ASIC1
24,59,79,71,93,73,61,1,0,0,0,2,0,ACHE
25,5718,6272,5653,7518,6801,5264,6362,5279,9228,5805,9767,6790,ACLY
26,1439,1236,1127,1426,1303,977,600,528,777,536,998,612,ACO1
27,3815,5021,4052,5901,4883,3843,4740,3838,6723,4127,6407,4965,ACO2
28,934,1001,852,1066,1159,841,1396,1116,1968,1255,2122,1419,ACOX1
29,10206,9193,9277,9814,9659,7906,3823,2862,4584,3040,5179,3528,ACP1
30,374,323,339,395,392,295,300,237,420,241,376,290,ACP2
31,0,2,1,1,1,2,1442,1091,2090,1116,1989,1267,ACPP
32,14,34,10,24,23,13,49,40,72,53,75,80,ACTA2
33,75136,79280,71871,96970,83294,64228,165058,131717,224995,144560,173103,177480,ACTB
34,20,30,27,42,23,23,0,1,1,0,0,0,ACTC1
35,41659,46316,38697,57305,49076,37345,115949,92449,161213,104312,171340,120647,ACTG1
36,11536,12132,10876,13725,12504,9071,15289,11209,17404,12379,18005,14186,ACTN4
37,3910,4924,4340,5725,5216,3882,3237,2901,5143,3222,4556,3720,ACTL6A
38,3020,2694,2480,2879,2906,2490,9467,6871,10688,6992,13545,8231,ACTN1
39,24,13,15,16,19,13,0,1,1,2,1,3,ACTN2
40,190,220,185,287,243,168,66,48,93,66,105,75,ACVR1
41,359,395,368,357,378,295,259,221,289,194,329,237,ACVR1B
42,72,51,71,69,70,71,20,13,30,14,41,22,ACVR2A
43,516,528,535,547,483,420,234,172,252,142,212,162,ACVR2B
44,1,2,3,1,1,4,76,85,128,82,107,102,ACVRL1
45,788,859,830,1014,1018,699,1136,833,1586,1083,1224,1373,ACY1
46,1006,955,808,1043,960,782,595,478,787,474,869,563,ACYP1
47,185,154,162,174,187,121,165,116,221,156,223,153,ACYP2
48,573,478,509,623,595,424,2272,1909,3342,2113,2800,2445,ADA
49,117,97,68,122,134,71,191,159,241,135,289,155,ADAM8
50,1807,2071,1808,2240,2060,1544,2889,2277,3975,2339,4276,2763,ADAM10
51,5446,5380,5352,6250,5890,4355,4867,3893,6546,4090,7479,4580,ADAR
52,79,86,114,116,89,65,491,347,570,352,581,379,ADARB1
53,8,1,8,6,8,2,24,9,17,19,32,16,ADCY1
54,619,723,681,956,740,596,1095,897,1469,980,1356,1030,ADCY3
55,52,38,63,32,28,28,10,5,9,10,17,10,ADCY6
56,988,1008,920,1079,1083,815,2645,2072,3549,1995,4346,2366,ADCY7
57,88,102,66,106,76,72,1130,897,1442,907,1483,972,ADCY9
58,3153,3373,3034,3444,3365,2814,2768,2231,3645,2295,3758,2729,ADD1
59,2537,2764,2572,3341,3074,2324,1157,978,1618,1104,1458,1243,ADD2
60,2926,2942,2943,3266,3081,2369,676,499,810,550,1020,607,ADD3
61,1667,1734,1513,1850,1654,1438,586,442,731,465,866,534,PLIN2
62,4837,5266,4940,5218,5341,4208,2845,2213,3621,2212,4223,2836,ADH5
63,1503,1515,1478,1416,1656,1326,2686,1977,3452,2250,3878,2783,ADK
64,1,0,1,1,0,1,53,38,56,26,43,35,ADORA1
65,13,36,23,36,25,20,40,27,58,12,20,25,ADORA2A
66,276,302,222,266,255,192,309,230,456,200,309,221,ADORA2B
67,0,1,1,0,0,0,12,6,13,4,6,3,ADORA3
68,25,15,12,14,25,22,175,81,136,83,201,98,ADPRH
69,10013,12667,10556,14020,11744,8595,4997,3869,6600,4208,7703,4847,PARP1
70,361,330,354,380,420,279,935,716,1205,733,1150,778,PARP4
71,11,17,8,18,11,15,0,0,0,0,0,0,ADRA1D
72,45,15,58,24,29,16,58,49,64,35,66,44,ADRA2C
73,2,1,1,5,1,0,345,290,475,179,313,198,ADRB2
74,1513,1549,1406,1716,1700,1331,6992,5020,7828,5454,8772,5921,GRK2
75,108,284,89,304,277,200,525,379,646,446,670,477,GRK3
76,5754,3767,4154,3866,4454,3727,3333,2430,3987,2566,4243,3213,ADSL
77,1673,1878,1784,1891,1881,1496,1917,1385,2513,1442,2811,1707,ADSS2
78,621,467,609,567,568,450,608,422,529,405,636,455,AP2A1
79,745,627,585,662,631,469,1029,655,1093,699,1229,895,AP2A2
80,3298,3044,2635,3808,3303,2575,4131,2998,4679,3364,5464,3411,AP1B1
81,4458,3816,4168,3930,4054,3533,1816,1157,1650,1220,2087,1267,AP2B1
82,2856,2477,2412,2561,2511,1962,2257,1689,2675,1674,3115,2088,AP1G1
83,7761,6657,6578,7094,7159,5737,1316,1051,1731,1035,1799,1274,TLE5
84,1032,686,686,741,805,552,568,467,615,407,973,430,AFG3L1P
85,36,22,31,39,33,24,0,0,0,0,0,0,AFP
86,515,544,556,587,569,446,883,685,1206,751,1291,926,AGA
87,49,57,52,70,66,29,43,41,46,18,34,14,AGER
88,2482,2167,2103,2109,2264,1793,598,438,703,530,1069,550,AGL
89,9,10,3,4,6,4,25,17,54,13,9,9,JAG1
90,1,3,1,1,1,1,1009,677,1210,720,1462,949,AGT
91,92,83,88,86,95,64,0,0,1,1,2,1,APLNR
92,5158,4049,4532,4499,4669,3749,3403,2306,3858,2446,5063,3197,AHCY
93,1,0,0,1,0,1,565,382,562,274,521,331,AHR
94,5,3,7,2,7,3,8700,6318,11514,6709,12460,8707,AIF1
95,60,60,71,56,51,30,1125,898,1421,869,1648,950,CRYBG1
96,581,617,616,671,619,521,16,11,23,19,9,15,AK1
97,13983,12724,12431,14202,14310,11479,11626,9252,16364,10299,17827,12300,AK2
98,4501,4466,4191,4593,4438,3728,35,31,71,34,64,28,AK4
99,779,1160,827,1432,1120,698,2246,1513,2017,1720,2434,1645,AKT1
100,4938,5911,4674,6530,6195,4848,8394,6971,10750,6954,10574,8009,AKT2
101,320,285,288,282,294,226,607,566,768,558,952,643,ALAD
102,469,521,512,565,567,441,577,459,655,451,741,518,ALAS1
103,4024,4338,3822,4900,4762,3530,0,0,0,0,0,0,ALAS2
104,8,7,9,10,6,3,991,907,1440,956,1664,1069,ALCAM
105,11,15,10,18,19,18,217,163,278,169,192,223,ABCD1
106,610,614,584,728,628,565,0,0,0,0,0,0,ALDH1A1
107,756,704,675,836,760,645,36,29,53,28,62,37,ALDH2
108,2377,2012,2044,2308,2121,1736,1075,815,1378,918,1357,995,ALDH1B1
109,1,0,1,0,0,0,83,69,91,49,98,83,ALDH1A3
110,1,1,3,0,5,2,1265,935,1376,989,1414,1190,ALDH3B1
111,3197,3282,3155,3685,3614,2871,2852,2366,3967,2544,3929,3177,ALDH9A1
112,27,12,12,12,14,9,665,585,977,693,1038,888,ALDH3A2
113,1,0,2,2,0,1,45,29,66,29,73,45,ABCD2
114,24043,23572,22889,25840,26119,20174,22910,17020,28527,18445,31093,22808,ALDOA
115,474,533,481,660,633,479,172,114,188,137,146,146,ALDOC
116,472,527,526,577,563,456,5006,3870,6335,4065,7749,4825,AKR1B1
117,12,16,13,15,11,9,34,25,35,29,30,27,ALOX12
118,6,7,9,5,2,10,3,1,4,1,0,0,ALOX5
119,0,0,0,0,0,0,3993,3334,5398,3509,4991,3857,ALOX5AP
120,1,0,0,0,0,0,6,6,16,11,7,5,ALOX15
121,6100,6396,6069,6850,6729,5068,4756,3754,6439,4046,7245,4769,AMD1
122,1648,1760,1608,1987,1707,1155,506,376,661,420,770,506,AMFR
123,126,91,86,170,101,55,4,7,13,5,11,9,AMH
124,130,127,100,123,143,112,0,0,0,0,0,0,AMHR2
125,1662,1540,1399,1595,1521,1201,1026,875,1345,825,1283,858,AMPD2
126,534,510,545,542,495,465,150,128,182,112,274,132,AMPD3
127,248,228,195,257,253,224,42,39,72,30,58,47,BIN1
128,9,2,9,3,6,4,40,63,69,47,41,59,AMT
129,1,0,0,0,0,0,29,27,60,36,58,45,AMY1A
130,1,0,0,0,0,0,29,27,60,36,58,45,AMY1B
131,1,0,0,0,0,0,29,27,60,36,58,45,AMY1C
132,0,0,0,0,0,1,42,43,48,30,59,47,AMY2B
133,2,0,1,2,0,0,25,20,43,17,30,36,ANG
134,1209,1197,1174,1242,1295,1119,3,1,1,3,0,0,ANGPT1
135,5512,5939,5179,6988,6146,4773,6,4,3,3,2,2,ANK1
136,330,335,362,348,344,300,5,1,7,4,6,9,ANK3
137,10,12,11,14,10,9,3,5,19,6,6,5,ANPEP
138,1540,1464,1488,1467,1628,1341,12,7,18,7,21,20,SLC25A4
139,24535,27238,24693,28269,28328,21166,21706,17387,30771,18065,33480,21221,SLC25A5
140,17889,17053,16302,18289,18362,14551,33012,25222,43515,26682,41527,32627,SLC25A6
141,7307,7178,6888,7002,7529,6021,1087,938,1567,979,1466,1129,ANXA1
142,14475,14347,13707,15248,15301,12190,9769,7610,13658,8583,12502,9881,ANXA2
143,49,36,33,34,48,40,23,19,20,22,14,24,ANXA2P1
144,58,59,39,73,59,57,0,0,0,0,0,0,ANXA3
145,143,146,132,173,160,133,1196,990,1716,1058,1929,1251,ANXA4
146,3070,2609,2641,3018,2796,2209,2008,1644,2628,1887,2894,2139,ANXA5
147,409,469,453,617,536,406,4361,3391,5505,3703,4471,4207,ANXA6
148,4962,6198,5007,5890,5766,4651,1505,1235,2191,1298,2272,1553,ANXA7
149,3624,4649,4123,5223,4911,3763,3747,2947,4865,3264,3869,3966,ANXA11
150,0,0,0,0,0,0,50,31,57,30,34,41,AOAH
151,23,10,12,23,14,12,5,8,5,5,3,5,AOC2
152,4,0,2,6,3,2,7,2,10,4,18,7,AOX1
153,89,193,164,184,161,116,792,655,850,584,1385,612,APAF1
154,437,330,371,343,378,279,496,369,556,349,687,418,NUDT2
155,5,2,5,5,4,1,364,288,411,312,661,319,APBA1
156,628,481,450,572,510,431,140,103,153,104,189,79,APBA2
157,22,20,10,30,18,16,102,89,125,74,106,100,APBB1
158,178,186,166,183,191,121,12,8,8,14,16,13,APBB2
159,754,796,708,898,744,601,227,201,346,175,346,240,APC
160,2071,1568,1734,1805,1864,1465,3284,2477,4199,2620,4473,3271,APEH
161,2721,3224,2689,3660,3174,2183,7180,5584,7530,5907,8547,6238,APEX1
162,1746,1966,1637,2052,1939,1355,953,745,1310,684,1397,863,BIRC2
163,6,2,6,13,4,7,3,2,5,1,7,3,BIRC3
164,1665,1722,1663,1821,1836,1223,1617,1232,1967,1327,2147,1489,XIAP
165,7708,7554,7592,8709,8539,6457,6211,4800,7923,5062,7794,5984,BIRC5
166,51,52,39,38,54,45,97,93,113,89,113,120,APLP1
167,5551,6309,5667,8163,6700,5063,4721,3897,6230,4213,6432,4946,APLP2
168,7,0,1,3,5,2,95,59,86,45,76,65,APOA1
169,1256,1200,1169,1312,1391,1047,110,95,162,71,142,113,APOC1
170,5,6,2,2,2,8,12341,9327,18044,9883,13185,12942,APOC2
171,132,104,124,137,132,107,5,1,2,5,4,7,APOE
172,0,1,0,0,1,0,1481,1143,1831,1267,2296,1304,APP
173,6670,6227,6163,6691,6731,5286,6905,5323,10148,5696,8663,8248,APRT
174,15,23,13,15,15,8,59,34,68,27,55,30,FAS
175,1,1,2,0,2,1,5,2,10,1,12,1,SHROOM2
176,181,176,163,162,164,127,12,5,22,8,15,12,AQP1
177,2936,3133,2798,3528,3024,1995,151,106,151,141,301,123,AQP3
178,180,158,185,172,177,155,10,9,24,5,11,14,AR
179,867,1198,1006,1480,1267,923,1061,795,1436,925,1210,1103,ARAF
180,3617,3797,3526,3882,3529,2670,2640,2023,2841,2083,4406,2173,ARCN1
181,244,188,204,245,217,195,106,88,185,102,239,132,TRIM23
182,88,81,67,68,51,35,3,0,0,1,0,0,AREG
183,40705,41158,38121,45825,43216,34414,18430,14395,23117,15158,26763,17697,ARF1
184,6227,5702,5108,6715,6114,4929,10027,7555,11905,8181,14803,8919,ARF3
185,5970,6748,6003,7995,6733,5004,5184,4179,6566,4381,7726,5209,ARF4
186,28,17,32,21,27,10,28,24,44,31,50,33,ARL4D
187,8014,5434,5485,4699,5748,5521,3179,2028,2740,2088,5013,2177,ARF5
188,4743,4832,4465,5328,4872,3694,7863,6336,10419,6278,11135,7458,ARF6
189,414,433,376,525,470,316,2,7,10,8,10,9,ARG2
190,11037,14158,11203,15937,13912,9809,27268,20973,36545,23660,32930,26715,RHOA
191,143,103,94,117,124,85,43,40,63,41,64,64,RHOB
192,3736,3138,3252,3580,3525,2708,267,164,265,191,315,227,RHOC
193,2047,2511,2259,3346,2619,2031,5507,4143,7387,4454,5463,5846,RHOG
194,774,795,690,945,836,619,6149,4500,7478,4834,7390,5528,ARHGAP1
195,221,172,138,206,185,143,3497,2661,4089,2698,4428,3111,ARHGAP4
196,661,683,614,758,688,557,3,3,2,6,3,4,ARHGAP5
197,1513,1449,1468,1801,1598,1391,23,15,23,16,36,24,ARHGAP6
198,4218,4839,4197,4947,5044,3809,8683,6084,9588,6458,11250,7619,ARHGDIA
199,53,66,62,83,56,56,33438,27377,50990,30498,46305,37741,ARHGDIB
200,129,159,142,113,82,80,212,140,293,99,156,141,RHOH
201,4198,4140,3822,4534,4288,3388,1668,1243,2097,1322,2478,1573,ARL1
202,1269,1554,1363,1781,1671,1253,1661,1267,2161,1285,2019,1685,ARL2
203,771,780,757,840,836,653,781,566,934,606,1081,815,ARL3
204,970,1161,1031,1297,1127,874,1210,985,1652,926,1585,1154,ARNT
205,0,0,0,0,0,1,121,94,192,102,174,120,ARNTL
206,747,760,700,856,795,612,2426,1967,3469,2002,3630,2649,ARRB1
207,277,295,225,319,278,241,2357,1761,3060,1853,2837,2354,ARRB2
208,144,86,101,87,119,92,546,365,562,404,629,474,ARSA
209,164,162,154,174,150,118,966,662,858,645,1656,649,ARSB
210,82,74,63,69,51,48,347,287,500,338,491,434,STS
211,9,11,9,8,7,5,1436,1059,1775,1192,1907,1471,ARSD
212,0,0,1,0,0,0,17,10,16,19,12,18,ARSL
213,794,622,729,705,694,525,70,48,76,65,72,80,ARVCF
214,1034,1197,1047,1284,1169,936,980,800,1473,860,1499,1040,ASAH1
215,87,64,82,77,69,50,78,57,113,55,85,68,ASCL2
216,5,12,6,12,12,12,56,56,85,51,73,61,ASGR1
217,0,0,0,0,0,0,210,146,205,155,225,167,ASGR2
218,234,228,256,279,294,228,184,154,271,141,280,201,ASL
219,1152,1425,1255,1439,1483,1172,2074,1641,2645,1653,2276,2144,GET3
220,6784,4927,5270,5348,5757,4632,1266,991,1606,1040,2041,1232,ASNS
221,882,883,883,966,874,873,891,705,1359,722,1528,928,ASPH
222,31,20,32,21,14,23,1166,786,1350,902,1318,1073,ASS1
223,23,23,18,30,21,12,22,20,20,20,37,28,ZFHX3
224,1512,1447,1370,1517,1479,1107,731,601,1046,524,1019,655,ATF1
225,203,211,211,213,243,180,51,38,65,41,79,50,ATF3
226,14437,10229,10483,10273,11144,9644,10193,7619,12360,7704,15109,9251,ATF4
227,5912,5863,5369,6320,6188,4843,5037,3980,6959,4006,6578,5431,ATIC
228,522,601,591,668,607,435,1610,1173,1887,1262,2150,1533,ATM
229,922,993,829,1036,935,726,582,500,790,487,945,522,RERE
230,2503,2862,2596,3352,3243,2448,2013,1627,3040,1823,2547,2254,ATOX1
231,8740,8144,8337,9392,8801,7137,3103,2245,3712,2314,4315,3035,ATP1A1
232,1,0,2,0,2,4,10,13,10,7,13,11,ATP1A2
233,2,2,4,3,0,2,187,136,234,154,211,144,ATP1A3
234,278,264,254,266,302,259,77,85,138,67,127,103,ATP1B1
235,906,1111,962,1328,1217,861,0,0,1,1,2,0,ATP1B2
236,11692,9130,9653,10558,10519,8325,8528,6057,10104,6949,11179,7661,ATP1B3
237,14,9,10,13,6,7,5,1,6,3,2,3,ATP2A1
238,9910,10699,10111,12941,11202,8785,6380,5177,8407,5519,8853,6060,ATP2A2
239,82,73,64,65,63,61,682,474,739,505,948,610,ATP2A3
240,1891,2219,2045,2540,2222,1846,1394,1155,1888,1212,2277,1395,ATP2B1
241,1,1,4,2,2,1,4,2,1,1,10,1,ATP2B2
242,1,1,2,1,0,2,24,23,25,17,25,21,ATP2B3
243,756,660,677,787,801,591,1878,1466,2572,1471,2803,1868,ATP2B4
244,16153,16966,15167,17161,17779,14805,20830,16717,30317,18954,27901,23283,ATP5F1A
245,38023,41651,38482,47688,45361,35303,24170,18900,32284,20911,33435,24699,ATP5F1B
246,9666,10609,9677,10323,10739,8189,6052,5054,9139,5080,7923,6368,ATP5F1C
247,2017,2685,2301,3330,2922,1910,3401,2645,4856,2814,2847,3709,ATP5F1D
248,35845,30343,31576,31825,34893,28567,19345,14400,26863,15398,28179,19968,ATP5F1E
249,31943,34601,30903,38023,36578,28319,14771,11648,20898,13137,21366,14857,ATP5PB
250,7582,8367,7700,11033,9894,7352,10736,7711,13730,8290,11167,10269,ATP5MC1
251,15820,16665,15085,19657,17651,13270,23930,18015,31767,20980,27222,23597,ATP5MC2
252,119508,120750,110433,128629,125734,102243,36036,25696,43116,27446,53557,30145,ATP5MC3
253,14741,11073,11749,12848,12744,10270,7335,5416,10462,5996,8989,7920,ATP5ME
254,16053,14980,15211,15729,16563,13734,14443,10636,18487,11781,21081,13881,ATP5PF
255,3285,3448,3392,3800,3551,2761,2050,1589,2487,1642,2808,1813,ATP6V1A
256,5653,4987,4962,5452,5364,4234,5804,4472,7394,4773,8738,5403,ATP6V1B2
257,14672,17017,14363,20598,18229,14059,15056,11162,18468,12401,17724,14304,ATP6V0C
258,2428,2208,2131,2336,2266,1802,1723,1335,2039,1315,2362,1654,ATP6V1C1
259,5519,6198,5517,7781,6826,5331,4141,3247,5801,3662,5214,4273,ATP6V1E1
260,4449,5385,4509,6439,6314,4603,4638,3289,6031,3328,4760,4272,ATP6V0B
261,8,15,5,10,7,15,67,70,152,86,134,77,ATP6V1G2
262,2234,2607,2282,3095,2938,2211,373,302,412,259,472,299,ATP6V0A1
263,1759,1834,1759,2526,1997,1464,2632,1945,3292,2242,3471,2344,ATP6AP1
264,817,880,743,1071,918,728,73,41,71,55,95,64,ATP7A
265,25908,20465,19631,19591,22032,17896,13728,10386,18519,11035,20373,13931,ATP5PO
266,446,487,479,600,527,333,10,8,6,3,5,4,ATP7B
267,572,608,539,623,608,430,683,510,811,527,1025,608,ATR
268,722,751,641,827,765,628,1744,1363,2204,1530,2721,1681,ATRX
269,2732,2466,2233,2630,2632,1973,10,15,12,13,9,17,KIF1A
270,255,234,213,220,251,166,157,143,201,141,206,156,AUH
271,6470,4539,5036,5331,5374,4421,2930,2248,3685,2196,4004,2933,AUP1
272,92,125,107,170,144,93,277,236,398,254,284,271,AXL
273,4,1,3,2,2,0,4192,2741,4352,2949,3773,3239,AZU1
274,18087,17525,16189,18227,17835,14480,51789,37732,62745,40436,91366,45706,B2M
275,14,13,18,20,11,10,2,3,4,6,1,1,BAAT
276,827,729,693,735,739,583,378,301,444,314,508,384,BACH1
277,157,166,133,179,150,129,483,364,579,359,424,462,BAD
278,3826,4224,3837,4395,4183,3220,5841,4298,7184,4508,7253,5460,BAG1
279,60,53,44,33,43,47,0,0,1,0,0,0,BAGE
280,0,0,0,0,0,1,4,7,11,10,15,6,ADGRB1
281,492,420,497,420,452,476,689,571,871,483,885,619,BAK1
282,30,26,23,29,26,18,11,5,18,7,8,13,NKX3-2
283,735,753,697,904,783,654,1860,1616,2696,1584,2472,1911,BARD1
284,1148,828,942,682,1016,876,3521,2093,2400,1782,4257,1790,BAX
285,130,166,111,182,186,132,89,73,154,124,166,113,BBS1
286,214,163,191,278,257,202,451,399,587,411,725,417,BBS2
287,1473,1420,1445,1452,1615,1288,429,290,570,302,518,402,BBS4
288,9855,10012,9199,10597,10226,8255,4124,3380,5414,3299,6250,4114,BCAT1
289,478,737,607,910,755,436,901,629,1099,584,882,866,BCAT2
290,901,721,759,800,848,678,4192,3332,5947,3285,5241,4397,BCKDHA
291,147,131,143,150,132,105,320,265,474,313,466,327,BCKDHB
292,97,72,101,64,64,58,7,7,7,4,6,11,CCND1
293,92,103,81,114,64,73,3968,3375,5475,3623,6660,4202,BCL2
294,2747,2418,2254,2521,2388,1998,339,263,403,273,418,263,BCL2L1
295,397,377,331,384,340,235,68,71,98,56,109,65,BCL2L2
296,16,27,23,20,12,7,262,168,233,124,196,138,BCL3
297,45,47,40,46,57,45,118,104,159,59,99,45,BCL6
298,828,915,804,916,831,673,549,396,581,300,551,349,BCL7A
299,141,164,130,237,152,122,86,74,162,70,68,112,BCL9
300,309,317,297,337,366,301,252,205,334,201,280,246,BCR
301,660,749,745,964,792,648,649,608,1022,612,874,827,BCS1L
302,0,0,2,0,0,0,1509,1134,1913,1289,2163,1524,BDH1
303,3,2,3,2,3,2,121,120,193,122,195,142,BFSP1
304,36,42,39,52,68,29,82,56,111,60,92,83,BGLAP
305,4,10,8,10,5,4,44,36,60,54,44,57,BICD1
306,2219,1923,2026,2202,2247,1783,3303,2740,4772,2726,4206,3441,BID
307,3,0,4,2,0,2,846,659,1182,546,1134,811,BIK
308,54,40,46,35,26,10,388,266,481,122,235,122,PRDM1
309,0,0,0,0,0,0,16,18,24,13,26,20,BLK
310,1123,1227,1061,1206,1226,976,1163,922,1479,959,1661,1123,BLM
311,6714,5199,5497,5891,5652,4727,1955,1448,2211,1578,3057,1669,BLMH
312,1403,1282,1313,1448,1429,1235,59,40,92,47,64,45,BLVRA
313,12119,8729,9419,9361,9873,8338,1145,841,1430,823,1392,1112,BLVRB
314,4832,5268,4815,5704,5087,3859,960,838,1312,773,1488,854,BMI1
315,277,247,233,324,317,224,724,638,987,599,917,757,BMP1
316,1,5,3,4,5,3,20,9,37,3,9,9,BMP2
317,215,236,247,232,238,173,125,70,141,89,155,127,BMPR1A
318,181,151,145,145,144,163,187,124,237,133,265,157,BMPR2
319,210,248,193,190,206,167,0,0,0,0,0,0,BMX
320,1215,1063,1096,1193,1119,868,551,546,925,466,819,623,POLR3D
321,455,458,476,393,437,389,270,192,325,167,310,248,BNIP1
322,2343,2569,2248,2901,2661,2099,5902,4841,8510,4735,9327,5479,BNIP2
323,4267,4711,4050,5392,5190,3928,858,696,1021,715,1167,809,BNIP3
324,3384,3666,3145,3705,3429,2692,2157,1851,3134,1968,3266,2353,BNIP3L
325,118,63,96,88,90,78,0,0,0,0,0,1,BOK
326,69,100,78,88,113,64,76,65,126,73,127,100,DST
327,606,627,542,573,535,442,5,1,4,1,4,3,FOXL2
328,647,753,591,759,712,527,203,191,281,164,337,211,BPGM
329,304,289,279,289,273,218,187,125,258,158,259,194,BPHL
330,2350,2159,2137,2644,2387,2064,3171,2513,4450,2550,4040,3380,BRCA1
331,125,157,140,139,150,85,29,18,32,19,46,28,BRAF
332,46,35,53,55,51,40,131,129,222,132,193,181,BRCA2
333,1621,1620,1481,1025,1104,871,395,310,498,104,231,135,ZFP36L1
334,3878,4121,3789,3277,3086,2414,17147,13422,21872,10373,17359,12874,ZFP36L2
335,1864,2702,1980,3673,2792,1980,4224,3028,5494,3734,4163,4438,BSG
336,2,2,2,3,0,1,239,186,267,180,319,225,BST1
337,1971,2085,1974,2442,2253,1930,5322,3782,6255,4121,6318,4683,BST2
338,199,158,147,194,170,164,303,296,433,262,408,351,BTD
339,490,501,519,436,382,348,335,298,471,236,370,278,KLF9
340,68,59,52,64,90,63,79,59,127,74,132,74,KLF5
341,33224,36130,32383,41403,37625,28439,27327,21560,38014,23681,33621,27373,BTF3
342,4181,3935,3758,4240,4185,3363,3587,2923,4912,3364,6384,3984,BTG1
343,666,486,582,420,495,498,934,623,752,660,1250,605,BTK
344,1913,2279,2025,2370,2103,1574,1847,1460,2567,1512,2389,2075,BUB1
345,1837,2491,2068,2943,2405,1894,2138,1737,2874,1700,2699,1882,BUB1B
346,4959,4280,4238,4497,4543,3733,1424,1066,1792,972,1655,1159,BYSL
347,1056,1304,1245,1534,1383,1024,15683,11716,20576,12581,17772,15470,TSPO
348,15761,19308,16711,19573,18780,14449,11547,9493,15820,9495,18862,11710,C1QBP
349,15,8,12,12,18,8,12,6,13,9,7,18,C1R
350,4,1,1,5,1,4,3,7,12,6,4,10,C1S
351,27,37,41,58,24,21,2,2,18,9,3,6,C3AR1
352,16,13,13,15,12,13,24,9,29,19,22,23,CAPN5
353,4,2,4,5,11,6,217,171,342,209,327,187,C5
354,13,11,7,7,6,9,2,5,14,4,4,9,C8G
355,825,870,744,907,804,636,627,482,831,525,978,653,OSGIN2
356,697,748,703,954,874,622,1705,1239,2105,1287,1899,1585,VPS51
357,3319,3790,3554,4078,4061,3061,1049,824,1521,942,1438,1061,MRPL49
358,333,259,302,296,322,244,250,162,268,171,168,195,ZNHIT2
359,732,791,701,949,825,618,14,6,9,11,19,11,MYRF
360,9346,12130,10330,14274,12557,9282,11546,9736,19005,10685,13153,13449,TMEM258
361,8,14,6,7,6,3,21,22,23,15,20,17,DAGLA
362,94,126,109,147,177,98,1558,1253,1967,1362,1442,1481,FMNL1
363,3,0,0,1,0,0,1039,861,1475,678,1168,825,LDLRAD4
364,3025,3106,2860,3870,3370,2668,4337,3647,6421,3785,5874,4513,PTTG1IP
365,319,259,275,346,347,227,1098,776,1239,852,1387,1074,CFAP410
366,1120,1436,1166,1675,1470,1125,1694,1440,2532,1508,2110,1741,TMEM50B
367,2,0,0,0,1,0,11,8,22,7,17,7,MPPED1
368,80,114,90,96,107,75,0,0,0,0,0,0,CA1
369,18,18,44,18,30,14,0,0,0,0,0,0,CA2
370,9,11,10,4,5,11,25,11,19,14,10,8,CA7
371,1480,1419,1406,1569,1599,1180,2,0,0,1,4,1,CA8
372,189,165,181,221,178,150,289,215,390,232,319,293,CA11
373,0,2,0,0,1,0,20,12,26,7,6,16,CACNA1A
374,0,0,0,0,0,0,6,3,3,5,16,5,CACNA1D
375,1097,999,980,1206,1055,886,1,0,2,2,0,2,DDR1
376,32,28,27,23,35,25,16,14,8,26,9,17,CACNB1
377,22,33,21,31,28,31,120,121,157,99,125,116,CACNB3
