,K562_DMSO_rep1,K562_DMSO_rep2,K562_DMSO_rep3,K562_JQ1_rep1,K562_JQ1_rep2,K562_JQ1_rep3,MV4-11_DMSO_rep-1,MV4-11_DMSO_rep-2,MV4-11_DMSO_rep-3,MV4-11_JQ1_rep-1,MV4-11_JQ1_rep-2,MV4-11_JQ1_rep-3,genes
12232,382,523,404,636,557,330,455,275,369,337,583,259,RPL23P8
12233,37,36,26,47,46,34,17,7,21,16,17,18,SLC29A4
12234,261,323,276,319,266,213,645,463,715,429,797,427,ZNRF2
12235,81,160,126,150,120,96,252,204,338,207,382,285,CNPY4
12236,624,895,692,808,795,634,1380,1115,1928,1054,1760,1386,CNOT6L
12237,41,21,12,33,37,26,52,61,73,42,81,56,AKR7L
12238,1246,1440,1454,1462,1469,1022,1101,842,1302,827,1891,853,CDC26
12239,3852,3438,3308,3868,3703,3013,2545,1902,3229,2013,3306,2445,RNASEH1
12240,126,77,87,58,68,50,77,48,87,61,74,84,AFG1L
12241,14,4,4,3,9,8,5,3,14,11,20,8,C21orf91-OT1
12242,75,41,67,41,35,33,901,647,677,666,1256,553,STAC3
12243,78,62,51,90,67,65,183,131,241,152,231,170,PELI3
12244,73,100,82,102,97,60,616,437,851,472,830,627,POLR2J2
12245,2,0,3,1,0,0,18,8,28,7,7,6,246754
12246,3820,3904,3679,4287,4129,3280,1221,920,1535,926,1590,1047,TMEM9
12247,22,11,12,12,8,13,12,6,20,6,22,11,ZNF396
12248,1010,898,856,988,897,800,824,712,1167,616,1169,765,NEIL2
12249,134,161,143,173,177,131,68,45,59,56,82,59,STXBP4
12250,31,33,30,29,21,26,0,1,0,3,1,0,FNDC5
12251,8,10,10,7,18,5,2,7,13,1,20,8,HCG27
12252,976,994,906,1110,1055,886,147,143,229,120,246,141,CUTALP
12253,579,635,566,779,645,495,1268,1041,1745,1073,1999,1124,PRR14L
12254,153,216,171,267,240,162,16,6,27,8,6,9,SERHL2
12255,593,511,516,669,529,456,444,363,609,344,672,429,RICTOR
12256,242,174,196,223,194,171,292,221,440,223,565,244,IPMK
12257,430,480,426,529,515,365,118,80,152,54,138,70,ZBTB38
12258,213,217,170,239,206,169,332,254,342,226,431,251,SLC25A30
12259,1851,1769,1681,1855,1741,1470,559,451,704,393,889,500,LCLAT1
