Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20211012_GFI1_DMSO_A_MP9377_S76_R1_001	60.552368916984875	44.0	150.0	27.27272727272727	38049485.0
20211012_GFI1_DMSO_A_MP9377_S76_R2_001	58.41950914032854	45.0	150.0	18.181818181818183	38049485.0
20211012_GFI1_DMSO_B_MP9377_S77_R1_001	63.493737489242015	45.0	150.0	27.27272727272727	54004362.0
20211012_GFI1_DMSO_B_MP9377_S77_R2_001	61.488951849259635	46.0	150.0	18.181818181818183	54004362.0
20211012_GFI1_DMSO_C_MP9377_S78_R1_001	60.730455333916765	45.0	150.0	27.27272727272727	50814162.0
20211012_GFI1_DMSO_C_MP9377_S78_R2_001	59.70972849278492	45.0	150.0	18.181818181818183	50814162.0
20211012_GFI1_DMSO_D_MP9377_S79_R1_001	63.99799214636013	44.0	150.0	36.36363636363637	61796357.0
20211012_GFI1_DMSO_D_MP9377_S79_R2_001	61.829445753783034	45.0	150.0	18.181818181818183	61796357.0
20211012_GFI1_DMSO_E_MP9377_S80_R1_001	63.81678507709766	46.0	150.0	27.27272727272727	62445580.0
20211012_GFI1_DMSO_E_MP9377_S80_R2_001	63.16897502827961	46.0	150.0	18.181818181818183	62445580.0
20211012_GFI1_VHL_A_MP9377_S81_R1_001	56.905190710871615	45.0	150.0	27.27272727272727	32895591.0
20211012_GFI1_VHL_A_MP9377_S81_R2_001	55.34077319349099	46.0	150.0	18.181818181818183	32895591.0
20211012_GFI1_VHL_B_MP9377_S82_R1_001	64.86373763040166	45.0	150.0	27.27272727272727	69709691.0
20211012_GFI1_VHL_B_MP9377_S82_R2_001	63.25800423714714	46.0	150.0	18.181818181818183	69709691.0
20211012_GFI1_VHL_D_MP9377_S83_R1_001	62.52789816271157	46.0	150.0	27.27272727272727	61457791.0
20211012_GFI1_VHL_D_MP9377_S83_R2_001	61.56780272743719	46.0	150.0	18.181818181818183	61457791.0
20211012_GFI1_VHL_E_MP9377_S84_R1_001	57.863333562508856	46.0	150.0	27.27272727272727	48565930.0
20211012_GFI1_VHL_E_MP9377_S84_R2_001	57.173047394809586	47.0	150.0	18.181818181818183	48565930.0
20211012_RUNX1_DMSO_A_MP9377_S50_R1_001	60.505028937516364	46.0	150.0	27.27272727272727	55963951.0
20211012_RUNX1_DMSO_A_MP9377_S50_R2_001	59.58010395659355	46.0	150.0	18.181818181818183	55963951.0
20211012_RUNX1_DMSO_B_MP9377_S51_R1_001	60.69695109196104	47.0	150.0	27.27272727272727	61661424.0
20211012_RUNX1_DMSO_B_MP9377_S51_R2_001	59.319829092760564	47.0	150.0	18.181818181818183	61661424.0
20211012_RUNX1_DMSO_C_MP9377_S52_R1_001	54.66339800485431	45.0	150.0	18.181818181818183	28863771.0
20211012_RUNX1_DMSO_C_MP9377_S52_R2_001	53.35664410541321	45.0	150.0	18.181818181818183	28863771.0
20211012_RUNX1_DMSO_D_MP9377_S53_R1_001	60.086120692382416	46.0	150.0	27.27272727272727	61303891.0
20211012_RUNX1_DMSO_D_MP9377_S53_R2_001	59.62252444495301	46.0	150.0	18.181818181818183	61303891.0
20211012_RUNX1_VHL_A_MP9377_S54_R1_001	58.54978145365665	45.0	150.0	18.181818181818183	47506330.0
20211012_RUNX1_VHL_A_MP9377_S54_R2_001	58.405944834701785	45.0	150.0	18.181818181818183	47506330.0
20211012_RUNX1_VHL_B_MP9377_S55_R1_001	59.26790050019619	45.0	150.0	18.181818181818183	41713672.0
20211012_RUNX1_VHL_B_MP9377_S55_R2_001	55.830094017850655	45.0	150.0	18.181818181818183	41713672.0
20211012_RUNX1_VHL_C_MP9377_S56_R1_001	62.21213714395569	46.0	150.0	18.181818181818183	71782920.0
20211012_RUNX1_VHL_C_MP9377_S56_R2_001	61.374373397203684	46.0	150.0	18.181818181818183	71782920.0
20211012_RUNX1_VHL_D_MP9377_S57_R1_001	59.56401941746139	45.0	150.0	27.27272727272727	51277502.0
20211012_RUNX1_VHL_D_MP9377_S57_R2_001	58.499763954394766	45.0	150.0	18.181818181818183	51277502.0
20211012_RUNX2_DMSO_A_MP9377_S58_R1_001	63.35313712685115	46.0	150.0	27.27272727272727	46388787.0
20211012_RUNX2_DMSO_A_MP9377_S58_R2_001	61.196708950528716	46.0	150.0	18.181818181818183	46388787.0
20211012_RUNX2_DMSO_B_MP9377_S59_R1_001	60.112741323515706	47.0	150.0	27.27272727272727	66312772.0
20211012_RUNX2_DMSO_B_MP9377_S59_R2_001	59.1226523864567	47.0	150.0	18.181818181818183	66312772.0
20211012_RUNX2_DMSO_C_MP9377_S60_R1_001	56.57352001545568	45.0	150.0	18.181818181818183	35170365.0
20211012_RUNX2_DMSO_C_MP9377_S60_R2_001	55.14041851484676	46.0	150.0	18.181818181818183	35170365.0
20211012_RUNX2_DMSO_D_MP9377_S61_R1_001	59.18157914856161	44.0	150.0	27.27272727272727	39203469.0
20211012_RUNX2_DMSO_D_MP9377_S61_R2_001	57.255813458867166	45.0	150.0	18.181818181818183	39203469.0
20211012_RUNX2_VHL_A_MP9377_S62_R1_001	60.596450062613414	48.0	150.0	27.27272727272727	53982859.0
20211012_RUNX2_VHL_A_MP9377_S62_R2_001	59.77595929893741	48.0	150.0	18.181818181818183	53982859.0
20211012_RUNX2_VHL_B_MP9377_S63_R1_001	59.86749637645978	45.0	150.0	27.27272727272727	48742216.0
20211012_RUNX2_VHL_B_MP9377_S63_R2_001	56.54046668079679	45.0	150.0	18.181818181818183	48742216.0
20211012_RUNX2_VHL_C_MP9377_S64_R1_001	58.589460068534926	46.0	150.0	18.181818181818183	61639127.0
20211012_RUNX2_VHL_C_MP9377_S64_R2_001	58.81943444789408	46.0	150.0	18.181818181818183	61639127.0
