,CEBPA_filtered,HOXA9_filtered,PLAGL2,MEIS1_filtered,ETV6_filtered,HEX,FLAG_GFI1,RUNX1_filtered,FOSL2_filtered,FLI1_filtered,GATA2_filtered,SP1_filtered,E2F3_filtered,ZNF281_filtered,SREBF1_filtered,LMO2,STAT5B_filtered,ZMYND8,FLAG_MEF2C,LYL1_filtered,MYC_filtered,TFAP4_filtered,RUNX2_filtered,MAX_filtered,IRF8_filtered,MYB_filtered,ZEB2_filtered,RXRA_filtered,FLAG_MEF2D,activation,repression,ELF2_filtered,JUND_filtered,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1_filtered,MLL_KTM2A,RARA_filtered,IKZF1_filtered,AFF4,CTCF_filtered,BRD4,CEBPB_filtered,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,ATAC,promoters,super_enhancer,regular_enhancer
CEBPA_filtered,0.0,0.7923752586008914,-0.47120670266963793,0.2841870011280177,0.16523504400470468,-4.170905681784942,0.31612990076599395,-0.015603425527790817,-0.13345499746270736,-0.25728401637590076,0.5493604934211227,-0.7410756302993594,-0.647185810465039,-0.579108989975477,-0.04454748049122997,-0.19959742669553227,0.16693172035333875,0.0424478351021202,-1.0118005075820258,0.1887177599594085,-0.2193740236477096,-0.1410936304883478,0.08337920112405434,-0.34091397749549496,-0.2560208267133339,0.17999308257917726,0.29324879519521396,0.07405063549429679,0.2317316268301392,-0.02053540199212424,-0.14966397137925927,-0.4258727083249886,0.670656324639887,-0.15063670438994972,0.11093412402912464,-0.4758035936294134,-1.7223156227950716,-0.1345839610280042,-0.7667644570503133,-0.06563697192174714,-1.171112090690207,-1.3179253677157363,-0.17292773043297213,-0.6632878605068091,0.5202693165545414,0.2871569141130293,0.18414642831574993,0.647347516609243,-0.7967404639216263,-0.9784742214572907,-0.14730999301288697,4.532899792716185,-0.0920181781230148,-0.14411153183485484,0.011870614106403209,-0.39767998610548777,-1.7223156227950716,0.31906969374910626,-0.20625143910139893,0.11474011506865256,-0.2213282351904302,-1.0932501140337785,0.1206857794927244,0.0856293605703314
HOXA9_filtered,0.6632775263240952,0.0,0.04754326164278281,2.2142188726388254,1.4031921991260652,-1.3458529663713186,0.6620275567629275,0.8965656425195555,1.979197170506752,0.1032453606108658,0.7831824130320492,-0.7447765342891584,-0.13109521644647545,-0.2214551028707186,1.0539217156275797,0.7277104114791352,0.9117464982243797,1.2904930252453317,-0.6483853922922022,1.3900056078512832,0.06312966120275162,0.3781214988214188,0.566098735720972,-0.04572972573320448,0.564320332733444,1.109341659379508,0.5374811530191318,0.4098768215264313,1.248926561185426,0.28253152073526944,-0.9431524054637931,0.0675756045448162,3.0626584947007953,0.40674637040135597,1.8072484284660797,0.17762336104991686,-1000.0,-0.18941126300253325,1.1820942552572526,0.39676410927123057,-1.5617188722194955,1.7385256942369711,0.6228915171214128,-0.23802027313578186,1.4760978776396987,1.033867764648466,1.0865145827536824,0.7993658895765294,-0.16110360499384482,-0.7527982639826498,0.8788616105726668,0.36404855828259136,-0.9267358350987617,-0.22332784023702154,-1.1600668804074532,-0.24124953040325078,-1000.0,0.7720446446705064,0.1265267579012902,0.6876432846491369,0.37344695145251433,-1.2300454994270176,0.15658188365156658,0.43503902303159525
PLAGL2,-0.4617972866514581,0.050189841298280746,0.0,0.7771098374217965,3.619950203750397,2.3218384103234038,1.2569831512987328,0.9290731330019704,1.076848644481881,1.6783948948169956,0.2407246564495113,3.072363812473143,3.555756298015787,2.841121344243765,4.547096165354241,3.0545638569000912,1.7917876754108826,2.6023658535323335,3.049332106534954,1.91198755664907,1.4276120864704827,1.827723691817617,0.6592496266930619,1.7558503208106928,0.2670701473011818,2.090900845233555,2.593930251105688,3.091851213178513,2.4754373560191785,0.5875215980241661,0.8663737261792829,2.4560977169451226,1.504815197218733,0.5378299602377873,2.6948165637960897,1.5770094951087494,1.3554760928126093,1.5490508128722986,3.6745072706168984,1.1867054624123674,0.8070273779023175,3.2544886441371,1.512928831959439,2.327389072397135,1.2082390703139623,0.02607327809598056,3.3631581217775675,2.002370795741808,3.8491247028038984,0.9104961203549016,1.5634432598017156,-0.07363933774912977,0.898919253698471,1.3838332956433055,0.33144389025479953,1.5990466292127854,2.603679693720608,-0.34520297442261144,1.7195381263051113,1.9052653657211556,0.5098259945156928,3.4036280606081557,0.8926459844196482,-0.33856017993348747
MEIS1_filtered,0.30448112476181016,4.647648593329696,0.8724224239881397,0.0,1.4617744769820393,-7.203466006808558,0.41059575694038236,0.6976759904542551,0.9235123261419258,0.6488684990254772,0.5665395941319271,0.7115494357655447,0.9917068455882476,0.7771711089706458,1.7159028090349013,1.2221608084311735,0.9152295991192133,1.177311099237445,-0.15127104701124125,1.4414961765577383,0.5020227265212176,0.8525696038662103,0.5035202086082016,0.5654691317369032,0.26566789521884243,1.4525469977094805,1.0738967227514387,1.148741547913946,1.0285999716595406,0.26117714689102034,0.04037770599360782,0.7330093442229125,1.3805031643419687,0.308075873050359,1.3422024908551584,0.4976276726352766,-1.215763365611942,0.4543920664283731,1.0267018326119821,0.46096885332748255,-0.7997291952137626,0.4949243326409915,0.5850111587302134,0.576170200105803,1.0939112720737076,0.5293782438963901,1.3678575821779295,1.215535544598957,0.9779643552640915,0.02544385871600676,0.6742142840128637,0.36950056228317996,0.09658950048520229,0.27203553366571065,-0.12997047854607097,0.44060487493562894,-1.0279164561723673,0.42207488006715144,0.46981310778553187,0.7344168631291027,0.2649481834349722,0.7350725519841375,0.5036471119291263,0.1375675635604045
ETV6_filtered,0.14524751278084425,1.4444719399959602,2.5775308400866517,1.0884721729991538,0.0,-3.8512318380459405,1.0994674756388894,1.351025369899069,1.3862491122822023,2.261206221932373,1.1389529568011703,1.8727397326128823,2.4284387683335598,2.011137198772442,3.204927051544631,2.4113874949830914,1.9481367115845005,2.4386969463088395,1.721823379591631,2.5846067416852265,1.1699554764542472,1.6338903647825775,0.9339459341264592,1.3243400040949884,0.9672567824788273,2.073351771813015,2.294387991970636,2.464180685423298,2.1116430636886006,0.5453966658875833,0.5422961457949839,2.379588326588754,2.450564678989644,0.6837404360506356,2.5269746555575043,1.2930032128404778,0.03337731018657175,1.1605141409720743,2.384549265591614,1.037924805024468,-1.248095597319954,2.101925291253802,1.4294132208727406,1.5485896089488789,1.5382199806338615,0.647774896164357,2.9006851937786826,2.236618334873276,2.2909160955593317,0.5499941344344867,1.4219323694216128,0.33922719706036,0.625584444359269,1.03934587511895,0.4458726149029623,1.1200206305414009,1.405931478143902,0.4527653700379322,1.2686855818453295,1.5805888567363766,0.4649602641290328,1.9454438047016511,1.2983528845793575,-0.01934107406821891
HEX,-3.989254830748632,-1.3545760382859837,1.8185644324399237,-6.92279914128266,-3.835524760337074,0.0,1.7935486012205235,-6.807421392091399,-1000.0,-6.568051865230647,-3.4081182657958564,-6.209779156562876,-4.597474544316064,-5.891425305078659,-3.373822127230628,-5.757734818299806,-1.4232276220622009,-5.840987249817818,5.0311636297870725,-3.6557887719956943,-6.290775919379013,-5.72822616682466,-5.659412876997695,-6.326452070642357,-5.280653896153951,-5.40743596218815,-4.587997643317971,-4.447359383582165,-2.1786236858225254,-3.6094623463159605,-3.4210013300409208,-6.332896491972289,-3.466379937258331,-5.258492257793581,-6.417725950903517,-5.391544305247271,4.374462640108593,-6.859616566847983,-1.564995817956356,-3.903318351094387,-0.5376398513509304,3.4609993905765886,-1.1010487181965656,-5.378715941424187,-4.091371292403478,-4.78121045413696,-3.38590415098409,-4.985016169524964,2.5430234424204836,-5.173171419581848,-3.8929943767737023,-5.8417849065138965,-5.016528087740715,-3.228958440145064,-1.0533297539980395,-6.7186202268801996,4.5844650809262415,-7.834923957266688,1.1212721249085715,0.9532521807835641,-1.225845584887477,-5.15196067158866,-5.588789767118077,-3.288742985430462
FLAG_GFI1,0.3396814961916353,0.8621461025879599,1.453369416731508,0.4114610689147102,1.4836399740489372,2.9125865364579178,0.0,0.743693850082015,0.5469127397276835,0.5672179611100072,0.31541515469699327,1.1367125330809238,1.47827137894474,1.1756402278697498,2.0483603461931152,1.1183759074060657,1.0063834862016052,1.2027370461084408,3.110073616031545,1.137631804042119,0.5225140038243501,0.7957180372928159,0.4668499986502092,0.6545570473976314,0.02495860841543552,1.0025920941329278,1.36533067127362,1.4418454714626119,1.170439394073368,0.05731687196231397,0.4754954908956947,0.7171033014278717,1.0601771717845376,0.17890545890350196,1.3343208678837217,0.5645867798483937,0.5892414527301048,0.3650473768956378,1.408597106583964,0.24300475481727407,1.217667735273946,1.3505065929282065,0.7023464064680558,0.779929890689463,0.5919277368641234,0.0776416886084998,1.6330095382141703,1.260579361090093,1.8783757615253747,0.07188690043457673,0.6228775087868753,0.859666818525501,0.40086010978043174,0.404148762994252,0.03386900057124438,0.4498765736433438,0.9866912005262631,-0.1438631542738367,0.6633215897188814,0.8781295447515813,0.17130239605405476,1.1512444653146912,0.36369096383965555,-0.20188580657407085
RUNX1_filtered,-0.016312802834779407,1.170103643242722,1.024365150750028,0.6822158004007812,1.8281308624038508,-7.062885999305538,0.7252172424562597,0.0,0.8081711705698571,0.701896607130503,0.6873455551440231,0.5860541007056834,0.9191932972810639,0.8107886534802816,1.3799696341849332,1.1912127527146963,1.2106173874339534,1.420225773139515,0.11375092302554034,2.0254332340619414,0.7337150787046555,1.0308922254838366,1.963214193285157,0.7290479565775979,0.0867727887869344,1.3357339431291426,1.0914226020705444,1.2478714022327242,1.1244096569138433,0.33961742263361727,0.3373297615942482,0.6093833244892447,1.329298701915616,0.40032794067269933,1.4144781829016615,0.5750190397783929,-1.2855304377847774,0.2946695216654363,0.8460974545266053,0.5562267487907855,-0.0674801956354009,0.31120923071273243,0.9304632759542169,0.5104221055443854,1.0859708724626636,0.8602165008942729,1.5193420853995836,1.2346056379298467,0.6993663910315823,-0.06259020401241802,0.912103375095015,0.17029937014246121,0.3580335631611965,0.27625136552062696,-0.054407856277602806,0.5465913281767931,-0.15679712366257448,0.5639540682511529,0.5246876189705726,0.7981246369752152,0.40237510036888513,0.5268340835673763,0.6672205276414479,0.25052489234872394
FOSL2_filtered,-0.11949961182799004,2.0877162536767773,0.9429423096638232,0.727064727060055,1.4021498120172153,-1000.0,0.44165470283101727,0.656208636601919,0.0,0.3595873864409984,0.36113514165837624,-0.03469803191530399,0.5363232856493229,0.47414183776744634,1.6505783795092548,0.7665767322121032,0.9542907243751926,1.1563944095424887,0.13201948029361055,1.572344935271392,0.38484843671699936,1.1909155447709847,0.40732385835515245,0.3988708235609365,-0.16254695636551214,0.9572939670957009,0.9820381757822402,1.3517014306303567,0.49796133585928776,0.2003069009496335,0.02201344401415497,0.18316864687537265,5.123544332812404,0.13731203616825544,1.5766573627952014,0.413856445849655,-0.35522724217195106,-0.3023183170693583,-0.005040887243075164,0.47470656715981163,-1.9103391510148064,-1.1554577297961737,0.35208915653340345,-0.16485519926867379,0.9083291502135319,0.8563293741155198,1.7785625204210456,1.214360491639794,0.07910883313767757,-0.6994607864431965,0.9021428099899009,0.07864526326178047,0.10884570703790582,-0.09757634495688254,-0.28523584423505194,0.22181689997598655,-1000.0,0.4145621989657402,0.17377231796436696,0.8586548921602203,0.3663854901259537,-0.8507379955756306,0.49265972800857344,0.2712774156244773
FLI1_filtered,-0.2604569848463031,0.11763906372193615,1.8033143901034292,0.6103677665644962,3.4151476476770566,-6.778360994297444,0.5333243846891084,0.6742894591777981,0.4168188763308747,0.0,0.3731211602645783,1.6298511738078951,2.021576169470789,1.7267340666654125,2.319522062748423,1.785923322984612,1.1117103281489664,1.5867230984716953,0.9969753021341061,1.7138685732639574,0.810580371629943,1.1204191250995321,0.47463823473608446,1.0546258044450405,0.5993445021397577,1.3510854454152272,1.5334815666951351,1.7414525724740524,1.3484135292369401,0.44171411731021515,0.5685662156846928,2.742545843022302,0.8498778936454514,0.6427813121826723,1.5148209631094265,0.8771746971772375,-1.240885280841972,0.7851852721551318,1.9556671355592166,0.8135841157604671,-0.24059064282585763,1.1168761590731175,1.0823219503355515,1.2717177790896055,0.9438983359832445,0.4529979494494086,1.7302337958688396,1.5452197675479031,1.704646168417776,0.2946389902379648,1.0160733168542497,-0.07632901283422554,0.6335296889689632,0.6702260456964265,0.0222848622982487,0.9250282154501247,0.2466288797633655,0.34524821392196964,0.9005210157063525,1.1071933077377387,0.3217298069491722,1.6605326390752542,0.7558465426713311,0.13341751784106096
