SCALE,SAMPLE,PEAK_TYPE,FILE,N_PEAK
SCALED,MED1_R1,COMMON,MV411_MYB_DMSO-MED1_R1_treat_pileup_vs_MV411_MYB_VHL-MED1_R1_treat_pileup_c3.0_common.bed,5951
SCALED,MED1_R1,DMSO,MV411_MYB_DMSO-MED1_R1_treat_pileup_vs_MV411_MYB_VHL-MED1_R1_treat_pileup_c3.0_cond1.bed,490
SCALED,MED1_R1,VHL,MV411_MYB_DMSO-MED1_R1_treat_pileup_vs_MV411_MYB_VHL-MED1_R1_treat_pileup_c3.0_cond2.bed,62
SCALED,MYB_R1,COMMON,MV411_MYB_DMSO-MYB_R1_treat_pileup_vs_MV411_MYB_VHL-MYB_R1_treat_pileup_c3.0_common.bed,25366
SCALED,MYB_R1,DMSO,MV411_MYB_DMSO-MYB_R1_treat_pileup_vs_MV411_MYB_VHL-MYB_R1_treat_pileup_c3.0_cond1.bed,18826
SCALED,MYB_R1,VHL,MV411_MYB_DMSO-MYB_R1_treat_pileup_vs_MV411_MYB_VHL-MYB_R1_treat_pileup_c3.0_cond2.bed,893
SCALED,MYC_R1,COMMON,MV411_MYB_DMSO-MYC_R1_treat_pileup_vs_MV411_MYB_VHL-MYC_R1_treat_pileup_c3.0_common.bed,1
SCALED,MYC_R1,DMSO,MV411_MYB_DMSO-MYC_R1_treat_pileup_vs_MV411_MYB_VHL-MYC_R1_treat_pileup_c3.0_cond1.bed,1
SCALED,MYC_R1,VHL,MV411_MYB_DMSO-MYC_R1_treat_pileup_vs_MV411_MYB_VHL-MYC_R1_treat_pileup_c3.0_cond2.bed,39313
SCALED,POLII_total_R1,COMMON,MV411_MYB_DMSO-POLII_total_R1_treat_pileup_vs_MV411_MYB_VHL-POLII_total_R1_treat_pileup_c3.0_common.bed,62708
SCALED,POLII_total_R1,DMSO,MV411_MYB_DMSO-POLII_total_R1_treat_pileup_vs_MV411_MYB_VHL-POLII_total_R1_treat_pileup_c3.0_cond1.bed,5011
SCALED,POLII_total_R1,VHL,MV411_MYB_DMSO-POLII_total_R1_treat_pileup_vs_MV411_MYB_VHL-POLII_total_R1_treat_pileup_c3.0_cond2.bed,10004
UNSCALED,MED1_R1,COMMON,MV411_MYB_DMSO-MED1_R1_treat_pileup_vs_MV411_MYB_VHL-MED1_R1_treat_pileup_c3.0_common.bed,6296
UNSCALED,MED1_R1,DMSO,MV411_MYB_DMSO-MED1_R1_treat_pileup_vs_MV411_MYB_VHL-MED1_R1_treat_pileup_c3.0_cond1.bed,120
UNSCALED,MED1_R1,VHL,MV411_MYB_DMSO-MED1_R1_treat_pileup_vs_MV411_MYB_VHL-MED1_R1_treat_pileup_c3.0_cond2.bed,404
UNSCALED,MYB_R1,COMMON,MV411_MYB_DMSO-MYB_R1_treat_pileup_vs_MV411_MYB_VHL-MYB_R1_treat_pileup_c3.0_common.bed,25838
UNSCALED,MYB_R1,DMSO,MV411_MYB_DMSO-MYB_R1_treat_pileup_vs_MV411_MYB_VHL-MYB_R1_treat_pileup_c3.0_cond1.bed,13885
UNSCALED,MYB_R1,VHL,MV411_MYB_DMSO-MYB_R1_treat_pileup_vs_MV411_MYB_VHL-MYB_R1_treat_pileup_c3.0_cond2.bed,1651
UNSCALED,MYC_R1,COMMON,MV411_MYB_DMSO-MYC_R1_treat_pileup_vs_MV411_MYB_VHL-MYC_R1_treat_pileup_c3.0_common.bed,36086
UNSCALED,MYC_R1,DMSO,MV411_MYB_DMSO-MYC_R1_treat_pileup_vs_MV411_MYB_VHL-MYC_R1_treat_pileup_c3.0_cond1.bed,2862
UNSCALED,MYC_R1,VHL,MV411_MYB_DMSO-MYC_R1_treat_pileup_vs_MV411_MYB_VHL-MYC_R1_treat_pileup_c3.0_cond2.bed,38
UNSCALED,POLII_total_R1,COMMON,MV411_MYB_DMSO-POLII_total_R1_treat_pileup_vs_MV411_MYB_VHL-POLII_total_R1_treat_pileup_c3.0_common.bed,61143
UNSCALED,POLII_total_R1,DMSO,MV411_MYB_DMSO-POLII_total_R1_treat_pileup_vs_MV411_MYB_VHL-POLII_total_R1_treat_pileup_c3.0_cond1.bed,14144
UNSCALED,POLII_total_R1,VHL,MV411_MYB_DMSO-POLII_total_R1_treat_pileup_vs_MV411_MYB_VHL-POLII_total_R1_treat_pileup_c3.0_cond2.bed,2388
