State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.99391	2.85281	3.01845	3.06140	3.20864	3.00005	2.96324	2.73624	3.38042	2.66262	2.42335	2.58286	2.68716	2.59513	2.46630	2.71784	2.81600	2.44789	2.45403	2.50924	2.88962
2	3.12364	3.16264	3.21992	3.20896	3.23455	3.22724	3.28452	3.18580	3.19067	3.21992	3.25892	3.10292	3.10780	3.07855	3.06636	3.07367	3.06880	3.02492	2.97739	3.04199	3.01761
3	0.79486	0.77323	0.77593	0.77323	0.77593	0.77864	0.80027	0.82460	0.79486	0.77864	0.75701	0.78945	0.81649	0.78404	0.73538	0.73808	0.75701	0.75971	0.78945	0.76782	0.75430
4	2.42798	2.44603	2.42520	2.40761	2.40391	2.41177	2.40761	2.42427	2.38400	2.44094	2.47658	2.44973	2.43770	2.45483	2.48445	2.45066	2.44696	2.49695	2.50806	2.51130	2.47797
5	4.14420	4.01995	3.97186	4.00793	3.83959	3.92376	3.89971	4.01594	3.86765	3.57908	3.24241	3.77547	3.81955	3.75543	3.63920	3.74340	3.66725	3.63920	3.73940	3.45483	3.56305
6	1.42414	1.39153	1.29368	1.48937	1.57634	1.36978	1.33717	1.42414	1.54372	1.27194	1.27194	1.60895	1.54372	1.48937	1.43501	1.50024	1.78289	1.39153	1.23933	1.39153	1.60895
7	0.54773	0.54787	0.54838	0.54939	0.55096	0.55289	0.55409	0.55652	0.55823	0.56237	0.56462	0.56407	0.56646	0.57005	0.57323	0.57613	0.57802	0.58142	0.58386	0.58658	0.58860
8	2.15779	2.15513	2.14924	2.14688	2.13568	2.12919	2.11239	2.10738	2.10089	2.09588	2.08792	2.08674	2.06847	2.05579	2.04105	2.02042	2.00303	1.99006	1.97207	1.95350	1.93700
