state (Emission order)	H3K4me1	H3K9ac	H3K18	H3K4me3	MED1	POLII	ATAC	SMC1	CTCF	H3K27me3	H3K36me2	H3K27ac	H3K36me3	H3K79me2
1	0.013739586987792861	0.01282389591700228	0.0542761230320941	3.065138059715098E-31	2.0750860658334138E-4	3.526856217908284E-172	0.010352081764801	0.009219007116164525	4.641428373788232E-5	5.013486838296189E-4	0.0	0.9960757267015184	0.01212035842118693	0.0027789428740175575
2	0.08551155198890888	0.1039555018530973	0.0748040903436166	0.019768378692430782	0.006512193611942966	5.286969691933609E-59	0.026644314919560815	0.005557563709046208	5.080001896849567E-30	0.0021068729960857526	0.0	0.10530154286416955	0.021859678285411667	0.02984252878661672
3	0.07630930816958804	0.012430455972883503	0.02746072797679701	0.0030921639234985573	0.006186329353887145	2.1327538715767797E-42	0.07559655788593973	0.012199491203931635	1.2322221171159518E-4	0.0023030008308259726	0.0	0.04546067237562796	1.8559490362992411E-4	1.4570695266708366E-65
4	0.005110484478498628	0.006162916158439815	0.01966773893434407	1.094415419489741E-112	1.9229761791150878E-7	8.818045592141658E-67	0.008706567314529592	0.004590802264251811	1.917190635737437E-4	6.70457751043053E-4	0.0	4.47840137091094E-23	0.006708929038384761	0.00115214420210318
5	0.02566237114111233	0.08782702370464097	0.0931167117278377	0.06104495057409482	0.14104602767148675	0.029937776023739465	0.18854892208601415	0.354116220611831	0.06495287246216129	0.004538874909616702	0.0	0.08658989091728252	0.006071194812333191	0.016036510312437458
6	0.0032090403579456616	0.01628914316501582	0.005752547193207634	0.006360525848218102	0.0021717792478238847	9.93937875947759E-154	0.20976704288646494	0.5008489405346453	0.3713380839922842	0.006460710532409905	0.0	0.0017779230262549369	0.003968042716973644	1.957316473324873E-11
7	1.8684603369875485E-5	3.428826212129951E-5	8.526264408055568E-71	5.636406648452215E-6	3.8275256811657956E-89	3.890357151383445E-7	0.0021136681421269287	8.538829543813302E-13	9.2327004641184E-5	0.006859462887369193	0.0	3.588685467661166E-4	5.455729279603411E-4	1.5377546272010755E-5
8	0.004423340354509044	0.001481965559442937	4.2900154063115983E-4	8.834237797179348E-45	2.8421254177360892E-5	1.0169229368517284E-5	0.0057996038903427765	9.593609051112833E-4	6.507492712897765E-4	2.8830665212481612E-5	0.0	0.002172420258973972	0.04517144757097734	0.02961586571176038
