	DMSOshBRD4_1	DMSOshBRD4_2	DMSOshBRD4_3	DMSOshSCRAM1	DMSOshSCRAM2	DMSOshSCRAM3	SGCshBRD4_1	SGCshBRD4_2	SGCshBRD4_3	SGCshSCRAM1	SGCshSCRAM2	SGCshSCRAM3
ENSG00000001617	1.853405604	2.299573949	2.159740017	1.919792899	3.034639366	1.975731749	2.840325956	2.021101894	2.255045889	1.84674838	2.028601745	2.108161958
ENSG00000001629	42.99901001	47.88041472	48.95410706	39.35575443	43.5281084	41.1467612	43.94615438	49.03043483	47.43372388	44.9375439	41.99205613	42.08215601
ENSG00000001630	1.853405604	1.724680462	1.359836307	3.054215976	5.120953929	3.436055215	2.44583624	2.769658151	2.177285686	2.989973567	4.665784014	6.000153266
ENSG00000001631	46.3351401	51.08339272	55.99325971	40.75196745	45.70925544	54.03196826	48.3644392	56.8154199	57.30926967	44.40990151	49.70074276	49.29855656
ENSG00000002016	13.12211168	14.29020954	17.27792014	13.08949704	15.93185667	17.0943747	15.93738453	15.79453702	16.71844366	17.50013941	14.80879274	18.1626261
ENSG00000002330	10.15666271	9.444678718	10.39874823	7.679171597	7.207268493	4.46687178	11.51909971	7.335851318	9.642265183	6.595529927	7.40439637	7.702899463
ENSG00000002549	77.62062669	73.58636636	70.95145909	105.3268195	73.02100973	70.43913191	78.18786175	76.05331571	83.2811775	104.0334921	97.37288377	93.97537345
ENSG00000002586	110.7595189	107.4229545	105.0273571	134.123713	121.3855746	113.132118	101.2260612	103.2259078	94.40088655	103.8576113	99.40148552	95.9213691
ENSG00000002726	10.97216117	7.309360052	8.079027472	1.658002958	1.043157282	0.687211043	11.6768956	5.689027553	5.676494825	2.462331173	1.825741571	1.540579893
ENSG00000002746	0.741362242	1.149786974	1.039874823	2.007056213	1.612152163	1.460323466	1.183469149	1.272545637	1.788484671	5.276423942	3.752913229	3.97307446
ENSG00000002822	57.67798239	42.95275626	50.79388559	63.87674556	53.29585386	45.27002746	48.99562275	41.02088288	41.83498926	58.39242496	48.28072154	48.00122613
ENSG00000002834	192.5317741	191.1931483	197.0962742	211.5262722	250.8319101	232.0196284	181.4652694	180.7763361	184.2139211	196.5467918	219.5961389	224.1949159
ENSG00000002919	56.7883477	55.68254062	46.95434778	50.08914201	50.07154953	43.46609847	47.89105154	46.18592106	43.85675454	36.583206	38.2391429	36.89283427
ENSG00000002933	0.667226017	0.903404051	1.439826678	0.523579882	0.09483248	0.257704141	1.656856808	1.122834385	1.244163249	0.791463591	1.014300873	1.216247284
ENSG00000003056	157.9842937	168.9365576	166.8599139	155.3286982	156.9477547	167.1640862	171.2085368	161.2390178	167.6509979	164.4485462	170.4025466	156.4904838
ENSG00000003096	4.374037225	6.077445436	5.359354858	6.893801775	5.784781291	7.387518713	8.28428404	7.710129447	8.398101933	14.68604664	11.05587951	11.35164131
ENSG00000003249	5.782625484	4.02425441	5.679316342	2.966952662	3.319136806	3.264252454	4.812774537	3.368503156	3.26592853	2.989973567	3.448622967	3.567658699
ENSG00000003393	22.53741214	28.4161638	26.87676466	21.55403846	24.94094229	26.88713206	24.06387269	22.68125459	25.50534661	20.49011297	24.74894129	22.21678371
ENSG00000003400	20.68400654	21.59956959	24.07710167	20.59414201	28.07041413	25.51270997	19.56668992	19.46246268	20.29541301	21.36951696	17.04025466	16.05446414
ENSG00000003402	161.8393773	159.3276236	155.4212909	118.6781065	114.3679711	114.50654	154.4032749	142.8245338	135.3027534	113.3551744	112.4859668	102.0026055
ENSG00000003436	4.81885457	6.898721846	7.279123762	3.577795858	6.353776172	6.098998007	5.838447799	7.934696324	6.609617262	5.540245139	5.375794625	5.4325712
ENSG00000003509	15.27206218	16.58978349	17.19792977	19.45971893	22.19080036	21.56124648	14.67501744	17.81563892	15.94084163	19.96247058	21.30031833	19.05454078
ENSG00000003756	158.9480646	184.4586818	186.1375933	131.9421302	138.7399185	151.7877391	170.1039656	181.6746036	185.4580844	148.3554532	143.016423	139.544105
ENSG00000003987	3.706811208	2.956595077	3.519576324	1.832529586	2.465644484	2.662942792	2.9192239	2.769658151	2.877127514	2.374390774	2.535752182	1.540579893
ENSG00000004059	47.8920008	39.58552298	43.75473294	49.91461538	38.40715447	37.53890323	50.41578573	46.41048793	43.31243312	49.95014665	46.75927023	49.37963971
ENSG00000004142	114.0215127	96.74636113	99.10806968	138.3996154	106.4020428	97.06855983	127.1045866	106.5195554	111.3526108	132.0864793	115.3260092	119.6787327
ENSG00000004399	116.2455995	120.80976	125.4249017	146.4278402	212.4247556	166.7345793	164.028824	166.4040559	180.4814314	226.1827063	268.1811507	280.6287899
ENSG00000004455	622.447738	604.8700762	607.5268678	573.3199704	551.5457047	552.0881717	632.5248109	570.2501566	585.84537	531.3358909	537.4780324	550.5546037
ENSG00000004468	0.667226017	2.299573949	1.359836307	1.745266272	5.784781291	5.068181442	1.341265035	1.871390642	2.566086702	2.198509976	7.40439637	6.729901636
ENSG00000004478	104.4579398	111.2829536	107.1071068	171.123358	133.0499697	124.6429029	131.3650755	136.985795	137.091238	152.8404135	197.2815197	186.5723333
ENSG00000004487	116.5421444	115.7178462	114.8661728	132.9892899	117.4026105	126.5327333	132.5485446	127.4042749	124.3385647	138.1543669	144.7407345	141.4090175
ENSG00000004534	114.3921939	119.659973	123.4251425	138.2250887	142.8177151	154.5365833	116.0588745	124.4100499	125.971529	143.5187312	143.7264337	133.3007023
ENSG00000004660	21.57364123	21.0246761	23.35718834	16.84181953	25.98409957	22.7638658	24.61615829	26.94802525	25.66086702	19.96247058	25.4589519	29.27101796
ENSG00000004700	54.78666965	52.80807318	56.39321156	72.07949704	69.41737549	74.82010231	46.94427623	55.39316302	52.8769381	63.3170873	56.90227896	59.43395059
ENSG00000004766	23.27877438	23.57063298	23.27719796	19.80877219	20.48381572	25.51270997	21.77583233	24.4777896	22.08389768	21.54539776	16.83739449	17.51396088
ENSG00000004777	95.11677559	94.2825319	100.5478964	87.52510354	103.8415658	86.07318314	72.82280161	80.54465325	89.96855497	84.68660427	74.44968405	87.24547181
ENSG00000004779	55.75044056	50.01573339	47.83424186	67.10548816	51.68370169	47.07395645	55.30745821	52.02465986	48.91116774	55.66627259	55.38082765	53.35271417
ENSG00000004809	4.299901001	4.681275539	3.519576324	6.282958579	5.784781291	7.731124234	5.759549856	5.539316302	5.365454013	7.123172322	4.970074276	7.297483702
