,JQ1,MYBi_30m,MYBi_6h,PBS_6h,MS2_JQ1,DMSO,PBS_30m,MS2
A2M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,7.5,1.5,1.5,1.0,10.0,9.0,3.5,9.5
AAMP,12.5,9.0,1.0,5.0,12.0,17.0,8.0,13.5
AARS1,20.5,6.5,1.5,8.0,38.0,19.0,15.0,42.0
ABAT,5.5,0.5,0.0,0.0,7.0,4.0,4.5,7.5
ABCA1,1.5,25.5,0.5,1.0,0.0,3.0,19.0,0.0
ABCA2,7.0,0.0,0.0,2.0,6.0,11.0,1.5,5.0
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
ABCF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,88.0,23.0,7.0,29.0,81.0,78.0,33.0,87.0
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL2,59.0,67.5,7.5,15.0,67.0,76.0,41.5,81.0
ABR,41.0,14.0,2.0,4.0,34.0,34.0,11.5,40.0
ACAA1,34.5,2.5,2.5,14.0,34.0,31.0,6.5,34.0
ACACA,1.0,0.5,0.0,0.0,1.0,1.0,0.5,1.5
ACACB,4.0,0.0,0.0,3.0,7.0,3.0,1.0,5.0
ACADM,2.5,0.0,0.0,0.0,6.0,7.0,1.5,4.5
ACADS,4.5,0.0,0.0,3.0,5.0,2.0,2.0,4.5
ACADSB,14.0,1.5,0.0,5.0,15.0,13.0,3.5,15.0
ACADVL,4.0,1.5,0.0,2.0,4.0,7.0,2.0,4.0
ACAT1,4.0,0.5,0.5,1.0,4.0,2.0,1.5,4.0
ACAT2,5.0,2.0,0.5,2.0,4.0,4.0,1.0,3.5
ASIC1,0.5,0.0,0.0,2.0,0.0,2.0,0.0,1.5
ACHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,41.5,23.0,3.0,15.0,40.0,48.0,28.0,41.5
ACO1,3.5,1.0,0.0,1.0,3.0,6.0,1.5,2.5
ACO2,10.0,2.5,0.0,3.0,10.0,6.0,4.5,8.0
ACOX1,23.0,6.0,3.5,6.0,23.0,16.0,13.0,28.0
ACP1,59.0,29.5,3.5,11.0,50.0,61.0,38.5,66.0
ACP2,14.5,2.0,1.0,3.0,14.0,12.0,3.0,14.0
ACPP,14.5,1.5,0.0,13.0,13.0,15.0,2.0,18.5
ACRV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,1674.0,946.0,169.5,366.0,1825.0,1088.0,739.0,1979.0
ACTG1,4347.0,1380.0,147.5,691.0,4783.0,2527.0,1384.0,4639.0
ACTN4,95.0,11.5,9.5,33.0,87.0,81.0,31.5,86.0
ACTL6A,3.5,1.5,0.0,2.0,4.0,10.0,6.0,6.0
ACTN1,15.0,9.5,1.5,8.0,12.0,13.0,10.0,15.0
ACTN2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
ACVR1,1.0,0.5,0.0,1.0,2.0,3.0,0.5,3.0
ACVR1B,51.5,6.5,1.5,7.0,53.0,38.0,24.0,55.5
ACVR2A,3.0,4.5,0.0,1.0,5.0,2.0,5.5,9.0
ACVR2B,19.0,3.5,1.5,9.0,18.0,16.0,17.0,25.5
ACVRL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ACY1,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
ACYP1,9.5,0.5,1.0,4.0,15.0,17.0,6.5,12.5
ACYP2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ADA,15.0,1.5,1.5,6.0,10.0,15.0,5.0,12.5
ADAM8,2.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0
ADAM10,37.5,20.5,9.5,13.0,45.0,52.0,30.0,62.5
ADAR,95.0,137.0,12.5,34.0,77.0,153.0,143.5,119.0
ADARB1,9.0,2.0,0.5,6.0,13.0,9.0,6.0,12.5
ADCY1,7.5,3.5,1.5,9.0,5.0,18.0,3.5,7.5
ADCY3,11.5,3.5,0.5,6.0,11.0,21.0,5.5,13.5
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADCY7,65.5,9.5,4.5,18.0,61.0,96.0,30.0,90.5
ADCY9,47.5,19.0,3.5,18.0,39.0,42.0,28.0,51.5
ADD1,37.5,8.5,2.5,18.0,36.0,41.0,12.5,43.5
ADD2,42.5,9.0,0.0,15.0,39.0,60.0,18.0,49.5
ADD3,3.0,0.5,1.0,1.0,5.0,2.0,0.5,5.0
PLIN2,45.0,29.5,11.0,11.0,41.0,55.0,41.0,44.0
ADH5,9.5,2.5,0.0,4.0,10.0,11.0,6.5,13.5
ADH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK,8.0,5.0,0.0,3.0,10.0,4.0,4.0,10.5
ADM,2.0,4.5,0.0,0.0,1.0,0.0,0.0,1.0
ADORA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2A,8.0,12.0,2.0,2.0,5.0,5.0,14.5,6.0
ADORA2B,15.0,13.0,5.5,8.0,14.0,26.0,19.5,20.5
ADORA3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
ADPRH,11.5,9.0,2.0,4.0,11.0,11.0,15.5,13.0
PARP1,20.5,6.0,0.5,6.0,24.0,19.0,12.5,23.5
PARP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2C,2.5,0.0,0.0,2.0,0.0,2.0,0.0,1.5
ADRB1,4.0,1.5,0.0,2.0,3.0,3.0,5.5,6.0
ADRB2,7.5,3.0,1.0,4.0,7.0,6.0,2.5,9.0
GRK2,71.5,10.5,3.0,27.0,47.0,89.0,31.0,63.0
GRK3,22.5,5.5,2.0,11.0,23.0,24.0,8.0,24.0
ADSL,3.0,3.0,0.0,1.0,6.0,1.0,2.5,3.0
ADSS2,7.5,7.0,2.0,5.0,5.0,8.0,11.0,9.5
AP2A1,3.5,0.5,0.0,3.0,5.0,8.0,3.0,5.5
AP2A2,2.5,1.0,0.0,1.0,2.0,3.0,0.0,2.5
AP1B1,16.0,3.5,2.0,7.0,15.0,13.0,4.5,20.0
AP2B1,61.5,28.0,6.5,14.0,64.0,70.0,46.5,80.0
AP1G1,102.0,88.0,8.5,32.0,115.0,119.0,91.0,154.0
AEBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLE5,7.0,1.5,1.0,10.0,7.0,20.0,8.5,7.0
AFG3L1P,32.0,7.5,3.0,16.0,32.0,32.0,22.0,38.5
AGA,6.5,1.0,0.0,2.0,9.0,3.0,2.0,12.5
AGL,2.0,1.5,1.0,0.0,3.0,7.0,0.5,5.5
AGRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
