,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
A1BG,0.0,0.0,0.5,2.0,2.0,0.0
NAT1,58.0,180.0,160.0,38.0,66.5,60.5
AAMP,1737.5,1469.5,1691.5,764.0,910.0,1626.5
AARS1,1880.5,1542.0,1960.0,603.0,1076.0,1556.5
ABAT,134.0,174.5,144.0,137.0,93.0,143.0
ABCA1,62.0,109.0,153.5,50.0,7.5,30.5
ABCA2,1080.5,952.5,942.0,279.0,399.5,1052.0
ABCA3,2.0,3.0,1.5,11.0,12.0,2.0
ABCB7,23.5,38.0,39.5,5.0,7.5,16.0
ABCF1,2.0,1.5,3.5,0.0,0.5,2.0
ABL1,2019.0,1793.0,1976.0,1173.0,1082.0,1370.5
AOC1,15.5,20.0,20.5,6.0,0.0,27.5
ABL2,842.0,1117.0,1217.5,565.0,393.0,667.5
ABO,0.0,0.0,0.0,7.0,4.5,0.0
ABR,115.0,129.0,151.5,38.0,35.5,99.5
ACAA1,1868.5,1768.5,1837.5,1563.0,1749.5,2080.5
ACACA,3.5,10.5,6.0,0.0,2.5,4.0
ACACB,53.5,112.5,72.5,107.0,94.5,86.5
ACADM,219.0,875.5,707.0,144.0,291.0,188.5
ACADS,158.5,159.0,167.0,137.0,192.5,182.0
ACADSB,1236.5,1892.0,1535.5,476.0,658.0,1100.5
ACADVL,599.0,617.0,604.5,746.0,749.5,665.5
ACAT1,565.5,529.0,596.0,360.0,471.0,569.0
ACAT2,3018.0,4692.5,4797.5,1491.0,2722.0,2545.5
ASIC1,348.0,325.0,318.0,135.0,193.0,290.0
ACHE,1.0,0.5,0.5,5.0,1.0,0.0
ACLY,5625.5,6866.0,6908.0,2059.0,4646.5,5066.5
ACO1,376.0,492.0,450.5,246.0,295.0,349.5
ACO2,1504.0,1381.0,1614.0,1067.0,1042.0,1208.5
ACOX1,1140.0,1361.0,1574.0,840.0,647.5,910.0
ACP1,2617.0,2704.0,3126.5,1117.0,1526.5,2186.5
ACP2,236.0,207.0,220.0,93.0,131.5,172.5
ACPP,443.5,499.5,515.5,153.0,187.5,431.5
ACRV1,0.5,1.5,2.0,3.0,0.5,1.0
ACTA2,3.5,6.0,5.0,11.0,3.0,1.0
ACTB,127440.0,148310.0,173961.0,109298.0,81063.0,92738.0
ACTG1,178747.0,139567.5,178473.5,66141.0,113623.0,140352.5
ACTN4,6010.0,5907.5,6498.5,9146.0,6909.0,4731.5
ACTL6A,1118.5,1771.0,1638.5,302.0,503.0,1071.5
ACTN1,3979.0,5099.5,5643.5,1674.0,1621.0,3019.5
ACTN2,2.0,3.0,1.5,0.0,0.0,1.5
ACVR1,23.0,48.5,27.5,77.0,53.5,23.5
ACVR1B,789.0,862.5,889.0,287.0,253.5,603.5
ACVR2A,28.0,60.5,62.0,67.0,40.0,22.0
ACVR2B,87.0,278.0,170.5,120.0,175.0,106.5
ACVRL1,215.0,258.5,243.0,89.0,115.5,224.5
ACY1,218.5,174.0,187.5,138.0,200.0,204.5
ACYP1,593.5,832.5,626.5,273.0,522.5,958.0
ACYP2,61.0,72.5,92.5,72.0,38.0,56.5
ADA,2225.5,2235.5,2140.5,2559.0,1895.0,2479.0
ADAM8,210.5,204.5,213.0,66.0,45.5,249.5
ADAM10,3571.5,7694.5,7256.5,1577.0,2190.0,2969.0
ADAR,8803.5,9284.0,9840.5,3463.0,3786.5,6967.5
ADARB1,932.5,1375.0,1043.5,869.0,619.5,1028.0
ADCY1,213.5,246.5,215.0,14.0,20.5,191.5
ADCY3,1832.0,1840.0,1805.5,640.0,939.5,1952.0
ADCY5,17.5,28.0,19.0,4.0,1.5,19.0
ADCY6,2.0,0.5,2.5,46.0,56.5,0.0
ADCY7,2831.5,5096.0,3288.0,1524.0,1700.5,3481.5
ADCY9,417.5,896.5,542.0,2535.0,1959.0,642.5
ADCYAP1R1,0.0,1.5,0.5,1.0,4.0,0.5
ADD1,4339.0,4141.0,4459.0,2327.0,2795.5,3640.5
ADD2,1820.5,1968.5,1959.5,1450.0,1452.5,1343.0
ADD3,389.0,1074.5,733.5,271.0,383.0,358.5
PLIN2,670.5,584.5,800.5,2398.0,949.5,594.0
ADH5,1276.0,1768.5,1597.5,529.0,749.0,1419.5
ADH6,0.0,2.5,0.0,0.0,0.0,1.5
ADK,565.0,714.5,737.5,448.0,629.0,675.5
ADM,13.0,20.5,17.5,3.0,1.5,8.0
ADORA1,1.5,0.5,1.0,5.0,5.0,0.5
ADORA2A,29.0,28.5,40.0,21.0,22.0,18.5
ADORA2B,752.5,703.0,1000.5,313.0,131.5,690.0
ADORA3,14.5,26.5,19.5,8.0,1.5,18.0
ADPRH,846.5,993.5,1021.0,236.0,147.5,675.5
PARP1,1756.0,1849.0,1971.0,1269.0,1775.5,1453.0
PARP4,18.0,48.5,35.0,6.0,11.5,16.0
ADRA1D,0.5,0.5,2.5,0.0,0.5,1.5
ADRA2C,8.5,7.0,12.5,42.0,23.5,5.5
ADRB1,8.5,27.5,16.5,2.0,2.0,7.5
ADRB2,75.0,102.0,227.0,85.0,18.0,18.5
GRK2,4955.0,5020.0,4925.5,3073.0,3529.0,4615.5
GRK3,691.0,1150.5,928.5,552.0,354.5,651.5
ADSL,138.0,272.5,281.0,97.0,89.5,119.5
ADSS2,749.5,1641.5,1464.0,461.0,523.0,677.5
AP2A1,560.5,589.0,602.5,690.0,694.0,566.5
AP2A2,129.0,128.0,141.5,148.0,165.5,166.0
AP1B1,2379.5,1942.0,2297.0,1000.0,1380.0,2159.0
AP2B1,7567.0,7966.5,7901.5,3349.0,3600.0,6306.5
AP1G1,3812.5,5875.5,5706.0,1875.0,1825.0,3192.0
TLE5,60.0,42.5,47.0,892.0,1747.0,38.0
AFG3L1P,1027.5,801.0,947.5,490.0,351.5,620.5
AGA,679.5,641.0,840.0,181.0,342.0,523.0
AGL,202.5,778.0,560.0,131.0,143.0,228.5
AGRP,0.0,0.0,0.0,1.0,0.5,0.0
JAG1,138.0,160.5,289.5,18.0,14.0,80.5
AGT,135.0,88.5,140.0,262.0,121.0,83.5
AHCY,7477.0,6520.0,7740.0,3139.0,5244.5,7873.0
AHR,2148.5,1630.0,4868.5,814.0,556.0,508.5
AIF1,0.0,0.0,3.0,0.0,0.0,1.0
CRYBG1,507.5,651.0,709.5,358.0,390.0,331.0
AK1,37.0,43.0,44.5,71.0,23.0,38.5
AK2,26402.5,28066.5,29192.0,10460.0,16561.0,22023.5
AK4,467.5,1015.5,638.5,1.0,149.0,527.0
AKT1,5168.0,5287.0,5247.5,2880.0,2961.5,4501.0
AKT2,3048.0,2840.5,3239.0,1567.0,2336.5,2607.5
ALAD,1847.0,2210.0,2009.5,1454.0,1061.0,1673.5
ALAS1,139.5,94.0,255.5,88.0,73.5,67.5
ALCAM,787.0,1647.5,1434.0,437.0,675.5,813.0
ABCD1,1194.0,1071.0,1163.0,768.0,778.0,953.5
ALDH1A1,10.0,13.5,21.5,0.0,0.0,5.0
ALDH2,10.0,21.5,16.5,36.0,9.0,6.0
ALDH1B1,3237.0,3528.5,4104.0,1710.0,1360.5,2448.0
ALDH1A3,819.0,1444.5,1237.0,203.0,102.5,679.5
ALDH3B1,682.0,735.0,726.0,788.0,813.5,710.0
ALDH9A1,1053.5,1704.0,2026.0,608.0,838.0,886.5
ALDH3A2,518.0,698.0,573.5,334.0,321.0,478.5
ABCD2,37.5,225.0,140.0,25.0,57.0,45.5
ALDOA,11743.5,9894.0,11059.0,5893.0,10404.5,12095.5
ALDOB,0.0,1.0,1.0,1.0,3.5,0.5
ALDOC,1473.5,1407.5,1293.5,254.0,1644.0,1608.5
AKR1B1,413.5,361.0,453.5,226.0,612.5,395.5
ALOX12,33.0,30.0,42.5,151.0,108.5,20.5
ALOX5AP,4507.0,4673.5,6155.0,756.0,224.5,2943.0
ALOX15,34.5,38.0,49.0,0.0,0.5,36.0
ALOX15B,0.0,0.5,1.0,1.0,0.0,0.0
ALX3,25.0,34.0,29.5,8.0,7.5,29.0
AMD1,3163.5,5600.5,6248.0,1226.0,1411.0,2265.0
AMFR,1408.5,1405.5,1500.5,586.0,599.0,1240.5
AMH,1.5,2.0,3.0,6.0,4.5,2.5
AMPD2,783.0,843.5,823.0,357.0,424.0,843.5
AMPD3,86.0,216.0,127.5,135.0,51.5,87.0
BIN1,23.0,24.5,22.5,19.0,6.0,27.0
AMT,53.5,131.0,49.5,64.0,89.0,123.5
ANG,5.5,2.0,5.5,0.0,3.5,4.0
ANGPT1,15.0,38.5,35.5,1.0,16.5,19.5
ANGPT2,24.0,22.0,19.0,12.0,11.5,16.5
ANK1,2.0,0.5,2.5,0.0,2.0,0.0
ANK2,30.5,30.5,41.0,5.0,6.5,18.5
ANK3,1.0,0.0,0.0,3.0,0.0,0.5
ANPEP,1.0,0.5,0.5,34.0,21.0,0.0
SLC25A4,23.5,48.5,24.5,9.0,34.0,27.5
SLC25A5,3246.5,5129.5,6042.0,1619.0,2161.0,2022.0
SLC25A6,17721.5,16195.5,18634.5,7440.0,9750.5,16376.0
ANXA1,193.0,169.5,345.5,368.0,174.5,92.5
ANXA2,656.0,484.5,668.5,761.0,710.5,500.5
ANXA2P1,0.5,1.5,2.5,1.0,0.5,3.0
ANXA4,223.5,583.0,539.5,258.0,199.0,204.0
ANXA5,146.0,128.0,198.0,335.0,459.0,79.0
ANXA6,1657.0,1480.5,1725.0,481.0,615.0,1632.5
ANXA7,593.5,837.0,1012.0,450.0,272.0,531.0
ANXA11,2490.0,2226.5,2454.5,1744.0,1526.0,2143.0
AOAH,33.0,21.5,35.0,7.0,6.5,33.5
AOC2,7.5,5.0,3.0,4.0,3.5,3.0
AOX1,0.5,0.5,1.0,0.0,6.5,0.0
APAF1,605.5,2872.5,1188.5,785.0,1014.0,1255.5
NUDT2,301.0,297.0,260.0,103.0,119.5,378.0
APBA2,7.5,10.0,9.5,4.0,2.5,4.5
APBB1,566.5,534.5,634.5,127.0,689.0,468.0
APBB2,39.5,57.0,49.0,17.0,22.0,30.0
APC,69.0,220.5,177.0,80.0,60.0,63.0
APEH,561.0,466.0,502.0,323.0,487.0,676.0
APEX1,2377.0,2890.0,3070.0,1830.0,1696.0,2162.0
BIRC2,71.5,226.5,169.5,102.0,88.0,107.0
BIRC3,11.0,2.0,27.5,69.0,0.5,1.5
XIAP,1244.0,2347.5,2255.0,1080.0,801.5,1151.5
BIRC5,6756.0,6928.0,7196.5,1381.0,3017.5,6143.5
APLP1,44.5,43.5,50.5,45.0,34.5,45.0
APLP2,10054.5,10582.0,12118.5,5267.0,5014.5,7827.5
APOA1,3.5,4.5,7.5,2.0,0.5,7.0
APOC1,58.5,46.5,51.5,73.0,29.0,50.5
AQP8,0.0,0.0,0.0,1.0,0.0,0.0
APOC2,1864.0,1464.0,1770.5,4253.0,2467.0,1987.5
APOC4,1.5,0.5,0.5,5.0,1.0,0.0
APOE,0.0,0.0,0.0,7.0,0.0,0.0
APP,1844.0,3373.5,3413.0,279.0,425.5,1611.5
APRT,3433.0,2805.0,3314.0,1713.0,1987.0,3594.0
FAS,72.0,183.5,132.5,105.0,32.5,78.0
SHROOM2,0.5,0.0,0.5,2.0,4.0,2.0
AQP1,28.0,16.0,18.5,39.0,29.5,8.0
AQP3,1097.5,856.0,1069.0,223.0,170.0,913.0
AQP6,3.5,6.0,6.5,0.0,1.0,1.5
AR,70.0,113.0,89.5,3.0,6.0,63.0
ARAF,892.0,753.0,793.0,567.0,464.5,738.0
ARCN1,7046.0,9680.5,9490.0,3732.0,3231.0,6049.0
TRIM23,58.5,227.5,151.0,22.0,29.0,57.0
ARF1,16090.0,14722.5,17119.5,8181.0,8804.0,12982.5
ARF3,14964.0,14522.0,15519.0,8007.0,9120.5,11336.5
ARF4,2397.5,4498.0,4850.0,1451.0,1361.5,1845.0
ARL4D,16.0,37.5,27.5,4.0,5.0,18.0
ARF5,1489.0,1261.5,1365.0,970.0,872.5,1531.0
ARF6,3430.0,6554.0,6888.5,2870.0,2798.5,2625.5
ARG2,976.5,931.0,1074.0,557.0,657.0,751.0
RHOA,25898.5,22271.0,27444.0,15335.0,18105.0,19647.0
RHOB,110.5,648.0,212.5,246.0,100.5,285.0
RHOC,125.5,108.5,128.0,170.0,206.0,138.0
RND3,1.5,1.5,4.0,0.0,0.5,1.5
RHOG,2358.5,2183.5,2187.0,2253.0,2005.0,2270.0
ARHGAP1,3448.0,3125.0,3361.5,1972.0,2033.5,3023.5
ARHGAP4,647.0,647.0,581.0,529.0,732.0,733.0
ARHGAP5,34.0,131.5,86.5,2.0,1.5,30.0
ARHGAP6,18.0,14.5,16.0,60.0,19.0,21.0
ARHGDIA,23553.5,19562.0,22566.0,13807.0,14896.0,17548.5
ARHGDIB,52289.0,47923.0,52491.0,51298.0,32257.0,49007.0
RHOH,31.0,44.0,57.0,62.0,13.5,25.0
ARL1,1540.5,2099.0,2286.5,657.0,672.0,1248.5
PHOX2A,2.5,10.5,5.5,10.0,6.0,12.0
ARL2,297.5,283.5,294.0,407.0,559.5,329.0
ARL3,143.5,151.5,148.5,71.0,96.5,145.5
ARNT,974.5,1653.0,1363.5,1183.0,963.5,1053.5
ARNTL,37.5,105.5,70.5,37.0,37.0,40.0
ARRB1,6014.0,5757.0,6518.5,3074.0,3630.5,4963.5
ARRB2,5052.0,4750.5,5101.5,1042.0,1414.5,4074.0
ARSA,116.5,138.5,132.5,111.0,130.5,121.5
ARSB,2068.5,2444.0,2299.5,1379.0,822.0,2058.5
STS,517.0,824.5,786.5,259.0,476.0,463.5
ARSD,732.5,842.5,778.0,1730.0,1211.0,792.5
ARSL,0.0,0.0,0.0,2.0,1.0,0.0
ARSF,0.0,0.0,0.0,0.0,0.0,0.0
ARVCF,29.5,29.0,27.0,13.0,29.0,29.5
ASAH1,740.5,945.0,1062.0,1430.0,832.5,587.5
ASCL2,254.0,315.0,293.5,111.0,51.0,275.0
ASGR1,1.5,0.5,1.0,6.0,7.5,1.0
ASGR2,20.0,25.0,29.5,47.0,40.5,26.0
ASIP,0.5,4.0,0.0,0.0,0.0,3.5
ASL,47.5,39.5,33.5,56.0,49.0,48.5
GET3,635.0,529.0,590.0,364.0,358.5,697.5
ASNS,261.0,153.5,260.0,48.0,64.5,166.5
ASPH,781.5,1824.5,1705.5,321.0,532.5,736.5
ASS1,3267.0,2367.5,3394.0,422.0,632.5,2976.0
ZFHX3,38.0,76.5,44.0,62.0,33.5,39.0
ATF1,528.0,1133.5,970.5,210.0,340.0,595.0
ATF3,184.5,316.5,268.5,736.0,80.5,141.5
ATF4,763.0,802.5,882.0,601.0,439.0,646.5
ATIC,324.5,348.5,392.0,183.0,208.0,305.5
ATM,892.5,2476.5,1520.5,874.0,1211.0,1160.5
RERE,388.0,618.0,469.0,310.0,364.0,337.0
ATOX1,402.5,279.5,321.5,323.0,310.0,377.5
ATP1A1,2550.5,2160.5,2565.0,831.0,1167.5,2285.0
ATP1A2,3.0,3.5,1.5,0.0,0.0,2.5
ATP1A3,363.0,333.5,327.5,117.0,101.5,263.5
ATP1B1,79.5,97.0,117.5,58.0,78.5,78.5
ATP1B2,0.0,0.5,1.5,1.0,4.0,0.0
ATP1B3,5430.5,5951.0,6704.0,2002.0,2335.0,4750.5
FXYD2,0.0,0.0,0.0,3.0,1.0,0.0
ATP2A1,33.5,36.5,30.0,32.0,29.5,31.5
ATP2A2,3752.0,6615.0,7306.5,2197.0,1992.5,2862.5
ATP2A3,4086.5,4062.5,3739.0,1685.0,2645.0,4113.5
ATP2B1,930.5,663.5,1631.5,647.0,624.0,337.0
ATP2B2,3.0,9.5,6.0,2.0,0.5,9.0
ATP2B3,21.5,29.0,17.0,47.0,42.5,17.5
ATP2B4,4498.5,6030.5,5616.5,1194.0,1807.5,4029.5
ATP5F1A,705.0,1809.0,1862.5,426.0,565.0,575.0
ATP5F1B,2589.0,2402.5,2698.5,1488.0,1956.0,2787.5
ATP5F1C,80.0,350.0,300.0,101.0,102.5,102.5
ATP5F1D,1261.5,945.0,1071.0,1404.0,1531.5,1173.0
ATP5F1E,1113.5,1489.0,1753.0,909.0,1084.0,1426.5
ATP5PB,1398.5,2083.5,2166.5,867.0,984.5,1290.0
ATP5MC1,175.5,154.5,193.0,172.0,233.0,203.5
ATP5MC2,2334.0,1891.0,2229.5,1298.0,1705.5,2201.5
ATP5MC3,2209.5,2794.0,3161.5,1708.0,2203.0,1999.0
ATP5ME,1735.0,1612.0,1596.5,1581.0,1662.0,2250.0
ATP5PF,208.0,531.5,556.5,147.0,192.5,167.0
ATP6V1A,1065.0,2319.0,1960.0,1536.0,1138.5,1115.5
ATP6V1B1,6.5,4.5,3.5,0.0,0.0,3.5
ATP6V1B2,9013.0,11256.0,11345.0,5582.0,4244.0,7753.5
ATP6V0C,5137.0,4653.5,4988.0,5078.0,2970.5,4077.5
ATP6V1C1,2564.5,3836.5,4062.0,1166.0,1250.0,1955.0
ATP6V1E1,2415.5,2248.0,2411.0,1649.0,2025.0,2720.0
ATP6V0B,1632.5,1233.0,1618.5,1049.0,982.0,1753.0
ATP6V0A1,413.5,446.5,399.0,896.0,390.5,415.5
ATP6AP1,2468.5,2158.5,2344.0,1846.0,1302.0,2139.5
ATP7A,26.5,105.5,47.0,41.0,36.0,39.5
ATP5PO,618.5,674.0,758.0,391.0,498.0,760.5
ATP7B,12.5,18.0,19.0,5.0,5.5,11.5
ATR,7.5,45.0,34.5,8.0,4.5,9.5
ATRX,610.5,1895.0,1415.5,573.0,561.5,628.5
KIF1A,0.0,0.0,0.0,9.0,1.0,0.0
AUH,34.0,65.5,53.5,58.0,40.5,31.0
AUP1,10709.0,9137.5,10070.0,6007.0,6573.5,10979.0
AVPR2,16.5,16.5,10.5,3.0,15.5,14.5
AXL,1.0,5.0,1.5,356.0,45.5,5.5
AZU1,3.0,4.5,2.5,0.0,2.0,2.5
B2M,6914.0,7037.0,7747.5,3460.0,3225.0,9286.0
BACH1,351.0,943.0,939.0,350.0,264.0,273.0
BAD,370.5,288.0,346.0,286.0,260.5,395.5
BAG1,1689.0,1370.0,1696.5,902.0,984.5,1394.0
ADGRB1,42.5,48.0,32.5,15.0,12.5,56.5
BAK1,834.0,768.5,879.5,268.0,298.5,755.0
NKX3-2,39.5,47.5,42.5,2.0,4.0,26.0
BARD1,944.0,1595.5,1362.0,265.0,536.0,624.0
BAX,675.5,670.0,684.5,1045.0,561.5,496.5
BBS1,188.0,196.0,194.5,179.0,123.5,151.5
BBS2,58.5,96.0,62.5,142.0,151.5,89.5
BBS4,277.5,299.5,296.0,116.0,132.5,257.5
BCAT1,4346.0,6706.5,8347.0,404.0,1193.0,2598.0
BCAT2,729.0,565.5,675.5,313.0,469.5,671.0
BCKDHA,598.0,497.5,550.0,679.0,1010.5,675.5
BCKDHB,216.5,449.0,348.5,110.0,190.5,237.5
CCND1,470.5,730.0,745.0,94.0,94.0,359.0
BCL2,2340.5,4949.0,3623.0,1820.0,2692.5,2567.5
BCL2A1,25.0,5.5,32.0,5.0,0.5,7.0
BCL2L1,1746.5,1765.5,1985.0,857.0,744.5,1711.5
BCL2L2,636.5,1030.0,782.0,477.0,544.5,771.5
BCL3,692.0,106.0,716.5,278.0,58.0,96.0
BCL6,8.5,11.5,12.5,7.0,5.0,5.0
BCL7A,1749.0,1673.0,2175.0,528.0,575.0,1078.5
BCL9,22.0,44.0,37.5,41.0,31.0,25.0
HCN2,2.5,7.0,4.0,10.0,7.0,3.5
OPN1SW,29.5,36.0,41.5,8.0,16.0,15.0
BCR,84.5,108.5,97.5,139.0,165.0,92.5
BCS1L,62.0,54.5,73.0,33.0,27.0,85.0
BDH1,4.5,4.0,7.5,1.0,5.0,7.5
BDKRB2,4.0,3.5,5.5,0.0,0.0,4.5
BDNF,14.0,16.5,19.5,4.0,4.5,7.5
BFSP1,4.5,5.5,4.0,5.0,6.0,4.5
BGLAP,29.0,32.5,28.0,17.0,13.5,28.0
CEACAM1,5.0,6.0,6.5,0.0,0.5,10.5
BICD1,3.5,11.5,4.5,3.0,1.5,6.0
BID,2759.5,2650.5,3203.0,1136.0,1504.5,2556.0
BIK,165.5,127.0,204.0,69.0,104.0,174.0
PRDM1,30.5,16.0,104.0,212.0,9.0,5.5
BLK,0.0,0.0,0.0,5.0,9.5,0.0
BLM,33.5,90.5,59.5,33.0,59.5,30.5
BLMH,1250.0,1114.5,1316.5,631.0,717.0,917.5
CXCR5,24.5,22.5,15.5,18.0,11.0,20.0
BLVRA,2.5,5.5,3.5,2.0,0.0,1.0
BLVRB,102.5,88.0,96.0,170.0,175.5,155.5
BMI1,257.0,723.5,689.0,197.0,307.0,207.0
BMP1,408.0,331.5,369.0,443.0,287.0,372.5
BMP2,161.0,495.5,733.5,4.0,6.0,105.0
BMP6,1931.5,1774.0,2124.0,1171.0,1412.5,1732.5
BMP8B,164.5,265.0,200.5,82.0,238.5,210.0
BMPR1A,108.5,294.0,192.5,42.0,90.5,107.5
BMPR1B,0.0,0.0,0.5,1.0,0.0,0.0
BMPR2,62.5,218.5,158.5,142.0,92.5,60.5
POLR3D,512.0,656.5,553.0,255.0,319.5,598.0
BNIP1,233.0,192.5,236.5,88.0,89.0,236.0
BNIP2,1964.0,4596.5,4252.0,1244.0,1382.5,1732.0
BNIP3,473.5,2048.0,1136.0,52.0,568.0,800.0
BNIP3L,4683.5,11738.5,9690.5,1189.0,2120.5,4530.0
BOK,10.0,2.5,5.5,1.0,3.0,1.5
DST,44.0,102.0,72.0,29.0,9.5,82.0
FOXL2,0.0,0.0,0.0,0.0,1.0,0.0
BPGM,357.0,587.0,498.5,130.0,120.0,349.5
BPHL,97.5,73.5,81.5,51.0,71.0,82.5
BPI,5.0,3.0,3.5,0.0,1.5,0.5
BRCA1,6502.5,11340.0,7148.0,1143.0,3624.0,7361.5
BRAF,9.0,24.0,17.5,6.0,8.5,11.5
BRCA2,544.5,1465.5,1047.0,182.0,261.5,571.5
ZFP36L1,16.5,27.0,43.0,576.0,69.5,7.5
ZFP36L2,3037.5,10364.5,7405.5,5288.0,3042.0,3039.5
BSG,19607.5,17688.0,20073.5,11621.0,10396.0,16821.0
BST1,27.5,26.0,23.5,15.0,30.0,20.0
BST2,2239.5,1874.5,2239.0,3249.0,2603.5,1900.0
BTD,99.5,98.0,92.0,52.0,73.0,86.5
KLF9,498.5,893.5,920.0,600.0,443.5,374.5
KLF5,12.5,10.0,34.0,22.0,16.5,3.5
BTF3,3808.5,6272.5,7110.0,2154.0,2362.5,2822.0
BTG1,631.5,2448.5,1289.0,774.0,1052.0,1185.0
BTK,1207.5,1597.0,1521.0,929.0,779.5,1101.5
BUB1,78.0,297.0,188.5,59.0,112.5,101.0
BUB1B,401.5,1065.0,639.5,201.0,429.5,517.5
BYSL,901.5,727.5,968.0,278.0,325.0,716.5
TSPO,1530.5,1154.5,1330.5,730.0,1333.0,1709.5
C1QBP,3701.5,3367.5,4180.5,1964.0,2335.0,3884.0
SERPING1,0.0,0.0,0.0,0.0,1.0,0.0
C1QA,8.0,10.0,10.0,20.0,2.5,10.5
C1QC,0.0,0.0,0.5,0.0,0.0,0.0
C1R,1.0,2.5,4.5,2.0,0.0,1.5
C1S,0.5,0.0,1.5,8.0,8.0,0.5
C3,9.0,7.0,8.5,25.0,13.5,6.0
C3AR1,470.0,183.5,515.0,194.0,78.5,194.0
CAPN5,17.5,24.0,27.0,17.0,17.5,22.5
C5,57.5,96.0,85.5,99.0,187.0,99.0
C5AR1,10.5,6.0,13.0,5.0,2.5,2.0
C8G,1.5,2.5,2.0,7.0,1.5,1.0
OSGIN2,488.0,1114.0,1163.0,434.0,339.5,409.5
VPS51,102.0,91.0,138.5,71.0,85.5,129.0
MRPL49,2951.5,2631.0,3138.5,976.0,1138.5,2887.5
ZNHIT2,8.0,10.0,18.0,20.0,8.0,15.0
MYRF,63.5,60.5,69.5,18.0,39.0,47.5
TMEM258,649.5,622.0,715.5,273.0,465.5,698.0
DAGLA,106.0,80.0,105.5,127.0,50.5,56.5
GAS8-AS1,0.5,2.5,3.0,2.0,0.0,1.0
FMNL1,905.5,791.0,911.0,477.0,547.0,793.5
LDLRAD4,223.5,398.5,304.0,264.0,195.5,253.0
PTTG1IP,5500.0,6068.5,6171.0,4031.0,5542.0,5128.5
CFAP410,411.5,364.5,406.0,227.0,293.0,339.0
TMEM50B,48.5,74.0,84.5,13.0,29.0,73.0
MPPED1,5.0,17.0,3.0,7.0,15.5,11.0
CA7,29.5,35.0,25.5,12.0,29.0,37.0
CA11,91.0,76.0,89.0,232.0,111.0,93.5
CA12,1.0,0.0,0.0,0.0,0.5,0.0
CACNA1A,11.0,26.0,23.0,25.0,26.0,17.0
CACNA1B,0.0,0.0,0.0,0.0,0.0,0.0
CACNA1C,0.0,0.0,0.0,0.0,1.5,1.0
CACNA1D,0.0,0.5,0.5,7.0,2.0,0.0
CACNA1E,15.0,11.5,11.5,19.0,11.5,7.0
CACNB1,1.5,3.5,4.0,9.0,25.5,2.5
CACNB2,10.0,21.0,16.5,18.0,26.0,12.5
CACNB3,128.5,144.5,119.5,82.0,70.0,132.0
CACNB4,5.5,16.5,15.5,7.0,3.5,8.0
SLC25A20,128.5,144.0,133.0,451.0,183.5,146.0
CAD,405.0,375.0,399.0,190.0,240.5,394.0
CALB1,0.0,0.0,0.0,5.0,0.0,0.0
CALCA,0.0,0.0,0.0,0.0,0.5,0.0
CALM1,7589.5,8284.5,9970.5,4230.0,3856.5,5974.5
CALM2,8135.0,13519.5,14178.5,3150.0,4569.5,6322.5
CALM3,14136.0,14161.5,15014.0,9347.0,10462.5,11580.0
CALR,34232.5,31368.5,33150.5,10313.0,12299.0,32995.0
CALU,6747.5,8290.5,8889.5,1593.0,2318.0,5166.0
CAMK2A,0.0,0.5,1.0,3.0,1.0,0.0
CAMK2B,2.0,4.0,5.0,76.0,27.0,2.5
CAMK2D,157.0,283.0,258.0,246.0,328.5,107.5
CAMK2G,1060.0,1215.0,1107.5,735.0,579.0,1153.0
CAMLG,178.0,473.5,376.5,129.0,148.5,239.5
CAMP,2.0,2.0,2.0,0.0,0.0,1.5
CANX,22185.0,39765.0,39228.0,8562.0,11909.0,19298.0
CAPG,513.0,399.0,450.0,560.0,352.0,504.0
CAPN1,1703.0,1546.0,1603.5,2123.0,1884.5,1536.5
CAPN2,1663.5,2608.0,2657.5,1742.0,1300.0,1489.5
CAPN3,23.0,40.5,19.0,71.0,54.5,31.0
CAPNS1,3802.5,3260.0,3754.0,6777.0,5649.5,3270.0
CAPS,81.0,82.5,82.0,91.0,91.5,72.5
CAPZA1,10763.0,23502.5,20433.0,4969.0,6770.0,10132.0
CAPZA2,1375.0,3040.0,2881.5,688.0,878.5,1443.5
CAST,284.0,682.5,596.5,374.0,419.5,242.0
CAPZB,7747.0,7215.5,8483.5,5647.0,4205.0,5891.0
CARS1,338.0,221.0,355.0,193.0,103.5,177.5
CASP1,110.0,196.0,148.5,219.0,167.5,115.0
CASP2,4439.5,5648.0,5153.5,1700.0,2160.0,3581.5
CASP3,2645.0,3331.0,3259.0,1227.0,1904.5,2301.0
CASP4,100.5,100.5,104.5,72.0,122.0,97.0
CASP6,218.0,249.0,241.5,279.0,411.5,246.5
CASP7,938.0,1176.5,1107.5,160.0,362.5,975.5
CASP8,321.0,615.5,446.5,159.0,171.0,338.0
CASP9,629.5,582.5,627.5,483.0,405.0,625.0
CASP10,449.0,649.5,453.5,339.0,340.0,524.5
CASQ1,3.0,3.0,3.5,9.0,1.0,2.5
CAT,4429.5,6381.5,6316.5,2076.0,3020.0,5047.0
CAV1,0.5,1.0,0.5,3.0,19.0,1.0
RUNX2,2770.5,3800.0,4898.0,1368.0,1056.0,1689.0
RUNX1,4577.5,8325.0,8935.5,5024.0,3873.0,3699.0
