,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
SLC6A12,17.5,29.5,14.5,5.0,0.5,21.5
SLC6A13,1.0,3.0,1.0,19.0,5.0,0.0
SLC7A1,23590.0,19706.0,27918.0,2174.0,2897.5,13377.5
SLC8A2,1.0,0.5,2.0,7.0,0.0,0.5
SLC8A1,38.0,154.5,77.5,17.0,9.0,68.0
SLC9A1,1374.0,1401.5,1377.0,473.0,388.5,1201.0
SLC9A3,474.0,413.5,562.5,103.0,130.0,349.0
SLC9A5,20.5,23.5,25.5,15.0,15.5,23.0
SLC10A2,8.5,20.5,20.0,11.0,5.0,21.0
SLC11A1,100.5,78.0,96.5,20.0,50.5,66.5
SLC12A2,252.0,498.5,515.0,152.0,144.5,186.5
SLC12A3,8.0,16.0,14.5,22.0,7.5,15.5
SLC12A4,130.5,200.5,127.0,119.0,208.0,179.5
SLC14A1,9.0,18.5,13.5,44.0,27.0,18.0
SLC15A2,95.5,465.5,162.5,188.0,254.0,274.0
SLC16A1,3381.0,5392.5,5640.5,668.0,1240.0,2517.0
SLC18A1,3.5,6.0,3.0,1.0,0.0,4.0
SLC18A2,174.0,472.0,427.0,177.0,286.5,179.0
SLC19A1,1308.5,1075.5,1279.5,278.0,572.5,1112.5
SLC20A1,1883.5,2199.0,2912.0,808.0,1315.5,1223.0
SLC20A2,878.0,885.0,909.5,503.0,467.0,709.0
SLC25A1,5863.5,5433.0,5781.5,4099.0,7783.5,5494.5
SLC22A1,1.5,0.0,1.0,0.0,2.5,0.0
SLC22A3,0.0,0.0,0.0,0.0,2.0,0.0
SLC22A4,13.0,21.0,33.5,16.0,19.5,6.0
SLC22A5,7.5,21.0,9.5,33.0,17.0,12.0
SLIT1,44.0,42.0,47.0,13.0,33.5,36.5
SLPI,11.0,8.5,10.0,3.0,13.0,14.5
SMARCA2,338.5,955.0,805.5,273.0,324.5,365.0
HLTF,1799.5,3965.0,2914.5,418.0,833.5,2075.0
SMARCA4,2223.0,2583.0,2475.5,1666.0,1281.5,1983.5
SMARCB1,5.5,2.0,4.0,1.0,1.5,5.0
SMARCC1,9184.5,10185.5,10756.5,2527.0,3887.0,7347.0
SMARCC2,1987.0,2569.5,2252.5,1759.0,1502.5,1954.5
SMARCD1,2395.5,1942.5,2339.0,868.0,889.0,1621.5
SMARCD2,3474.0,3712.0,3709.5,2725.0,2321.0,2964.5
SMARCD3,9.5,11.5,12.5,3.0,6.0,9.0
SMARCE1,1094.0,1969.5,1942.5,782.0,857.0,958.0
SMN1,3.5,2.5,5.5,1.0,1.0,1.0
SMN2,3.5,2.5,5.5,1.0,1.0,1.0
SMO,0.0,0.0,0.0,0.0,0.0,0.0
SMPD1,495.5,442.5,461.0,233.0,356.0,423.5
SMPD2,9.5,8.0,4.5,10.0,8.5,5.5
SMS,816.0,1412.5,1504.0,575.0,566.5,678.0
SUMO3,7293.0,7620.5,9685.5,3810.0,3347.0,5027.0
SUMO2,1631.0,3492.5,3683.0,966.0,1361.5,1244.0
SIGLEC1,32.5,35.0,24.0,2.0,1.5,44.5
SNAI1,34.5,45.0,49.5,21.0,4.0,17.5
SNAP25,0.5,5.0,2.0,0.0,0.0,3.0
SNAPC1,180.5,335.5,252.0,102.0,143.0,247.5
SNAPC2,781.5,315.5,752.0,214.0,196.5,331.0
SNAPC3,241.0,627.0,367.0,202.0,326.0,315.5
SNAPC4,96.0,56.0,69.0,56.0,48.5,46.0
FSCN1,51.0,19.0,43.0,203.0,500.5,14.0
SNRNP70,1206.0,1128.0,1232.0,772.0,749.5,946.0
SNRPA,1040.5,827.0,971.5,598.0,929.0,870.0
SNRPA1,621.0,522.5,679.0,285.0,349.5,512.5
SNRPB,2095.0,1479.5,1954.5,811.0,1546.0,2015.5
SNRPB2,636.0,1313.0,1310.0,362.0,396.0,517.0
SNRPC,2203.0,2087.5,2547.5,904.0,854.5,2304.5
SNRPD1,2671.5,2600.0,3064.5,915.0,1205.5,2032.0
SNRPD2,1344.0,1097.0,1263.5,897.0,1301.5,1448.0
SNRPD3,5512.0,6997.0,7357.0,2836.0,2602.0,4312.0
SNRPE,282.0,855.5,842.0,139.0,175.0,214.5
SNRPF,528.5,628.5,716.0,314.0,327.0,450.0
SNRPG,164.0,215.5,232.0,71.0,104.5,239.5
SNRPN,108.0,96.5,121.5,213.0,219.5,113.0
SNTA1,15.0,9.5,7.0,3.0,45.0,15.5
SNTB1,1484.5,2337.5,2519.0,635.0,1390.5,1177.5
SNX1,1798.0,2218.0,1846.5,1118.0,1202.0,1716.5
SNX2,454.5,924.0,829.0,555.0,503.5,407.0
SNTB2,0.0,3.0,1.0,10.0,17.5,0.5
SOAT1,463.0,985.5,849.0,251.0,360.5,407.5
