,JQ1,MYBi_30m,MYBi_6h,PBS_6h,MS2_JQ1,DMSO,PBS_30m,MS2
SNORD116-14,1.5,1.0,0.0,0.0,3.0,2.0,1.5,2.5
SNORD116-15,2.0,1.0,0.0,0.0,3.0,1.0,1.5,2.5
SNORD116-16,0.0,0.5,0.0,0.0,0.0,4.0,0.5,0.5
SNORD116-17,1.5,0.5,0.0,0.0,1.0,2.0,1.5,1.0
SNORD116-20,7.5,2.0,3.0,0.0,7.0,8.0,2.5,7.0
SNORD116-21,13.5,5.0,0.5,5.0,12.0,18.0,6.5,11.5
SNORD116-22,12.0,2.5,0.5,2.0,13.0,10.0,8.5,11.5
SNORD116-24,9.0,5.0,0.0,2.0,11.0,6.0,5.5,7.5
SNORD116-29,0.5,1.0,0.0,0.0,1.0,2.0,0.0,1.0
PDZK1P1,7.5,1.0,5.0,2.0,10.0,7.0,2.5,10.0
DDTL,3.5,1.0,0.5,1.0,4.0,1.0,2.0,3.5
CDKN2B-AS1,141.5,75.0,27.5,43.0,168.0,110.0,105.0,166.0
GUSBP9,10.0,1.5,3.5,9.0,13.0,7.0,4.5,14.0
SIGLEC14,110.5,82.0,18.5,87.0,111.0,109.0,115.0,112.5
NINJ2-AS1,261.5,140.0,23.5,100.0,362.0,206.0,245.0,365.0
SNHG8,4840.5,2340.0,996.0,1230.0,5759.0,2583.0,2815.5,5709.0
GTF2IP4,163.0,56.5,16.5,32.0,169.0,142.0,96.0,166.0
100101148,7.5,3.5,0.0,2.0,7.0,7.0,11.5,6.0
POM121C,1753.5,620.5,325.5,667.0,1947.0,1726.0,953.5,1953.5
ZSCAN30,234.0,77.0,23.5,54.0,311.0,135.0,92.5,327.5
SNORD119,1.5,4.0,0.5,0.0,3.0,3.0,2.5,2.5
SNORD121A,0.5,0.0,0.0,1.0,1.0,0.0,0.5,1.0
SNORD125,50.0,6.5,6.5,8.0,55.0,43.0,9.5,47.5
SNORD19B,33.5,44.0,10.0,11.0,39.0,21.0,34.5,43.5
SNORD127,2.0,0.0,0.0,0.0,2.0,4.0,0.5,3.0
SNORD11B,4.5,3.0,1.5,1.0,6.0,2.0,2.0,5.0
SNORD12B,4.5,7.5,3.0,3.0,11.0,5.0,5.0,8.5
TMEM170B,5533.5,3169.0,1394.0,2210.0,5996.0,6305.0,4511.0,6443.5
SNORD58C,16.5,19.0,7.0,4.0,17.0,17.0,9.5,22.5
SCARNA27,5.5,2.5,0.0,2.0,9.0,7.0,4.0,9.5
SNORA84,12.0,12.0,9.0,2.0,9.0,6.0,12.0,9.5
SNORA38B,1.0,0.0,1.5,1.0,1.0,0.0,2.5,1.0
SNORA70B,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
HOTAIR,10.0,4.0,0.0,3.0,14.0,11.0,13.5,12.5
ZGLP1,8.0,13.0,10.5,14.0,15.0,10.0,18.0,14.5
FAM86JP,74.5,34.0,4.0,28.0,93.0,42.0,41.0,84.0
FMR1-AS1,2.5,3.0,0.0,1.0,3.0,3.0,1.0,3.0
VTRNA2-1,1.0,2.0,9.5,0.0,1.0,1.0,1.0,1.0
MIR147B,4.5,6.5,5.5,0.0,6.0,3.0,13.0,5.0
MIR922,55.5,25.0,4.5,14.0,68.0,35.0,31.5,57.5
MIR940,4.0,1.5,0.0,1.0,5.0,3.0,1.5,4.0
MIR943,46.0,12.5,6.5,12.0,55.0,36.0,16.0,49.0
MIR939,176.5,57.5,32.0,65.0,178.0,115.0,85.5,177.0
100126784,6.0,0.0,0.0,0.0,6.0,6.0,1.5,7.0
EGOT,5.0,4.0,1.5,3.0,6.0,2.0,1.0,7.0
GHRLOS,56.5,23.0,22.5,24.0,78.0,60.0,39.0,75.0
MINAR2,1.0,0.5,0.5,1.0,4.0,1.0,0.5,3.0
SLCO4A1-AS1,229.5,56.0,29.5,85.0,207.0,195.0,83.5,209.5
100127889,2.5,0.0,0.0,2.0,2.0,3.0,0.5,2.0
C8orf88,8.0,6.0,1.0,4.0,7.0,14.0,6.0,7.5
100128006,3.5,2.0,1.0,1.0,4.0,3.0,1.5,5.0
SMARCA5-AS1,469.0,112.5,26.5,50.0,479.0,305.0,155.0,441.5
FAM229A,2.5,1.0,1.0,0.0,5.0,1.0,0.5,3.0
STAU2-AS1,3.0,3.0,0.0,4.0,3.0,4.0,2.0,2.5
100128164,5.0,12.5,2.5,3.0,7.0,4.0,7.5,5.5
