,JQ1,MYBi_30m,MYBi_6h,PBS_6h,MS2_JQ1,DMSO,PBS_30m,MS2
A2M,1.0,2.5,0.0,0.0,0.0,0.0,3.0,0.0
NAT1,148.5,37.0,27.0,57.0,165.0,170.0,71.0,161.5
AAMP,1590.5,531.5,485.5,894.0,1566.0,1275.0,672.0,1521.0
AARS1,1758.5,1134.0,353.0,644.0,2181.0,1083.0,1667.5,2205.5
ABAT,176.5,108.0,12.0,63.0,212.0,136.0,158.0,193.0
ABCA1,40.5,346.5,29.0,16.0,21.0,77.0,348.5,24.5
ABCA2,616.0,182.5,130.5,228.0,720.0,381.0,245.0,633.5
ABCA3,32.5,21.0,0.5,15.0,40.0,25.0,19.0,34.5
ABCB7,46.0,22.5,13.0,24.0,52.0,63.0,24.5,54.5
ABCF1,2.0,0.5,0.0,1.0,1.0,4.0,0.0,1.5
ABL1,2056.0,745.0,549.5,786.0,2332.0,1770.0,1011.5,2219.5
AOC1,1.0,2.5,2.5,3.0,0.0,1.0,2.5,0.0
ABL2,1082.0,810.5,597.5,461.0,1276.0,1085.0,1101.5,1310.0
ABR,216.5,88.5,60.5,29.0,201.0,189.0,146.0,215.5
ACAA1,2466.5,682.0,417.0,859.0,2741.0,1700.0,1058.0,2594.5
ACACA,3.0,1.5,0.0,1.0,3.0,2.0,1.5,3.0
ACACB,144.5,84.5,25.5,64.0,194.0,65.0,111.0,160.0
ACADM,889.5,524.0,205.0,275.0,875.0,1107.0,440.0,1103.5
ACADS,194.5,57.5,31.5,103.0,209.0,99.0,71.5,163.0
ACADSB,1769.0,502.5,204.5,801.0,1775.0,1694.0,738.5,1769.0
ACADVL,819.0,254.5,316.0,389.0,927.0,545.0,323.5,870.5
ACAT1,772.5,200.5,296.5,408.0,843.0,524.0,283.0,812.5
ACAT2,5257.0,2016.5,3923.5,2646.0,5693.0,6091.0,3271.5,5732.5
ASIC1,173.5,192.5,47.5,159.0,179.0,154.0,287.5,184.0
ACHE,2.0,0.5,1.0,0.0,2.0,3.0,1.0,1.5
ACLY,5866.5,2321.0,1933.5,3126.0,5911.0,5466.0,3380.5,5990.0
ACO1,586.0,202.0,221.5,278.0,636.0,493.0,285.0,612.0
ACO2,1584.5,535.0,474.0,761.0,1536.0,1396.0,776.5,1531.5
ACOX1,1870.5,668.5,812.0,903.0,1961.0,1541.0,1072.0,1909.0
ACP1,3763.0,1555.0,1211.0,1359.0,3879.0,3690.0,2360.0,3936.5
ACP2,291.5,160.0,67.0,137.0,348.0,209.0,213.0,330.5
ACPP,3121.5,240.5,422.5,1140.0,3392.0,3065.0,374.0,3551.5
ACRV1,3.0,1.0,1.5,0.0,5.0,1.0,1.0,4.5
ACTB,204548.5,58990.0,76562.5,99033.0,209352.0,171031.0,78995.5,209018.5
ACTG1,337501.5,73473.5,55345.0,75400.0,386161.0,199312.0,103831.5,355593.5
ACTN4,11485.0,3991.0,3989.5,4864.0,11278.0,8746.0,5105.5,11118.5
ACTL6A,917.0,323.0,186.5,518.0,833.0,897.0,445.5,922.0
ACTN1,2565.5,1571.5,788.5,1364.0,2347.0,2369.0,2190.5,2546.5
ACTN2,6.0,3.0,4.0,1.0,4.0,4.0,2.0,7.0
ACVR1,88.0,57.5,47.0,36.0,123.0,51.0,59.0,103.5
ACVR1B,733.5,313.0,173.5,199.0,907.0,571.0,455.0,857.0
ACVR2A,47.5,50.0,33.5,29.0,62.0,42.0,99.5,63.0
ACVR2B,187.5,183.5,46.5,152.0,260.0,129.0,262.5,277.0
ACVRL1,84.5,129.0,32.5,84.0,85.0,82.0,153.5,90.0
ACY1,216.0,92.0,109.5,171.0,230.0,147.0,139.5,242.0
ACYP1,504.0,219.5,102.5,240.0,556.0,589.0,283.0,553.0
ACYP2,124.0,70.5,27.5,44.0,145.0,97.0,103.0,129.0
ADA,2484.0,644.0,463.5,1002.0,2775.0,1693.0,1016.0,2713.0
ADAM8,55.5,22.0,33.5,38.0,67.0,27.0,34.0,68.5
ADAM10,5414.5,2996.0,2090.0,2419.0,6056.0,5856.0,4062.5,6798.5
ADAR,10821.0,6660.0,2100.5,4058.0,10937.0,11260.0,11007.0,10955.5
ADARB1,1113.0,592.0,184.5,408.0,1092.0,1088.0,900.0,1046.0
ADCY1,355.0,318.5,108.5,237.0,305.0,314.0,455.0,327.0
ADCY3,1600.5,605.5,328.5,716.0,1560.0,1360.0,842.5,1534.0
ADCY5,12.0,1.5,1.5,3.0,16.0,7.0,2.5,12.5
ADCY6,26.0,46.5,11.0,13.0,21.0,16.0,52.0,26.0
ADCY7,4607.0,1914.0,754.0,2169.0,4541.0,5190.0,2931.5,4899.0
ADCY9,740.0,559.5,205.0,436.0,709.0,581.0,715.5,740.5
ADD1,4815.5,1571.0,570.0,1365.0,4971.0,3502.0,2322.0,4815.5
ADD2,3635.5,1376.5,405.0,960.0,3870.0,3236.0,2135.0,3871.5
ADD3,1025.5,478.0,78.5,150.0,1282.0,982.0,644.0,1264.5
PLIN2,1182.5,849.5,753.0,399.0,1252.0,952.0,1439.0,1283.5
ADH5,1509.0,466.0,261.5,716.0,1595.0,1397.0,742.0,1612.0
ADH6,1.5,0.5,0.5,1.0,1.0,2.0,1.5,1.0
ADK,801.5,333.0,205.5,361.0,815.0,770.0,397.0,921.5
ADM,6.5,27.0,12.5,0.0,7.0,1.0,8.5,8.0
ADORA1,9.0,5.0,1.5,2.0,6.0,1.0,3.0,5.5
ADORA2A,62.0,135.0,82.5,23.0,44.0,63.0,171.0,63.5
ADORA2B,273.5,197.0,199.0,223.0,212.0,343.0,329.5,301.0
ADORA3,6.0,11.0,0.5,10.0,6.0,6.0,13.0,8.5
ADPRH,764.0,601.0,163.5,442.0,754.0,945.0,912.0,767.5
PARP1,2231.5,766.0,671.0,1382.0,2193.0,2026.0,1102.0,2231.5
PARP4,23.5,16.5,1.0,9.0,21.0,25.0,16.0,26.5
ADRA2C,70.5,30.0,5.5,50.0,62.0,61.0,42.0,74.0
ADRB1,9.5,7.0,2.5,3.0,15.0,4.0,21.5,15.5
ADRB2,27.5,13.5,9.0,14.0,28.0,15.0,16.0,40.0
GRK2,5092.5,1894.0,948.5,1817.0,5223.0,2930.0,2529.0,4934.5
GRK3,721.0,349.5,187.0,345.0,762.0,654.0,521.0,763.5
ADSL,316.0,128.5,70.5,147.0,311.0,287.0,152.0,323.5
ADSS2,1684.5,804.0,486.0,1002.0,1596.0,1802.0,1110.5,1774.0
AP2A1,1321.0,508.5,315.0,723.0,1350.0,902.0,623.0,1347.0
AP2A2,164.5,112.5,60.5,81.0,193.0,141.0,154.0,170.5
AP1B1,2002.5,592.5,400.5,780.0,2118.0,1182.0,800.5,1859.0
AP2B1,8917.0,3371.5,2062.5,3299.0,9507.0,7687.0,4984.0,9502.5
AP1G1,7300.0,1835.0,1069.0,2448.0,7926.0,7901.0,3053.5,8099.0
AEBP1,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.5
TLE5,2441.5,1885.5,702.5,1276.0,2568.0,1927.0,2654.0,2438.5
AFG3L1P,854.5,204.5,283.0,270.0,921.0,636.0,375.5,925.0
AGA,1575.5,563.5,171.0,282.0,1818.0,1310.0,810.0,1875.0
AGL,386.0,223.0,93.5,248.0,435.0,623.0,283.0,603.0
AGRP,0.0,1.0,0.0,0.0,0.0,0.0,2.5,1.0
JAG1,51.0,226.5,24.5,12.0,68.0,26.0,197.5,100.0
AGT,391.0,266.5,107.0,149.0,442.0,369.0,404.0,447.5
AHCY,8119.5,2242.5,2357.0,3305.0,8663.0,6096.0,3352.0,8582.0
AHR,1133.5,1373.5,937.5,397.0,1160.0,1322.0,1179.0,1496.5
CRYBG1,195.5,113.5,140.5,266.0,199.0,370.0,182.5,263.5
AK1,62.5,43.0,37.5,52.0,62.0,47.0,42.5,59.5
AK2,24001.5,10997.5,5804.5,11477.0,23978.0,22132.0,16397.0,24001.5
AK4,419.0,212.5,88.5,83.0,364.0,487.0,290.5,366.0
AKT1,4217.0,1521.5,808.5,1868.0,4198.0,3046.0,2156.5,3822.5
AKT2,4061.0,1592.0,728.0,1703.0,3929.0,2889.0,2028.0,3916.5
ALAD,2782.5,1055.5,326.5,897.0,2968.0,2455.0,1558.5,2858.0
ALAS1,124.0,43.0,145.0,55.0,144.0,73.0,68.0,137.5
ALCAM,2461.0,562.5,716.5,1260.0,2376.0,3187.0,855.0,2894.0
ABCD1,1263.5,627.0,222.5,447.0,1190.0,1001.0,804.5,1124.0
ALDH1A1,1.0,1.5,0.0,1.0,1.0,3.0,1.0,3.0
ALDH2,17.0,8.5,7.0,5.0,21.0,10.0,13.0,16.0
ALDH1B1,2461.0,840.5,807.5,1641.0,2126.0,3096.0,1398.5,2148.0
ALDH1A3,3561.0,810.0,247.0,1026.0,3110.0,4112.0,1118.5,3143.0
ALDH3B1,462.5,251.5,63.5,206.0,494.0,255.0,368.5,483.5
ALDH9A1,2018.0,651.0,792.0,729.0,2181.0,1833.0,992.5,2004.0
ALDH3A2,860.0,322.5,112.0,372.0,853.0,834.0,493.0,832.5
ABCD2,415.0,279.5,34.5,74.0,474.0,474.0,333.5,560.5
ALDOA,11719.0,3712.5,5054.0,5211.0,12192.0,7745.0,4950.5,12036.0
ALDOB,4.5,3.0,1.5,8.0,4.0,2.0,9.0,10.5
ALDOC,1417.5,314.0,185.5,219.0,1552.0,823.0,423.5,1414.5
AKR1B1,984.0,297.0,282.0,325.0,1058.0,625.0,433.5,996.0
ALOX12,124.0,215.5,203.5,138.0,124.0,81.0,311.0,143.0
ALOX5AP,3468.0,1643.5,767.0,913.0,3576.0,2493.0,2331.5,3643.5
ALOX12B,1.5,2.0,0.0,1.0,3.0,1.0,1.0,2.5
ALOX15,7.5,3.0,3.5,5.0,11.0,7.0,3.0,10.0
ALX3,31.5,16.5,4.5,16.0,37.0,12.0,17.5,35.0
AMD1,5405.5,2457.0,613.5,2407.0,4455.0,6841.0,3217.0,4824.0
AMFR,1251.5,530.5,407.0,385.0,1523.0,743.0,812.5,1369.0
AMH,2.5,0.0,1.0,0.0,3.0,4.0,1.5,1.5
AMPD2,451.0,407.0,94.5,268.0,437.0,369.0,455.5,451.0
AMPD3,59.5,55.0,108.5,69.0,84.0,49.0,100.5,100.0
BIN1,30.5,21.0,8.5,16.0,31.0,28.0,21.0,31.0
AMT,118.0,62.5,5.0,46.0,192.0,101.0,96.0,181.0
ANG,1.5,1.0,0.5,0.0,4.0,3.0,1.0,3.5
ANGPT1,1.5,6.0,1.5,1.0,2.0,2.0,5.5,1.5
ANGPT2,44.5,19.0,18.5,10.0,54.0,26.0,24.0,53.0
ANK1,3.5,1.5,1.0,2.0,3.0,6.0,2.5,3.0
ANK2,99.0,95.5,6.5,8.0,119.0,106.0,123.5,130.5
ANPEP,27.5,10.0,6.0,2.0,19.0,14.0,9.0,21.0
SLC25A4,46.5,20.0,5.5,19.0,44.0,35.0,29.5,33.5
SLC25A5,6051.0,1813.0,2019.0,2442.0,6402.0,4815.0,2761.0,6344.0
SLC25A6,17362.5,7309.0,5754.0,6258.0,20593.0,9361.0,9502.0,19195.0
ANXA1,351.0,125.5,377.5,136.0,304.0,402.0,112.0,407.0
ANXA2,1368.5,227.0,520.5,585.0,1417.0,991.0,371.5,1409.0
ANXA2P1,3.0,1.5,2.0,3.0,4.0,2.0,2.0,3.5
ANXA3,20.5,22.5,0.0,1.0,23.0,18.0,29.0,19.0
ANXA4,564.0,238.0,161.5,267.0,590.0,585.0,287.5,674.0
ANXA5,1782.0,406.5,678.0,332.0,2065.0,1709.0,531.0,2085.0
ANXA6,990.0,486.5,386.0,698.0,1047.0,610.0,652.0,995.0
ANXA7,887.0,384.5,356.5,473.0,915.0,961.0,582.5,1002.5
ANXA11,1540.0,723.0,564.5,979.0,1715.0,1045.0,1032.0,1667.0
AOAH,21.5,23.0,10.0,10.0,26.0,12.0,27.0,18.5
AOC2,8.5,1.5,0.5,2.0,11.0,10.0,5.5,10.0
APAF1,917.0,473.5,208.0,566.0,892.0,1130.0,583.5,1010.5
NUDT2,206.0,88.0,31.5,125.0,241.0,162.0,121.0,235.0
APBA2,3.0,6.5,0.5,4.0,1.0,4.0,6.0,3.0
APBB1,858.0,817.0,112.5,269.0,837.0,602.0,1315.5,836.5
APBB2,104.0,74.5,14.0,24.0,148.0,88.0,111.5,129.0
APC,127.0,83.0,44.5,72.0,172.0,131.0,89.5,170.5
APEH,448.0,177.5,186.0,349.0,492.0,317.0,231.5,471.0
APEX1,3103.0,1129.5,475.0,1787.0,3110.0,2572.0,1802.5,3276.5
BIRC2,254.0,107.5,63.0,99.0,289.0,236.0,134.5,294.5
BIRC3,4.0,15.0,29.5,1.0,6.0,2.0,10.0,8.5
XIAP,2128.5,1114.5,415.0,828.0,2690.0,2077.0,1544.5,2810.5
BIRC5,6998.0,1465.5,1115.5,2204.0,6957.0,7545.0,2213.0,6997.0
APLP1,41.5,27.0,12.5,18.0,44.0,18.0,31.0,39.0
APLP2,13838.0,4906.0,3939.5,5201.0,14077.0,11371.0,7245.5,14161.5
APOA1,10.0,3.0,3.0,5.0,13.0,9.0,5.0,13.5
APOC1,474.0,423.0,332.0,326.0,469.0,290.0,582.0,470.5
APOC2,4017.5,2792.5,2671.5,3442.0,4018.0,2970.0,3664.0,3968.5
APOC4,4.0,6.0,3.5,3.0,5.0,3.0,8.0,5.5
APOE,0.0,2.0,2.5,3.0,1.0,0.0,3.5,2.0
APP,2342.0,1296.5,749.0,879.0,2458.0,2326.0,1903.5,2665.5
APRT,3392.0,1044.5,1405.0,2154.0,3577.0,2267.0,1500.0,3521.5
FAS,22.5,19.0,29.0,3.0,35.0,30.0,21.0,35.0
AQP1,7.5,38.0,45.5,6.0,7.0,12.0,19.0,7.5
AQP3,342.0,106.5,69.5,81.0,297.0,243.0,144.5,274.5
AQP6,7.5,0.5,0.0,1.0,6.0,5.0,0.5,5.0
AR,32.5,36.0,7.5,5.0,31.0,27.0,58.0,32.5
ARAF,855.5,320.5,180.0,337.0,893.0,558.0,427.5,861.0
ARCN1,12613.0,4437.5,2655.0,3613.0,14133.0,12257.0,7024.5,14137.5
TRIM23,160.5,35.0,46.5,42.0,220.0,95.0,67.0,214.5
ARF1,17794.5,6684.5,4750.0,6119.0,18058.0,14544.0,9917.0,18153.0
ARF3,16261.5,6693.0,2458.0,5647.0,16042.0,12794.0,9819.0,15664.0
ARF4,5312.0,2623.0,2051.0,1887.0,5718.0,6221.0,3403.0,6038.0
ARL4D,16.5,9.5,12.0,5.0,17.0,12.0,12.0,13.5
ARF5,1433.0,460.5,326.0,565.0,1581.0,962.0,568.5,1378.5
ARF6,6781.0,4047.0,2230.0,3248.0,7511.0,6674.0,5436.0,7675.0
ARG2,1582.0,494.5,497.0,631.0,1718.0,1522.0,769.5,1683.5
RHOA,45933.0,19161.0,14533.5,16111.0,49338.0,41286.0,28838.0,49394.0
RHOB,505.5,2586.5,335.5,65.0,554.0,249.0,1644.5,436.5
RHOC,373.5,166.5,108.5,93.0,365.0,188.0,221.5,347.5
RND3,4.5,89.0,8.0,0.0,5.0,4.0,59.0,6.5
RHOG,2898.0,920.0,480.0,1198.0,2914.0,1895.0,1445.0,2898.0
ARHGAP1,3816.0,1105.5,440.0,1839.0,3816.0,2533.0,1637.0,3741.5
ARHGAP4,688.5,355.5,166.5,328.0,704.0,422.0,484.5,687.0
ARHGAP5,29.5,22.5,6.0,1.0,34.0,25.0,23.0,33.5
ARHGAP6,9.0,11.0,3.0,4.0,16.0,4.0,21.0,10.5
ARHGDIA,26231.0,8104.5,4212.5,9852.0,26130.0,24020.0,11272.5,25285.0
ARHGDIB,44981.5,11702.0,25022.5,32369.0,44884.0,35484.0,17357.0,45393.5
RHOH,40.0,61.0,39.5,15.0,49.0,21.0,56.5,53.5
ARL1,3066.0,947.0,372.0,936.0,3370.0,3348.0,1500.5,3436.0
PHOX2A,2.0,4.0,1.5,1.0,2.0,1.0,5.0,1.5
ARL2,553.0,158.0,132.5,337.0,571.0,320.0,231.5,568.5
ARL3,160.0,59.5,14.5,57.0,177.0,88.0,83.5,154.0
ARNT,1988.0,787.0,490.5,732.0,2332.0,1677.0,1213.5,2321.0
ARNTL,35.5,18.0,14.5,16.0,46.0,29.0,23.0,45.5
ARRB1,5656.0,2636.0,1041.0,2062.0,5312.0,5364.0,3949.0,5524.5
ARRB2,2647.5,1891.0,486.0,1039.0,2643.0,2101.0,2677.0,2603.5
ARSA,106.0,57.0,24.5,49.0,120.0,106.0,93.0,117.5
ARSB,2012.0,617.0,879.0,987.0,2088.0,2368.0,1003.5,2096.5
STS,449.5,153.0,86.5,244.0,484.0,540.0,227.0,485.0
ARSD,1400.5,725.5,274.0,766.0,1591.0,999.0,1073.5,1478.0
ARVCF,23.0,6.0,3.0,9.0,27.0,9.0,10.0,23.5
ASAH1,2254.0,1413.0,378.5,897.0,2633.0,1904.0,2066.5,2742.5
ASCL2,100.0,125.5,55.5,111.0,95.0,75.0,191.0,100.0
ASGR2,38.0,27.5,8.0,16.0,44.0,25.0,38.0,37.0
ASL,60.5,13.0,13.5,26.0,68.0,29.0,19.0,66.0
GET3,599.5,188.5,170.5,371.0,660.0,356.0,240.5,611.0
ASNS,692.0,251.0,43.5,57.0,784.0,458.0,336.5,743.0
ASPH,1191.5,646.0,223.0,402.0,1319.0,1280.0,780.5,1451.0
ASS1,2401.5,1591.0,308.0,470.0,2664.0,1352.0,2249.5,2585.5
ZFHX3,35.5,24.5,89.5,32.0,52.0,30.0,27.0,58.5
ATF1,855.0,475.0,155.0,354.0,808.0,1062.0,580.0,913.0
ATF3,546.5,1984.5,86.0,30.0,777.0,275.0,1598.5,722.5
ATF4,957.0,828.5,415.0,186.0,1435.0,340.0,725.5,1388.5
ATIC,310.0,177.0,112.5,238.0,317.0,271.0,224.0,327.0
ATM,1508.5,985.5,297.0,736.0,1656.0,1564.0,1618.5,1938.5
RERE,499.5,184.5,74.0,148.0,712.0,368.0,229.0,645.0
ATOX1,361.0,95.0,157.5,171.0,378.0,244.0,143.0,363.0
ATP1A1,1906.5,731.0,949.5,1012.0,1877.0,1387.0,961.0,1860.0
ATP1A2,2.0,0.0,0.5,4.0,2.0,0.0,1.0,2.5
ATP1A3,174.0,188.0,100.5,183.0,186.0,107.0,237.0,180.0
ATP12A,0.5,1.5,0.0,0.0,1.0,0.0,0.5,1.0
ATP1B1,97.0,38.0,26.5,50.0,104.0,84.0,59.5,113.0
ATP1B2,8.0,0.5,0.0,0.0,9.0,2.0,0.0,5.5
ATP1B3,4251.5,1286.0,2057.0,2302.0,4377.0,3944.0,1880.5,4320.0
ATP2A1,49.5,14.5,4.5,21.0,48.0,26.0,19.0,47.0
ATP2A2,8612.5,2681.5,2184.5,2555.0,8114.0,9964.0,3736.5,8825.5
ATP2A3,3679.0,1881.0,470.0,1599.0,3811.0,2262.0,2682.0,3633.5
ATP2B1,1042.0,493.0,1050.5,380.0,1048.0,858.0,501.5,1145.5
ATP2B2,15.0,12.5,2.5,7.0,15.0,11.0,18.0,16.5
ATP2B3,7.0,29.5,4.5,4.0,10.0,7.0,38.0,10.0
ATP2B4,3635.5,2178.5,467.0,1226.0,3981.0,3980.0,3328.0,4082.5
ATP5F1A,1211.5,478.0,456.5,687.0,1176.0,1171.0,554.5,1386.5
ATP5F1B,3093.0,1062.0,1204.0,1561.0,3112.0,2057.0,1452.5,3161.5
ATP5F1C,234.5,111.5,73.5,132.0,242.0,175.0,94.0,268.5
ATP5F1D,1205.0,365.0,425.0,630.0,1172.0,852.0,494.5,1174.5
ATP5F1E,1771.5,637.0,838.5,973.0,2064.0,1107.0,852.0,1830.5
ATP5PB,2084.5,680.0,931.5,1029.0,2307.0,2064.0,1096.0,2410.0
ATP5MC1,206.0,58.0,99.0,183.0,206.0,144.0,86.0,207.0
ATP5MC2,2731.5,939.5,949.0,1210.0,2948.0,1635.0,1368.0,2817.5
ATP5MC3,3572.0,1189.0,2055.5,2326.0,3468.0,3426.0,1750.0,3591.5
ATP5ME,2105.0,620.0,745.5,1131.0,2163.0,1267.0,835.0,2105.0
ATP5PF,502.0,192.5,237.5,270.0,456.0,417.0,175.0,512.0
ATP6V1A,3551.5,939.5,1039.0,1345.0,4139.0,3516.0,1422.5,4227.5
ATP6V1B1,1.0,0.0,0.5,1.0,4.0,1.0,0.5,3.0
ATP6V1B2,12502.0,4566.0,7329.0,5054.0,12664.0,10008.0,6426.5,11992.0
ATP6V0C,4871.0,1844.0,1730.0,1776.0,5114.0,3277.0,2344.0,4809.5
ATP6V1C1,3011.0,1066.0,675.0,1308.0,2944.0,3603.0,1665.0,3011.0
ATP6V1E1,2629.5,957.5,786.5,1143.0,2684.0,1813.0,1395.5,2544.0
ATP6V0B,1799.5,693.0,707.0,796.0,1803.0,1285.0,924.0,1573.0
ATP6V0A1,687.5,309.0,196.5,210.0,764.0,518.0,382.0,737.5
ATP6AP1,1819.0,900.5,576.5,793.0,2110.0,1237.0,1172.5,1920.5
ATP7A,124.5,54.5,26.5,25.0,160.0,97.0,82.5,170.5
ATP5PO,933.5,279.5,334.0,427.0,1020.0,663.0,409.0,1061.5
ATP7B,5.5,2.0,1.5,3.0,6.0,1.0,5.0,2.5
ATR,13.0,7.5,4.5,12.0,13.0,12.0,9.0,15.5
ATRX,1284.5,924.0,381.5,707.0,1311.0,1479.0,1088.5,1500.5
AUH,72.5,29.0,8.0,29.0,93.0,55.0,42.5,92.5
AUP1,9341.0,4002.5,2924.0,4875.0,9340.0,8059.0,5926.0,9217.5
AVPR2,21.5,9.5,2.0,3.0,16.0,27.0,7.5,14.5
AXL,31.5,422.0,86.5,73.0,30.0,30.0,600.5,32.5
B2M,6685.0,4018.0,3541.5,3688.0,7659.0,5644.0,6331.0,7386.0
BACH1,837.0,714.0,238.5,174.0,1123.0,675.0,829.0,1152.0
BAD,250.5,95.0,78.5,152.0,235.0,172.0,136.0,234.0
BAG1,1538.5,660.0,415.5,827.0,1344.0,1501.0,1042.5,1331.5
ADGRB1,7.5,8.0,2.0,2.0,10.0,4.0,8.0,9.5
BAK1,781.5,231.5,109.0,281.0,781.0,665.0,328.5,759.0
NKX3-2,34.0,30.0,20.0,11.0,55.0,8.0,35.5,46.0
BARD1,1370.0,354.5,242.5,414.0,1786.0,1205.0,615.5,1795.5
BAX,726.0,345.0,176.0,344.0,668.0,592.0,469.5,683.5
BBS1,237.0,90.5,54.0,64.0,294.0,143.0,121.5,267.0
BBS2,102.0,68.5,20.0,46.0,118.0,69.0,87.5,125.0
BBS4,363.0,109.0,72.5,132.0,467.0,303.0,151.5,446.5
BCAT1,9186.5,5628.5,982.5,1411.0,10118.0,10713.0,8503.0,10925.0
BCAT2,672.0,213.0,128.5,365.0,698.0,513.0,302.5,672.0
BCKDHA,955.5,443.5,191.5,397.0,982.0,628.0,561.5,966.5
BCKDHB,306.0,101.5,53.5,129.0,316.0,253.0,142.0,340.0
CCND1,544.0,533.0,481.0,363.0,408.0,702.0,791.5,449.5
BCL2,7469.5,4941.0,884.0,4390.0,7665.0,7879.0,7421.5,8203.0
BCL2A1,19.5,55.5,62.0,8.0,12.0,24.0,70.0,26.5
BCL2L1,1280.5,598.5,168.0,494.0,1298.0,1159.0,954.0,1309.5
BCL2L2,606.5,439.0,164.0,240.0,726.0,491.0,521.5,742.0
BCL3,245.0,172.5,402.5,72.0,319.0,142.0,280.0,321.5
BCL6,7.0,5.0,10.0,7.0,9.0,12.0,8.0,10.0
BCL7A,1138.0,684.5,294.5,422.0,1148.0,947.0,1102.0,1205.0
BCL9,34.0,19.5,2.5,13.0,36.0,13.0,14.0,34.0
HCN2,10.5,2.5,0.5,4.0,12.0,3.0,1.5,11.5
OPN1SW,18.0,12.0,9.0,19.0,8.0,18.0,20.0,9.5
BCR,199.5,108.0,54.0,85.0,209.0,140.0,146.5,203.0
BCS1L,83.0,32.5,15.5,51.0,80.0,69.0,39.5,83.0
BDH1,3.0,0.5,0.0,2.0,3.0,2.0,1.5,2.5
BDNF,4.5,7.5,3.0,1.0,5.0,3.0,8.5,5.0
BFSP1,14.0,6.5,4.5,6.0,14.0,12.0,7.5,13.5
BGLAP,29.5,25.0,13.0,17.0,30.0,20.0,30.0,34.0
CEACAM1,1.0,28.5,0.0,1.0,1.0,2.0,40.0,4.0
BICD1,7.5,5.5,1.0,5.0,8.0,10.0,4.5,9.5
BID,2004.0,695.0,1029.0,1026.0,1873.0,2294.0,1122.0,1939.5
BIK,51.5,44.5,41.0,51.0,54.0,38.0,52.0,52.5
PRDM1,66.5,67.5,124.0,20.0,97.0,58.0,151.0,136.0
BLM,39.5,17.0,9.5,34.0,35.0,28.0,25.0,39.0
BLMH,1658.5,613.5,631.0,745.0,1674.0,1434.0,927.5,1676.5
CXCR5,10.0,31.0,22.0,9.0,16.0,19.0,39.0,18.0
BLVRA,9.5,14.5,10.5,15.0,8.0,9.0,17.0,8.0
BLVRB,303.0,146.5,98.5,164.0,329.0,159.0,179.0,324.0
BMI1,1376.0,784.0,261.0,408.0,1370.0,1965.0,939.0,1810.5
BMP1,299.5,140.0,154.0,170.0,348.0,212.0,171.0,334.0
BMP2,4.5,17.0,9.5,6.0,5.0,3.0,22.5,6.0
BMP6,2444.0,813.5,1048.5,1437.0,2568.0,2348.0,1238.0,2676.5
BMP8B,595.5,158.5,33.0,160.0,564.0,412.0,225.5,502.0
BMPR1A,114.0,61.5,47.5,69.0,140.0,133.0,107.0,164.5
BMPR2,268.5,250.5,67.0,100.0,349.0,340.0,329.0,355.0
POLR3D,638.5,245.5,119.0,238.0,670.0,456.0,321.5,643.5
BNIP1,178.0,79.5,55.0,67.0,191.0,147.0,108.5,188.5
BNIP2,4117.0,2453.5,859.0,1702.0,4425.0,4620.0,3505.0,4769.0
BNIP3,316.5,267.5,99.0,95.0,318.0,339.0,334.0,336.0
BNIP3L,4887.5,2729.5,974.5,1298.0,5610.0,4803.0,4051.5,5757.0
BOK,13.5,3.5,1.0,1.0,17.0,8.0,7.0,17.0
DST,35.5,18.5,5.5,11.0,42.0,29.0,29.0,45.0
BPGM,469.0,131.5,75.0,206.0,537.0,530.0,191.5,569.5
BPHL,269.5,80.5,65.0,111.0,272.0,177.0,95.0,248.0
BPI,7.5,7.5,2.0,2.0,7.0,8.0,13.0,7.0
BRCA1,7806.0,1674.0,810.5,3470.0,8686.0,8191.0,2968.5,8692.5
BRAF,21.5,13.5,5.0,3.0,27.0,20.0,14.0,32.5
BRCA2,831.0,244.0,165.0,353.0,1084.0,773.0,290.0,1085.0
ZFP36L1,79.0,2141.0,475.5,23.0,79.0,65.0,587.5,101.5
ZFP36L2,5248.0,3226.0,1416.0,1387.0,6309.0,3809.0,4255.5,7187.5
BSG,20131.5,5665.5,7300.0,7651.0,20978.0,13137.0,8052.0,19423.0
BST1,107.5,35.0,32.5,73.0,130.0,90.0,46.0,128.5
BST2,2054.0,2625.0,1688.0,1528.0,2118.0,1468.0,3089.5,1989.0
BTD,83.0,29.5,16.0,29.0,95.0,45.0,36.5,93.5
KLF9,433.5,977.0,86.0,76.0,532.0,364.0,947.0,563.5
KLF5,35.0,96.0,19.5,7.0,42.0,13.0,52.5,33.0
BTF3,6158.5,2709.5,2334.0,2675.0,6167.0,5243.0,3694.5,6608.5
BTG1,1296.5,2391.5,631.0,336.0,1826.0,868.0,2669.5,1516.0
BTK,1260.5,632.0,318.0,700.0,1241.0,1044.0,874.0,1228.0
BUB1,219.0,55.5,37.5,117.0,227.0,267.0,62.5,247.5
BUB1B,508.5,100.0,124.5,284.0,446.0,761.0,190.0,528.5
BYSL,513.0,228.5,131.5,255.0,476.0,436.0,362.0,472.5
TSPO,1090.0,340.0,420.0,576.0,1119.0,656.0,500.0,1105.5
C1QBP,3472.5,1214.5,1260.0,1990.0,3552.0,2876.0,1841.5,3571.5
