,VHL_2h,DMSO_24h,DMSO_2h,MYBi_24h,PBS_24h,VHL_24h
SERTAD2,157.5,103.25,263.75,9.0,63.5,65.75
CKAP5,17.0,12.25,19.5,1.6666666666666667,7.75,5.75
MAML1,120.0,43.5,126.0,1.0,30.5,35.5
PHYHIP,0.0,0.0,0.0,0.0,0.5,0.0
TATDN2,47.75,29.75,53.0,1.3333333333333333,31.25,20.0
IST1,81.25,45.25,96.75,7.0,37.75,26.75
MRPL19,33.5,12.5,49.75,1.0,9.75,7.5
DAZAP2,195.5,147.5,283.0,15.333333333333334,121.0,86.25
TOMM20,207.75,132.25,346.25,15.333333333333334,83.0,64.0
SCRN1,0.0,0.0,0.5,0.0,0.25,0.0
SPOCK2,0.5,0.75,0.25,0.0,0.25,0.0
IP6K1,78.75,23.5,100.0,5.666666666666667,26.0,23.5
RNF40,61.75,49.25,66.25,2.3333333333333335,33.0,44.0
CTIF,14.25,17.25,15.0,0.0,4.75,10.5
DELE1,20.5,9.0,18.0,1.0,11.5,8.0
EFCAB14,72.5,30.25,102.5,7.0,24.25,18.75
SFI1,0.0,0.0,0.5,1.0,0.75,0.0
GIT2,41.5,35.0,53.25,4.0,32.75,21.75
URB2,33.25,14.5,40.25,1.0,7.0,7.5
KEAP1,123.5,87.25,142.25,2.3333333333333335,44.5,51.5
NUP58,64.75,23.0,85.25,3.0,14.25,13.25
TSC22D2,26.25,5.75,33.5,0.3333333333333333,7.5,2.75
CUL7,0.0,0.0,0.25,0.0,0.0,0.0
RB1CC1,15.5,10.25,25.5,1.0,7.25,8.0
ARHGAP11A,9.25,4.25,12.0,3.3333333333333335,3.75,3.5
SPATA2,58.0,57.25,77.0,5.333333333333333,33.25,27.75
ARHGEF11,5.25,2.5,2.25,0.0,0.25,0.25
RGP1,0.5,0.0,1.25,0.0,0.0,0.5
ARHGEF17,2.75,2.5,3.0,0.0,0.75,1.25
DNAJC6,0.0,0.0,0.5,0.0,0.0,0.0
TRIM14,51.75,24.0,49.25,1.0,10.0,25.0
ZNF623,0.5,0.0,0.5,0.0,0.25,0.5
JAKMIP2,0.25,0.25,1.5,0.0,0.0,0.25
MELK,6.25,3.25,9.5,0.3333333333333333,2.25,1.25
LCMT2,41.25,13.0,68.75,2.0,19.5,7.75
GINS1,40.5,19.75,51.0,0.0,7.75,11.25
ZEB2,481.75,347.25,825.5,52.0,272.0,186.75
TESPA1,1.0,1.0,1.0,0.0,0.0,0.25
ZBTB24,34.5,11.25,45.5,2.3333333333333335,8.5,6.0
PLEKHM1,1.0,0.25,0.5,0.0,0.25,0.25
HEPH,0.0,0.0,0.0,0.0,0.0,0.0
ELMO1,22.75,16.25,28.75,0.3333333333333333,10.0,9.0
GAB2,166.75,140.75,200.0,7.333333333333333,57.25,90.25
C2CD5,13.0,3.5,16.0,2.3333333333333335,3.5,2.25
ZNF518A,42.5,14.25,52.0,1.6666666666666667,8.0,10.5
KIAA0753,22.5,12.0,21.5,0.0,7.5,4.0
EPM2AIP1,103.5,53.75,140.0,13.0,71.25,26.0
RUSC2,1.0,0.5,1.25,0.0,1.0,0.0
C2CD2L,18.0,7.0,13.5,2.0,9.5,6.0
FARP2,0.5,1.5,0.25,0.0,0.0,1.0
KIAA0319,0.0,0.0,0.0,0.0,0.0,0.0
CEP350,53.5,36.25,89.75,8.333333333333334,53.0,23.75
PPP1R26,0.25,0.0,0.0,0.0,0.5,0.0
CEP170,0.0,0.25,0.25,0.0,0.5,0.0
LRIG2,17.75,9.75,20.75,0.6666666666666666,7.0,5.0
PSMD6,1.5,1.25,2.5,0.0,0.5,0.25
