,MS2,JQ1,MYBi_30m,PBS_30m,MYBi_6h,MS2_JQ1,DMSO,PBS_6h
A1BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,9.5,7.5,1.5,3.5,1.5,10.0,9.0,1.0
AAMP,13.5,12.5,9.0,8.0,1.0,12.0,17.0,5.0
AARS1,42.0,20.5,6.5,15.0,1.5,38.0,19.0,8.0
ABAT,7.5,5.5,0.5,4.5,0.0,7.0,4.0,0.0
ABCA1,0.0,1.5,25.5,19.0,0.5,0.0,3.0,1.0
ABCA2,5.0,7.0,0.0,1.5,0.0,6.0,11.0,2.0
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
ABCF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,87.0,88.0,23.0,33.0,7.0,81.0,78.0,29.0
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL2,81.0,59.0,67.5,41.5,7.5,67.0,76.0,15.0
ABO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,40.0,41.0,14.0,11.5,2.0,34.0,34.0,4.0
ACAA1,34.0,34.5,2.5,6.5,2.5,34.0,31.0,14.0
ACACA,1.5,1.0,0.5,0.5,0.0,1.0,1.0,0.0
ACACB,5.0,4.0,0.0,1.0,0.0,7.0,3.0,3.0
ACADM,4.5,2.5,0.0,1.5,0.0,6.0,7.0,0.0
ACADS,4.5,4.5,0.0,2.0,0.0,5.0,2.0,3.0
ACADSB,15.0,14.0,1.5,3.5,0.0,15.0,13.0,5.0
ACADVL,4.0,4.0,1.5,2.0,0.0,4.0,7.0,2.0
ACAT1,4.0,4.0,0.5,1.5,0.5,4.0,2.0,1.0
ACAT2,3.5,5.0,2.0,1.0,0.5,4.0,4.0,2.0
ASIC1,1.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0
ACHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,41.5,41.5,23.0,28.0,3.0,40.0,48.0,15.0
ACO1,2.5,3.5,1.0,1.5,0.0,3.0,6.0,1.0
ACO2,8.0,10.0,2.5,4.5,0.0,10.0,6.0,3.0
ACOX1,28.0,23.0,6.0,13.0,3.5,23.0,16.0,6.0
ACP1,66.0,59.0,29.5,38.5,3.5,50.0,61.0,11.0
ACP2,14.0,14.5,2.0,3.0,1.0,14.0,12.0,3.0
ACPP,18.5,14.5,1.5,2.0,0.0,13.0,15.0,13.0
ACRV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,1979.0,1674.0,946.0,739.0,169.5,1825.0,1088.0,366.0
ACTG1,4639.0,4347.0,1380.0,1384.0,147.5,4783.0,2527.0,691.0
ACTN4,86.0,95.0,11.5,31.5,9.5,87.0,81.0,33.0
ACTL6A,6.0,3.5,1.5,6.0,0.0,4.0,10.0,2.0
ACTN1,15.0,15.0,9.5,10.0,1.5,12.0,13.0,8.0
ACTN2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
ACVR1,3.0,1.0,0.5,0.5,0.0,2.0,3.0,1.0
ACVR1B,55.5,51.5,6.5,24.0,1.5,53.0,38.0,7.0
ACVR2A,9.0,3.0,4.5,5.5,0.0,5.0,2.0,1.0
ACVR2B,25.5,19.0,3.5,17.0,1.5,18.0,16.0,9.0
ACVRL1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACY1,1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0
ACYP1,12.5,9.5,0.5,6.5,1.0,15.0,17.0,4.0
