mr211-MV411-JQ1-r1_tcount,mr203-MV411-MYBi_6h-r3_tcount,mr194-MV411-MYBi_30m-r2_tcount,mr197-MV411-PBS_30m-r1_tcount,mr210-MV411-MS2-r3_tcount,mr196-MV411-MYBi_30m-r4_tcount,mr206-MV411-PBS_6h-r2_tcount,mr207-MV411-PBS_6h-r3_tcount,mr200-MV411-PBS_30m-r4_tcount,mr198-MV411-PBS_30m-r2_tcount,mr195-MV411-MYBi_30m-r3_tcount,mr219-MV411-DMSO-r3_tcount,mr218-MV411-DMSO-r2_tcount,mr202-MV411-MYBi_6h-r2_tcount,mr209-MV411-MS2-r2_tcount,mr212-MV411-JQ1-r2_tcount,mr201-MV411-MYBi_6h-r1_tcount,mr217-MV411-DMSO-r1_tcount,mr213-MV411-JQ1-r3_tcount,mr215-MV411-MS2_JQ1-r2_tcount,mr208-MV411-MS2-r1_tcount,mr214-MV411-MS2_JQ1-r1_tcount,mr216-MV411-MS2_JQ1-r3_tcount,mr193-MV411-MYBi_30m-r1_tcount,mr205-MV411-PBS_6h-r1_tcount,mr199-MV411-PBS_30m-r3_tcount,mr204-MV411-MYBi_6h-r4_tcount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,2,5,9,2,8,0,4,0,1,9,2,1,9,4,3,12,3,10,12,5,10,1,1,3,2
35,0,8,8,26,11,8,5,11,7,8,11,19,2,14,12,0,17,20,5,17,12,13,10,1,8,3
19,0,4,9,55,4,9,8,16,18,9,6,19,3,33,13,2,24,11,22,46,38,52,11,5,14,1
0,0,0,6,10,1,2,0,4,1,2,4,2,0,2,7,1,8,3,7,8,4,10,0,0,5,0
3,0,16,16,0,22,1,1,46,16,46,9,1,2,0,1,1,3,3,0,2,0,2,29,0,22,0
10,0,0,3,12,0,5,2,1,1,1,6,11,0,4,7,0,11,8,2,3,6,7,0,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,2,1,0
0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,7,23,32,140,20,35,29,53,29,40,59,78,10,57,58,4,114,98,67,93,81,95,23,27,34,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,4,43,40,146,84,20,15,77,39,95,61,76,11,74,29,11,107,55,45,103,67,88,51,15,43,4
70,2,13,13,60,11,5,4,20,10,35,14,34,2,22,40,0,47,42,30,52,34,46,15,4,7,2
43,2,0,7,45,2,20,7,14,4,9,21,31,3,30,19,0,42,35,15,34,34,51,3,14,6,3
2,0,1,1,2,0,0,1,1,0,1,1,3,0,2,1,0,0,0,2,0,1,1,0,0,0,0
3,0,0,1,5,0,3,7,1,1,1,1,3,0,5,1,0,6,4,4,3,7,7,0,1,0,1
0,0,0,4,1,0,0,0,2,0,0,10,0,0,3,1,0,7,2,6,11,3,10,0,3,1,0
4,0,0,2,2,0,3,1,3,0,0,2,3,0,5,0,0,2,5,4,1,5,7,0,3,2,0
25,0,2,5,15,1,5,5,3,2,3,22,10,2,19,13,0,13,12,8,14,15,28,1,3,4,0
8,0,1,1,3,2,2,3,2,3,5,2,7,1,0,3,0,7,5,4,7,4,4,1,0,2,0
3,1,1,1,3,0,2,1,6,2,0,2,5,0,4,1,2,2,4,4,12,7,4,1,1,0,0
4,1,1,7,7,0,0,2,1,1,4,5,4,0,2,6,2,4,7,4,3,1,7,3,3,1,0
0,0,1,3,5,0,2,0,0,0,0,2,5,0,2,1,0,2,3,0,1,2,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4,23,24,87,22,17,10,43,27,40,38,48,3,40,27,3,72,49,40,76,34,43,23,15,29,2
5,0,1,1,1,0,4,1,2,0,1,7,6,1,2,4,0,3,2,2,6,3,5,1,0,4,0
11,0,0,3,14,3,5,3,12,6,6,3,6,2,6,10,0,9,8,10,6,5,12,2,2,3,0
23,2,6,14,33,6,16,6,20,12,11,6,16,6,21,13,4,23,44,23,35,22,39,1,1,9,3
74,2,27,42,117,23,22,11,55,35,34,61,60,7,52,34,4,100,68,28,92,50,80,32,10,30,3
15,1,1,3,31,1,5,2,3,1,7,4,12,1,12,7,0,13,25,14,14,12,17,3,3,3,1
