gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes
A1BG,0.0,-0.0,,,0.0,,A1BG
A2M,0.0,-0.0,,,0.0,,A2M
NAT1,1.1157503146033574,-0.2104305917230021,1.498379736577499,0.140438759672267,0.8883133355016175,0.9323903464079292,NAT1
AAMP,1.5354591495312497,-1.2784237987393037,1.3221668525370407,0.9669156326875079,0.333586211081967,0.49536470763341023,AAMP
AARS1,2.2820157562306096,-1.8128527548462214,1.0546068238284363,1.7189844725878018,0.08561719929995931,0.19535301180851222,AARS1
ABAT,0.19797603375809741,-0.2704936853934,3.444392364639732,0.07853161218515604,0.9374051849761561,,ABAT
ABCA1,0.44406102933617964,0.6354147723876153,2.293311356121234,-0.27707305015151407,0.7817240148721489,,ABCA1
ABCA2,0.5428620681906825,-3.176103622646971,2.1152153017737403,1.5015509863150147,0.13321310964267719,,ABCA2
ABCA3,0.17338309942381191,-1.4969777944071916,3.759111038355272,0.39822654322607237,0.6904632018595375,,ABCA3
ABCB7,0.1853228594328682,1.885511974794638,3.812618409494765,-0.49454515828257245,0.6209212222981042,,ABCB7
ABCF1,0.0,-0.0,,,0.0,,ABCF1
ABL1,10.114231964573822,-1.57986708286361,0.5108597681044167,3.0925650863559384,0.0019843471393885628,0.014716105331069056,ABL1
AOC1,0.0,-0.0,,,0.0,,AOC1
ABL2,6.932984829130905,-0.6563605754450295,0.5801331674858852,1.131396396950531,0.25788828733065106,0.41830044802698646,ABL2
ABO,0.0,-0.0,,,0.0,,ABO
ABR,1.6985750889033455,-0.9541550554983358,1.1642819657392072,0.8195223181117806,0.4124884739125654,0.5724840031877423,ABR
ACAA1,3.8601592320374563,-2.1446443862411924,0.8574111794112699,2.501302103051402,0.012373757573622074,0.05461944274758295,ACAA1
ACACA,0.09644200418730911,-0.45093568247036053,3.8140963303587805,0.11822870830007128,0.9058864435418486,,ACACA
ACACB,1.0340904415204115,-3.1748746518533357,1.7136215059386832,1.85272806208989,0.06392134571722452,0.16010509602472378,ACACB
ACADM,0.2600746491357179,-2.0845025727989706,3.3307467106820563,0.6258364126319635,0.5314222456630884,,ACADM
ACADS,0.514488559385522,-3.0864298932225456,2.152631932145078,1.4337936026745393,0.15163117113305857,,ACADS
ACADSB,1.2078714735880265,-2.606587705929274,1.5806052101521284,1.6491073730412402,0.09912563941311187,0.21612592528704164,ACADSB
ACADVL,0.49579076330939303,-1.962559937550145,2.254734036757469,0.8704174885178478,0.38407229281835764,,ACADVL
ACAT1,0.609665095834261,-0.26191840170356073,1.892142308284948,0.13842426151390566,0.8899051236722721,,ACAT1
ACAT2,0.7741755954037186,-0.8542473344559305,1.845429841302273,0.46289884087552735,0.643436878397871,0.7607090879306494,ACAT2
ASIC1,0.3653892531773812,-2.5950875231537545,2.6411591651900843,0.9825562795898315,0.325825871118312,,ASIC1
ACHE,0.0,-0.0,,,0.0,,ACHE
ACLY,4.513644377884279,-1.6629289933415465,0.7365396533956053,2.257758948449127,0.02396069186088939,0.08442619150436198,ACLY
ACO1,0.40822135897643813,-1.6594789497252072,2.4146827275658396,0.6872451319507603,0.49192826820690355,,ACO1
ACO2,0.9282959155015023,-2.1511769239946243,1.7117846020898142,1.256686689066126,0.20886710997005953,0.36301949173039094,ACO2
ACOX1,3.1001940324951867,-0.3572281206661096,0.8912551962014337,0.40081462883877766,0.6885566076381711,0.7938096542977359,ACOX1
ACP1,4.779721959669678,-1.2656451094836685,0.699475982096699,1.8094189677390515,0.07038593859278379,0.17169352419162917,ACP1
ACP2,1.0676223492156578,-1.5088224079555925,1.4698929779902774,1.0264845336009032,0.30466325021081375,0.46643844850954613,ACP2
ACPP,3.2258785444481526,-4.162321365978406,1.2440663791920394,3.3457389698784654,0.0008206361068274997,0.007627979162724987,ACPP
ACRV1,0.0,-0.0,,,0.0,,ACRV1
ACTA2,0.0,-0.0,,,0.0,,ACTA2
ACTB,161.7972041280853,-0.7710425838905717,0.21095233700419666,3.6550558995477385,0.0002571259469083084,0.0031543843843929976,ACTB
ACTG1,244.11226235385234,-1.6649394919996061,0.16870816555509313,9.868754642204355,5.686621926105341e-23,4.7748668772864514e-20,ACTG1
ACTN4,11.328868476871078,-1.5372514379354185,0.5283900415939092,2.909311903945501,0.0036222528118304642,0.0230028273100864,ACTN4
ACTL6A,0.5485228070765963,-3.168521100978029,2.122774719039288,1.492631824074115,0.13553358821826292,,ACTL6A
