mr193-MV411-MYBi_30m-r1_tcount,mr194-MV411-MYBi_30m-r2_tcount,mr195-MV411-MYBi_30m-r3_tcount,mr196-MV411-MYBi_30m-r4_tcount,mr197-MV411-PBS_30m-r1_tcount,mr198-MV411-PBS_30m-r2_tcount,mr199-MV411-PBS_30m-r3_tcount,mr200-MV411-PBS_30m-r4_tcount,mr201-MV411-MYBi_6h-r1_tcount,mr202-MV411-MYBi_6h-r2_tcount,mr203-MV411-MYBi_6h-r3_tcount,mr204-MV411-MYBi_6h-r4_tcount,mr205-MV411-PBS_6h-r1_tcount,mr206-MV411-PBS_6h-r2_tcount,mr207-MV411-PBS_6h-r3_tcount,mr208-MV411-MS2-r1_tcount,mr209-MV411-MS2-r2_tcount,mr210-MV411-MS2-r3_tcount,mr211-MV411-JQ1-r1_tcount,mr212-MV411-JQ1-r2_tcount,mr213-MV411-JQ1-r3_tcount,mr214-MV411-MS2_JQ1-r1_tcount,mr215-MV411-MS2_JQ1-r2_tcount,mr216-MV411-MS2_JQ1-r3_tcount,mr217-MV411-DMSO-r1_tcount,mr218-MV411-DMSO-r2_tcount,mr219-MV411-DMSO-r3_tcount,mr252-MV411_MEF2D-DMSO_2h-r1_tcount,mr253-MV411_MEF2D-DMSO_2h-r2_tcount,mr254-MV411_MEF2D-DMSO_2h-r3_tcount,mr255-MV411_MEF2D-DMSO_2h-r4_tcount,mr256-MV411_MEF2D-VHL_2h-r1_tcount,mr257-MV411_MEF2D-VHL_2h-r2_tcount,mr258-MV411_MEF2D-VHL_2h-r3_tcount,mr259-MV411_MEF2D-VHL_2h-r4_tcount,mr260-MV411_MEF2D-DMSO_24h-r1_tcount,mr261-MV411_MEF2D-DMSO_24h-r2_tcount,mr262-MV411_MEF2D-DMSO_24h-r3_tcount,mr263-MV411_MEF2D-DMSO_24h-r4_tcount,mr264-MV411_MEF2D-VHL_24h-r1_tcount,mr265-MV411_MEF2D-VHL_24h-r2_tcount,mr266-MV411_MEF2D-VHL_24h-r3_tcount,mr267-MV411_MEF2D-VHL_24h-r4_tcount,mr268-MV411-PBS_24h-r1_tcount,mr269-MV411-PBS_24h-r2_tcount,mr270-MV411-PBS_24h-r3_tcount,mr271-MV411-PBS_24h-r4_tcount,mr272-MV411-MYBi_24h-r1_tcount,mr273-MV411-MYBi_24h-r2_tcount,mr274-MV411-MYBi_24h-r3_tcount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,2,5,0,3,4,3,1,0,2,1,8,0,12,9,9,11,4,3,5,10,10,12,2,9,4,3,18,25,3,0,3,21,5,0,4,2,0,3,0,0,1,0,9,0,0,0,0
10,8,8,11,8,7,8,11,0,2,0,3,1,8,5,17,14,26,35,12,20,12,5,13,17,19,11,7,5,17,10,5,1,11,19,18,0,2,15,8,15,0,1,7,0,21,0,0,0,0
11,4,9,4,9,18,14,16,2,3,0,1,5,9,8,46,33,55,19,13,11,38,22,52,24,19,6,13,11,18,25,12,4,9,57,35,2,15,10,7,10,0,2,2,0,19,1,0,0,2
0,0,2,1,6,1,5,4,1,0,0,0,0,2,0,8,2,10,0,7,3,4,7,10,8,2,4,1,1,2,3,0,0,0,5,6,0,3,7,0,5,0,0,1,0,5,0,0,0,0
29,16,46,22,16,16,22,46,1,2,0,0,0,1,1,2,0,0,3,1,3,0,0,2,3,1,9,1,1,5,6,1,0,3,2,4,0,4,4,0,5,2,0,0,0,6,0,0,0,0
0,0,1,0,3,1,2,1,0,0,0,0,1,5,2,3,4,12,10,7,8,6,2,7,11,11,6,5,3,10,10,4,1,6,13,5,0,8,0,0,4,0,0,1,0,3,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,40,20,32,29,34,53,4,10,7,7,27,35,29,93,57,140,110,58,98,81,67,95,114,78,59,33,43,112,113,48,11,63,146,58,1,40,42,23,62,7,6,18,0,99,0,0,8,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,43,95,84,40,39,43,77,11,11,4,4,15,20,15,103,74,146,63,29,55,67,45,88,107,76,61,43,41,136,154,38,24,60,216,51,1,33,26,12,55,5,3,12,0,54,5,1,17,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,13,35,11,13,10,7,20,0,2,2,2,4,5,4,52,22,60,70,40,42,34,30,46,47,34,14,13,16,34,34,12,0,13,47,60,5,29,20,22,49,4,2,2,0,12,0,0,1,0
3,0,9,2,7,4,6,14,0,3,2,3,14,20,7,34,30,45,43,19,35,34,15,51,42,31,21,4,4,16,19,12,0,12,34,16,3,17,17,12,18,0,2,0,5,18,5,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,2,2,1,0,1,2,1,0,3,1,1,0,3,7,1,0,1,2,2,6,4,0,1,2,4,1,1,0,2,0,0,0,0
0,0,1,0,1,1,0,1,0,0,0,1,1,3,7,3,5,5,3,1,4,7,4,7,6,3,1,1,1,5,2,1,0,1,3,5,0,4,1,2,3,0,0,2,0,8,0,0,0,0
0,0,0,0,4,0,1,2,0,0,0,0,3,0,0,11,3,1,0,1,2,3,6,10,7,0,10,1,0,2,2,1,3,0,7,2,0,0,1,0,0,0,1,0,0,4,2,0,4,0
0,0,0,0,2,0,2,3,0,0,0,0,3,3,1,1,5,2,4,0,5,5,4,7,2,3,2,2,1,5,7,4,0,3,4,3,0,2,0,1,4,0,0,0,0,3,0,0,0,0
1,2,3,1,5,2,4,3,0,2,0,0,3,5,5,14,19,15,25,13,12,15,8,28,13,10,22,3,4,11,16,3,10,3,9,7,0,8,3,3,11,2,0,3,2,23,0,0,2,0
1,1,5,2,1,3,2,2,0,1,0,0,0,2,3,7,0,3,8,3,5,4,4,4,7,7,2,0,2,8,8,6,0,4,6,4,0,1,1,0,1,0,1,5,0,3,0,0,4,1
1,1,0,0,1,2,0,6,2,0,1,0,1,2,1,12,4,3,3,1,4,7,4,4,2,5,2,3,2,1,5,0,0,1,5,2,0,2,2,1,6,0,0,0,0,2,0,0,4,0
3,1,4,0,7,1,1,1,2,0,1,0,3,0,2,3,2,7,4,6,7,1,4,7,4,4,5,0,3,7,10,1,1,6,11,6,0,4,1,3,6,2,0,8,0,14,0,0,1,0
