,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes,gene_id
0,0.0,-0.0,,,0.0,,A1BG,A1BG
1,0.0,-0.0,,,0.0,,A2M,A2M
2,8.424823150878067,0.41768052731232685,0.8624641907203786,-0.48428738468950994,0.6281819277030621,,NAT1,NAT1
3,24.636261179244983,1.197485024777095,0.559529227046397,-2.1401652798340733,0.032341411998695925,,AAMP,AAMP
4,18.65895826718141,0.5715772010388399,0.6055073115715675,-0.9439641604910378,0.345187963057321,,AARS1,AARS1
5,4.707186684376642,0.26458034879758857,1.1009407798458484,-0.24032205332119191,0.8100805998206836,,ABAT,ABAT
6,3.934947785439208,-0.3673023310495098,1.1704842499117691,0.31380373642549825,0.7536701063778324,,ABCA1,ABCA1
7,10.762484929277795,0.516702804287567,0.6918959310880012,-0.746792662120524,0.4551887256403292,,ABCA2,ABCA2
8,0.4215805702667753,0.6417334720969361,3.307270287229662,-0.1940372017899041,0.8461467526214012,,ABCA3,ABCA3
9,0.0,-0.0,,,0.0,,ABCB7,ABCB7
10,0.5748033847072166,2.6720459991592014,3.1479589660156813,-0.8488185608534679,0.39598226046537716,,ABCF1,ABCF1
11,105.06663235553063,0.7705408613191276,0.3599105343913187,-2.1409233342454606,0.03228022107127223,0.11624239192360997,ABL1,ABL1
12,0.0,-0.0,,,0.0,,AOC1,AOC1
13,74.41249137774233,-0.058351649444257046,0.38395483066543584,0.1519752970502474,0.8792064194093071,0.9128444744654771,ABL2,ABL2
14,0.0,-0.0,,,0.0,,ABO,ABO
15,53.817384785584125,1.4400440196899629,0.46661850963905394,-3.0861270822794586,0.0020278213382950235,0.033543881261358315,ABR,ABR
16,38.76713540410044,0.7286106687448021,0.4552685350435608,-1.6003975953995755,0.1095104082236772,0.22987220169095438,ACAA1,ACAA1
17,1.5678517276530926,0.27774095261088655,1.8279143524256993,-0.15194418285644273,0.8792309599598499,,ACACA,ACACA
18,3.33018968381654,0.34794488605456647,1.1746168594369109,-0.29621989779830393,0.7670621541243758,,ACACB,ACACB
19,3.4149222682627056,-1.9901310489425053,1.4545990656147674,1.3681646688679827,0.1712605380452781,,ACADM,ACADM
20,3.185512349163213,0.8930053247556714,1.2505377566027722,-0.7140970514809739,0.47516716907336326,,ACADS,ACADS
21,20.652571144541874,0.815710582260464,0.6081669809700001,-1.3412608835807573,0.17983576514443195,,ACADSB,ACADSB
22,6.531450179150421,0.7032567255934649,0.8871606604846771,-0.7927050385769573,0.4279496940338627,,ACADVL,ACADVL
23,3.3537497652495487,0.3801719761596046,1.1746563546430129,-0.32364527264243315,0.7462066085260961,,ACAT1,ACAT1
24,6.303688521161189,0.992264274282189,0.8721093548224698,-1.1377750608857744,0.25521442121858656,,ACAT2,ACAT2
25,2.311816834518052,-0.7139406647090385,1.4529666672728012,0.49136754530583654,0.623166514400519,,ASIC1,ASIC1
26,0.0,-0.0,,,0.0,,ACHE,ACHE
27,66.44172066120207,0.7767552192468457,0.4549938477059751,-1.707177411657659,0.08778908214991145,0.20235255723830486,ACLY,ACLY
28,5.690656707819597,0.11167674878535314,0.9571529071032098,-0.11667597513059744,0.9071168292883038,,ACO1,ACO1
29,10.271772948954958,1.4260799113955969,0.7349890610433794,-1.9402736543740602,0.05234644139918615,,ACO2,ACO2
30,25.103894266159283,1.4389484613227883,0.537920161268652,-2.6750223637818586,0.007472426538229019,,ACOX1,ACOX1
31,77.78790097751008,0.3396467927301007,0.38108778784667496,-0.891256040108933,0.37279182630934277,0.4964181086710684,ACP1,ACP1
32,15.301198224866676,1.2969177101817038,0.6324648902601722,-2.050576609316923,0.040308196192105704,,ACP2,ACP2
33,18.883036411477583,0.3156487706430354,0.5429901722138899,-0.5813158079013958,0.5610276284888156,,ACPP,ACPP
34,0.0,-0.0,,,0.0,,ACRV1,ACRV1
35,0.0,-0.0,,,0.0,,ACTA2,ACTA2
36,1702.6460151510732,1.1483822449026084,0.32832365071558645,-3.4977140464894676,0.00046926398233510474,0.018821970843142858,ACTB,ACTB
37,4144.840324884526,1.299151010846635,0.30695375127950714,-4.2323998499163125,2.3121087955918425e-05,0.004571369390141586,ACTG1,ACTG1
38,120.71660235373002,1.1748432236425355,0.3777251745351058,-3.1103122133400336,0.0018688968751640915,0.03261063581573173,ACTN4,ACTN4
39,6.465057255120355,-0.5194154425815224,0.8766916953882952,0.5924721829964048,0.5535344426060547,,ACTL6A,ACTL6A
40,23.805826413758012,1.1613037937472532,0.55235445212906,-2.1024611809880183,0.03551289669645513,,ACTN1,ACTN1
41,1.0763797545338956,0.14769108938812375,2.2173637959794985,-0.0666066117142869,0.9468948820504364,,ACTN2,ACTN2
42,2.1259802915165698,-0.8851720288591225,1.486202287805913,0.59559323526941,0.5514469969029978,,ACVR1,ACVR1
43,57.472638179280935,0.794077347616269,0.4049146699370132,-1.9610979956339747,0.04986759251363858,0.14797956865883724,ACVR1B,ACVR1B
44,2.5745730311543737,1.2209575483963615,1.3792162029370405,-0.885254643758051,0.3760193065507351,,ACVR2A,ACVR2A
45,22.004732346186348,0.8936108738503723,0.5246711123197793,-1.7031829137673768,0.08853384316941505,,ACVR2B,ACVR2B
46,0.6711486570510705,-0.43368640780902223,2.812624138507946,0.15419280588236942,0.8774577144303393,,ACVRL1,ACVRL1
47,2.1253855023391193,1.3102452585607303,1.508275236464218,-0.8687043497659482,0.38500886164801984,,ACY1,ACY1
48,13.827990580735532,-0.24757166876127473,0.6355712671481026,0.38952621296454054,0.6968869236514654,,ACYP1,ACYP1
