gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes
A1BG,0.0,-0.0,,,0.0,,A1BG
A2M,0.0,-0.0,,,0.0,,A2M
NAT1,0.7752277750396099,-1.7986996562400108,1.6937366952455082,1.0619712386754945,0.2882487423126907,,NAT1
AAMP,3.843229489030252,-0.4023463465381497,0.9861450216229661,0.40799916616318854,0.6832742870748456,,AAMP
AARS1,5.837673226656197,-1.3926399025589677,0.699103192721066,1.9920376806441145,0.046366923718177244,,AARS1
ABAT,1.2394414586661686,-1.8837818808686606,1.4956748587429534,1.2594862244671903,0.20785476281914833,,ABAT
ABCA1,1.3078901896637956,-0.6584844198014035,1.2826577692410135,0.5133749902680964,0.6076890366589228,,ABCA1
ABCA2,0.9229609058978001,-1.7488790832193215,1.8806518550614042,0.9299323947239665,0.3524060889725373,,ABCA2
ABCA3,0.0,-0.0,,,0.0,,ABCA3
ABCB7,0.04427773153794406,-0.4730849273041281,3.522524085652653,0.1343028225785644,0.8931631213698848,,ABCB7
ABCF1,0.0,-0.0,,,0.0,,ABCF1
ABL1,16.61447925434589,-0.35581192532968203,0.4947956384185742,0.7191088556619039,0.47207385136203395,0.7044432779309714,ABL1
AOC1,0.08165411158784977,-0.6670088317239418,3.5187328800727005,0.189559382441716,0.8496544181530018,,AOC1
ABL2,12.041098188688085,-0.5120949812107161,0.550441292180167,0.9303353300084549,0.3521974907315344,0.636313948656482,ABL2
ABO,0.0,-0.0,,,0.0,,ABO
ABR,13.812061438550593,-0.517360360412653,0.533038835954364,0.970586616801307,0.3317541730625687,0.6228595592848711,ABR
ACAA1,6.982593216181977,-0.7376194995004492,0.6854003322798693,1.0761878347022122,0.28184325933070387,0.5950979941170238,ACAA1
ACACA,3.9816680245834695,-1.1540907224356534,1.244591716636226,0.9272845922153726,0.3537787919797607,,ACACA
ACACB,0.9087967479553434,-0.7753086285964882,1.468028141637694,0.5281292685108707,0.597409617692157,,ACACB
ACADM,0.398916041144794,-0.671141576114666,2.363551414715636,0.2839547182837199,0.7764450824029323,,ACADM
ACADS,0.5350721091280946,-0.08195647360149778,1.8894623859963782,0.043375551801884286,0.9654021661903882,,ACADS
ACADSB,2.1916691038297937,-0.07565515209428879,0.9742197467959774,0.07765717369526139,0.9381007616187411,,ACADSB
ACADVL,0.5950404202817672,-1.0329938605370637,1.7586654710591452,0.5873737089492919,0.55695274717678,,ACADVL
ACAT1,0.7335921409061505,-0.08327173881956218,1.571247164462208,0.052997224563370124,0.957734119085218,,ACAT1
ACAT2,1.5140627148016592,0.32705226251198405,1.1349303495570136,-0.2881694569535824,0.7732170273719647,,ACAT2
ASIC1,1.4715125005077914,-1.3349952058220145,1.2139784979821695,1.0996860389545569,0.27146893970916985,,ASIC1
ACHE,0.0,-0.0,,,0.0,,ACHE
ACLY,16.04019804894604,-0.7235824994282337,0.4956302019445476,1.4599241462472257,0.14431092220657843,0.5215356232198601,ACLY
ACO1,0.47912898344078475,-0.5777831187495814,1.9638752885953783,0.29420560567408993,0.7686007974014215,,ACO1
ACO2,3.3912849484801173,-0.8531647674945313,0.9531820378065573,0.8950701268540648,0.3707496018629096,,ACO2
ACOX1,6.179605987223655,-1.9375108224121886,0.7285005159569878,2.65958744019144,0.007823641902324102,0.42440898513621866,ACOX1
ACP1,12.554766014100869,-0.8013013364072205,0.5301208734581015,1.5115445863886585,0.13064975781419078,0.5168519744614175,ACP1
ACP2,2.887257200786283,-0.6364441017499459,0.9066136251180301,0.702001474627175,0.4826782438220509,,ACP2
ACPP,3.435874631645862,1.0590659451324922,0.8516584513877747,-1.243533652964692,0.21367124781883498,,ACPP
ACRV1,0.0,-0.0,,,0.0,,ACRV1
ACTA2,0.0,-0.0,,,0.0,,ACTA2
ACTB,1072.7535069290197,-0.8652133680983891,0.3002677429851892,2.88147291312962,0.003958212545544304,0.3988300148277901,ACTB
ACTG1,1803.1284309993557,-0.6001851318579845,0.29217169533327164,2.0542206567045143,0.03995433999317083,0.4379657658973488,ACTG1
ACTN4,12.822377355811106,-0.7832264819267422,0.48429605346483084,1.6172472939295166,0.10582491128081623,0.4845138366647843,ACTN4
ACTL6A,2.350151462548133,0.15025815672968615,0.9799649201686372,-0.1533301382908982,0.878137934760692,,ACTL6A
ACTN1,11.007470685778427,-0.9877480358617771,0.5074088842014781,1.9466510473426584,0.05157658418154183,0.4452050661232533,ACTN1
ACTN2,0.22896779771908515,-0.379382616844326,2.795234452605211,0.13572479277748395,0.8920388472793745,,ACTN2
