gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes
A1BG,0.0,-0.0,,,0.0,,A1BG
A2M,0.0,-0.0,,,0.0,,A2M
NAT1,1.7429898218796893,-1.4940871682468602,1.131304434892938,1.3206764882772288,0.1866092569139361,0.2716449721902866,NAT1
AAMP,6.699592451077349,-0.34934037696734666,0.5961928972278466,0.585951926954674,0.5579078206289156,0.6354374537458655,AAMP
AARS1,8.37782960651069,-1.6619149433905138,0.567883304886262,2.9265078390064114,0.003427908669393748,0.013222127687895598,AARS1
ABAT,1.912496927493661,-3.2700639055425733,1.2411829346698178,2.634634923024045,0.008422782122799894,0.026125401391421423,ABAT
ABCA1,18.15788597383822,-0.40703607128409264,0.40913449851250794,0.9948710577180743,0.3197989808886459,0.410850216694569,ABCA1
ABCA2,0.8186838426612871,-3.219791979837673,1.6576168410882524,1.942422337917264,0.05208599325284656,0.10476324111592787,ABCA2
ABCA3,0.1244447525061929,-1.338065528626005,3.533811540930397,0.3786465444259977,0.7049503538229811,,ABCA3
ABCB7,0.7173770001671581,-1.537053192052752,1.8700665348900265,0.82192433444254,0.41111996234500997,0.5002791282496405,ABCB7
ABCF1,0.0,-0.0,,,0.0,,ABCF1
ABL1,23.06076996057853,-1.1280912853723075,0.34045373479002344,3.313493641266892,0.0009213820215388008,0.004806608786182027,ABL1
AOC1,0.0,-0.0,,,0.0,,AOC1
ABL2,41.62073976865679,-0.035417948950278645,0.3605460345822596,0.09823419356508813,0.9217463312226589,0.9408062690048425,ABL2
ABO,0.0,-0.0,,,0.0,,ABO
ABR,9.919403292086042,-0.15018525740376656,0.46091086306421547,0.3258444732790824,0.744542028594625,0.7959462055908239,ABR
ACAA1,3.957423508985453,-1.9436779426186155,0.7765073626283356,2.5031030434014436,0.01231096952644609,0.03509582752130219,ACAA1
ACACA,0.28900212269762143,-0.6710056097950303,2.421034557149815,0.2771565601215448,0.7816598934590551,,ACACA
ACACB,0.3483749821322458,-1.9365013970924754,2.2606048142195627,0.856629776647194,0.39164952399014813,,ACACB
ACADM,0.7260023470713582,-3.815286402646954,1.8641437504409648,2.0466696314296815,0.04069053294456622,0.0866580975781381,ACADM
ACADS,0.7083871858268228,-3.7849899078780034,1.849178034739152,2.046849917515876,0.040672822743209304,0.0866580975781381,ACADS
ACADSB,1.9869326626759138,-1.7891863354328499,1.0108346654236477,1.7700088814059316,0.0767256612161781,0.1411694095867769,ACADSB
ACADVL,1.4580066066209518,-0.6690264123011315,1.1222002914474716,0.5961738001673363,0.5510591263543521,0.6294489539139809,ACADVL
ACAT1,1.0026715214202087,-2.5174459592752765,1.5766798776857271,1.5966753904225752,0.11033808407435945,0.18468336377805042,ACAT1
ACAT2,1.5944822077837613,-1.1521093612066513,1.1890252075751713,0.9689528479856168,0.33256871568443414,0.42350683490249313,ACAT2
ASIC1,0.3985447628673424,-1.865940564058344,2.4662802872957945,0.75658090188293,0.44930098670129276,,ASIC1
ACHE,0.0,-0.0,,,0.0,,ACHE
ACLY,20.743205570587747,-0.823968775441636,0.35699908775529704,2.308041683306543,0.020996818201786137,0.052527157240588734,ACLY
ACO1,0.9639528599083118,-1.94124062857134,1.5145954773949895,1.2816891754557156,0.19995170363919443,0.2864786159109366,ACO1
ACO2,3.156498923952685,-1.807246719835919,0.8671792187745969,2.084052155204691,0.03715542340870558,0.0809543663962028,ACO2
ACOX1,7.327112008140035,-1.9327340833448257,0.5702435220310407,3.389313527773173,0.0007006784646969884,0.0038778585035364344,ACOX1
ACP1,25.887670576974177,-1.035275443582312,0.35782186407523536,2.8932704999955945,0.0038125279768146613,0.01440848116849816,ACP1
ACP2,1.7745579011977353,-0.5818838911843393,1.02259332225332,0.5690276657607521,0.5693373651378147,0.6451738187390876,ACP2
ACPP,1.474125704579072,-1.3424833635180826,1.2126646988059033,1.1070523986061525,0.268271274359851,0.3582845586973205,ACPP
ACRV1,0.0,-0.0,,,0.0,,ACRV1
ACTA2,0.0,-0.0,,,0.0,,ACTA2
ACTB,660.7969663673812,-0.20443209037136553,0.2574248668616818,0.7941427448856754,0.4271123356454458,0.5135064727764979,ACTB
ACTG1,1074.3799102204198,-0.42491337937030144,0.2387684966334051,1.7796040321964885,0.07514078586723338,0.1388840527985131,ACTG1
ACTN4,16.69307821901232,-1.897398025164328,0.41697668754662554,4.5503695574159995,5.355177733887236e-06,7.866125118477263e-05,ACTN4
