,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes,gene_id
0,0.0,-0.0,,,0.0,,A1BG,A1BG
1,0.0,-0.0,,,0.0,,A2M,A2M
2,6.668858693225123,-0.28847011423675545,0.7929505748171665,0.3637933099465488,0.7160123587405826,,NAT1,NAT1
3,11.780594316065347,-0.9731583161350064,0.6473330546297887,1.503334812234419,0.13275272735208765,,AAMP,AAMP
4,22.282046635815306,0.9038584102275701,0.5480278682793778,-1.6492927869989165,0.09908766665038911,0.41900702582311883,AARS1,AARS1
5,4.643753574453758,0.1747858999635504,0.8967438278814228,-0.19491174015268772,0.8454620431503039,,ABAT,ABAT
6,2.4864515621119234,-3.34091376595141,1.5924474735019387,2.097974232458941,0.035907421667250985,,ABCA1,ABCA1
7,6.564862571900044,-1.2351324357559772,0.815919092583081,1.5137927853186126,0.13007840303794757,,ABCA2,ABCA2
8,0.32881371888364314,-0.37927679389195856,3.44101563030425,0.11022233975101806,0.9122330456571827,,ABCA3,ABCA3
9,0.0,-0.0,,,0.0,,ABCB7,ABCB7
10,0.19818445720882782,0.5830067780410982,4.079829416613661,-0.14289979273814968,0.8863693222641327,,ABCF1,ABCF1
11,72.05647627974272,-0.3415061280515234,0.36729374323028413,0.9297902138164317,0.35247971421006374,0.6823451628950562,ABL1,ABL1
12,0.0,-0.0,,,0.0,,AOC1,AOC1
13,65.30270206745331,-0.6018887374810526,0.3831634341691714,1.570840753074865,0.11621964328966373,0.45071116319841587,ABL2,ABL2
14,0.0,-0.0,,,0.0,,ABO,ABO
15,29.032323227710297,-0.09356637597247186,0.46826441598527097,0.19981525987961243,0.8416250663389007,0.9408858626852419,ABR,ABR
16,27.96701630995015,-0.2377918408986374,0.4992395247903177,0.47630812283644963,0.633854879310096,0.8446846062015501,ACAA1,ACAA1
17,1.2316611942602758,-0.4784336805172615,1.7503598319041127,0.27333447203070343,0.7845961190138524,,ACACA,ACACA
18,3.9662624882054436,0.6143593400334616,1.0090506170813447,-0.6088488819425943,0.5426246095776559,,ACACB,ACACB
19,5.0123057144924985,-0.3630197839407468,0.9801286908159731,0.3703797137481272,0.7110995868419127,,ACADM,ACADM
20,3.2407588065230253,0.8005823167406675,1.0788768930882695,-0.7420515926047987,0.45805607726367936,,ACADS,ACADS
21,14.082201501541917,-0.27687160367673946,0.6253870771597345,0.442720378767951,0.6579680003729098,,ACADSB,ACADSB
22,4.1282193968389045,-0.7328924894928855,0.9655837919226984,0.7590149043756511,0.4478436410559012,,ACADVL,ACADVL
23,3.7191960483036333,0.4660589186328063,1.0550980224168875,-0.44172096689672147,0.6586911354471123,,ACAT1,ACAT1
24,3.46464154523468,-0.6944033390814245,1.0300539138005829,0.6741427121220182,0.5002205869508926,,ACAT2,ACAT2
25,1.9204680261054803,-2.3107820604556633,1.6351139492437932,1.4132238682963671,0.15758991067227554,,ASIC1,ASIC1
26,0.0,-0.0,,,0.0,,ACHE,ACHE
27,40.248854333066944,-0.7708116833041587,0.39149355109472,1.9689000780441068,0.04896456660052072,0.32542270069833684,ACLY,ACLY
28,4.0636733005571894,-1.1575602555550193,0.9977490535421566,1.1601717400237157,0.24597889035740836,,ACO1,ACO1
29,5.996446111452194,0.17052668505350616,0.7904807936393338,-0.21572527305617367,0.8292018999792746,,ACO2,ACO2
30,17.404415481174173,0.548105900746056,0.5388417444795189,-1.0171927219103738,0.3090617576479347,0.655317075850568,ACOX1,ACOX1
31,55.587630043497725,-0.8302733055372082,0.41092077935828414,2.0205191541635044,0.04332956538052197,0.30858649865196364,ACP1,ACP1
32,10.048187637706373,0.21976880151576714,0.6530306921590109,-0.3365367112978729,0.7364661726601516,,ACP2,ACP2
33,13.661160229417606,-0.849030349769608,0.582928984646512,1.4564901937145223,0.1452571585232917,,ACPP,ACPP
34,0.0,-0.0,,,0.0,,ACRV1,ACRV1
35,0.0,-0.0,,,0.0,,ACTA2,ACTA2
36,1310.5697502154057,0.4821993936424309,0.2992742367910242,-1.6112292150932417,0.10712977235372972,0.433424459203806,ACTB,ACTB
37,3087.7249860023417,0.5813702365269706,0.3153667447716429,-1.843473499236392,0.06525990748621803,0.3595835436991167,ACTG1,ACTG1
38,73.5272579756703,-0.1260888256424103,0.3700932503946864,0.3406947451971705,0.733333394988479,0.8979650243351328,ACTN4,ACTN4
39,5.89661642934429,-1.0014699442393653,0.9430685360272494,1.061927003161548,0.2882688252111315,,ACTL6A,ACTL6A
40,11.486045467795147,-0.9029199237134674,0.5987450274075751,1.5080207473670353,0.13154921707744757,,ACTN1,ACTN1
41,1.0069837399327193,-0.061010533688989815,1.872312779321731,0.032585652548444206,0.9740050113630272,,ACTN2,ACTN2
42,2.3684117904235484,-0.5077249708092735,1.2400023987602184,0.40945482953654605,0.6822059092806654,,ACVR1,ACVR1
43,42.98758715852581,-0.04622832894332868,0.43003908484831865,0.1074979707010448,0.9143939351411762,0.9679810796453373,ACVR1B,ACVR1B
44,3.0910611571856967,1.5345086394305634,1.2005660749930847,-1.2781542568903608,0.2011950413208326,,ACVR2A,ACVR2A
45,15.721232249193305,-0.03907555069834187,0.5481589613375379,0.0712850714015427,0.9431708762974355,0.9793933884406527,ACVR2B,ACVR2B
46,0.6117593706628529,-0.6076393010926081,2.7236747485397874,0.22309539764921446,0.8234612602403564,,ACVRL1,ACVRL1
47,1.5678253961597708,0.6007355992008165,1.5503942756709617,-0.3874727923262211,0.6984062234548276,,ACY1,ACY1
48,13.090286570754824,-0.5652716189557004,0.6099062486586027,0.9268172283837567,0.35402143831871236,,ACYP1,ACYP1
