state (Emission order)	H3K4me3	H3K4me1	H3K36me3	H3K9me3	H3K27me3
1_TssA	0.9287046167201596	0.052373012521341085	0.006158633828331926	0.002935718887823255	0.006339506718025707
2_TssAFlnk	0.9505163503616378	0.945318500520463	0.008929886753944037	0.0029881174449619794	0.006510526833802142
3_TxFlnk	0.9175183342840544	0.7121845602271761	0.7573049455387836	0.010523800173472082	0.007034699692455865
4_Tx	6.821161505016136E-4	0.00488034085369839	0.6672276982516384	0.0037924589638986196	8.479166507365892E-4
5_TxWk	5.434947288212319E-4	0.010996114906590929	0.04180012891245471	0.0019713788162837656	4.8728304781977465E-4
6_EnhG	0.02355239024244513	0.7203307731405173	0.6214729114960272	0.004628211554327288	0.0018823134183680492
7_Enh	0.017321035162701042	0.7125304465047215	0.006904115358076151	0.0035885523682128912	0.0031627211326542373
8_ZNF/Rpts	0.14036290846221816	0.026758516368966968	0.5029681495669015	0.7662872320922168	0.026102004035732627
9_Het	0.00516249140093719	8.910540537507049E-4	0.0025006298132929272	0.38570924542259605	0.006104729037817464
10_TssBiv	0.9115046032255608	0.08088910986306948	0.004642492473100879	0.016889136498689394	0.692871415210188
11_BivFlnk	0.9910578145591215	0.9133583115593312	0.014540273717788642	0.04118901014883944	0.8638279251799779
12_EnhBiv	0.02620365930840661	0.6993503085249152	0.00891091365130757	0.02666404506409133	0.7193329031563407
13_ReprPC	0.001217779983624207	0.0014249180329718345	0.0030587158962974157	0.030028356674865815	0.6821139598665396
14_ReprPCWk	4.7615463151916363E-4	0.0031148218832976983	2.3485725077015233E-4	0.004191279353352407	0.06619600495017518
15_Quies	2.3775057559813974E-4	0.0015661724670113946	2.8532681825389316E-4	0.004427713524855991	0.0015647410832072683
