,FLAG_GFI1_wmot,CEBPA_wmot,HOXA9_wmot,PLAGL2,MEIS1_wmot,ETV6_wmot,RUNX1_wmot,FOSL2_wmot,FLI1_wmot,GATA2_wmot,SP1_wmot,E2F3_wmot,ZNF281_wmot,SREBF1_wmot,LMO2,STAT5B_wmot,ZMYND8,LYL1_wmot,MYC_wmot,TFAP4_wmot,RUNX2_wmot,MAX_wmot,IRF8_wmot,MYB_wmot,ZEB2_wmot,RXRA_wmot,SPI1_wmot,MEF2C_wmot,FLAG_MEF2D_wmot,ELF2_wmot,JUND_wmot,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1_wmot,MLL_KTM2A,RARA_wmot,IKZF1_wmot,AFF4,CTCF_wmot,BRD4,CEBPB_wmot,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,promoters,enhancer,super_enhancer,MYC-rmIRF8,MED1-rmIRF8,MYC-rmMEF2D,MEF2C-rmMEF2D,MEF2C-rmIRF8,IRF8-rmMEF2D,POLII_total-rmMEF2D,MED1-rmMEF2D,POLII_total-rmIRF8
FLAG_GFI1_wmot,0.0,0.7323954202701117,1.4129825544062804,1.0726254616630675,0.8427452828397286,1.35484969140872,0.956733384212933,0.7913312471854105,0.7442744013847369,0.7556444129185801,1.0274811680949938,1.2794139881913709,0.9979265561911783,1.743608363417362,1.1258921384075853,1.210763803687503,1.2695825766305282,1.1448018669111266,0.7337252282293363,0.9882556220785582,0.7323371937837857,0.8203159539696155,0.3029312505741229,1.2167989914677593,1.32047945178497,1.397753361634212,0.34514604012268735,0.0,1.5628418413874852,0.8734875309044969,1.487922228628994,0.6699149687467518,0.0,0.4863191159532839,1.2615174710913857,0.35759129580596766,0.7853049179213283,1.480209907254631,0.8406916879849464,0.8339233339282478,0.9880301080426195,0.4289780981132513,1.540875539452724,1.5845015314034125,1.2998943028859926,0.0,0.8011205340109036,1.4100225516944302,0.3112778136566646,0.47717161521807144,0.0,0.5503581632028014,0.0,0.20154962406846527,0.5909351863297516,0.9009411923029756,0.9622729937211757,0.0,0.4221644314567304,0.7484206133551419,0.8866387888862521,0.6062167418833142,1.081508832110279,0.9696998492755519,0.5282844997839461,0.7817741644896574,1.1402020327219176,0.8197598260981932
CEBPA_wmot,0.8221707864719804,0.0,0.0,-0.44635130501023124,0.297589012803111,0.0,0.0,0.0,-0.2780191610683299,0.5196212250946317,-0.72941988415768,-0.6377369527690502,-0.5713424634883135,0.0,0.0,0.0,0.0,0.0,-0.22420416994982595,0.0,0.0,-0.32053444877837245,-0.5410225084412239,0.0,0.320841109744598,0.0,-0.6038447227904398,1.1837946617232886,0.8577247763061675,-0.4387001777614472,0.6940571162613336,-0.4664966156551965,0.0,-0.19401774283156017,0.0,0.0,-0.7739511426699973,0.0,-0.1667881708778549,-0.6610703559803784,0.5387115044563123,0.2566782730682912,0.0,0.6754249306433469,-0.7949356494261568,-0.9777920640803134,-0.128696283014759,4.594550036905807,0.0,-0.18896280882218,0.0,-0.4098102731570083,0.0,0.269311835194149,-0.21756335099806964,0.14170393869106,-1.0221409662472152,0.0,0.0,0.1604319770331621,0.19208628882963566,-0.15013737264999832,0.0,0.5077522474084317,-0.2854821623861817,-0.4253227361429611,-0.3514116919410237,-0.1754822265056072
HOXA9_wmot,1.3024009732782718,0.0,0.0,0.0,2.4068110693782665,1.6678902621739182,1.114707898818557,2.193125386998954,0.0,0.0,0.0,0.0,0.0,0.0,0.9372031924631907,0.0,1.5014039619520676,1.6376664673089278,0.0,0.0,0.7755928813965404,0.0,0.0,1.3258072798640488,0.0,0.0,0.0,0.0,1.9923806667350556,0.0,3.276586711192998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8031532003167484,0.0,1.6361006863097365,1.166590189307815,0.0,0.0,0.0,0.0,1.0675885517416022,0.0,0.0,0.0,0.0,0.0,0.0,0.8629199605615193,0.0,0.8935855035065318,0.0,0.8330126861738761,0.0,0.7145328706392139,0.8042811335341841,0.6477747125963076,1.3982722508981986,1.5957150520149965,0.6120817765975326,0.0,0.0,0.0
PLAGL2,1.158225792016888,-0.43256428376594186,0.0,0.0,0.9705296098861481,3.7496133003471916,1.1509197550337116,1.3181227616304023,1.8328016017085154,0.4129049647415697,3.3022644846602662,3.7796717853748114,3.050922962364349,4.760868233058985,3.2822323890500997,2.004441815689363,2.8353239480171037,2.138091165085489,1.6209586177766462,2.033741605368873,0.8677454733351385,1.9687894452938213,0.0,2.315423553928156,2.819724880067725,3.3091731585582247,0.2990606854005189,0.0,2.4367714171052977,2.613096420634307,1.7270838741474581,1.7822042940638643,0.0,1.6395003084410948,3.860101211562269,1.375305041153702,0.8229858977872826,3.5013647825598575,1.7068550520628634,2.5222356134195296,1.3983091479400533,0.16704791728257248,3.581734162565566,2.2003031641374253,4.054093560953293,1.0853970757949802,1.768394620801542,0.0,1.0620746207203675,1.51823261543172,0.420806745694069,1.7876163221225996,2.8025887529070608,-0.23023929267288543,1.8849487992380118,2.1434145379598446,3.307798670233494,0.3634218612159547,0.6816521378134178,1.7159611618759967,2.3399840952511237,1.0905458369747467,2.1808355578991447,2.0730949732986175,0.9859790718087872,2.415002642768336,3.310130146102344,2.5403915314202603
MEIS1_wmot,1.0044337663725011,0.3104891195470995,4.8840736827293645,1.081812345586024,0.0,1.6712021238936834,0.9181623517130233,1.144366438413716,0.8003011955732358,0.7267028364169101,0.9168264367655653,1.2014424406736002,0.9705894755204652,1.9385631002087116,1.4311389856339498,1.1199112135922467,1.3955971986323983,1.6642924748494545,0.6880706429180371,1.0534003965608152,0.7011803563883766,0.7708878485813325,0.0,1.661125163428965,1.2966801148031162,1.3527738351774135,0.0,0.0,1.5782756710170827,0.8905271545477058,1.6051441605543562,0.6925351759851196,0.0,0.5629858046232858,1.2874969293741303,0.6450780327387644,-0.7648079726487956,0.0,0.769122027277412,0.7648311450816073,1.2748419386522192,0.6709746350662597,1.5730090815031539,1.4112998365865275,1.1809543293264868,0.19703810417079745,0.8713676694347926,0.597016272145291,0.25768578264897335,0.4178761067560164,0.0,0.6247840448412939,0.0,0.5361883438690566,0.634529076350645,0.9421378329108021,0.8406010157296607,0.5178453011009855,0.5647583332130479,0.7591275132895574,0.9659358278394341,0.5592100698886241,1.1022503109632682,1.0167577658840499,0.40802695623605684,0.7504938662965572,1.151190384587287,0.8975946341249709
ETV6_wmot,1.2842361172970616,0.0,1.7206590018912928,2.750390650006594,1.2711159601807394,0.0,1.5514228843302271,1.5952863187264903,2.415990479053566,1.3015622479969324,2.037160270015195,2.5948711839134533,2.1804061940941315,3.362593888320779,2.6002689445724867,2.1298424555508704,2.6275287308469477,2.7855715144521223,1.3422480868181832,1.800532344698549,1.1156705338393162,1.504398601165861,0.8843499781668465,2.2487176023498265,2.4932416129835224,2.644149384961399,1.1458563673903583,0.0,2.394581434814125,2.524691950407537,2.634995502921936,1.4627777842485576,0.0,1.2269527634004478,2.51028597871623,1.209207589358063,-1.2739571491704014,2.2178151216436417,1.6030268336743008,1.7047815140230111,1.735760336037473,0.7964459592607376,3.053179395343525,2.437139080425465,2.4086028828151735,0.6676832029324421,1.5957171462968052,0.6500988166047675,0.7599492873358663,1.1607046142508264,0.0,1.2801836288612916,0.0,0.579556468301746,1.405577176039014,1.7849779846406635,1.949428258782314,0.7312680817639096,1.1654171992901363,1.4670649622832386,1.9115077003253411,0.9818866510194557,2.027926563577122,2.1074044416201394,0.9901652066244766,1.7863597110181648,2.414861236917571,1.965140311671628
RUNX1_wmot,1.121563522115281,0.0,1.4350391966137697,1.2595546698295566,0.8969497004139882,2.0520734326164285,0.0,1.059463717791492,0.8749342158439619,0.8670658139758054,0.819443990517814,1.1511679208628531,1.0270392804004809,1.6158737742939329,1.4239679356628467,1.435349153654577,1.662820528131138,2.2760190586264772,0.9424770837476407,1.2563191741345008,2.1834855514189595,0.9494423585969992,0.0,1.5733207766383532,1.3388026213239488,1.483660265398592,0.0,0.0,1.6905379252249844,0.7946041597751993,1.5836459995089116,0.7903628738569465,0.0,0.41464151322858317,1.0763795084557015,0.756842417977077,0.0,0.0,1.1374129349885804,0.7244152053551403,1.2886793049928327,1.0142727950119834,1.7597301369025837,1.459502612387821,0.9057773338191486,0.0,1.1283690804919606,0.4198575562281911,0.5352599210202377,0.43104035182045214,0.0,0.7496665190058531,0.0,0.6810724334877433,0.7093265926108521,1.027421283801929,0.6656154853463921,0.7048673700582039,0.770858480333452,0.933430911849941,1.0591260467146077,0.8922935010304003,1.5157772747105582,1.2412196218142015,0.5192102150230722,0.9042951617566888,1.279784734653552,0.9682241382992918
FOSL2_wmot,0.7629188452346294,0.0,2.3097104354982867,1.1640004208054566,0.9157057258076151,1.61038090982513,0.8728725269801767,0.0,0.5268606464294122,0.0,0.0,0.7607806660218868,0.6906870033282109,1.8559222246081413,0.9798004686532787,1.1599633159936045,1.3740527832601832,1.7866424685030728,0.5700572381051728,1.3948862177258314,0.6010817383233106,0.5987447172780778,0.0,1.192456656100626,1.1954643298593357,1.5585591322450654,0.0,0.0,1.1393055753983359,0.0,5.345538514633914,0.6054873267284386,0.0,0.0,0.0,0.6341212724557578,-1.8421371867422498,0.0,0.5393772094051446,0.0,1.0912666391271628,0.9931818101441814,1.9917842711684204,1.4285289224096327,0.0,-0.531348169971606,1.0970842182696428,0.0,0.0,0.0,0.0,0.4013975491340271,0.0,0.528350721973627,0.34213912899296467,1.0587759386853508,0.0,0.8234633825734541,0.5768337293999588,0.7893654116958302,0.9076047712491103,0.601374945663096,1.1624754821231127,1.2683494649628122,0.0,0.6830962424555141,1.109374808874871,0.6196813676039048
FLI1_wmot,0.835246595424024,-0.2778565307392867,0.0,1.9740491318963063,0.7601903820080502,3.56775364324234,0.8490170339517502,0.6059565092195478,0.0,0.4922234327022151,1.8026621348472902,2.1992756178579684,1.8840642176032991,2.510827400730067,1.9586112111607348,1.2758391201672425,1.768470053855796,1.8979331298259396,0.9560527902730156,1.2793323749795336,0.6364158058403838,1.2115665715701003,0.42883183093563687,1.5253930798045503,1.6987491445727958,1.9018720854308446,1.176687499645666,0.0,1.4861325983051898,2.8874810389015266,1.0252433597437511,1.0388986265027613,0.0,0.8622385788346887,2.0928729065113503,0.9681337358777732,0.0,1.2698310113657671,1.2482195069145874,1.4271111907059115,1.0895883739138397,0.5699865265374132,1.891570914947158,1.7024831230991184,1.849970719769609,0.4353402846870322,1.1801771887409673,0.0,0.7858899312050005,0.7868172711452118,0.0,1.0786147675659632,0.0,0.44318787934479237,1.036878255458355,1.282493782976406,1.7093757209060945,0.6328855501570203,0.7014611256521366,1.0621997482331018,1.3708723144108224,0.7307247902592501,1.1584762791379983,0.9972105567027753,0.6432557272318286,1.3132888979153878,1.7258986047924505,1.4490688759818258
GATA2_wmot,0.7405206680376156,0.45981389844115755,0.0,0.3825479725998388,0.6076380644661412,1.3389373639800897,0.73464882185412,0.0,0.4363922430506413,0.0,0.0,0.0,0.0,0.896227629143089,0.8018804424807398,0.9898366622482531,0.7945380242931985,1.7871154540994088,0.0,0.554506708573729,0.4861822920845545,0.0,0.2943537123470945,0.9085608835779674,0.5876947786995115,0.7999712399496359,0.0,0.0,1.2762137177015225,0.0,1.368056191222447,0.0,0.0,0.0,0.0,0.36602535747630177,0.0,0.0,0.32331531483109893,0.0,0.9494036408709504,0.6563908252585979,1.0646945270353143,0.912228122489457,0.0,-0.5730441445505191,0.5161239609614893,0.40116341337452405,0.0,0.0,0.0,0.0,0.0,0.513683327918027,0.2592547377837473,0.6083861709539975,0.0,0.4113948896562778,0.6221277712404739,0.48364758936963226,0.6659893550832713,0.0,0.7107512134532926,1.0817506162442432,0.27086702617943065,0.0,0.4959812756274721,0.4398012647356461
