group,replicate,fastq_1,fastq_2,antibody,control
mp846-MV411_IRF2BP_DMSO_6h-MED1-r4,1,bams4/mp846-MV411_IRF2BP_DMSO_6h-MED1-r4_R1.fastq.gz,bams4/mp846-MV411_IRF2BP_DMSO_6h-MED1-r4_R2.fastq.gz,MED1,INPUT
mp847-MV411_IRF2BP_DMSO_6h-MED1-r5,1,bams4/mp847-MV411_IRF2BP_DMSO_6h-MED1-r5_R1.fastq.gz,bams4/mp847-MV411_IRF2BP_DMSO_6h-MED1-r5_R2.fastq.gz,MED1,INPUT
mp848-MV411_IRF2BP_DMSO_6h-FLAG_IRF2BP2-r3,1,bams4/mp848-MV411_IRF2BP_DMSO_6h-FLAG_IRF2BP2-r3_R1.fastq.gz,bams4/mp848-MV411_IRF2BP_DMSO_6h-FLAG_IRF2BP2-r3_R2.fastq.gz,FLAG_IRF2BP2,INPUT
mp849-MV411_IRF2BP_DMSO_6h-POLII_total-r3,1,bams4/mp849-MV411_IRF2BP_DMSO_6h-POLII_total-r3_R1.fastq.gz,bams4/mp849-MV411_IRF2BP_DMSO_6h-POLII_total-r3_R2.fastq.gz,POLII_total,INPUT
mp850-MV411_IRF2BP_DMSO_6h-POLII_S2-r3,1,bams4/mp850-MV411_IRF2BP_DMSO_6h-POLII_S2-r3_R1.fastq.gz,bams4/mp850-MV411_IRF2BP_DMSO_6h-POLII_S2-r3_R2.fastq.gz,POLII_S2,INPUT
mp851-MV411_IRF2BP_DMSO_6h-POLII_S5-r3,1,bams4/mp851-MV411_IRF2BP_DMSO_6h-POLII_S5-r3_R1.fastq.gz,bams4/mp851-MV411_IRF2BP_DMSO_6h-POLII_S5-r3_R2.fastq.gz,POLII_S5,INPUT
mp852-MV411_IRF2BP_VHL_6h-MED1-r4,1,bams4/mp852-MV411_IRF2BP_VHL_6h-MED1-r4_R1.fastq.gz,bams4/mp852-MV411_IRF2BP_VHL_6h-MED1-r4_R2.fastq.gz,MED1,INPUT
mp853-MV411_IRF2BP_VHL_6h-MED1-r5,1,bams4/mp853-MV411_IRF2BP_VHL_6h-MED1-r5_R1.fastq.gz,bams4/mp853-MV411_IRF2BP_VHL_6h-MED1-r5_R2.fastq.gz,MED1,INPUT
mp854-MV411_IRF2BP_VHL_6h-FLAG_IRF2BP2-r3,1,bams4/mp854-MV411_IRF2BP_VHL_6h-FLAG_IRF2BP2-r3_R1.fastq.gz,bams4/mp854-MV411_IRF2BP_VHL_6h-FLAG_IRF2BP2-r3_R2.fastq.gz,FLAG_IRF2BP2,INPUT
mp855-MV411_IRF2BP_VHL_6h-POLII_total-r3,1,bams4/mp855-MV411_IRF2BP_VHL_6h-POLII_total-r3_R1.fastq.gz,bams4/mp855-MV411_IRF2BP_VHL_6h-POLII_total-r3_R2.fastq.gz,POLII_total,INPUT
mp856-MV411_IRF2BP_VHL_6h-POLII_S2-r3,1,bams4/mp856-MV411_IRF2BP_VHL_6h-POLII_S2-r3_R1.fastq.gz,bams4/mp856-MV411_IRF2BP_VHL_6h-POLII_S2-r3_R2.fastq.gz,POLII_S2,INPUT
mp857-MV411_IRF2BP_VHL_6h-POLII_S5-r3,1,bams4/mp857-MV411_IRF2BP_VHL_6h-POLII_S5-r3_R1.fastq.gz,bams4/mp857-MV411_IRF2BP_VHL_6h-POLII_S5-r3_R2.fastq.gz,POLII_S5,INPUT
INPUT,1,bams/mp845-MV411_IRF2BP2_-INPUT-r1_R1.fastq.gz,bams/mp845-MV411_IRF2BP2_-INPUT-r1_R2.fastq.gz,,
