group,replicate,fastq_1,fastq_2,antibody,control
MV411_IRF8_NT_DMSO-IRF8,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp901-MV411_IRF8_NT_DMSO-IRF8-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp901-MV411_IRF8_NT_DMSO-IRF8-r1_R2_001.fastq.gz,IRF8,INPUT
MV411_IRF8_NT_VHL-IRF8,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp902-MV411_IRF8_NT_VHL-IRF8-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp902-MV411_IRF8_NT_VHL-IRF8-r1_R2_001.fastq.gz,IRF8,INPUT
MV411_IRF8_NT_DMSO-MED1,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp903-MV411_IRF8_NT_DMSO-MED1-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp903-MV411_IRF8_NT_DMSO-MED1-r1_R2_001.fastq.gz,MED1,INPUT
MV411_IRF8_NT_VHL-MED1,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp904-MV411_IRF8_NT_VHL-MED1-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp904-MV411_IRF8_NT_VHL-MED1-r1_R2_001.fastq.gz,MED1,INPUT
MV411_IRF8_NT_DMSO-MEF2C,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp905-MV411_IRF8_NT_DMSO-MEF2C-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp905-MV411_IRF8_NT_DMSO-MEF2C-r1_R2_001.fastq.gz,MEF2C,INPUT
MV411_IRF8_NT_VHL-MEF2C,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp906-MV411_IRF8_NT_VHL-MEF2C-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp906-MV411_IRF8_NT_VHL-MEF2C-r1_R2_001.fastq.gz,MEF2C,INPUT
MV411_IRF8_NT_DMSO-MEF2D,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp907-MV411_IRF8_NT_DMSO-MEF2D-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp907-MV411_IRF8_NT_DMSO-MEF2D-r1_R2_001.fastq.gz,MEF2D,INPUT
MV411_IRF8_NT_VHL-MEF2D,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp908-MV411_IRF8_NT_VHL-MEF2D-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp908-MV411_IRF8_NT_VHL-MEF2D-r1_R2_001.fastq.gz,MEF2D,INPUT
MV411_IRF8_NT_DMSO-MYC,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp909-MV411_IRF8_NT_DMSO-MYC-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp909-MV411_IRF8_NT_DMSO-MYC-r1_R2_001.fastq.gz,MYC,INPUT
MV411_IRF8_NT_VHL-MYC,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp910-MV411_IRF8_NT_VHL-MYC-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp910-MV411_IRF8_NT_VHL-MYC-r1_R2_001.fastq.gz,MYC,INPUT
MV411_IRF8_NT_DMSO-POLII_total,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp911-MV411_IRF8_NT_DMSO-POLII_total-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp911-MV411_IRF8_NT_DMSO-POLII_total-r1_R2_001.fastq.gz,POLII_total,INPUT
MV411_IRF8_NT_VHL-POLII_total,1,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp912-MV411_IRF8_NT_VHL-POLII_total-r1_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_IRF8_degraded/fastqs/mp912-MV411_IRF8_NT_VHL-POLII_total-r1_R2_001.fastq.gz,POLII_total,INPUT
INPUT,1,gs://amlproject/Chip/IRF2BP2_degraded_rep3/fastqs/mp845-MV411-INPUT-r2_R1.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_rep3/fastqs/mp845-MV411-INPUT-r2_R2.fastq.gz,,
