group,replicate,fastq_1,fastq_2,antibody,control
MV411_IRF2BP2_DMSO-FLAG_IRF2BP2,1,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp967-MV411_IRF2BP2_DMSO-FLAG_IRF2BP2-r1_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp967-MV411_IRF2BP2_DMSO-FLAG_IRF2BP2-r1_R2_001.fastq.gz,FLAG_IRF2BP2,INPUT
MV411_IRF2BP2_DMSO-FLAG_IRF2BP2,2,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp969-MV411_IRF2BP2_DMSO-FLAG_IRF2BP2-r2_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp969-MV411_IRF2BP2_DMSO-FLAG_IRF2BP2-r2_R2_001.fastq.gz,FLAG_IRF2BP2,INPUT
MV411_IRF2BP2_DMSO-H3K27AC,1,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp971-MV411_IRF2BP2_DMSO-H3K27AC-r1_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp971-MV411_IRF2BP2_DMSO-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
MV411_IRF2BP2_DMSO-H3K27AC,2,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp973-MV411_IRF2BP2_DMSO-H3K27AC-r2_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp973-MV411_IRF2BP2_DMSO-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
MV411_IRF2BP2_DMSO-MED1,1,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp975-MV411_IRF2BP2_DMSO-MED1-r1_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp975-MV411_IRF2BP2_DMSO-MED1-r1_R2_001.fastq.gz,MED1,INPUT
MV411_IRF2BP2_DMSO-MED1,2,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp977-MV411_IRF2BP2_DMSO-MED1-r2_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp977-MV411_IRF2BP2_DMSO-MED1-r2_R2_001.fastq.gz,MED1,INPUT
MV411_IRF2BP2_VHL-FLAG_IRF2BP2,1,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp979-MV411_IRF2BP2_VHL-FLAG_IRF2BP2-r1_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp979-MV411_IRF2BP2_VHL-FLAG_IRF2BP2-r1_R2_001.fastq.gz,FLAG_IRF2BP2,INPUT
MV411_IRF2BP2_VHL-FLAG_IRF2BP2,2,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp982-MV411_IRF2BP2_VHL-FLAG_IRF2BP2-r2_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp982-MV411_IRF2BP2_VHL-FLAG_IRF2BP2-r2_R2_001.fastq.gz,FLAG_IRF2BP2,INPUT
MV411_IRF2BP2_VHL-H3K27AC,1,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp983-MV411_IRF2BP2_VHL-H3K27AC-r1_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp983-MV411_IRF2BP2_VHL-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
MV411_IRF2BP2_VHL-H3K27AC,2,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp985-MV411_IRF2BP2_VHL-H3K27AC-r2_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp985-MV411_IRF2BP2_VHL-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
MV411_IRF2BP2_VHL-MED1,1,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp987-MV411_IRF2BP2_VHL-MED1-r1_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp987-MV411_IRF2BP2_VHL-MED1-r1_R2_001.fastq.gz,MED1,INPUT
MV411_IRF2BP2_VHL-MED1,2,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp989-MV411_IRF2BP2_VHL-MED1-r2_R1_001.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_v6/fastqs/mp989-MV411_IRF2BP2_VHL-MED1-r2_R2_001.fastq.gz,MED1,INPUT
INPUT,1,gs://amlproject/Chip/fastqs/paired_end/mp845-MV411-INPUT-r2_R1.fastq.gz,gs://amlproject/Chip/fastqs/paired_end/mp845-MV411-INPUT-r2_R2.fastq.gz,,
