group,replicate,fastq_1,fastq_2,antibody,control
db29-MV411-AFF4,1,gs://amlproject/Chip/fastqs/db29-MV411-AFF4-r1.fastq.gz,,AFF4,db33-MV411-INPUT
db30-MV411-CDK9,1,gs://amlproject/Chip/fastqs/db30-MV411-CDK9-r1.fastq.gz,,CDK9,db33-MV411-INPUT
db31-MV411-PSER2,1,gs://amlproject/Chip/fastqs/db31-MV411-PSER2-r1.fastq.gz,,PSER2,db33-MV411-INPUT
db32-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db32-MV411-INPUT-r1.fastq.gz,,,
db33-MV411-INPUT,2,gs://amlproject/Chip/fastqs/db33-MV411-INPUT-r2.fastq.gz,,,
db35-MV411-INPUT,3,gs://amlproject/Chip/fastqs/db35-MV411-INPUT-r3.fastq.gz,,,
db36-MV411-INPUT,4,gs://amlproject/Chip/fastqs/db36-MV411-INPUT-r4.fastq.gz,,,
db37-MV411-WDR5_429A,1,gs://amlproject/Chip/fastqs/db37-MV411-WDR5_429A-r1.fastq.gz,,WDR5_429A,db43-MV411-IGG
db38-MV411-WDR5_429A,2,gs://amlproject/Chip/fastqs/db38-MV411-WDR5_429A-r2.fastq.gz,,WDR5_429A,db44-MV411-IGG
db39-MV411-WDR5_429A,3,gs://amlproject/Chip/fastqs/db39-MV411-WDR5_429A-r3.fastq.gz,,WDR5_429A,db45-MV411-IGG
db40-MV411-WDR5_D9E1,1,gs://amlproject/Chip/fastqs/db40-MV411-WDR5_D9E1-r1.fastq.gz,,WDR5_D9E1,db43-MV411-IGG
db41-MV411-WDR5_D9E1,2,gs://amlproject/Chip/fastqs/db41-MV411-WDR5_D9E1-r2.fastq.gz,,WDR5_D9E1,db44-MV411-IGG
db42-MV411-WDR5_D9E1,3,gs://amlproject/Chip/fastqs/db42-MV411-WDR5_D9E1-r3.fastq.gz,,WDR5_D9E1,db45-MV411-IGG
db43-MV411-IGG,1,gs://amlproject/Chip/fastqs/db43-MV411-IGG-r1.fastq.gz,,,
db44-MV411-IGG,2,gs://amlproject/Chip/fastqs/db44-MV411-IGG-r2.fastq.gz,,,
db45-MV411-IGG,3,gs://amlproject/Chip/fastqs/db45-MV411-IGG-r3.fastq.gz,,,
db48-MV411-INPUT,5,gs://amlproject/Chip/fastqs/db48-MV411-INPUT-r5.fastq.gz,,,
db49-MV411-INPUT,6,gs://amlproject/Chip/fastqs/db49-MV411-INPUT-r6.fastq.gz,,,
db50-MV411-AFF1_AF4,1,gs://amlproject/Chip/fastqs/db50-MV411-AFF1_AF4-r1.fastq.gz,,AFF1_AF4,db52-MV411-INPUT
db52-MV411-INPUT,7,gs://amlproject/Chip/fastqs/db52-MV411-INPUT-r7.fastq.gz,,,
db54-MV411-INPUT,8,gs://amlproject/Chip/fastqs/db54-MV411-INPUT-r8.fastq.gz,,,
db55-MV411-RUNX1,1,gs://amlproject/Chip/fastqs/db55-MV411-RUNX1-r1.fastq.gz,,RUNX1,db54-MV411-INPUT
db56-MV411-MLL_KTM2A,1,gs://amlproject/Chip/fastqs/db56-MV411-MLL_KTM2A-r1.fastq.gz,,MLL_KTM2A,db54-MV411-INPUT
mp100-U937-INPUT,1,gs://amlproject/Chip/fastqs/mp100-U937-INPUT-r1.fastq.gz,,,
