group,replicate,fastq_1,fastq_2,antibody,control
mp196-MONOMAC6-H3K27ac,1,gs://amlproject/Chip/fastqs/mp196-MONOMAC6-H3K27ac-r1.fastq.gz,,H3K27ac,mp315-MONOMAC6-INPUT
mp197-SKNO1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp197-SKNO1-H3K27ac-r1.fastq.gz,,H3K27ac,mp316-SKNO1-INPUT
mp2-D9-H3K27ac,1,gs://amlproject/Chip/fastqs/mp2-D9-H3K27ac-r2.fastq.gz,,H3K27ac,mp14-D9-INPUT
mp203-NB4-H3K27ac,1,gs://amlproject/Chip/fastqs/mp203-NB4-H3K27ac-r2.fastq.gz,,H3K27ac,mp312-NB4-INPUT
mp204-TF1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp204-TF1-H3K27ac-r2.fastq.gz,,H3K27ac,mp313-TF1-INPUT
mp205-OCIAML3-H3K27ac,1,gs://amlproject/Chip/fastqs/mp205-OCIAML3-H3K27ac-r2.fastq.gz,,H3K27ac,mp314-OCIAML3-INPUT
mp206-MONOMAC6-H3K27ac,1,gs://amlproject/Chip/fastqs/mp206-MONOMAC6-H3K27ac-r2.fastq.gz,,H3K27ac,mp315-MONOMAC6-INPUT
mp207-KG1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp207-KG1-H3K27ac-r1.fastq.gz,,H3K27ac,mp309-KG1-INPUT
mp213-U937-H3K27ac,1,gs://amlproject/Chip/fastqs/mp213-U937-H3K27ac-r1.fastq.gz,,H3K27ac,mp100-U937-INPUT
mp214-UT7-H3K27ac,1,gs://amlproject/Chip/fastqs/mp214-UT7-H3K27ac-r2.fastq.gz,,H3K27ac,mp102-UT7-INPUT
mp216-SKNO1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp216-SKNO1-H3K27ac-r2.fastq.gz,,H3K27ac,mp316-SKNO1-INPUT
mp217-HEL-H3K27ac,1,gs://amlproject/Chip/fastqs/mp217-HEL-H3K27ac-r1.fastq.gz,,H3K27ac,mp610-HEL9217-INPUT
mp218-HEL-H3K27ac,1,gs://amlproject/Chip/fastqs/mp218-HEL-H3K27ac-r2.fastq.gz,,H3K27ac,mp610-HEL9217-INPUT
mp231-SKNO1-CEBPA,1,gs://amlproject/Chip/fastqs/mp231-SKNO1-CEBPA-r1.fastq.gz,,CEBPA,mp316-SKNO1-INPUT
mp24-OCIAML2-INPUT,1,gs://amlproject/Chip/fastqs/mp24-OCIAML2-INPUT-r1.fastq.gz,,,
mp27-D9-CEBPA,1,gs://amlproject/Chip/fastqs/mp27-D9-CEBPA-r2.fastq.gz,,CEBPA,mp14-D9-INPUT
mp293-MV411-H3K79me2,1,gs://amlproject/Chip/fastqs/mp293-MV411-H3K79me2-r1.fastq.gz,,H3K79me2,mp99-MV411-INPUT
mp309-KG1-INPUT,1,gs://amlproject/Chip/fastqs/mp309-KG1-INPUT-r1.fastq.gz,,,
mp310-Kasumi1-INPUT,1,gs://amlproject/Chip/fastqs/mp310-Kasumi1-INPUT-r1.fastq.gz,,,
mp311-MOLM13-INPUT,1,gs://amlproject/Chip/fastqs/mp311-MOLM13-INPUT-r1.fastq.gz,,,
mp312-NB4-INPUT,1,gs://amlproject/Chip/fastqs/mp312-NB4-INPUT-r1.fastq.gz,,,
mp313-TF1-INPUT,1,gs://amlproject/Chip/fastqs/mp313-TF1-INPUT-r1.fastq.gz,,,
mp314-OCIAML3-INPUT,1,gs://amlproject/Chip/fastqs/mp314-OCIAML3-INPUT-r1.fastq.gz,,,
mp315-MONOMAC6-INPUT,1,gs://amlproject/Chip/fastqs/mp315-MONOMAC6-INPUT-r1.fastq.gz,,,
mp316-SKNO1-INPUT,1,gs://amlproject/Chip/fastqs/mp316-SKNO1-INPUT-r1.fastq.gz,,,
