group,replicate,fastq_1,fastq_2,antibody,control
MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp931-MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D-r5_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp931-MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D-r5_R2_001.fastq.gz,FLAG_MEF2D,INPUT
MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp932-MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D-r5_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp932-MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D-r5_R2_001.fastq.gz,FLAG_MEF2D,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MED1,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp933-MV411_MEF2D_NT_SC_63_DMSO-MED1-r3_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp933-MV411_MEF2D_NT_SC_63_DMSO-MED1-r3_R2_001.fastq.gz,MED1,INPUT
MV411_MEF2D_NT_SC_63_VHL_2h-MED1,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp934-MV411_MEF2D_NT_SC_63_VHL_2h-MED1-r3_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp934-MV411_MEF2D_NT_SC_63_VHL_2h-MED1-r3_R2_001.fastq.gz,MED1,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MEF2C,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp935-MV411_MEF2D_NT_SC_63_DMSO-MEF2C-r3_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp935-MV411_MEF2D_NT_SC_63_DMSO-MEF2C-r3_R2_001.fastq.gz,MEF2C,INPUT
MV411_MEF2D_NT_SC_63_VHL_2h-MEF2C,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp936-MV411_MEF2D_NT_SC_63_VHL_2h-MEF2C-r3_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp936-MV411_MEF2D_NT_SC_63_VHL_2h-MEF2C-r3_R2_001.fastq.gz,MEF2C,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MYC,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp937-MV411_MEF2D_NT_SC_63_DMSO-MYC-r3_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp937-MV411_MEF2D_NT_SC_63_DMSO-MYC-r3_R2_001.fastq.gz,MYC,INPUT
MV411_MEF2D_NT_SC_63_VHL_2h-MYC,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp938-MV411_MEF2D_NT_SC_63_VHL_2h-MYC-r3_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp938-MV411_MEF2D_NT_SC_63_VHL_2h-MYC-r3_R2_001.fastq.gz,MYC,INPUT
MV411_MEF2D_NT_SC_63_DMSO-POLII_total,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp939-MV411_MEF2D_NT_SC_63_DMSO-POLII_total-r3_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp939-MV411_MEF2D_NT_SC_63_DMSO-POLII_total-r3_R2_001.fastq.gz,POLII_total,INPUT
MV411_MEF2D_NT_SC_63_VHL_2h-POLII_total,1,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp940-MV411_MEF2D_NT_SC_63_VHL_2h-POLII_total-r3_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MEF2C_2h_degraded/fastqs/mp940-MV411_MEF2D_NT_SC_63_VHL_2h-POLII_total-r3_R2_001.fastq.gz,POLII_total,INPUT
