group,replicate,fastq_1,fastq_2,antibody,control
SKNO1_1,1,gs://jkobject/Chip_AML/Chip/mp308.fastq.gz,,RUNX1-RUNX1T1,INPUT_SKNO1
INPUT_KG1,1,gs://jkobject/Chip_AML/Chip/mp309.fastq.gz,,,
INPUT_Kasumi1,1,gs://jkobject/Chip_AML/Chip/mp310.fastq.gz,,,
INPUT_MOLM13,1,gs://jkobject/Chip_AML/Chip/mp311.fastq.gz,,,
INPUT_NB4,1,gs://jkobject/Chip_AML/Chip/mp312.fastq.gz,,,
INPUT_TF1,1,gs://jkobject/Chip_AML/Chip/mp313.fastq.gz,,,
INPUT_OCIAML3,1,gs://jkobject/Chip_AML/Chip/mp314.fastq.gz,,,
INPUT_MONOMAC6,1,gs://jkobject/Chip_AML/Chip/mp315.fastq.gz,,,
INPUT_SKNO1,1,gs://jkobject/Chip_AML/Chip/mp316.fastq.gz,,,
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp319.fastq.gz,,FLI1,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp320.fastq.gz,,ZEB2,INPUT_MV411
MV411_4,1,gs://jkobject/Chip_AML/Chip/mp321.fastq.gz,,GFI1,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp324.fastq.gz,,MEF2D,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp325.fastq.gz,,SP1,INPUT_MV411
INPUT_DFAM71927V3,1,gs://jkobject/Chip_AML/Chip/mp326.fastq.gz,,,
INPUT_OCIAML2,1,gs://jkobject/Chip_AML/Chip/mp33.fastq.gz,,,
INPUT_D9,1,gs://jkobject/Chip_AML/Chip/mp35.fastq.gz,,,
D0_3,1,gs://jkobject/Chip_AML/Chip/mp351.fastq.gz,,H3K27ac,INPUT_D0
D0_4,1,gs://jkobject/Chip_AML/Chip/mp352.fastq.gz,,H3K27ac,INPUT_D0
D9_4,1,gs://jkobject/Chip_AML/Chip/mp353.fastq.gz,,H3K27ac,INPUT_D9
D9_5,1,gs://jkobject/Chip_AML/Chip/mp354.fastq.gz,,H3K27ac,INPUT_D9
M6_3,1,gs://jkobject/Chip_AML/Chip/mp355.fastq.gz,,H3K27ac,INPUT_M6
M6_4,1,gs://jkobject/Chip_AML/Chip/mp356.fastq.gz,,H3K27ac,INPUT_M6
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp357.fastq.gz,,ZMYND8,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp358.fastq.gz,,ZMYND8,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp359.fastq.gz,,LMO2,INPUT_MV411
IGG_D9,1,gs://jkobject/Chip_AML/Chip/mp4.fastq.gz,,,
OCIAML2_2,1,gs://jkobject/Chip_AML/Chip/mp41.fastq.gz,,CEBPA,INPUT_OCIAML2
MV411_4,1,gs://jkobject/Chip_AML/Chip/mp424.fastq.gz,,RUNX1,INPUT_MV411
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp425.fastq.gz,,ETV6,INPUT_MV411
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp426.fastq.gz,,SP1,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp427.fastq.gz,,LMO2,INPUT_MV411
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp428.fastq.gz,,PU1,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp429.fastq.gz,,IRF8,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp430.fastq.gz,,IRF2BP2,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp431.fastq.gz,,IRF2BP2,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp433.fastq.gz,,GSE1,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp435.fastq.gz,,MED1,INPUT_MV411
OCIAML2_1,1,gs://jkobject/Chip_AML/Chip/mp45.fastq.gz,,H3K27ac,INPUT_OCIAML2
MOLM13_1,1,gs://jkobject/Chip_AML/Chip/mp48.fastq.gz,,H3K27ac,INPUT_MOLM13
INPUT_D9,1,gs://jkobject/Chip_AML/Chip/mp5.fastq.gz,,,
OCIAML2_2,1,gs://jkobject/Chip_AML/Chip/mp50.fastq.gz,,H3K27ac,INPUT_OCIAML2
HL60_1,1,gs://jkobject/Chip_AML/Chip/mp53.fastq.gz,,H3K27ac,INPUT_HL60
Kasumi1_1,1,gs://jkobject/Chip_AML/Chip/mp56.fastq.gz,,H3K27ac,INPUT_Kasumi1
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp568.fastq.gz,,ZEB2,INPUT_MV411
MV411_4,1,gs://jkobject/Chip_AML/Chip/mp569.fastq.gz,,ETV6,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp570.fastq.gz,,CTCF,INPUT_MV411
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp575.fastq.gz,,IRF2BP2,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp577.fastq.gz,,SMC1,INPUT_MV411
KG1_1,1,gs://jkobject/Chip_AML/Chip/mp58.fastq.gz,,H3K27ac,INPUT_KG1
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp581.fastq.gz,,MEF2C,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp582.fastq.gz,,MEIS1,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp583.fastq.gz,,ELF2,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp584.fastq.gz,,MYC,INPUT_MV411
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp585.fastq.gz,,MYC,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp587.fastq.gz,,IKZF1,INPUT_MV411
MV411_5,1,gs://jkobject/Chip_AML/Chip/mp589.fastq.gz,,ETV6,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp590.fastq.gz,,GATA2,INPUT_MV411
MONOMAC1_1,1,gs://jkobject/Chip_AML/Chip/mp591.fastq.gz,,H3K27ac,INPUT_MONOMAC1
MONOMAC1_2,1,gs://jkobject/Chip_AML/Chip/mp592.fastq.gz,,H3K27ac,INPUT_MONOMAC1
HEL9217_1,1,gs://jkobject/Chip_AML/Chip/mp593.fastq.gz,,H3K27ac,INPUT_HEL9217
HEL9217_2,1,gs://jkobject/Chip_AML/Chip/mp594.fastq.gz,,H3K27ac,INPUT_HEL9217
PLB985_1,1,gs://jkobject/Chip_AML/Chip/mp597.fastq.gz,,H3K27ac,INPUT_PLB985
PLB985_2,1,gs://jkobject/Chip_AML/Chip/mp598.fastq.gz,,H3K27ac,INPUT_PLB985
INPUT_D0,1,gs://jkobject/Chip_AML/Chip/mp6.fastq.gz,,,
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp601.fastq.gz,,RUNX2,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp604.fastq.gz,,IKZF1,INPUT_MV411
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp607.fastq.gz,,ELF2,INPUT_MV411
INPUT_MONOMAC1,1,gs://jkobject/Chip_AML/Chip/mp609.fastq.gz,,,
INPUT_HEL9217,1,gs://jkobject/Chip_AML/Chip/mp610.fastq.gz,,,
INPUT_P31FUJ,1,gs://jkobject/Chip_AML/Chip/mp611.fastq.gz,,,
INPUT_PLB985,1,gs://jkobject/Chip_AML/Chip/mp612.fastq.gz,,,
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp614.fastq.gz,,MEF2C,INPUT_MV411
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp623.fastq.gz,,MEF2D,INPUT_MV411
MV411_4,1,gs://jkobject/Chip_AML/Chip/mp627.fastq.gz,,MEF2C,INPUT_MV411
SKNO1_2,1,gs://jkobject/Chip_AML/Chip/mp631.fastq.gz,,PU1,INPUT_SKNO1
SKNO1_1,1,gs://jkobject/Chip_AML/Chip/mp633.fastq.gz,,FLI1,INPUT_SKNO1
SKNO1_1,1,gs://jkobject/Chip_AML/Chip/mp635.fastq.gz,,ERG,INPUT_SKNO1
SKNO1_2,1,gs://jkobject/Chip_AML/Chip/mp636.fastq.gz,,MYC,INPUT_SKNO1
SKNO1_2,1,gs://jkobject/Chip_AML/Chip/mp637.fastq.gz,,ERG,INPUT_SKNO1
SKNO1_1,1,gs://jkobject/Chip_AML/Chip/mp638.fastq.gz,,MAX,INPUT_SKNO1
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp639.fastq.gz,,MAX,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp640.fastq.gz,,LYL1,INPUT_MV411
INPUT_DFAM71927V3,1,gs://jkobject/Chip_AML/Chip/mp643.fastq.gz,,,
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp650.fastq.gz,,LDB1,INPUT_MV411
OCIAML2_3,1,gs://jkobject/Chip_AML/Chip/mp67.fastq.gz,,H3K27ac,INPUT_OCIAML2
MV411_DMSO_8h_1,1,gs://jkobject/Chip_AML/Chip/mp690.fastq.gz,,MAX,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp70.fastq.gz,,H3K27ac,INPUT_MV411
MV411_DMSO_8h_2,1,gs://jkobject/Chip_AML/Chip/mp702.fastq.gz,,H3K27ac,INPUT_MV411
