group,replicate,fastq_1,fastq_2,antibody,control
MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp921-MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D-r4_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp921-MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D-r4_R2_001.fastq.gz,FLAG_MEF2D,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MED1,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp922-MV411_MEF2D_NT_SC_63_DMSO-MED1-r2_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp922-MV411_MEF2D_NT_SC_63_DMSO-MED1-r2_R2_001.fastq.gz,MED1,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MEF2C,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp923-MV411_MEF2D_NT_SC_63_DMSO-MEF2C-r2_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp923-MV411_MEF2D_NT_SC_63_DMSO-MEF2C-r2_R2_001.fastq.gz,MEF2C,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MYC,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp924-MV411_MEF2D_NT_SC_63_DMSO-MYC-r2_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp924-MV411_MEF2D_NT_SC_63_DMSO-MYC-r2_R2_001.fastq.gz,MYC,INPUT
MV411_MEF2D_NT_SC_63_DMSO-POLII_total,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp925-MV411_MEF2D_NT_SC_63_DMSO-POLII_total-r2_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp925-MV411_MEF2D_NT_SC_63_DMSO-POLII_total-r2_R2_001.fastq.gz,POLII_total,INPUT
MV411_MEF2D_NT_SC_63_VHL-FLAG_MEF2D,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp926-MV411_MEF2D_NT_SC_63_VHL-FLAG_MEF2D-r4_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp926-MV411_MEF2D_NT_SC_63_VHL-FLAG_MEF2D-r4_R2_001.fastq.gz,FLAG_MEF2D,INPUT
MV411_MEF2D_NT_SC_63_VHL-MED1,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp927-MV411_MEF2D_NT_SC_63_VHL-MED1-r2_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp927-MV411_MEF2D_NT_SC_63_VHL-MED1-r2_R2_001.fastq.gz,MED1,INPUT
MV411_MEF2D_NT_SC_63_VHL-MEF2C,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp928-MV411_MEF2D_NT_SC_63_VHL-MEF2C-r2_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp928-MV411_MEF2D_NT_SC_63_VHL-MEF2C-r2_R2_001.fastq.gz,MEF2C,INPUT
MV411_MEF2D_NT_SC_63_VHL-MYC,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp929-MV411_MEF2D_NT_SC_63_VHL-MYC-r2_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp929-MV411_MEF2D_NT_SC_63_VHL-MYC-r2_R2_001.fastq.gz,MYC,INPUT
MV411_MEF2D_NT_SC_63_VHL-POLII_total,1,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp930-MV411_MEF2D_NT_SC_63_VHL-POLII_total-r2_R1_001.fastq.gz,gs://amlproject/Chip/chipseq_MF2C_degraded_v2/fastqs/mp930-MV411_MEF2D_NT_SC_63_VHL-POLII_total-r2_R2_001.fastq.gz,POLII_total,INPUT
INPUT,1,gs://amlproject/Chip/IRF2BP2_degraded_rep3/fastqs/mp845-MV411-INPUT-r2_R1.fastq.gz,gs://amlproject/Chip/IRF2BP2_degraded_rep3/fastqs/mp845-MV411-INPUT-r2_R2.fastq.gz,,
