group,replicate,fastq_1,fastq_2,antibody,control
MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D,1,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp951-MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D-r7_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp951-MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D-r7_R2_001.fastq.gz,FLAG_MEF2D,INPUT
MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D,2,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp952-MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D-r8_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp952-MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D-r8_R2_001.fastq.gz,FLAG_MEF2D,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MED1,1,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp953-MV411_MEF2D_NT_SC_63_DMSO-MED1-r5_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp953-MV411_MEF2D_NT_SC_63_DMSO-MED1-r5_R2_001.fastq.gz,MED1,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MED1,2,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp954-MV411_MEF2D_NT_SC_63_DMSO-MED1-r6_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp954-MV411_MEF2D_NT_SC_63_DMSO-MED1-r6_R2_001.fastq.gz,MED1,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MEF2C,1,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp955-MV411_MEF2D_NT_SC_63_DMSO-MEF2C-r5_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp955-MV411_MEF2D_NT_SC_63_DMSO-MEF2C-r5_R2_001.fastq.gz,MEF2C,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MEF2C,2,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp956-MV411_MEF2D_NT_SC_63_DMSO-MEF2C-r6_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp956-MV411_MEF2D_NT_SC_63_DMSO-MEF2C-r6_R2_001.fastq.gz,MEF2C,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MYC,1,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp957-MV411_MEF2D_NT_SC_63_DMSO-MYC-r5_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp957-MV411_MEF2D_NT_SC_63_DMSO-MYC-r5_R2_001.fastq.gz,MYC,INPUT
MV411_MEF2D_NT_SC_63_DMSO-MYC,2,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp958-MV411_MEF2D_NT_SC_63_DMSO-MYC-r6_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp958-MV411_MEF2D_NT_SC_63_DMSO-MYC-r6_R2_001.fastq.gz,MYC,INPUT
MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D,1,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp959-MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D-r7_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp959-MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D-r7_R2_001.fastq.gz,FLAG_MEF2D,INPUT
MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D,2,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp960-MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D-r8_R1_001.fastq.gz,gs://amlproject/Chip/MEF2D_degraded_v4/fastqs/mp960-MV411_MEF2D_NT_SC_63_VHL_2h-FLAG_MEF2D-r8_R2_001.fastq.gz,FLAG_MEF2D,INPUT
