Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20220602_10_MYB-dTAG_1h_MONOMAC1_DMSO_B_MP10090_S56_R1_001	20220602_10_MYB-dTAG_1h_MONOMAC1_DMSO_B_MP10090_S56_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42435197.0	0.0	150.0	46.0	34.11327426200308	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220602_10_MYB-dTAG_1h_MONOMAC1_DMSO_B_MP10090_S56_R2_001	20220602_10_MYB-dTAG_1h_MONOMAC1_DMSO_B_MP10090_S56_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42435197.0	0.0	150.0	47.0	39.14454843363488	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
20220602_11_MYB-dTAG_1h_MONOMAC1_DMSO_C_MP10090_S57_R1_001	20220602_11_MYB-dTAG_1h_MONOMAC1_DMSO_C_MP10090_S57_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56208605.0	0.0	150.0	48.0	35.21520567081577	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220602_11_MYB-dTAG_1h_MONOMAC1_DMSO_C_MP10090_S57_R2_001	20220602_11_MYB-dTAG_1h_MONOMAC1_DMSO_C_MP10090_S57_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56208605.0	0.0	150.0	48.0	37.91281216113088	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
20220602_12_MYB-dTAG_1h_MONOMAC1_DMSO_D_MP10090_S58_R1_001	20220602_12_MYB-dTAG_1h_MONOMAC1_DMSO_D_MP10090_S58_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51400264.0	0.0	150.0	48.0	37.92896083242622	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220602_12_MYB-dTAG_1h_MONOMAC1_DMSO_D_MP10090_S58_R2_001	20220602_12_MYB-dTAG_1h_MONOMAC1_DMSO_D_MP10090_S58_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51400264.0	0.0	150.0	48.0	40.10707741170924	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
20220602_13_MYB-dTAG_1h_MONOMAC1_VHL_A_MP10090_S59_R1_001	20220602_13_MYB-dTAG_1h_MONOMAC1_VHL_A_MP10090_S59_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46620425.0	0.0	150.0	48.0	35.704581797302566	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220602_13_MYB-dTAG_1h_MONOMAC1_VHL_A_MP10090_S59_R2_001	20220602_13_MYB-dTAG_1h_MONOMAC1_VHL_A_MP10090_S59_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46620425.0	0.0	150.0	48.0	38.61169152950728	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
20220602_14_MYB-dTAG_1h_MONOMAC1_VHL_B_MP10090_S60_R1_001	20220602_14_MYB-dTAG_1h_MONOMAC1_VHL_B_MP10090_S60_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47805523.0	0.0	150.0	47.0	24.61327123014288	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220602_14_MYB-dTAG_1h_MONOMAC1_VHL_B_MP10090_S60_R2_001	20220602_14_MYB-dTAG_1h_MONOMAC1_VHL_B_MP10090_S60_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47805523.0	0.0	150.0	48.0	27.576498744125495	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
20220602_15_MYB-dTAG_1h_MONOMAC1_VHL_C_MP10090_S61_R1_001	20220602_15_MYB-dTAG_1h_MONOMAC1_VHL_C_MP10090_S61_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30865508.0	0.0	150.0	48.0	43.15835760479783	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220602_15_MYB-dTAG_1h_MONOMAC1_VHL_C_MP10090_S61_R2_001	20220602_15_MYB-dTAG_1h_MONOMAC1_VHL_C_MP10090_S61_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30865508.0	0.0	150.0	48.0	45.722448728927496	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
20220602_16_MYB-dTAG_1h_MONOMAC1_VHL_D_MP10090_S62_R1_001	20220602_16_MYB-dTAG_1h_MONOMAC1_VHL_D_MP10090_S62_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46325711.0	0.0	150.0	47.0	41.28532437431257	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220602_16_MYB-dTAG_1h_MONOMAC1_VHL_D_MP10090_S62_R2_001	20220602_16_MYB-dTAG_1h_MONOMAC1_VHL_D_MP10090_S62_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46325711.0	0.0	150.0	47.0	44.417944341413204	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
20220602_17_MYB-dTAG_1h_NOMO1_DMSO_A_MP10090_S63_R1_001	20220602_17_MYB-dTAG_1h_NOMO1_DMSO_A_MP10090_S63_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48218812.0	0.0	150.0	48.0	32.66896806956814	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220602_17_MYB-dTAG_1h_NOMO1_DMSO_A_MP10090_S63_R2_001	20220602_17_MYB-dTAG_1h_NOMO1_DMSO_A_MP10090_S63_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48218812.0	0.0	150.0	48.0	35.746190418009064	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
20220602_18_MYB-dTAG_1h_NOMO1_DMSO_B_MP10090_S64_R1_001	20220602_18_MYB-dTAG_1h_NOMO1_DMSO_B_MP10090_S64_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51433622.0	0.0	150.0	46.0	33.67684826049418	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220602_18_MYB-dTAG_1h_NOMO1_DMSO_B_MP10090_S64_R2_001	20220602_18_MYB-dTAG_1h_NOMO1_DMSO_B_MP10090_S64_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51433622.0	0.0	150.0	46.0	37.18194640841948	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
20220602_19_MYB-dTAG_1h_NOMO1_DMSO_C_MP10090_S65_R1_001	20220602_19_MYB-dTAG_1h_NOMO1_DMSO_C_MP10090_S65_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56572742.0	0.0	150.0	48.0	29.825725591376873	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220602_19_MYB-dTAG_1h_NOMO1_DMSO_C_MP10090_S65_R2_001	20220602_19_MYB-dTAG_1h_NOMO1_DMSO_C_MP10090_S65_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56572742.0	0.0	150.0	49.0	32.29063255590767	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
20220602_1_MYB-dTAG_1h_MV411_DMSO_A_MP10090_S48_R1_001	20220602_1_MYB-dTAG_1h_MV411_DMSO_A_MP10090_S48_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55257589.0	0.0	150.0	47.0	29.826412747127844	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220602_1_MYB-dTAG_1h_MV411_DMSO_A_MP10090_S48_R2_001	20220602_1_MYB-dTAG_1h_MV411_DMSO_A_MP10090_S48_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55257589.0	0.0	150.0	48.0	32.40141829239324	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
20220602_20_MYB-dTAG_1h_NOMO1_DMSO_D_MP10090_S66_R1_001	20220602_20_MYB-dTAG_1h_NOMO1_DMSO_D_MP10090_S66_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70685825.0	0.0	150.0	47.0	35.49403995254809	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220602_20_MYB-dTAG_1h_NOMO1_DMSO_D_MP10090_S66_R2_001	20220602_20_MYB-dTAG_1h_NOMO1_DMSO_D_MP10090_S66_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70685825.0	0.0	150.0	47.0	37.73385414123953	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
20220602_21_MYB-dTAG_1h_NOMO1_VHL_A_MP10090_S67_R1_001	20220602_21_MYB-dTAG_1h_NOMO1_VHL_A_MP10090_S67_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46090677.0	0.0	150.0	48.0	33.023722821850434	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
