Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210331_DMSO_FLAG_A_MP8777_S94_R1_001	20210331_DMSO_FLAG_A_MP8777_S94_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38078937.0	0.0	100.0	40.0	87.46841318613741	100.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
20210331_DMSO_FLAG_A_MP8777_S94_R2_001	20210331_DMSO_FLAG_A_MP8777_S94_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38078937.0	0.0	100.0	40.0	87.98423337887222	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20210331_DMSO_FLAG_B_MP8777_S95_R1_001	20210331_DMSO_FLAG_B_MP8777_S95_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37502992.0	0.0	100.0	40.0	86.83155647565354	100.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
20210331_DMSO_FLAG_B_MP8777_S95_R2_001	20210331_DMSO_FLAG_B_MP8777_S95_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37502992.0	0.0	100.0	40.0	87.13330976664581	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20210331_DMSO_H3K27ac_A_MP8777_S98_R1_001	20210331_DMSO_H3K27ac_A_MP8777_S98_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54351344.0	0.0	100.0	45.0	88.70514027201048	100.0	pass	pass	fail	pass	fail	fail	pass	pass	pass	pass	pass
20210331_DMSO_H3K27ac_A_MP8777_S98_R2_001	20210331_DMSO_H3K27ac_A_MP8777_S98_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54351344.0	0.0	100.0	45.0	88.58311788613061	100.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
20210331_DMSO_H3K27ac_B_MP8777_S99_R1_001	20210331_DMSO_H3K27ac_B_MP8777_S99_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50420837.0	0.0	100.0	44.0	92.32314997034494	100.0	pass	pass	fail	pass	warn	fail	pass	pass	pass	pass	pass
20210331_DMSO_H3K27ac_B_MP8777_S99_R2_001	20210331_DMSO_H3K27ac_B_MP8777_S99_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50420837.0	0.0	100.0	44.0	92.56052993527152	100.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
20210331_DMSO_MED1_A_MP8777_S96_R1_001	20210331_DMSO_MED1_A_MP8777_S96_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42701974.0	0.0	100.0	40.0	80.86149266881908	100.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass
20210331_DMSO_MED1_A_MP8777_S96_R2_001	20210331_DMSO_MED1_A_MP8777_S96_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42701974.0	0.0	100.0	40.0	81.58562062480449	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
