sample	exon	Intergenic	intron	promoter-TSS	TTS
PLB985_1_597_R1	4731	26765	40399	8574	2183
PLB985_2_598_R1	5305	30421	44271	9174	2363
SKNO1_1_197_R1	5766	25663	40464	10805	2307
SKNO1_1_230_R1	2153	8458	10885	8270	756
SKNO1_1_231_R1	370	4021	4762	1547	227
SKNO1_1_232_R1	558	3071	3531	3499	254
SKNO1_1_233_R1	960	3561	4550	6737	361
SKNO1_1_305_R1	1651	15143	17503	6734	788
SKNO1_1_308_R1	1278	4042	5477	5016	420
SKNO1_1_633_R1	1199	5808	7247	6105	461
SKNO1_1_635_R1	2514	12485	15385	9536	939
SKNO1_1_638_R1	4301	15623	19864	12259	1480
SKNO1_2_216_R1	3193	12542	22900	9540	1111
SKNO1_2_631_R1	2512	31829	33017	7127	1229
SKNO1_2_636_R1	1892	4291	6115	9823	543
SKNO1_2_637_R1	1038	4344	5399	5398	380
TF1_1_194_R1	4354	20709	38209	9498	1840
TF1_2_204_R1	4922	20611	40108	11366	2047
U937_1_73_R1	6638	28379	40539	10622	2719
U937_2_90_R1	4596	20802	30952	9474	1826
U937_3_213_R1	3311	15848	22972	9064	1175
UCSDAML1_2_188_R1	5352	19920	38980	10958	2182
UT7_3_187_R1	3070	7877	18077	8868	940
UT7_4_214_R1	2639	10359	18711	8455	909
