Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
1.30789	6.10394	10.21845	16.3113212166499	18.95481	436.60541	32721	-log10(qvalue)	MV411_2_768_R1
3.5118	8.71601	13.05355	19.2882402845268	22.15421	446.09647	32721	-log10(pvalue)	MV411_2_768_R1
261	341	438	510.294948198405	581	8717	32721	length	MV411_2_768_R1
1.4185	4.82657	5.69315	6.19850964850136	6.929455	24.5939	3670	fold	MV411_1_430_R1
1.32547	4.09827	5.885505	7.87319392643052	9.18455	68.20145	3670	-log10(qvalue)	MV411_1_430_R1
4.73015	8.07284	10.09343	12.180566013624	13.72328	75.85999	3670	-log10(pvalue)	MV411_1_430_R1
132	155	198	227.072479564033	264.75	1583	3670	length	MV411_1_430_R1
1.7121	7.10598	20.53288	21.4953912074514	33.49963	64.66505	22063	fold	MV411_1_138_R1
1.36802	14.82329	82.5769	92.8517040928251	160.95343	347.02786	22063	-log10(qvalue)	MV411_1_138_R1
3.35284	16.98213	85.16397	95.6918780954539	164.31628	356.51892	22063	-log10(pvalue)	MV411_1_138_R1
198	547	1270	1447.10048497484	2028	32282	22063	length	MV411_1_138_R1
1.9744	6.00398	7.27139	7.35550558510638	8.67241	17.39362	188	fold	MV411_1_433_R1
1.3292	4.2107275	6.15911	7.29961021276596	9.29441	26.26375	188	-log10(qvalue)	MV411_1_433_R1
6.26659	9.658865	11.83963	13.1341138829787	15.36898	35.75479	188	-log10(pvalue)	MV411_1_433_R1
47	60	92.5	121.5	150	561	188	length	MV411_1_433_R1
1.4818	5.26134	6.11383	6.68942069241012	7.5578975	26.10001	3004	fold	MV411_2_431_R1
1.33383	4.4508625	6.19848	8.14072146138482	9.80186	86.29959	3004	-log10(qvalue)	MV411_2_431_R1
4.77476	8.49298	10.472	12.5223258655127	14.43572	95.31352	3004	-log10(pvalue)	MV411_2_431_R1
141	164	207	236.493342210386	273	6836	3004	length	MV411_2_431_R1
1.78016	4.3616	5.70458	8.8218735675564	9.50764	86.70966	77476	fold	MV411_1_577_R1
1.31278	4.36086	7.71581	20.4655782830812	18.8557	383.03549	77476	-log10(qvalue)	MV411_1_577_R1
3.32368	6.78592	10.35593	23.2679604983479	21.87432	392.52655	77476	-log10(pvalue)	MV411_1_577_R1
123	161	232	315.047666374103	372	3501	77476	length	MV411_1_577_R1
1.58021	3.68976	4.35482	4.7919883768035	5.37001	34.68949	114638	fold	MV411_1_89_R1
1.31101	3.81023	5.28626	6.88196993117465	7.98568	173.14009	114638	-log10(qvalue)	MV411_1_89_R1
2.68931	5.54043	7.19897	8.91433448428968	10.19027	182.6311	114638	-log10(pvalue)	MV411_1_89_R1
293	367	556	1002.79647237391	1021	47428	114638	length	MV411_1_89_R1
2.0749	4.24871	5.80712	9.57589594053146	11.032375	59.69836	60099	fold	MONOMAC1_1_591_R1
1.30499	4.71029	8.93923	26.5255912689063	28.270555	250.48148	60099	-log10(qvalue)	MONOMAC1_1_591_R1
3.03847	6.63869	11.01202	28.8211249027438	30.7035	258.48117	60099	-log10(pvalue)	MONOMAC1_1_591_R1
187	297	520	924.706867002779	1145	23908	60099	length	MONOMAC1_1_591_R1
1.7994	3.89544	4.29441	4.68251617330267	5.06408	21.47204	41315	fold	MV411_1_71_R1
1.30442	3.17557	4.05729	5.10188389398524	5.50631	88.33626	41315	-log10(qvalue)	MV411_1_71_R1
3.16782	5.63586	6.69595	7.81292323514462	8.35023	95.28447	41315	-log10(pvalue)	MV411_1_71_R1
295	320	401	608.628730485296	592	17533	41315	length	MV411_1_71_R1
1.41745	5.62799	7.02099	8.74918732530121	9.9578475	72.85074	3320	fold	MV411_2_614_R1
1.50254	6.47125	10.124595	16.9134802620482	19.3632775	312.25766	3320	-log10(qvalue)	MV411_2_614_R1
4.90173	10.37773	14.230005	21.1508939307229	23.79695	321.74869	3320	-log10(pvalue)	MV411_2_614_R1
164	193	239	259.432530120482	300	4852	3320	length	MV411_2_614_R1
1.18273	4.49443	5.84132	7.66778694061585	8.70141	98.01382	46797	fold	MV411_1_767_R1
1.35421	7.86737	13.38128	26.0321109363848	28.34223	681.82294	46797	-log10(qvalue)	MV411_1_767_R1
3.44155	10.36393	16.08644	28.8733281597111	31.39417	691.31403	46797	-log10(pvalue)	MV411_1_767_R1
248	317	403	453.49789516422	525	3051	46797	length	MV411_1_767_R1
1.449	5.51026	8.04141	16.540896023828	16.7714	150.59979	66896	fold	MV411_2_429_R1
1.3023	6.29129	12.59959	48.4537101464961	40.17548	600.02966	66896	-log10(qvalue)	MV411_2_429_R1
3.42632	8.75166	15.24173	51.2640946633581	43.15556	609.52069	66896	-log10(pvalue)	MV411_2_429_R1
148	199	268	308.674928246831	371	2902	66896	length	MV411_2_429_R1
1.6485	5.64877	7.72247	10.4509599662697	12.39302	74.91425	57515	fold	MV411_1_72_R1
1.32626	6.1431	10.87207	20.0927709075893	23.90957	283.82739	57515	-log10(qvalue)	MV411_1_72_R1
3.52165	8.75643	13.69364	23.0733856564375	27.104025	293.31842	57515	-log10(pvalue)	MV411_1_72_R1
151	191	249	278.281039728766	330	6855	57515	length	MV411_1_72_R1
1.81199	6.3644625	7.92012	9.17906140301318	10.57148	46.85828	2124	fold	MV411_1_590_R1
1.42737	5.98585	9.44133	13.5798738418079	15.82763	131.21349	2124	-log10(qvalue)	MV411_1_590_R1
5.11819	10.16681	13.83676	18.1058494161959	20.55107	140.70451	2124	-log10(pvalue)	MV411_1_590_R1
118	147	191	224.13418079096	260	6480	2124	length	MV411_1_590_R1
1.9815	4.2885	5.373	6.6230880531586	7.68047	43.7453	21671	fold	MV411_1_359_R1
1.31752	5.01951	8.39974	14.2055731327581	16.84198	174.01523	21671	-log10(qvalue)	MV411_1_359_R1
3.70222	7.75457	11.33079	17.3068685879747	20.14977	183.50629	21671	-log10(pvalue)	MV411_1_359_R1
180	254	388	531.509528863458	639	12857	21671	length	MV411_1_359_R1
2.29553	4.96773	6.48731	8.11367833761097	9.704555	54.02812	23767	fold	MV411_1_357_R1
1.30973	6.84054	12.45103	21.2140659086128	26.18826	271.28528	23767	-log10(qvalue)	MV411_1_357_R1
3.75708	9.6696	15.50724	24.423908550932	29.6308	279.11359	23767	-log10(pvalue)	MV411_1_357_R1
171	236	340	418.460554550427	519	3709	23767	length	MV411_1_357_R1
1.47429	5.19481	6.1169	7.9661386551348	7.8556	141.41275	6417	fold	MV411_1_320_R1
1.38916	4.65756	6.6801	13.930769658719	11.10383	619.36237	6417	-log10(qvalue)	MV411_1_320_R1
4.44137	8.26142	10.45143	17.7686737260402	15.1104	627.55237	6417	-log10(pvalue)	MV411_1_320_R1
160	182	229	274.790556334736	303	4338	6417	length	MV411_1_320_R1
3.04206	7.17515	13.87887	16.3213805162971	23.1269775	77.67913	37614	fold	MV411_1_570_R1
1.32879	8.42392	23.06263	30.1370629720317	45.10875	200.46904	37614	-log10(qvalue)	MV411_1_570_R1
3.7184	11.19076	26.14856	33.3798943470516	48.6661	209.71494	37614	-log10(pvalue)	MV411_1_570_R1
141	212	292	299.941298452704	372	1601	37614	length	MV411_1_570_R1
1.39636	5.45645	8.00298	12.989058874456	14.75253	132.34018	60895	fold	MV411_1_319_R1
1.39159	6.81184	13.90169	36.6686604849331	37.63128	572.84546	60895	-log10(qvalue)	MV411_1_319_R1
3.49174	9.26756	16.56126	39.4911878797931	40.65063	581.63751	60895	-log10(pvalue)	MV411_1_319_R1
164	220	298	351.708596764923	423	5927	60895	length	MV411_1_319_R1
2.89034	5.58403	6.87532	7.95680347639485	8.9595	71.9081	2563	fold	MV411_1_118_R1
1.36206	6.24844	9.56544	14.0477386110027	16.024885	355.87955	2563	-log10(qvalue)	MV411_1_118_R1
4.91265	10.26258	13.78873	18.3859898166211	20.589285	364.29141	2563	-log10(pvalue)	MV411_1_118_R1
142	179	233	270.394069449863	315	1510	2563	length	MV411_1_118_R1
1.48562	5.1854	6.11947	7.18802174719487	7.66129	84.4905	4367	fold	MV411_2_427_R1
1.32758	4.48112	6.43481	10.1951460453401	10.1263	349.29211	4367	-log10(qvalue)	MV411_2_427_R1
4.60179	8.35747	10.52931	14.3824425005725	14.5177	358.78317	4367	-log10(pvalue)	MV411_2_427_R1
144	162	203	232.260819784749	265	6469	4367	length	MV411_2_427_R1
1.58121	4.2394	5.42465	6.55954167255465	7.839135	30.85595	18116	fold	MV411_3_136_R1
1.37724	5.59046	9.89735	15.920572819607	20.33445	156.8792	18116	-log10(qvalue)	MV411_3_136_R1
3.76777	8.33361	12.84756	19.0488238319717	23.68239	166.37025	18116	-log10(pvalue)	MV411_3_136_R1
207	299	456	602.93298741444	725	13180	18116	length	MV411_3_136_R1
1.88886	5.69758	6.96441	8.59928052173913	10.12903	38.74529	115	fold	MV411_3_623_R1
1.30462	3.85075	6.12325	10.6549186086957	11.79234	84.53976	115	-log10(qvalue)	MV411_3_623_R1
6.37361	9.38109	11.8675	16.5711055652174	17.918175	94.03079	115	-log10(pvalue)	MV411_3_623_R1
47	64.5	97	132.339130434783	173	541	115	length	MV411_3_623_R1
1.30009	5.05703	7.5099	16.898647105601	20.55112	131.69998	27263	fold	MV411_2_325_R1
1.30457	6.02937	13.26836	60.4968517940065	65.5703	612.23724	27263	-log10(qvalue)	MV411_2_325_R1
3.61949	8.64712	16.05391	63.4867755811906	68.75976	621.72827	27263	-log10(pvalue)	MV411_2_325_R1
163	224	347	475.373326486447	632	4323	27263	length	MV411_2_325_R1
1.58684	4.54062	5.30354	5.79456325985304	6.4465	42.95867	8982	fold	MV411_2_358_R1
1.33649	4.15073	5.78868	7.38601276775774	8.56703	210.3647	8982	-log10(qvalue)	MV411_2_358_R1
4.15903	7.50349	9.377225	11.0965526452906	12.51447	218.577	8982	-log10(pvalue)	MV411_2_358_R1
191	234	324	410.743932309063	492	4155	8982	length	MV411_2_358_R1
1.81228	6.87856	8.142795	9.73149303278688	10.4699725	77.06843	244	fold	MV411_1_324_R1
2.23435	6.55135	9.369755	14.6999569672131	14.9961425	237.99765	244	-log10(qvalue)	MV411_1_324_R1
6.8767	11.57316	14.54537	19.997835204918	20.4235975	247.48863	244	-log10(pvalue)	MV411_1_324_R1
150	167.75	211	264.959016393443	259.25	6845	244	length	MV411_1_324_R1
1.85223	4.944105	6.07675	7.45406927662957	8.26912	40.61978	1258	fold	MV411_1_773_R1
1.70255	6.0227625	10.08846	17.2686759220986	18.49971	201.94441	1258	-log10(qvalue)	MV411_1_773_R1
5.53144	10.268705	14.5433	21.8485354292528	23.2486025	211.43547	1258	-log10(pvalue)	MV411_1_773_R1
184	223	280	299.968203497615	349.75	967	1258	length	MV411_1_773_R1
2.14364	3.82331	5.68101	6.8460718556701	7.25198	75.11492	97	fold	MV411_1_565_R1
2.79188	6.07621	9.11041	17.0819532989691	15.07208	243.47998	97	-log10(qvalue)	MV411_1_565_R1
7.57973	11.13281	14.27412	22.4288380412371	20.37343	252.97099	97	-log10(pvalue)	MV411_1_565_R1
209	212	239	446.123711340206	382	7555	97	length	MV411_1_565_R1
1.42373	5.37705	6.80567	8.37271626961098	9.56116	89.34672	20333	fold	MV411_3_585_R1
1.31657	5.08049	8.17437	13.0709462135445	14.94497	294.50113	20333	-log10(qvalue)	MV411_3_585_R1
3.90726	8.07708	11.39057	16.4324747459794	18.52908	303.99216	20333	-log10(pvalue)	MV411_3_585_R1
147	191	271	345.824816800275	422	2722	20333	length	MV411_3_585_R1
1.44918	6.1223	7.87153	10.6361633203343	11.89001	87.46289	3590	fold	MV411_1_581_R1
1.30195	6.43412	10.96822	21.0269025431755	22.6082475	311.69373	3590	-log10(qvalue)	MV411_1_581_R1
4.77775	10.3978	15.12437	25.3220182451253	27.0918225	321.18478	3590	-log10(pvalue)	MV411_1_581_R1
117	143	182	200.833426183844	236	930	3590	length	MV411_1_581_R1
1.55476	4.907395	6.16598	7.26288558139535	7.6392	100.71178	430	fold	MV411_2_772_R1
1.40913	3.483855	6.026185	12.053216255814	12.650905	344.39352	430	-log10(qvalue)	MV411_2_772_R1
5.86222	8.41153	11.181535	17.2977056046512	18.069525	353.88458	430	-log10(pvalue)	MV411_2_772_R1
70	79	101	145.911627906977	144.5	2662	430	length	MV411_2_772_R1
2.23465	5.96391	6.65099	6.78360859122402	7.46958	13.5071	866	fold	MV411_3_568_R1
1.32576	4.12053	5.51622	6.77420474595843	7.3312	76.03029	866	-log10(qvalue)	MV411_3_568_R1
4.96882	8.61035	10.26811	11.5483116281755	12.34566	85.52126	866	-log10(pvalue)	MV411_3_568_R1
224	224	241	273.088914549654	282	2784	866	length	MV411_3_568_R1
1.65096	5.57069	6.62426	7.32033263033175	8.27647	49.32006	2110	fold	MV411_2_129_R1
1.30634	5.2708875	7.70232	10.0413478388626	11.88725	166.42894	2110	-log10(qvalue)	MV411_2_129_R1
4.96726	9.52483	12.20208	14.6366427298578	16.70792	175.92	2110	-log10(pvalue)	MV411_2_129_R1
129	149	181	202.977251184834	234	1503	2110	length	MV411_2_129_R1
1.4079	5.24414	6.93473	9.15439925285547	10.58443	88.61175	44476	fold	MV411_3_300_R1
1.32756	5.65259	9.96895	18.1302733869952	20.55343	331.26617	44476	-log10(qvalue)	MV411_3_300_R1
3.58044	8.29847	12.82774	21.1350005425398	23.769865	339.39548	44476	-log10(pvalue)	MV411_3_300_R1
158	207	284	332.783096501484	397	3084	44476	length	MV411_3_300_R1
1.74225	5.69573	6.88367	7.87266076551168	8.68865	65.50112	2482	fold	MV411_2_604_R1
1.40749	4.67187	7.06227	10.4753544721998	10.97174	247.62029	2482	-log10(qvalue)	MV411_2_604_R1
5.06348	8.88564	11.48032	14.9644977598711	15.656665	255.88087	2482	-log10(pvalue)	MV411_2_604_R1
104	118	150	177.424657534247	197	5414	2482	length	MV411_2_604_R1
1.72637	5.5816275	7.10428	8.6133038172043	9.861725	56.19012	372	fold	MV411_2_774_R1
1.49585	5.6894625	9.623875	15.411762016129	17.7333575	139.37764	372	-log10(qvalue)	MV411_2_774_R1
6.09772	10.7386275	14.85565	20.7833585215054	23.215745	148.8687	372	-log10(pvalue)	MV411_2_774_R1
69	77	107	152.819892473118	178.25	2658	372	length	MV411_2_774_R1
1.44662	5.61765	7.33479	9.35266743101134	10.89533	72.98811	26816	fold	MV411_2_112_R1
1.32926	6.21953	10.28322	17.2789276987619	20.468025	252.39832	26816	-log10(qvalue)	MV411_2_112_R1
3.86133	9.21234	13.47693	20.6178742381414	24.01704	261.88934	26816	-log10(pvalue)	MV411_2_112_R1
157	190	241	261.283114558473	304	6849	26816	length	MV411_2_112_R1
1.81044	4.65741	6.20489	9.5600001663544	10.20689	108.74885	193743	fold	MV411_3_299_R1
1.34997	6.56735	11.66458	29.4290633737993	27.25148	583.75092	193743	-log10(qvalue)	MV411_3_299_R1
2.98877	8.60611	13.88534	31.7977714273548	29.78998	593.24194	193743	-log10(pvalue)	MV411_3_299_R1
168	208	265	297.36237180182	341	6324	193743	length	MV411_3_299_R1
1.54362	5.92807	7.51959	9.21530784184514	10.53703	54.29224	1821	fold	MV411_4_627_R1
1.52416	7.18542	11.41375	18.6742678802856	21.10278	191.6712	1821	-log10(qvalue)	MV411_4_627_R1
5.37271	11.48421	15.91739	23.303836501922	25.92626	201.16228	1821	-log10(pvalue)	MV411_4_627_R1
110	135	170	187.381109280615	220	943	1821	length	MV411_4_627_R1
1.7303	6.014	7.76108	11.4042146614889	11.63432	155.55914	6824	fold	MV411_3_425_R1
1.30792	5.35012	8.73059	19.3430932268464	17.4951	547.05695	6824	-log10(qvalue)	MV411_3_425_R1
4.29336	8.82583	12.37949	23.1212301802462	21.44674	555.84894	6824	-log10(pvalue)	MV411_3_425_R1
177	200	261	312.382180539273	367	3886	6824	length	MV411_3_425_R1
1.99052	3.73777	4.37178	5.12339975205315	5.37874	41.66504	114702	fold	MV411_1_70_R1
1.3414	3.28627	4.47451	7.00139478021307	6.87972	185.42351	114702	-log10(qvalue)	MV411_1_70_R1
3.00615	5.3812	6.7341	9.37002305879584	9.3832	194.91452	114702	-log10(pvalue)	MV411_1_70_R1
186	222	316	486.354257118446	536	17433	114702	length	MV411_1_70_R1
1.92208	4.03414	4.81443	6.57229180590312	6.66606	74.16486	60341	fold	MV411_2_88_R1
1.31106	3.2462	4.79882	10.3901355197958	9.1673	300.8663	60341	-log10(qvalue)	MV411_2_88_R1
3.22573	5.52983	7.21284	12.9565874546328	11.82439	310.35733	60341	-log10(pvalue)	MV411_2_88_R1
172	204	299	495.11988531844	558	13499	60341	length	MV411_2_88_R1
1.47701	3.9809225	4.98121	7.33502420817601	7.10889	115.5093	27544	fold	MV411_2_435_R1
1.36271	4.56376	7.40778	20.921619122858	15.32359	639.79346	27544	-log10(qvalue)	MV411_2_435_R1
3.58993	7.10842	10.13036	23.8101234635492	18.38649	649.28455	27544	-log10(pvalue)	MV411_2_435_R1
179	248	407	604.684613708975	769	17881	27544	length	MV411_2_435_R1
2.0169	5.82841	9.87175	15.0338738042214	19.21899	106.49113	12034	fold	MV411_3_426_R1
1.32237	8.82262	23.75207	53.367874644341	67.12528	523.31934	12034	-log10(qvalue)	MV411_3_426_R1
4.07613	11.89062	27.0568	56.8243344980887	70.82186	532.81042	12034	-log10(pvalue)	MV411_3_426_R1
148	240	357	414.667276051188	524	4183	12034	length	MV411_3_426_R1
1.34208	5.10538	6.94777	10.1161338904776	11.6009	134.99918	108051	fold	MV411_2_301_R1
1.30324	5.20606	9.47166	19.8787959604261	21.28274	487.15027	108051	-log10(qvalue)	MV411_2_301_R1
3.2217	7.50181	11.96658	22.5277447511823	24.1314	496.64127	108051	-log10(pvalue)	MV411_2_301_R1
141	188	267	297.367039638689	362	2948	108051	length	MV411_2_301_R1
1.48048	5.41441	6.755215	8.76369478950246	9.543075	75.89342	7316	fold	MV411_4_321_R1
1.34915	5.42004	8.743355	16.8985935729907	17.0643375	338.20432	7316	-log10(qvalue)	MV411_4_321_R1
4.4604	8.98401	12.50075	20.7870722744669	21.13899	347.69537	7316	-log10(pvalue)	MV411_4_321_R1
145	175	228	253.530481137233	299	1193	7316	length	MV411_4_321_R1
2.0014	6.26958	8.41415	14.0661028642747	14.12823	200.75632	18228	fold	MV411_4_717_R1
1.40496	6.05005	10.12659	26.1227891705069	23.06004	636.52496	18228	-log10(qvalue)	MV411_4_717_R1
4.15764	9.23273	13.49004	29.6269896362739	26.73785	646.01599	18228	-log10(pvalue)	MV411_4_717_R1
131	153	201	224.778253236779	263	1587	18228	length	MV411_4_717_R1
1.87592	5.49134	6.37633	6.7870751961459	7.50483	54.41002	1453	fold	MV411_3_575_R1
1.52529	3.99638	5.49586	7.0456667928424	8.09283	175.28252	1453	-log10(qvalue)	MV411_3_575_R1
5.31483	8.34701	10.06692	11.7005228079835	12.95744	184.77356	1453	-log10(pvalue)	MV411_3_575_R1
136	153	193	236.229869236063	256	6856	1453	length	MV411_3_575_R1
1.48883	4.43095	5.49919	6.61707670865633	7.4789	42.93909	9288	fold	OCIAML2_1_168_R1
1.3118	6.56303	10.396135	17.3756745133506	19.7899925	203.11188	9288	-log10(qvalue)	OCIAML2_1_168_R1
4.3709	10.11591	14.147675	21.2640248826443	23.8789075	212.60297	9288	-log10(pvalue)	OCIAML2_1_168_R1
129	162	205	213.962424633936	247	972	9288	length	OCIAML2_1_168_R1
1.47892	6.10974	7.28603	8.07757035357737	9.2716125	33.21841	7212	fold	MV411_5_589_R1
1.323	5.45184	7.84555	9.95589535635053	12.02572	76.64935	7212	-log10(qvalue)	MV411_5_589_R1
4.53933	9.23618	11.85083	14.0889811758181	16.38004	85.18613	7212	-log10(pvalue)	MV411_5_589_R1
126	141	169	182.507903494176	206	1823	7212	length	MV411_5_589_R1
2.34162	5.13224	6.88541	9.93646611163717	11.73083	125.01225	61252	fold	MV411_DMSO_8h_1_690_R1
1.30212	4.6056	7.79657	15.6270046124208	17.98933	383.01688	61252	-log10(qvalue)	MV411_DMSO_8h_1_690_R1
3.26181	6.91327	10.29822	18.3068201188533	20.87121	392.50787	61252	-log10(pvalue)	MV411_DMSO_8h_1_690_R1
203	254	365	485.180026774636	584	4014	61252	length	MV411_DMSO_8h_1_690_R1
1.91677	3.90583	4.73697	6.16865347461233	6.92786	34.13892	58749	fold	NB4_1_193_R1
1.30581	3.99832	6.11495	12.0337478455804	13.25402	207.03052	58749	-log10(qvalue)	NB4_1_193_R1
3.08522	6.11023	8.36591	14.4840063876832	15.83127	216.52153	58749	-log10(pvalue)	NB4_1_193_R1
232	287	438	719.650496178658	859	18273	58749	length	NB4_1_193_R1
1.32844	5.19244	6.77847	8.98786680293792	10.34539	87.43321	43296	fold	MV411_4_424_R1
1.32454	5.6437	9.53625	17.874581126432	20.01746	349.72839	43296	-log10(qvalue)	MV411_4_424_R1
3.61463	8.34355	12.45017	20.9340021385347	23.29037	359.21945	43296	-log10(pvalue)	MV411_4_424_R1
149	199	269	314.803746304508	377	2302	43296	length	MV411_4_424_R1
1.50256	4.74292	5.69201	6.5777077261114	7.25876	49.41469	7828	fold	MV411_9_718_R1
1.32357	4.09588	6.19208	9.4437337148697	10.31877	227.16666	7828	-log10(qvalue)	MV411_9_718_R1
4.36084	7.6621	9.9791	13.3351130467552	14.41682	235.01427	7828	-log10(pvalue)	MV411_9_718_R1
142	171	223	262.332268778743	306	2304	7828	length	MV411_9_718_R1
1.99015	5.62671	7.01071	8.26600556451613	9.8047525	35.38442	372	fold	MV411_2_770_R1
1.33194	4.7832825	8.726235	13.1410033870968	16.92068	93.63374	372	-log10(qvalue)	MV411_2_770_R1
5.83711	9.6547875	13.82928	18.4208241129032	22.3854625	103.12482	372	-log10(pvalue)	MV411_2_770_R1
70	84	134	206.413978494624	280	2657	372	length	MV411_2_770_R1
1.79223	5.88431	8.77096	15.0606628941782	17.0178	162.88918	117301	fold	MV411_3_428_R1
1.31689	6.29764	12.79405	34.4352384047877	35.34827	565.7525	117301	-log10(qvalue)	MV411_3_428_R1
3.23961	8.56214	15.25852	37.0671561968781	38.17273	575.24353	117301	-log10(pvalue)	MV411_3_428_R1
136	183	246	281.098737436169	340	5496	117301	length	MV411_3_428_R1
1.17373	4.79649	7.1029	10.6227649427402	12.71979	103.6412	77716	fold	MV411_7_764_R1
1.33261	9.14905	20.68304	48.7839493094086	55.28238	785.37634	77716	-log10(qvalue)	MV411_7_764_R1
3.15209	11.31445	23.06837	51.3314513330588	58.04963	794.86743	77716	-log10(pvalue)	MV411_7_764_R1
259	352	460	536.715785681198	624	4945	77716	length	MV411_7_764_R1
1.70793	4.03389	4.95613	6.93386548250265	7.70398	38.45316	63181	fold	NB4_2_203_R1
1.32468	3.85042	6.12068	14.5463440653044	15.7405	156.53128	63181	-log10(qvalue)	NB4_2_203_R1
3.21287	6.01053	8.41215	17.0392882798626	18.34486	164.237	63181	-log10(pvalue)	NB4_2_203_R1
168	227	351	565.229752615502	688	10684	63181	length	NB4_2_203_R1
2.7917	5.782855	6.76402	7.85818570361146	8.45503	45.32692	803	fold	MV411_9_716_R1
1.44035	4.12276	6.38412	10.2677107970112	10.5071	124.79015	803	-log10(qvalue)	MV411_9_716_R1
5.50068	8.8927	11.37849	15.356901867995	15.794	133.58223	803	-log10(pvalue)	MV411_9_716_R1
77	78	99	131.768368617684	154	1591	803	length	MV411_9_716_R1
1.33666	3.63453	4.56472	5.39574060312812	6.32619	26.80641	56008	fold	OCIAML2_1_45_R1
1.30706	4.16906	6.91298	11.2848270057849	13.94239	130.84149	56008	-log10(qvalue)	OCIAML2_1_45_R1
3.28604	6.45068	9.389555	13.9389185098557	16.79589	140.3326	56008	-log10(pvalue)	OCIAML2_1_45_R1
152	238	384	594.736555492073	682	14901	56008	length	OCIAML2_1_45_R1
1.30254	5.17718	7.02752	10.0541258354843	11.46878	92.7533	138309	fold	OCIAML2_2_41_R1
1.30478	5.92175	10.42827	22.8936405337324	24.26127	387.86566	138309	-log10(qvalue)	OCIAML2_2_41_R1
3.24227	8.26659	12.96283	25.5788660196372	27.12958	396.12631	138309	-log10(pvalue)	OCIAML2_2_41_R1
118	145	186	215.696476729642	248	3136	138309	length	OCIAML2_2_41_R1
2.07339	3.65706	4.35175	5.53919704137194	5.63058	42.54263	137557	fold	OCIAML2_2_50_R1
1.30647	3.32801	4.83847	9.67297225259347	8.51911	208.18578	137557	-log10(qvalue)	OCIAML2_2_50_R1
2.91763	5.24336	6.88094	11.8466771659021	10.77224	217.67683	137557	-log10(pvalue)	OCIAML2_2_50_R1
137	174	265	494.537413581279	511	28063	137557	length	OCIAML2_2_50_R1
1.96415	4.51626	5.89671	10.0950568979679	10.26405	92.57435	74751	fold	NOMO1_3_186_R1
1.30407	4.30158	8.02884	25.7217461549678	21.87025	451.06711	74751	-log10(qvalue)	NOMO1_3_186_R1
2.98199	6.21663	10.08017	27.9727460312237	24.23245	460.55807	74751	-log10(pvalue)	NOMO1_3_186_R1
202	280	460	804.217174352183	958	32582	74751	length	NOMO1_3_186_R1
1.57929	4.71806	5.59306	7.1454383750581	7.20857	138.84477	15059	fold	MV411_8_715_R1
1.31151	4.11755	6.26702	12.6673234404675	10.31437	604.3327	15059	-log10(qvalue)	MV411_8_715_R1
4.01136	7.32223	9.66123	16.1262876558868	13.95358	613.52271	15059	-log10(pvalue)	MV411_8_715_R1
159	190	244	296.220598977356	332	11378	15059	length	MV411_8_715_R1
1.87298	3.94867	5.03063	6.81770419672929	8.0313725	49.59313	49286	fold	SKNO1_2_216_R1
1.32819	4.62779	8.09425	16.8154768222213	19.67971	254.35725	49286	-log10(qvalue)	SKNO1_2_216_R1
3.21628	6.80321	10.4409	19.3587647609869	22.40958	262.28009	49286	-log10(pvalue)	SKNO1_2_216_R1
214	297	486	736.840603822587	898	16138	49286	length	SKNO1_2_216_R1
1.47178	5.22877	6.60944	8.5357751110686	9.70824	108.12025	41821	fold	SKNO1_1_305_R1
1.31693	5.40804	8.58765	15.1343246311662	16.70992	431.41394	41821	-log10(qvalue)	SKNO1_1_305_R1
3.65812	8.1694	11.55094	18.2344800047823	20.00905	440.90497	41821	-log10(pvalue)	SKNO1_1_305_R1
149	187	257	281.715645249994	338	2012	41821	length	SKNO1_1_305_R1
1.9635	3.53761	4.10967	4.74348621247492	5.07546	28.78442	152498	fold	OCIAML2_3_67_R1
1.30429	3.32993	4.60902	7.23209590696271	7.3074	147.25064	152498	-log10(qvalue)	OCIAML2_3_67_R1
2.83293	5.22978	6.66377	9.40367603483324	9.59995	156.44064	152498	-log10(pvalue)	OCIAML2_3_67_R1
172	213	309	520.569417303833	542	30789	152498	length	OCIAML2_3_67_R1
1.53005	5.2488475	6.84831	8.53297455516659	10.10982	58.54073	16568	fold	SKNO1_2_637_R1
1.3725	6.8465825	11.72816	19.6741877275471	23.77289	260.44754	16568	-log10(qvalue)	SKNO1_2_637_R1
4.11731	9.99505	15.08892	23.18369	27.49483	269.9386	16568	-log10(pvalue)	SKNO1_2_637_R1
157	202	260	291.522694350555	342	1387	16568	length	SKNO1_2_637_R1
2.26751	4.23546	5.033	6.01204011247254	6.42699	40.50714	64638	fold	NOMO1_2_92_R1
1.30382	3.45576	4.84781	8.2498541384325	8.59352	147.63663	64638	-log10(qvalue)	NOMO1_2_92_R1
3.20347	5.7444	7.30362	10.8428484894335	11.31963	157.12762	64638	-log10(pvalue)	NOMO1_2_92_R1
182	224	325	491.55269346205	560	11332	64638	length	NOMO1_2_92_R1
1.46898	5.48671	7.77281	11.4472523895336	13.17	98.46455	75747	fold	SKNO1_2_631_R1
1.32601	6.97273	13.85018	31.9470941795715	34.14742	421.7341	75747	-log10(qvalue)	SKNO1_2_631_R1
3.44725	9.46042	16.54146	34.7943514647445	37.18806	431.22516	75747	-log10(pvalue)	SKNO1_2_631_R1
144	188	240	265.715566293055	310	2185	75747	length	SKNO1_2_631_R1
