Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
3.81307	9.23728	15.310885	40.9181989422545	36.3644175	675.20422	25318	-log10(pvalue)	D9_1_155_R1
182	245	328	382.139702978118	460	2589	25318	length	D9_1_155_R1
2.47218	5.40735	7.12353	11.3535694598294	11.61955	173.2829	37988	fold	M6_2_302_R1
1.3411	5.52391	9.6518	25.1169838385806	21.65435	717.7381	37988	-log10(qvalue)	M6_2_302_R1
3.60944	8.18342	12.50753	28.1122747862483	24.83638	725.83118	37988	-log10(pvalue)	M6_2_302_R1
176	228	315	374.485969253448	453	2391	37988	length	M6_2_302_R1
1.97704	5.99568	7.23508	8.47727641174039	8.88181	124.32118	2419	fold	D9_1_156_R1
1.75027	5.401085	7.73218	12.0779721372468	11.78904	506.67526	2419	-log10(qvalue)	D9_1_156_R1
5.35046	9.460345	11.99102	16.4205691194709	16.32439	515.05237	2419	-log10(pvalue)	D9_1_156_R1
157	187	240	279.787928896238	323	6050	2419	length	D9_1_156_R1
1.8527	5.06212	6.07894	6.32796687640449	7.21778	20.46902	445	fold	D9_2_27_R1
1.35309	3.93348	5.58964	7.17598901123595	8.36079	41.15816	445	-log10(qvalue)	D9_2_27_R1
5.90393	9.12938	11.07598	12.7302596629213	14.19935	49.13074	445	-log10(pvalue)	D9_2_27_R1
59	65	79	93.4067415730337	104	470	445	length	D9_2_27_R1
1.89941	3.37214	4.31802	7.77231319545128	7.28877	69.99736	122496	fold	D0_3_351_R1
1.34384	4.32213	7.21075	28.2605345123106	19.85788	443.01852	122496	-log10(qvalue)	D0_3_351_R1
2.74074	5.91332	8.9078	30.1595056896552	21.81348	452.50958	122496	-log10(pvalue)	D0_3_351_R1
189	270	460	976.304777298851	1084	32609	122496	length	D0_3_351_R1
1.67721	3.56512	4.21577	7.49345469869808	6.94441	66.56944	16130	fold	D0_1_7_R1
1.33163	3.94469	5.812535	23.954221083695	16.80778	595.53625	16130	-log10(qvalue)	D0_1_7_R1
3.3224	6.11659	8.04594	26.3573923087415	19.24218	605.02734	16130	-log10(pvalue)	D0_1_7_R1
280	348	553	1763.57904525728	1868.75	140601	16130	length	D0_1_7_R1
1.68685	3.50604	4.47186	9.17706101717016	8.24698	83.06109	100465	fold	D0_4_352_R1
1.35603	4.26114	7.1709	35.0705747487185	22.45007	541.28143	100465	-log10(qvalue)	D0_4_352_R1
2.80045	5.89418	8.90122	37.0160760271736	24.43918	550.77246	100465	-log10(pvalue)	D0_4_352_R1
198	278	476	1055.33903349425	1181	26488	100465	length	D0_4_352_R1
