	IBET+SGC1	IBET+SGC2	DMSO1	DMSO2	SGC1	SGC2	IBET1	IBET2
ENSG00000006007	20.52448479	20.07663742	10.82979144	11.68288677	15.06586816	14.11943158	17.05458425	17.28849856
ENSG00000006015	22.41051853	20.48917107	21.60675462	24.67923419	23.59714291	24.84373266	18.66604103	20.64845411
ENSG00000006016	2.607164284	2.681468697	3.064038552	3.663863899	3.3883077	2.964002812	3.021481461	1.95488323
ENSG00000006025	21.85580272	20.21414864	14.739082	14.93197363	13.67424179	11.47877453	20.8817941	19.18229169
ENSG00000006042	3.383766412	2.543957482	2.165958287	2.212144241	3.509318689	2.640657051	3.424345656	2.687964441
ENSG00000006062	10.92790136	8.113161698	6.709187865	3.802122914	4.356395614	5.119641221	11.95163778	8.308253726
ENSG00000006114	33.8931357	35.34038231	30.90452678	31.03914888	29.22415391	29.04722756	36.52635366	36.59297046
ENSG00000006118	1.497732674	1.44386776	2.113130036	1.10607212	2.057186818	1.832292648	1.611456779	0.916351514
ENSG00000006125	38.38633372	46.13501271	44.63987201	48.04500773	45.68164845	41.06491169	41.360724	44.04596277
ENSG00000006194	37.83161791	37.40305054	50.60946436	47.90674872	45.0765935	47.80128172	43.44218901	43.25179146
ENSG00000006210	2.939993768	3.16275795	2.958382051	2.143014733	2.662241764	2.47898417	2.752905331	4.154126863
ENSG00000006282	11.81544665	14.85121124	11.8335282	12.51244086	12.76665937	10.2931734	11.07876536	8.55261413
ENSG00000006327	6.767532823	5.500448609	4.70171433	4.009511437	2.48072528	1.832292648	12.69022214	7.941713121
ENSG00000006432	3.21735167	3.437780381	3.53949281	2.834309809	3.146285721	2.964002812	2.282897104	3.665406056
ENSG00000006451	13.81242355	12.99480984	8.822317901	8.502929426	10.64896706	9.64648188	13.29451843	13.56200241
ENSG00000006453	2.16339164	1.71889019	1.056565018	1.244331136	1.149604398	1.993965528	2.215753072	1.28289212
ENSG00000006530	3.938482217	4.60662571	3.222523305	3.249086854	4.416901108	3.341239534	3.021481461	2.932324845
ENSG00000006534	16.86336048	16.295079	20.91998736	19.77103915	21.29793411	20.316892	15.77884763	15.94451634
ENSG00000006555	2.052448479	1.168845329	1.267878022	1.589978673	0.968087914	1.293383045	1.477168714	1.527252523
ENSG00000006576	13.59053723	16.50134583	11.25241744	11.9594048	10.28593409	11.80212029	13.0259423	16.43323715
ENSG00000006607	20.80184269	21.93303883	13.94665824	17.48976541	13.19019783	14.65834118	25.11186814	27.85708602
ENSG00000006625	14.64449726	14.23241078	17.01069679	13.27286545	19.30125279	16.76008863	12.22021391	13.3787321
ENSG00000006634	20.52448479	21.03921593	29.1611945	26.13095385	19.84580224	24.2509321	28.939078	24.43604037
ENSG00000006638	6.989419146	7.906894876	6.867672617	7.535116321	6.837120894	7.32917059	6.982979377	7.575172515
ENSG00000006652	33.50483463	30.25246735	19.44079633	14.79371461	16.69951652	17.40678015	35.11632898	35.24898824
ENSG00000006695	9.208282366	7.975650483	16.48241428	17.48976541	14.88435168	17.08343439	10.27303697	10.81294786
ENSG00000006704	14.20072461	14.4386776	14.31645599	12.78895889	15.61041762	12.82604853	12.95879827	10.50749736
ENSG00000006712	34.50332308	42.97225476	42.52674198	39.12730126	34.18560447	34.86745126	39.61497916	40.13619631
ENSG00000006715	19.30411002	22.48308369	18.22574656	20.32407521	21.53995609	19.67020048	18.06174474	17.83830947
ENSG00000006740	12.09280455	10.65711918	18.70120082	18.45757851	12.94817585	12.44881181	13.89881472	12.27911029
ENSG00000006744	25.18409756	24.4082407	32.33088955	38.29774717	35.57723085	30.0711558	24.50757185	24.00840967
ENSG00000006756	15.3656278	14.4386776	12.36181071	9.055965487	10.76997805	9.538699959	13.36166246	12.21802019
ENSG00000006757	3.827539056	4.056580849	2.747069047	2.626921286	4.114373635	3.718476255	3.491489689	3.848676359
ENSG00000006831	50.42366669	54.24817441	40.51926844	39.26556028	36.72683524	38.4781456	51.43232887	52.5985769
ENSG00000006837	2.995465348	3.987825242	2.588584294	2.765180301	2.420219785	3.664585295	2.484329201	2.993414946
ENSG00000007047	13.091293	13.5448547	10.56565018	11.8902753	10.52795607	9.915936681	14.83883118	14.35617372
ENSG00000007080	13.31317932	16.2263234	19.12382683	21.0844998	18.87771433	17.02954343	13.42880649	14.29508362
ENSG00000007129	1.331317932	1.581378975	2.32444304	1.589978673	1.089098903	1.455055926	1.812888877	1.893793129
ENSG00000007168	41.15991275	41.59714261	34.23270659	35.32517835	29.52668138	35.40636087	42.16645239	48.74990054
ENSG00000007174	2.440749543	2.475201874	1.901817033	2.073885226	1.331120882	2.263420329	2.350041137	2.687964441
ENSG00000007202	91.19527837	105.3335909	110.5167009	122.6357464	121.4345277	104.6023538	79.69996654	88.03083544
ENSG00000007237	2.551692704	2.681468697	3.750805814	2.557791779	3.448813194	4.095712977	2.350041137	1.527252523
ENSG00000007255	6.157345438	7.906894876	6.656359614	6.636432723	7.684197819	5.550768903	5.43866663	5.070478377
ENSG00000007264	5.047913827	6.531782723	19.91625059	20.87711127	25.47281324	18.4307084	5.640098728	5.498109084
ENSG00000007341	9.485640269	9.21325142	9.403428661	9.954649084	10.40694508	10.45484628	8.527292124	8.980244837
ENSG00000007350	1.664147416	3.369024773	11.6222152	8.433799919	5.324483528	5.119641221	7.520131637	6.170100194
ENSG00000007372	3.772067475	4.950403748	1.690504029	2.143014733	2.722747259	2.964002812	2.417185169	2.810144643
ENSG00000007376	14.42261094	14.09489956	14.739082	18.04280147	15.67092311	11.74822933	15.98027973	14.23399352
ENSG00000007384	2.939993768	1.71889019	3.222523305	3.179957346	2.783252753	3.502912414	5.035802435	3.726496157
ENSG00000007392	33.8931357	35.82167157	25.25190393	25.7161768	29.52668138	25.81376995	27.32762122	28.95670784
ENSG00000007516	1.608675835	1.100089722	1.003736767	1.728237688	1.089098903	1.347274006	1.544312747	0.977441615
ENSG00000007520	4.104896958	4.744136925	5.811107599	6.4290442	5.324483528	4.365167778	4.230074046	3.90976646
ENSG00000007541	11.26073085	12.58227619	8.663833148	8.986835979	8.652285733	8.406989794	10.20589294	10.32422706
ENSG00000007545	7.821492853	8.250672914	9.35060041	9.470742532	10.1649231	9.430918039	7.990139864	9.468965644
ENSG00000007866	6.656589662	5.981737862	10.45999368	14.24067855	10.95149453	11.58655645	4.431506143	4.887208074
ENSG00000007923	13.92336671	14.98872246	18.59554432	20.94624078	21.90298906	19.72409144	9.870172773	11.11839837
ENSG00000007944	87.58962564	73.22472211	87.4835835	57.93052731	76.05540676	73.77672454	111.1905178	83.14362737
ENSG00000007968	12.86940668	9.763296281	18.54271607	12.16679333	13.25070333	16.65230671	15.17455134	9.530055745
ENSG00000008018	28.01314816	36.50922764	29.00270975	31.45392593	28.92162644	27.86162643	30.34910268	31.64467228
ENSG00000008083	55.13875104	50.67288281	60.06572128	53.16059129	67.645143	64.93860707	57.2738597	55.10327104
ENSG00000008086	2.274334801	1.925157013	0.528282509	0.138259015	0.665560441	0.377236722	1.275736617	2.015973331
ENSG00000008128	6.046402277	5.569204217	5.229996839	5.115583557	3.448813194	5.227423141	6.110106955	8.430433928
ENSG00000008130	17.41807628	16.84512387	16.74655554	18.45757851	18.51468136	17.19121631	13.56309456	14.47835392
ENSG00000008226	1.775090577	1.787645798	1.215049771	1.175201628	1.452131871	1.239492085	1.410024682	1.34398222
ENSG00000008256	13.97883829	14.64494442	8.399691894	9.125094994	10.58846156	10.18539148	13.0259423	12.8289212
ENSG00000008277	1.996976899	0.893822899	0.792423764	1.036942613	0.968087914	1.239492085	1.410024682	1.160711918
ENSG00000008282	14.20072461	14.85121124	23.77271291	24.33358665	19.24074729	18.64627224	18.3974649	17.41067876
ENSG00000008283	3.272823251	4.400358887	5.335653341	7.465986813	7.139648367	6.682479067	3.692921786	3.97085656
ENSG00000008294	71.50286729	79.61899362	49.39441459	53.16059129	48.28338472	48.71742804	72.51555507	74.16338253
ENSG00000008300	8.598094981	11.48218647	5.86393585	5.115583557	7.44217584	5.712441783	9.467308579	7.88062302
ENSG00000008311	4.382254861	3.231513558	4.12060357	3.525604884	4.235384625	4.203494897	4.968658403	4.276307065
ENSG00000008323	3.883010636	2.337690659	2.588584294	2.626921286	3.448813194	2.748438971	2.551473234	2.932324845
ENSG00000008324	4.493198022	4.60662571	6.180905356	4.977324542	6.353076937	4.634622579	4.90151437	4.215216964
ENSG00000008394	5.436214891	5.500448609	8.18837889	7.673375336	14.33980223	10.832083	3.290057591	4.948298175
ENSG00000008405	8.48715182	8.456939736	4.490401327	3.871252422	5.263978033	4.742404499	8.057283897	7.330812112
ENSG00000008441	15.14374148	15.40125611	18.06726181	20.46233423	20.3298462	18.7001632	10.60875713	10.75185776
ENSG00000008513	50.36819511	38.29687344	80.08762837	66.29519772	55.60454957	61.70514945	59.42246874	48.74990054
ENSG00000008516	2.16339164	3.16275795	3.275351556	2.004755718	5.384989023	4.85018642	1.745744844	1.771612927
ENSG00000008517	1.05396003	1.237600937	1.109393269	1.866496703	1.089098903	1.993965528	1.477168714	2.015973331
ENSG00000008710	50.20178037	60.84871274	80.88005213	78.87676809	59.47690123	57.7172184	73.65700362	58.46322659
ENSG00000008735	2.718107445	2.750224305	1.954645283	1.935626211	2.722747259	2.047856488	3.491489689	4.398487267
ENSG00000008838	17.58449102	20.35165985	19.54645283	23.22751453	24.38371434	19.93965528	15.7117036	16.31105695
ENSG00000008853	28.56786397	24.27072949	29.3725075	19.97842768	26.44090116	25.16707842	32.29627962	24.06949977
ENSG00000008869	24.13013753	27.77726548	22.34635013	23.78055059	28.07454951	23.92758634	19.06890522	21.38153533
ENSG00000008952	47.09537186	53.35435151	38.03634065	44.24288482	44.47153856	44.24447834	44.65078159	45.14558459
ENSG00000008988	236.6972341	279.835323	200.5888687	197.2956145	233.6722203	161.0261891	204.789299	235.0136183
ENSG00000009307	145.5019557	179.3833803	164.5071733	168.8833869	176.1314949	149.3857417	143.7553735	152.3587117
ENSG00000009335	31.6188009	35.89042717	38.03634065	42.79116516	37.2713847	38.85538232	34.57917672	36.10424965
ENSG00000009413	40.88255484	45.30994542	49.18310159	49.22020936	48.64641769	50.22637493	42.70360465	49.11644115
ENSG00000009724	8.209793917	8.731962167	4.384744825	4.76993602	5.687516496	6.466915227	8.527292124	8.735884433
ENSG00000009765	5.047913827	4.469114495	3.962118818	5.392101587	5.324483528	4.95796834	5.505810663	5.314838781
ENSG00000009780	8.598094981	7.631872445	3.962118818	4.562547497	3.569824184	3.718476255	8.057283897	9.774416149
ENSG00000009790	62.90477231	48.61021458	64.18632485	58.48356337	72.84861554	69.68101157	49.88801613	44.96231428
ENSG00000009830	8.265265497	8.93822899	8.18837889	9.609001547	8.289252765	9.107572277	9.735884708	7.514082414
ENSG00000009844	23.13164908	24.13321827	22.08220888	21.1536293	21.72147257	20.26300104	26.58903686	27.61272562
ENSG00000009950	4.604141183	4.400358887	4.173431821	3.802122914	4.477406603	5.981896585	4.834370338	5.375928882
ENSG00000009954	87.47868248	95.63905019	105.1810475	91.25094994	87.67246173	84.17767987	99.84317629	91.08534049
ENSG00000010017	39.44029375	44.34736691	54.78289619	48.32152576	35.21419788	31.84955749	51.9023371	46.2452064
ENSG00000010072	12.31469088	11.55094208	7.237470374	8.433799919	8.107736281	11.74822933	11.41448552	12.70674099
ENSG00000010165	12.98034984	14.16365517	15.68999052	16.10717525	13.79525278	15.95172423	13.0259423	13.62309251
ENSG00000010219	3.716595895	4.125336457	3.222523305	3.318216361	3.025274732	3.556803375	3.491489689	2.077063432
ENSG00000010244	151.4928864	161.3694111	153.3604124	171.1646606	142.9744838	161.4573168	157.3184681	179.177266
ENSG00000010256	36.7221863	41.87216504	36.66280613	37.19167505	39.510088	26.89158915	34.57917672	32.5610238
ENSG00000010270	9.707526591	10.65711918	10.51282193	10.71507367	11.73806596	11.53266549	12.08592584	11.48493897
ENSG00000010292	48.09386031	62.63635854	56.68471322	57.03184371	49.06995615	48.17851844	52.3052013	47.65027873
