mr193.MV411.MYBi_30m.r1_tcount,mr194.MV411.MYBi_30m.r2_tcount,mr195.MV411.MYBi_30m.r3_tcount,mr196.MV411.MYBi_30m.r4_tcount,mr197.MV411.PBS_30m.r1_tcount,mr198.MV411.PBS_30m.r2_tcount,mr199.MV411.PBS_30m.r3_tcount,mr200.MV411.PBS_30m.r4_tcount
0,0,0,0,0,0,0,0
1,2,1,2,5,0,3,4
10,8,8,11,8,7,8,11
11,4,9,4,9,18,14,16
0,0,2,1,6,1,5,4
29,16,46,22,16,16,22,46
0,0,1,0,3,1,2,1
0,0,0,0,0,0,1,0
1,0,0,1,0,3,1,0
0,0,0,0,0,0,0,0
23,23,40,20,32,29,34,53
0,0,0,0,0,0,0,0
51,43,95,84,40,39,43,77
15,13,35,11,13,10,7,20
3,0,9,2,7,4,6,14
0,1,1,0,1,0,0,1
0,0,1,0,1,1,0,1
0,0,0,0,4,0,1,2
0,0,0,0,2,0,2,3
1,2,3,1,5,2,4,3
1,1,5,2,1,3,2,2
1,1,0,0,1,2,0,6
3,1,4,0,7,1,1,1
0,1,0,0,3,0,0,0
0,0,0,0,0,0,0,0
23,23,40,22,24,27,29,43
1,1,1,0,1,0,4,2
2,0,6,3,3,6,3,12
1,6,11,6,14,12,9,20
32,27,34,23,42,35,30,55
3,1,7,1,3,1,3,3
1,2,0,2,1,2,2,5
0,0,0,0,0,0,0,0
901,874,1370,991,706,772,680,1178
1362,1197,2511,1398,1332,1436,1213,1718
14,6,25,9,29,20,34,39
1,2,8,1,1,9,6,6
8,11,17,4,8,8,12,18
0,0,3,0,3,0,0,0
0,1,2,0,0,1,0,1
5,3,14,8,18,24,24,31
4,6,5,1,6,5,4,12
3,2,9,4,19,8,15,26
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1
0,2,1,0,8,7,6,5
1,0,2,0,0,1,0,0
1,2,2,1,9,5,2,5
0,0,0,0,4,2,1,2
20,21,60,17,27,20,33,52
139,135,223,126,154,132,133,211
2,2,3,2,9,3,4,8
5,1,4,3,2,4,5,3
4,3,4,2,6,4,6,5
0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,1
8,5,13,11,35,25,25,38
14,22,34,16,34,24,24,32
8,1,12,9,8,10,15,22
9,9,19,5,19,17,12,22
1,0,0,1,4,0,0,1
24,35,46,24,38,44,35,50
4,3,0,2,6,3,7,7
0,0,0,0,0,0,0,0
7,3,9,3,2,1,6,7
