mr193.MV411.MYBi_30m.r1_tcount,mr194.MV411.MYBi_30m.r2_tcount,mr195.MV411.MYBi_30m.r3_tcount,mr196.MV411.MYBi_30m.r4_tcount,mr197.MV411.PBS_30m.r1_tcount,mr198.MV411.PBS_30m.r2_tcount,mr199.MV411.PBS_30m.r3_tcount,mr200.MV411.PBS_30m.r4_tcount
10,3,6,2,0,0,1,0
0,0,0,0,0,0,0,0
8,11,22,13,9,21,11,18
10,16,19,7,20,19,11,38
0,0,0,0,2,0,2,0
8,6,10,10,9,13,18,24
6,4,7,6,13,9,14,12
0,0,0,0,3,0,0,0
0,0,0,0,0,0,1,0
1,2,2,0,11,3,4,7
1,0,7,5,1,0,4,9
13,6,12,9,20,30,32,34
4,3,11,7,5,8,8,15
4,2,5,1,4,1,1,5
5,4,13,9,13,9,3,17
0,0,2,1,4,6,1,2
1,1,1,0,0,0,2,0
3,4,5,2,2,3,6,7
28,28,30,26,53,33,44,49
81,94,166,82,90,69,92,144
0,0,0,0,0,0,0,0
1,1,2,5,7,4,10,13
6,5,22,9,21,23,12,28
2,0,2,0,2,1,4,2
1,2,2,1,0,0,1,5
0,0,0,0,0,0,0,0
23,31,49,20,19,9,20,40
0,0,0,1,2,0,0,1
15,12,26,15,18,22,24,27
170,164,264,139,82,56,39,103
1,1,3,0,2,2,0,2
1,0,1,0,0,1,0,0
91,77,167,75,165,153,160,253
3,0,2,2,1,3,1,4
7,9,8,6,7,10,15,13
15,10,19,17,23,12,11,23
2,0,4,2,4,1,3,4
1,1,3,2,1,4,2,3
5,2,8,2,8,3,3,8
1,0,4,2,4,3,1,6
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1
30,20,55,28,48,49,38,73
19,17,23,12,17,14,15,27
1,0,1,0,1,2,1,3
3,6,10,10,20,10,24,35
0,0,1,1,8,12,3,6
2,2,1,0,0,1,1,7
38,37,63,46,40,43,46,52
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1
1,0,1,0,1,0,2,2
10,8,26,17,11,8,6,15
3,0,4,4,22,12,13,14
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
161,156,280,154,173,126,107,285
6,7,13,5,6,14,14,29
0,0,0,0,0,0,0,0
17,16,37,19,17,17,14,14
2,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0
0,0,0,0,1,0,1,4
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,5,2,2,6,2,5,9
0,0,1,0,0,0,1,0
2,0,1,0,0,0,0,0
8,25,58,43,21,22,31,48
134,117,190,124,113,139,125,160
23,11,27,11,2,6,5,3
10,7,10,4,13,8,8,26
0,0,0,1,0,0,1,1
0,1,0,0,0,0,1,0
2,1,1,0,0,0,0,0
10,5,25,8,5,6,6,17
1,1,2,0,0,3,1,1
0,1,1,1,2,5,1,7
4,2,3,1,5,3,4,15
0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,2
6,5,4,2,6,3,3,9
1,1,0,0,0,2,1,4
0,0,0,0,0,0,0,0
0,0,2,0,12,3,7,4
1,4,4,4,4,0,4,6
6,5,8,3,4,5,6,2
1,2,2,1,4,4,3,3
10,5,17,17,23,21,23,28
2,0,7,2,3,0,7,1
2,1,2,0,1,0,0,2
30,25,35,22,50,41,37,66
4,12,9,6,23,15,17,46
0,0,0,0,0,0,0,0
26,20,30,29,29,33,36,51
0,0,0,0,0,0,0,0
1,1,2,2,2,1,2,0
5,8,15,8,12,14,18,28
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
6,10,15,5,5,4,7,12
5,4,4,3,7,6,4,6
0,1,2,0,0,1,0,1
11,8,12,9,2,0,0,0
2,1,5,3,0,0,3,5
0,0,0,0,0,0,0,0
1,0,0,0,0,2,0,1
5,8,15,5,10,13,15,13
102,78,184,83,137,141,110,183
0,1,2,1,4,2,3,4
206,191,316,165,188,161,192,272
44,32,65,63,49,45,42,68
61,65,106,63,53,33,41,87
0,1,0,1,1,1,1,2
4,4,2,2,6,3,2,6
175,206,305,176,250,227,216,390
2,2,3,2,0,0,1,0
268,262,466,248,249,288,206,387
190,207,312,181,123,115,112,205
1,0,1,2,2,3,4,0
19,15,29,11,11,8,7,3
17,23,35,18,59,106,85,114
4,8,8,14,34,43,37,47
0,1,0,0,2,1,0,1
2,2,0,2,1,0,0,2
0,0,0,0,1,1,0,0
101,92,192,127,139,188,152,187
39,36,81,59,136,110,114,152
11,6,13,11,14,12,10,20
6,5,16,9,13,13,12,27
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,3
3,0,2,0,5,0,2,4
5,4,10,2,14,7,6,17
2,1,1,1,0,0,2,3
18,21,20,23,24,33,28,23
8,8,16,9,14,21,18,22
0,0,0,0,2,1,1,1
8,1,7,7,7,9,5,10
0,0,4,1,1,0,0,1
2,1,1,3,2,2,1,13
0,0,0,0,0,0,0,1
2,0,1,2,7,2,3,7
2,1,1,2,5,6,9,4
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,1,0,0,0,0,3,1
1,3,0,0,2,0,0,4
6,6,20,14,14,7,16,16
4,0,1,1,1,5,0,0
2,1,4,1,2,0,0,1
11,14,17,10,5,3,5,10
375,304,640,335,145,191,125,190
32,27,45,31,14,28,17,32
1,0,0,1,3,3,1,4
8,8,16,11,9,16,8,22
6,8,15,9,13,8,15,16
1,0,2,1,1,0,1,2
16,13,23,15,15,15,10,15
0,0,0,0,0,0,0,0
0,0,0,0,0,4,1,1
0,0,0,0,0,0,0,0
1,0,1,3,2,0,2,0
0,0,0,0,0,0,0,0
19,22,36,20,22,13,18,28
0,0,0,0,0,0,0,0
107,110,215,129,132,104,93,204
4,11,18,8,25,32,25,30
80,72,151,69,56,50,51,87
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
12,14,26,16,19,17,20,33
3,5,3,4,6,1,4,8
6,6,19,15,10,12,8,17
0,0,1,0,4,1,0,2
3,0,3,4,0,3,2,2
7,5,5,3,10,12,10,12
7,3,15,4,6,1,6,16
1,0,2,0,0,0,2,4
2,1,2,1,8,4,11,9
25,34,47,30,33,22,22,57
1,1,2,1,2,1,4,6
2,0,0,0,0,1,1,0
3,4,9,14,9,10,6,12
0,0,0,0,0,0,0,0
72,106,164,103,74,52,74,128
32,47,52,34,23,28,37,37
2,2,3,5,7,3,12,21
12,3,11,8,24,29,20,29
33,38,72,33,41,41,24,34
4,2,6,2,2,7,6,1
3,0,10,5,6,6,5,5
0,0,0,1,0,0,1,0
0,0,0,1,1,1,2,6
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
16,11,21,10,14,4,9,17
0,0,0,0,0,0,0,0
72,90,162,83,105,126,111,138
0,0,0,0,0,0,0,0
2,2,1,1,6,1,0,3
21,29,37,16,23,22,26,36
122,99,201,94,103,98,68,166
0,0,1,0,0,0,0,0
33,42,73,30,38,33,47,53
0,0,0,0,0,0,1,0
6,2,7,6,7,12,11,11
1,1,0,1,0,1,2,2
20,18,28,12,32,27,20,63
1,1,4,0,1,3,6,6
0,1,2,2,0,3,1,1
0,0,0,0,1,0,0,0
1,1,1,1,0,0,1,2
33,28,65,21,41,33,35,85
0,0,0,0,2,5,0,1
1,3,3,2,5,2,2,5
2,1,1,1,0,0,1,1
17,9,13,5,21,17,16,23
36,29,73,48,115,90,105,185
9,6,17,1,5,1,3,2
8,9,17,10,23,29,41,37
6,3,8,3,16,13,23,26
11,15,25,17,16,28,31,44
2,0,0,0,1,0,1,0
19,36,58,22,74,68,70,101
0,0,1,2,0,0,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,0,1,4,4,1,3,2
0,0,0,1,0,3,1,0
0,0,0,0,0,0,0,0
1,0,1,1,4,1,2,2
0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0
13,12,23,16,25,23,28,42
1,0,0,0,0,4,1,5
10,15,29,13,28,28,25,47
0,0,0,2,0,0,0,2
5,2,6,8,2,15,10,15
1,4,1,2,0,5,3,1
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
8,7,14,7,19,17,14,24
3,2,5,0,6,1,6,2
1,3,2,0,4,2,0,8
0,0,0,0,1,0,1,1
2,0,5,0,1,3,6,3
2,3,7,3,4,4,2,6
6,3,3,1,3,4,2,3
17,11,18,15,11,18,18,16
12,7,8,6,6,7,9,9
58,52,97,47,85,60,50,137
3,0,3,0,0,1,0,0
7,8,18,6,16,4,11,29
0,0,1,0,2,0,0,0
0,0,2,1,1,0,0,0
0,1,1,3,0,3,2,2
2,2,0,0,1,0,1,0
0,0,0,0,0,0,0,0
3,6,14,4,14,13,11,16
0,0,0,0,0,0,0,1
19,13,22,8,17,7,8,32
453,492,701,451,96,81,81,133
316,276,618,295,917,924,756,1404
28,20,59,37,43,35,42,59
0,0,0,0,0,1,0,1
2,7,7,4,3,6,5,7
0,0,1,2,1,0,0,0
129,111,210,109,80,55,50,120
14,18,18,14,3,8,2,10
27,33,41,32,28,13,17,51
104,103,175,82,51,47,35,74
0,3,4,3,7,3,5,3
1,1,0,1,0,0,0,1
1,2,2,1,4,2,3,5
24,11,46,14,29,43,21,43
0,1,2,0,6,1,1,1
17,19,36,13,15,25,23,34
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
69,47,97,38,17,19,14,23
0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,1
1,0,0,1,3,1,1,2
0,0,0,0,0,0,0,0
41,47,98,54,31,24,21,55
0,0,0,0,0,0,0,1
9,13,25,22,41,40,37,62
2,0,1,2,2,0,3,4
0,0,0,0,0,0,0,1
1,0,2,2,0,2,1,2
1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0
1,1,4,4,14,6,5,6
5,3,5,4,9,6,8,12
21,18,50,20,49,37,42,68
1,0,2,1,1,0,2,2
0,0,1,0,0,1,0,2
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,2
0,0,0,0,0,1,0,0
0,1,0,0,2,1,1,0
0,0,0,0,0,0,1,0
8,6,11,6,12,5,7,8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0
1,0,1,0,1,0,2,2
2,1,1,1,3,4,2,2
111,88,153,102,118,93,104,147
88,90,170,76,102,76,92,175
15,11,18,15,48,53,55,82
74,86,123,79,83,86,89,141
44,43,90,56,75,47,67,92
0,0,0,0,2,0,0,0
14,22,33,13,22,13,9,25
4,5,15,2,11,12,11,24
0,1,1,2,1,1,1,2
75,65,165,65,123,89,116,212
0,0,0,1,0,1,2,3
2,1,2,2,3,3,1,1
5,2,5,12,14,8,11,22
0,0,1,1,0,1,1,1
8,12,12,8,17,15,17,21
2,1,0,1,0,1,0,1
83,93,154,77,107,59,70,162
35,36,64,31,20,19,9,36
1,0,2,5,5,1,1,3
18,20,29,13,26,28,21,34
2,2,1,1,0,1,2,4
0,1,4,0,2,0,2,2
33,30,58,34,86,66,80,133
20,32,65,33,49,40,35,68
0,0,1,1,0,1,0,0
0,0,1,0,0,0,0,4
9,6,8,7,11,5,12,15
2,1,9,6,12,3,4,16
1,3,3,0,5,4,2,1
8,3,21,16,5,7,10,15
0,0,0,0,0,0,0,0
2,4,2,0,6,8,7,4
0,0,0,0,0,0,0,0
93,107,181,92,137,122,132,257
231,201,342,200,363,296,307,558
6,7,11,3,24,23,21,37
57,63,151,68,185,205,235,292
51,30,65,36,63,29,36,85
18,29,33,24,31,25,29,57
2,6,4,3,3,2,2,3
0,0,0,0,0,0,0,0
0,2,1,1,2,6,3,1
9,1,8,7,8,8,18,18
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
1,1,1,0,3,0,0,0
1,1,4,2,5,1,2,0
7,5,12,9,18,14,18,38
0,2,8,5,3,3,3,6
8,2,16,9,8,7,7,18
47,26,96,42,124,142,132,202
34,34,63,35,104,97,102,173
4,1,11,8,14,6,9,14
6,6,12,15,28,20,32,43
17,7,31,21,25,19,31,45
1,1,1,1,2,3,2,3
1,2,4,4,0,0,0,3
173,171,326,178,227,196,171,326
59,49,77,39,58,55,36,115
49,48,97,39,70,47,53,84
4,2,5,1,8,11,8,9
1,5,4,5,14,5,11,2
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
4,0,3,1,11,6,12,22
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0
1,5,9,4,4,2,2,4
0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0
3,0,7,1,9,6,14,12
0,0,1,0,2,0,0,3
4,0,3,2,1,1,3,3
8,7,4,0,9,5,4,6
5,8,10,8,9,14,6,21
1,0,1,0,1,1,1,3
18,10,17,9,20,18,16,40
0,0,0,0,0,0,0,1
4,4,7,4,4,6,9,10
3,0,2,1,3,0,4,5
0,0,1,0,0,0,0,0
65,83,168,72,79,84,72,119
7,1,6,5,11,10,11,27
0,0,0,0,0,0,0,0
12,10,31,10,13,14,13,24
4,2,6,5,4,4,8,9
0,0,0,0,0,0,0,0
3,3,4,3,2,4,6,8
9,10,13,6,16,9,4,23
20,14,26,13,1,2,0,1
6,2,6,2,2,1,2,1
0,0,0,0,1,0,0,0
34,35,45,36,43,53,35,58
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7,10,13,21,16,16,16,32
121,108,165,107,68,104,72,83
11,7,12,8,18,16,16,20
0,0,0,0,0,0,0,0
4,2,5,2,12,5,5,29
3,2,1,0,6,3,3,6
9,17,21,9,16,13,10,29
13,8,15,8,11,4,12,24
21,19,32,22,16,18,21,28
0,0,0,0,0,0,0,1
66,56,122,62,106,101,97,163
4,1,1,0,3,3,10,6
0,0,0,0,1,0,0,1
27,20,44,13,31,23,27,49
2,2,4,3,5,4,6,8
106,91,156,111,81,78,67,148
0,0,0,0,1,0,0,0
6,7,20,5,12,9,14,13
0,1,2,0,1,1,0,1
19,12,20,13,12,22,17,28
0,0,0,0,0,0,0,0
175,172,299,156,259,218,221,404
0,0,0,0,0,0,0,0
2,7,1,2,4,0,0,4
72,92,124,73,54,41,40,61
88,83,173,123,154,147,157,259
233,263,442,233,302,180,196,400
0,0,0,0,0,0,0,0
15,11,21,20,9,16,9,12
15,10,33,13,7,6,3,10
2,0,2,1,1,2,0,5
11,17,43,13,35,35,38,53
0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0
4,5,9,10,16,12,11,24
0,0,1,0,0,0,0,1
0,0,0,0,1,2,0,0
0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0
0,1,1,0,1,0,2,2
192,237,470,252,863,1046,925,1271
170,144,256,143,203,244,209,304
38,40,67,33,23,31,20,47
0,0,0,0,0,0,0,0
230,212,385,169,425,317,300,555
0,0,0,0,0,0,1,0
5,2,5,4,18,14,18,33
36,43,63,41,66,78,78,112
0,0,0,0,0,0,0,1
0,1,0,0,3,0,1,2
4,4,13,6,4,5,4,8
3,3,5,4,3,1,2,4
0,0,0,0,0,0,1,0
61,68,119,71,91,86,84,107
17,9,27,9,24,19,13,28
20,19,46,23,36,26,28,63
0,0,0,0,0,0,0,0
1,0,1,2,2,2,1,3
18,9,31,20,20,21,23,43
60,50,92,65,54,22,30,62
127,123,233,123,139,158,110,155
2,3,3,1,9,3,5,4
13,11,19,6,6,9,11,18
0,0,0,0,0,0,0,0
10,6,7,6,16,11,5,23
65,75,132,88,133,94,91,158
0,0,0,0,0,0,0,0
17,15,25,17,47,50,57,78
0,0,0,0,0,0,0,0
23,31,43,20,24,23,28,30
0,1,0,1,4,2,3,2
5,5,7,2,7,2,2,6
368,325,558,331,161,93,104,274
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
87,92,187,84,172,169,142,247
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1
6,4,10,1,8,10,7,8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
13,9,18,10,19,13,20,30
2,3,3,1,0,1,1,4
74,55,109,66,152,112,113,194
195,171,346,203,407,509,381,509
2,2,7,2,6,7,4,10
0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0
0,1,0,3,2,1,1,0
9,6,15,4,2,5,6,11
3,1,5,4,12,6,5,3
1,0,1,0,0,0,0,2
3,2,8,3,5,2,2,4
1,7,7,0,4,2,3,7
0,0,0,0,1,0,0,0
2,2,3,2,1,0,1,3
9,7,20,4,12,8,11,27
2,3,8,7,8,2,3,3
8,4,13,8,16,17,21,14
1,1,3,0,1,9,4,8
0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0
335,308,545,260,206,185,183,326
0,0,0,0,0,0,0,0
3,4,7,2,5,11,11,10
3,5,2,4,3,2,5,4
8,4,8,8,17,12,13,24
0,0,0,0,0,1,0,0
0,1,1,1,1,0,1,2
1,2,9,4,28,13,11,19
4,4,3,6,4,6,6,8
19,26,33,18,26,33,13,34
11,9,9,3,7,17,7,11
33,30,52,47,51,44,64,113
244,197,398,209,480,498,385,676
0,0,0,0,0,0,0,0
0,2,2,3,15,18,27,23
0,0,0,0,3,1,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
4,2,1,1,9,5,11,14
0,1,3,0,0,0,0,0
0,0,0,0,0,0,0,0
33,32,44,31,9,14,15,19
15,9,34,16,34,47,31,45
34,23,49,45,25,38,40,56
0,0,0,0,1,0,1,0
5,6,8,3,1,4,3,5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0
0,0,0,0,3,3,2,2
0,1,2,1,3,2,2,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
2,0,1,2,7,3,4,5
16,8,16,8,16,13,12,31
5,1,3,2,4,1,1,1
1065,1044,1626,900,153,106,104,192
19,14,53,17,22,19,29,42
10,7,9,5,4,5,8,21
0,0,0,0,0,0,0,0
5,10,11,5,1,2,2,5
13,11,20,12,23,25,16,23
0,0,0,5,0,0,1,0
3,3,6,1,3,1,0,5
4,0,3,4,5,8,6,5
2,2,2,0,0,1,3,0
4,10,13,8,14,15,11,19
3,3,7,3,2,2,2,3
0,0,1,2,4,7,4,10
5,7,8,6,27,13,14,22
15,11,23,11,16,25,23,32
1,2,9,1,10,6,4,17
0,1,3,3,2,1,5,17
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
239,221,362,153,241,163,165,326
0,0,0,0,1,0,2,0
4,6,15,6,4,6,6,5
1,4,10,2,15,4,9,18
0,0,1,0,3,0,1,0
7,11,15,11,25,24,20,34
0,1,1,0,2,2,1,1
0,1,0,0,3,2,1,6
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1
0,0,0,0,0,1,1,1
45,34,64,26,45,34,39,60
21,23,35,13,32,20,20,60
16,7,24,6,20,13,13,21
0,0,0,0,0,0,0,0
3,1,0,0,5,1,0,3
3,3,4,1,2,1,1,2
0,0,0,0,0,0,0,0
19,16,27,20,8,4,1,9
0,0,3,0,1,1,0,0
4,0,8,1,1,4,5,7
182,160,323,174,235,223,180,337
0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,4
12,12,32,19,24,37,34,34
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0
39,23,67,37,66,72,57,104
20,13,37,13,22,13,28,64
9,1,8,0,9,6,10,10
104,108,225,148,22,31,46,54
2,1,6,1,13,14,16,27
3,3,7,1,11,9,7,16
9,2,6,5,12,8,11,14
0,0,0,0,1,0,0,0
5,7,17,15,21,26,27,38
81,56,136,68,80,57,47,108
74,52,116,69,74,91,63,79
25,13,32,19,25,27,30,39
7,11,14,6,18,17,13,16
20,29,51,24,26,20,15,52
35,36,86,32,48,51,41,91
0,4,11,2,5,2,7,8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,3
14,14,20,11,22,21,22,30
1,0,0,1,4,0,0,2
3,1,4,7,13,6,9,18
3,1,4,0,1,3,1,4
11,3,10,3,8,13,10,12
8,5,12,3,15,10,8,16
0,0,3,0,0,0,1,4
6,6,9,3,6,13,5,19
3,4,5,0,3,3,1,8
12,8,14,13,17,27,17,38
7,10,10,5,14,11,13,19
0,1,0,0,0,1,1,0
3,12,10,2,3,2,1,2
1,0,2,1,0,0,1,0
5,8,9,6,7,6,8,4
4,5,11,10,3,7,8,12
108,90,182,92,62,48,43,81
3,3,2,1,3,3,5,9
36,42,61,46,32,40,43,41
1,0,1,0,2,0,1,1
18,22,50,27,28,46,36,50
10,5,21,13,32,46,32,56
0,2,0,1,3,1,3,2
0,0,1,0,3,1,4,8
0,0,3,0,0,2,0,0
1,1,0,2,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
6,3,5,4,11,4,8,10
0,0,0,0,0,0,0,0
12,3,25,12,20,15,19,22
59,66,112,82,100,97,100,113
2,1,1,0,3,3,7,12
1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,2
3,13,11,3,7,7,10,12
0,1,0,0,2,1,1,1
0,1,2,2,4,0,4,5
2,8,14,8,9,8,5,23
3,11,20,14,22,11,21,27
2,2,0,3,1,1,4,3
202,169,360,172,201,181,184,384
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0
1,0,4,3,0,1,3,0
28,30,74,29,27,28,15,45
0,0,0,0,0,1,0,1
1,1,7,0,1,2,4,11
26,27,48,27,18,6,21,30
18,13,22,15,29,26,24,42
0,0,0,0,0,0,0,0
8,4,8,10,16,13,12,6
0,1,6,3,5,4,10,12
20,15,32,18,37,46,42,51
0,1,0,0,0,0,3,0
0,0,3,4,1,3,0,6
3,1,6,2,6,4,7,9
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
75,73,138,72,19,8,19,27
2,4,4,3,19,22,20,33
1,0,0,1,0,0,0,1
3,1,7,5,10,7,5,13
0,2,0,1,0,2,2,3
5,3,4,5,13,6,15,15
21,20,42,16,35,38,42,48
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
5,1,0,3,3,4,4,6
6,4,23,9,15,9,4,23
0,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,1
70,59,97,60,44,47,26,65
53,32,61,30,35,43,26,35
4,4,17,4,9,16,9,20
0,0,0,0,0,0,0,0
0,1,0,1,3,0,2,0
435,372,697,345,270,194,182,377
42,42,72,27,30,11,26,44
166,165,273,183,202,161,150,320
4,5,8,1,0,2,0,0
6,7,10,7,21,15,13,26
19,22,36,18,21,21,18,37
8,9,19,4,6,15,6,9
5,3,5,0,11,7,12,10
21,25,41,18,28,11,17,16
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,8,12,6,18,18,13,14
1,0,2,0,2,0,1,2
9,5,14,7,28,16,16,40
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
1,0,2,1,2,1,0,3
3,2,4,1,4,2,1,1
88,70,155,108,124,173,144,191
2,3,2,7,19,10,7,17
1,2,4,1,8,2,11,16
18,9,25,15,20,31,31,22
3,7,10,5,13,16,14,23
4,1,4,4,1,5,2,10
36,33,77,37,61,73,81,94
4,2,0,5,0,2,0,4
0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
71,91,163,95,116,75,89,130
7,9,16,7,14,13,12,35
4,3,6,3,10,2,10,8
8,12,14,7,7,10,8,18
0,0,0,0,0,0,0,0
0,2,2,3,1,0,0,1
18,30,74,22,27,51,35,58
4,4,6,3,7,7,0,12
97,101,152,74,131,134,117,159
36,30,39,31,13,20,20,23
0,0,4,1,4,4,5,4
4,0,6,2,12,4,10,5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,1,2,2,1,2,3,4
0,1,5,2,0,0,1,0
1,2,4,3,0,1,3,8
6,6,8,4,10,11,12,11
0,0,0,0,0,0,0,0
0,0,1,2,0,4,3,1
0,0,0,0,0,0,0,0
1,0,3,0,2,6,2,4
7,2,9,2,7,9,12,19
1,0,1,0,2,0,1,2
27,12,49,25,66,38,42,82
2,5,11,6,7,3,16,8
12,4,20,4,9,16,9,20
3,1,1,1,3,3,4,7
4,7,12,4,16,16,16,28
0,2,7,1,3,2,3,3
0,0,0,0,0,0,0,0
4,4,13,3,14,8,6,17
0,0,0,0,0,0,0,0
3,5,12,10,29,20,26,29
