col,experiment,cond,time,treatment,rep,drop
mr590-MV411-DMSO_1h-r1_tcount,MV411,MV411-DMSO_1h,1h,DMSO,r1,False
mr591-MV411-DMSO_1h-r2_tcount,MV411,MV411-DMSO_1h,1h,DMSO,r2,False
mr592-MV411-DMSO_1h-r3_tcount,MV411,MV411-DMSO_1h,1h,DMSO,r3,False
mr593-MV411-DMSO_1h-r4_tcount,MV411,MV411-DMSO_1h,1h,DMSO,r4,False
mr594-MV411-MS2_1h-r1_tcount,MV411,MV411-MS2_1h,1h,MS2,r1,False
mr595-MV411-MS2_1h-r2_tcount,MV411,MV411-MS2_1h,1h,MS2,r2,False
mr596-MV411-MS2_1h-r3_tcount,MV411,MV411-MS2_1h,1h,MS2,r3,False
mr597-MV411-MS2_1h-r4_tcount,MV411,MV411-MS2_1h,1h,MS2,r4,False
mr598-MV411-JQ1_1h-r1_tcount,MV411,MV411-JQ1_1h,1h,JQ1,r1,False
mr599-MV411-JQ1_1h-r2_tcount,MV411,MV411-JQ1_1h,1h,JQ1,r2,False
mr600-MV411-JQ1_1h-r3_tcount,MV411,MV411-JQ1_1h,1h,JQ1,r3,False
mr601-MV411-JQ1_1h-r4_tcount,MV411,MV411-JQ1_1h,1h,JQ1,r4,False
mr602-MV411-MYCi361_1h-r1_tcount,MV411,MV411-MYCi361_1h,1h,MYCi361,r1,False
mr603-MV411-MYCi361_1h-r2_tcount,MV411,MV411-MYCi361_1h,1h,MYCi361,r2,False
mr604-MV411-MYCi361_1h-r3_tcount,MV411,MV411-MYCi361_1h,1h,MYCi361,r3,False
mr605-MV411-MYCi361_1h-r4_tcount,MV411,MV411-MYCi361_1h,1h,MYCi361,r4,False
mr606-MV411-THZ1_1h-r1_tcount,MV411,MV411-THZ1_1h,1h,THZ1,r1,False
mr607-MV411-THZ1_1h-r2_tcount,MV411,MV411-THZ1_1h,1h,THZ1,r2,False
mr608-MV411-THZ1_1h-r3_tcount,MV411,MV411-THZ1_1h,1h,THZ1,r3,False
mr609-MV411-THZ1_1h-r4_tcount,MV411,MV411-THZ1_1h,1h,THZ1,r4,False
mr610-MV411-JQ1_MS2_1h-r1_tcount,MV411,MV411-JQ1_MS2_1h,1h,JQ1_MS2,r1,False
mr611-MV411-JQ1_MS2_1h-r2_tcount,MV411,MV411-JQ1_MS2_1h,1h,JQ1_MS2,r2,False
mr612-MV411-JQ1_MS2_1h-r3_tcount,MV411,MV411-JQ1_MS2_1h,1h,JQ1_MS2,r3,False
mr613-MV411-JQ1_MS2_1h-r4_tcount,MV411,MV411-JQ1_MS2_1h,1h,JQ1_MS2,r4,False
mr614-MV411-JQ1_THZ1_1h-r1_tcount,MV411,MV411-JQ1_THZ1_1h,1h,JQ1_THZ1,r1,False
mr615-MV411-JQ1_THZ1_1h-r2_tcount,MV411,MV411-JQ1_THZ1_1h,1h,JQ1_THZ1,r2,False
mr616-MV411-JQ1_THZ1_1h-r3_tcount,MV411,MV411-JQ1_THZ1_1h,1h,JQ1_THZ1,r3,False
mr617-MV411-JQ1_THZ1_1h-r4_tcount,MV411,MV411-JQ1_THZ1_1h,1h,JQ1_THZ1,r4,False
