,ERCC pseudo-counts,var,Experiments
MV411-DMSO_1h,0.3261517963724936,0.012500134702073779,MV411-DMSO_1h
MV411-MS2_1h,0.33446041957175876,0.024322443483555417,MV411-MS2_1h
MV411-JQ1_1h,0.3406168395402226,0.027275126859314595,MV411-JQ1_1h
MV411-MYCi361_1h,0.3280861122191835,0.03598763170706331,MV411-MYCi361_1h
MV411-THZ1_1h,0.31840498782336224,0.013522824900470541,MV411-THZ1_1h
MV411-JQ1_MS2_1h,0.3322995523367723,0.014061741191522873,MV411-JQ1_MS2_1h
MV411-JQ1_THZ1_1h,0.40389846305432336,0.0477285874459153,MV411-JQ1_THZ1_1h
