State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.95293	1.91755	1.91755	2.00246	2.14398	2.31380	2.93647	3.92001	5.51207	8.44854	10.20334	7.55698	5.54745	3.79972	2.64636	2.12982	1.91755	1.79726	1.41517	1.50715	1.40101
2	3.93038	4.30634	4.92981	5.76476	6.81433	8.30721	10.15727	12.49137	15.17480	17.78618	19.33546	18.81068	17.32719	15.37062	13.03181	10.63818	8.64558	7.11666	6.02167	5.10056	4.52252
3	2.55102	2.49793	2.44672	2.35394	2.21773	2.04344	1.83645	1.58574	1.31922	1.11731	1.05484	1.13849	1.40931	1.67047	1.94423	2.25983	2.56550	2.79127	2.98647	3.09426	3.18811
4	0.69498	0.68829	0.68074	0.67100	0.65824	0.64400	0.62426	0.59568	0.56369	0.53075	0.50408	0.49976	0.50882	0.52234	0.53500	0.54596	0.55560	0.56347	0.57167	0.57760	0.58296
5	6.00808	6.00808	9.87042	12.01617	9.87042	15.87851	19.31170	25.74893	27.89468	22.31574	29.18212	37.33595	29.61127	28.75297	25.74893	17.59510	18.45340	11.58702	11.58702	8.58298	4.72064
6	2.95060	3.67342	3.72736	3.95391	5.04893	5.44270	5.87962	6.39207	6.05763	5.15141	3.80827	4.24520	3.32819	4.83855	6.74269	7.23895	6.42443	5.57755	4.39084	4.14271	3.68960
7	2.64883	2.64883	2.60303	2.54959	2.40455	2.18318	1.92364	1.61067	1.56487	0.96946	0.96182	1.12213	0.88549	0.89312	0.93892	1.87021	2.46562	2.96943	3.07630	3.45798	3.35874
8	1.66514	1.76011	1.69680	1.89940	1.86141	1.93105	1.91206	2.11466	2.17165	1.19662	1.01934	3.52655	4.71684	3.87477	3.43791	2.95673	2.73513	2.98206	3.00105	3.07069	3.01371
