State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.96262	1.92257	1.80241	1.97063	1.95461	1.96262	1.81843	2.05074	2.05074	1.65822	1.76236	2.30708	2.20294	2.29106	2.09079	2.01870	2.24300	2.11483	1.99467	1.98666	2.09079
2	3.28981	3.26144	3.24370	3.22242	3.12665	3.20291	3.17454	3.19405	3.12311	3.12133	3.16922	3.05749	3.12843	3.10892	3.07522	3.05571	3.10360	3.06103	2.97591	2.99187	3.01670
3	2.14526	2.15770	2.13828	2.14222	2.12522	2.10792	2.10944	2.09881	2.09456	2.10580	2.10944	2.09213	2.08333	2.06421	2.06967	2.06360	2.03264	2.04265	2.03689	2.03628	2.02171
4	0.76507	0.76702	0.76889	0.76987	0.77178	0.77301	0.77541	0.77630	0.77699	0.78041	0.78176	0.78102	0.78180	0.78424	0.78676	0.78843	0.78986	0.79120	0.79295	0.79384	0.79462
5	1.94340	3.40095	3.88679	1.94340	4.37264	3.40095	4.37264	0.97170	1.94340	0.97170	3.40095	1.94340	3.88679	1.94340	1.94340	2.91510	3.40095	2.42925	5.34434	3.40095	3.40095
6	3.83510	3.36487	3.69464	3.57250	3.76182	3.60304	3.61525	3.50533	3.47479	3.35266	2.89464	2.93128	2.91296	3.07785	2.91907	2.83358	3.03510	3.01067	2.94961	2.98625	3.01067
7	1.46051	1.39137	1.45187	1.36545	1.59014	1.51236	1.49508	1.64199	1.85804	1.63335	1.34816	1.76298	1.70249	1.64199	1.69385	1.66792	1.53829	1.52965	1.66792	1.42594	1.47779
8	1.49091	1.59126	1.45507	1.36906	1.39056	1.53392	1.30455	1.16836	1.27588	1.11102	1.24004	1.37623	1.29738	1.20420	1.08951	1.18986	1.13969	1.00350	1.19703	1.18269	1.12535
