Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R1_001	20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97846571.0	0.0	150.0	43.0	32.67029747210287	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R2_001	20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97846571.0	0.0	150.0	44.0	35.41541685850266	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R1_001	20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101134842.0	0.0	150.0	44.0	32.82896741626599	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R2_001	20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101134842.0	0.0	150.0	45.0	33.55294461562394	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R1_001	20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85315476.0	0.0	150.0	42.0	29.975579262049333	150.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R2_001	20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85315476.0	0.0	150.0	43.0	31.942536540732196	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R1_001	20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88428574.0	0.0	150.0	44.0	24.980148671877792	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R2_001	20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88428574.0	0.0	150.0	45.0	26.88099887194577	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R1_001	20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69659047.0	0.0	150.0	45.0	33.30340908921721	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R2_001	20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69659047.0	0.0	150.0	46.0	34.65182311189303	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20211108_15_MYB-dTAG_DMSO_2h_E_MP9454_S89_R1_001	20211108_15_MYB-dTAG_DMSO_2h_E_MP9454_S89_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98100913.0	0.0	150.0	43.0	32.92595966147004	150.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
