Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R1_001	67.32970252789713	43.0	150.0	36.36363636363637	97846571.0
20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R2_001	64.58458314149735	44.0	150.0	18.181818181818183	97846571.0
20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R1_001	67.17103258373402	44.0	150.0	36.36363636363637	101134842.0
20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R2_001	66.44705538437606	45.0	150.0	18.181818181818183	101134842.0
20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R1_001	70.02442073795066	42.0	150.0	36.36363636363637	85315476.0
20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R2_001	68.05746345926781	43.0	150.0	18.181818181818183	85315476.0
20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R1_001	75.0198513281222	44.0	150.0	36.36363636363637	88428574.0
20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R2_001	73.11900112805424	45.0	150.0	18.181818181818183	88428574.0
20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R1_001	66.69659091078279	45.0	150.0	27.27272727272727	69659047.0
20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R2_001	65.34817688810696	46.0	150.0	18.181818181818183	69659047.0
20211108_15_MYB-dTAG_DMSO_2h_E_MP9454_S89_R1_001	67.07404033852995	43.0	150.0	45.45454545454545	98100913.0
20211108_15_MYB-dTAG_DMSO_2h_E_MP9454_S89_R2_001	66.23379767465599	43.0	150.0	27.27272727272727	98100913.0
20211108_16_MYB-dTAG_VHL_2h_A_MP9454_S90_R1_001	65.73298853211632	43.0	150.0	36.36363636363637	77572958.0
20211108_16_MYB-dTAG_VHL_2h_A_MP9454_S90_R2_001	63.75262269936139	44.0	150.0	18.181818181818183	77572958.0
