original order,sample name,pair,download
46,mp577-MV411-SMC1-r1,,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp577-MV411-SMC1-r1.fastq.gz
47,mp325-MV411-SP1-r2,R1,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp325-MV411-SP1-r2_R1.fastq.gz
47,mp325-MV411-SP1-r2,R2,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp325-MV411-SP1-r2_R2.fastq.gz
48,mp426-MV411-SP1-r3,,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp426-MV411-SP1-r3.fastq.gz
49,mp320-MV411-ZEB2-r1,R1,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp320-MV411-ZEB2-r1_R1.fastq.gz
49,mp320-MV411-ZEB2-r1,R2,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp320-MV411-ZEB2-r1_R2.fastq.gz
50,mp714-MV411-ZEB2-r7,,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp714-MV411-ZEB2-r7_R1_001.fastq.gz
51,mp715-MV411-ZEB2-r8,,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp715-MV411-ZEB2-r8_R1_001.fastq.gz
52,mp357-MV411-ZMYND8-r1,,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp357-MV411-ZMYND8-r1.fastq.gz
53,mp358-MV411-ZMYND8-r2 ,,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp358-MV411-ZMYND8-r2 .fastq.gz
54,mp607-MV411-ELF2-r3,,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp607-MV411-ELF2-r3.fastq.gz
55,mp569-MV411-ETV6-r4,,https://shiek-db.wistar.upenn.edu/ucscTracks/downloads/pimkin/20190625/mp569-MV411-ETV6-r4.fastq.gz
