ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 28_Out_Channel Alignment_P2-3.czi",20,21,38215.112469398,350.11538461539,192.88461538462, , , ,10219,5265,13286,6995.5897435897,3588.2820512821,10441.769230769,2602,1507,6221,39,39,39,7617,3758,7065,2059.3897373781,981.02497282228,2134.8099812092,272828,139943,407229,2069754030,538726535,4425372961
"Image 28_Out_Channel Alignment_P2-3.czi",20,22,34295.613754588,308.72857142857,200.64285714286, , , ,9076,5292,5280,4899.8571428571,3802.2571428571,3062.6571428571,2122,2272,391,35,35,35,6954,3020,4889,1702.987135851,812.08360707131,1294.5760819406,171495,133079,107193,938906617,528422891,385276933
"Image 28_Out_Channel Alignment_P2-3.czi",20,23,43114.48586291,324.34090909091,228.27272727273, , , ,5077,5494,7019,3847.3181818182,3758.8636363636,5296.1818181818,1751,2130,3670,44,44,44,3326,3364,3349,973.58545623482,953.43802839816,953.48933903937,169282,165390,233032,692040068,660767352,1273272944
"Image 28_Out_Channel Alignment_P2-3.czi",20,24,55852.856686043,230.76315789474,253.44736842105, , , ,2777,10577,7377,875.91228070175,5763.3333333333,3988.2105263158,0,1943,0,57,57,57,2777,8634,7377,806.82936062585,2528.578456743,2361.6909705975,49927,328510,227328,80186195,2251360338,1218976640
"Image 28_Out_Channel Alignment_P2-3.czi",20,25,45074.235220315,157.5652173913,257.4347826087, , , ,3702,4752,7329,2830.0652173913,3129.5434782609,4398.652173913,2260,1644,1704,46,46,46,1442,3108,5625,400.01352211444,837.89141981582,1434.1124582804,130183,143959,202338,375626867,482118741,982565018
"Image 28_Out_Channel Alignment_P2-3.czi",20,26,63691.854115663,187.03846153846,289.7, , , ,7692,9177,8150,4593.4769230769,5108.6,5331.1538461539,1605,1685,3183,65,65,65,6087,7492,4967,1316.8409536141,1979.2649424723,1318.8477716217,298576,332059,346525,1482482452,1947075949,1958697091
"Image 28_Out_Channel Alignment_P2-3.czi",20,27,30376.115039778,211.5,309.75806451613, , , ,5207,6241,13230,1250.7096774194,3995.1612903226,10526.451612903,0,2064,5966,31,31,31,5207,4177,7264,1331.3955884346,1226.43983673,2418.4437535836,38772,123850,326320,101670942,539925366,3610457796
"Image 28_Out_Channel Alignment_P2-3.czi",20,28,24496.866967563,292.9,322.26, , , ,6922,4607,13414,4832.32,3415.2,10859.16,496,2212,7710,25,25,25,6426,2395,5704,2007.9806547873,657.36297685018,1663.2406039616,120808,85380,271479,680550586,301960802,3014426761
"Image 28_Out_Channel Alignment_P2-3.czi",20,29,25476.741646265,268.5,329.30769230769, , , ,3854,4124,11613,1633.5,3007.7307692308,7526.4230769231,0,1783,3325,26,26,26,3854,2341,8288,1134.2182241527,717.80685745915,2516.5866116321,42471,78201,195687,101537653,248088721,1631153357
"Image 28_Out_Channel Alignment_P2-3.czi",20,30,42134.611184208,213.5,330.87209302326, , , ,1622,6935,20632,786.32558139535,4200.1860465116,15827.093023256,224,1726,10461,43,43,43,1398,5209,10171,302.28122517271,1401.4813295023,2610.1431525598,33812,180608,680565,30424946,841081498,11057505149
