Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20200723_10_MP8095_S220_R1_001	14.234795671905687	49.0	100.0	0.0	36020196.0
20200723_10_MP8095_S220_R2_001	13.523139061726482	49.0	100.0	0.0	36020196.0
20200723_11_MP8095_S221_R1_001	15.893431468665426	47.0	100.0	9.090909090909092	36465352.0
20200723_11_MP8095_S221_R2_001	14.600013713096615	47.0	100.0	9.090909090909092	36465352.0
20200723_12_MP8095_S222_R1_001	15.491976148913395	48.0	100.0	9.090909090909092	33689163.0
20200723_12_MP8095_S222_R2_001	14.036628296659273	48.0	100.0	9.090909090909092	33689163.0
20200723_13_MP8095_S223_R1_001	10.383652470751926	49.0	100.0	0.0	23731780.0
20200723_13_MP8095_S223_R2_001	9.95381873563386	49.0	100.0	0.0	23731780.0
20200723_14_MP8095_S224_R1_001	14.073058441982397	48.0	100.0	0.0	40881942.0
20200723_14_MP8095_S224_R2_001	13.215707850420202	48.0	100.0	0.0	40881942.0
20200723_15_MP8095_S225_R1_001	16.705789384218022	47.0	100.0	9.090909090909092	35402679.0
20200723_15_MP8095_S225_R2_001	16.336506184502426	47.0	100.0	9.090909090909092	35402679.0
20200723_16_MP8095_S226_R1_001	14.701991973850866	49.0	100.0	0.0	34159103.0
20200723_16_MP8095_S226_R2_001	13.887697469705543	49.0	100.0	0.0	34159103.0
20200723_1S_MP8095_S209_R1_001	8.44564658296622	42.0	100.0	0.0	32175682.0
20200723_1S_MP8095_S209_R2_001	8.272276391567573	42.0	100.0	0.0	32175682.0
20200723_1_MP8095_S211_R1_001	11.831114130586968	48.0	100.0	9.090909090909092	25502390.0
20200723_1_MP8095_S211_R2_001	11.096943444885866	48.0	100.0	9.090909090909092	25502390.0
20200723_2S_MP8095_S210_R1_001	9.222405178694643	43.0	100.0	0.0	39314324.0
20200723_2S_MP8095_S210_R2_001	9.03781087180559	43.0	100.0	0.0	39314324.0
20200723_2_MP8095_S212_R1_001	14.736983673008083	49.0	100.0	0.0	34171490.0
20200723_2_MP8095_S212_R2_001	13.841537243633567	49.0	100.0	0.0	34171490.0
20200723_3_MP8095_S213_R1_001	14.632996427461393	50.0	100.0	0.0	29180848.0
20200723_3_MP8095_S213_R2_001	14.161345894784532	50.0	100.0	0.0	29180848.0
20200723_4_MP8095_S214_R1_001	18.550001142228396	49.0	100.0	0.0	53379092.0
20200723_4_MP8095_S214_R2_001	17.729693055821002	49.0	100.0	0.0	53379092.0
20200723_5_MP8095_S215_R1_001	12.362077835595471	49.0	100.0	0.0	25985402.0
20200723_5_MP8095_S215_R2_001	11.539247600924853	49.0	100.0	0.0	25985402.0
20200723_6_MP8095_S216_R1_001	17.92123411044244	49.0	100.0	0.0	47208913.0
20200723_6_MP8095_S216_R2_001	17.284915318517633	49.0	100.0	0.0	47208913.0
20200723_7_MP8095_S217_R1_001	12.777617408297587	47.0	100.0	9.090909090909092	24014174.0
20200723_7_MP8095_S217_R2_001	12.162965118845904	47.0	100.0	9.090909090909092	24014174.0
20200723_8_MP8095_S218_R1_001	12.504451368542206	47.0	100.0	9.090909090909092	24436996.0
20200723_8_MP8095_S218_R2_001	12.174163639855408	48.0	100.0	9.090909090909092	24436996.0
20200723_9_MP8095_S219_R1_001	14.858470888487403	49.0	100.0	0.0	34759923.0
20200723_9_MP8095_S219_R2_001	14.363973710046608	49.0	100.0	0.0	34759923.0
