,mr522-MV411-DMSO-r1_tcount,mr523-MV411-DMSO-r2_tcount,mr524-MV411-DMSO-r3_tcount,mr525-MV411-DMSO-r4_tcount,mr526-MV411-DMSO-r5_tcount,mr527-MV411-Mebendazole-r1_tcount,mr528-MV411-Mebendazole-r2_tcount,mr529-MV411-Mebendazole-r3_tcount,mr530-MV411-Mebendazole-r4_tcount,mr531-MV411-Mebendazole-r5_tcount
ACAT1,0.0,0.01358695652173913,0.011494252873563218,0.008321775312066574,0.014018691588785047,0.0018726591760299626,0.007889546351084813,0.00641025641025641,0.0055762081784386614,0.007058823529411765
ACAT2,0.0030358227079538553,0.0024958402662229617,0.0024319066147859923,0.005522088353413655,0.0027829313543599257,0.001004352192835621,0.00039184952978056425,0.002841918294849023,0.0009874917709019092,0.0008841732979664014
ASIC1,0.023255813953488372,0.0,0.0,0.022058823529411766,0.0,0.03571428571428571,0.009615384615384616,0.0,0.019801980198019802,0.030303030303030304
ACLY,0.0234375,0.012057272042200452,0.01901469317199654,0.02119700748129676,0.024509803921568627,0.01771479185119575,0.017686072218128224,0.011637572734829594,0.01529497450837582,0.011016949152542373
ACO1,0.014705882352941176,0.008771929824561403,0.0,0.057291666666666664,0.0,0.03007518796992481,0.027210884353741496,0.0,0.0,0.0
ACO2,0.022058823529411766,0.012269938650306749,0.0125,0.022988505747126436,0.015267175572519083,0.006872852233676976,0.020958083832335328,0.01929260450160772,0.026954177897574125,0.0234375
ACOX1,0.044715447154471545,0.04054054054054054,0.04335260115606936,0.05040650406504065,0.05539358600583091,0.041463414634146344,0.03619909502262444,0.05841121495327103,0.049586776859504134,0.036011080332409975
ACP1,0.043478260869565216,0.022900763358778626,0.023017902813299233,0.03116675546084177,0.032460732984293195,0.02202314296379246,0.027620128641695045,0.02339688041594454,0.019877675840978593,0.022994379151762903
ACP2,0.07692307692307693,0.2647058823529412,0.12,0.034482758620689655,0.1111111111111111,0.12121212121212122,0.02564102564102564,0.0,0.0625,0.05
ACP3,0.034482758620689655,0.022598870056497175,0.011869436201780416,0.025559105431309903,0.020588235294117647,0.022443890274314215,0.00997506234413965,0.007518796992481203,0.01327433628318584,0.01098901098901099
ACRV1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,0.010455563853622106,0.008627349987123358,0.010936833119931712,0.013762431713125087,0.011806922097464985,0.01641206918318394,0.018514736913756723,0.015163147792706335,0.01692557384651055,0.01382096534127153
ACTG1,0.024317617866004962,0.018751429224788476,0.020205353868720206,0.022911561876373557,0.019451812555260833,0.03581093605189991,0.03853723013658393,0.038203144859643386,0.039212099036467864,0.03191974464204286
ACTN4,0.02491103202846975,0.023928215353938187,0.014606741573033709,0.03201787043931496,0.019230769230769232,0.023350253807106598,0.016960651289009497,0.022792022792022793,0.016216216216216217,0.008823529411764706
ACTL6A,0.010040160642570281,0.0026490066225165563,0.001524390243902439,0.008843036109064112,0.009230769230769232,0.0070921985815602835,0.013916500994035786,0.008519701810436636,0.011214953271028037,0.007122507122507123
ACTN1,0.012987012987012988,0.018518518518518517,0.0,0.009784735812133072,0.013745704467353952,0.03260869565217391,0.012605042016806723,0.009592326139088728,0.015555555555555555,0.01098901098901099
ACVR1,0.2727272727272727,0.26666666666666666,0.21428571428571427,0.24,0.125,0.125,0.09523809523809523,0.08695652173913043,0.08333333333333333,0.0
ACVR1B,0.12727272727272726,0.14772727272727273,0.1346153846153846,0.09883720930232558,0.1282051282051282,0.10416666666666667,0.18333333333333332,0.08247422680412371,0.07894736842105263,0.1232876712328767
ACVR2A,0.03225806451612903,0.0425531914893617,0.03333333333333333,0.07,0.06666666666666667,0.06172839506172839,0.04477611940298507,0.06666666666666667,0.038461538461538464,0.0
ACVR2B,0.15,0.11475409836065574,0.2,0.2,0.09615384615384616,0.09523809523809523,0.15384615384615385,0.10638297872340426,0.12658227848101267,0.0273972602739726
ACVRL1,0.07142857142857142,0.047619047619047616,0.0,0.0625,0.0,0.06060606060606061,0.030303030303030304,0.03571428571428571,0.043478260869565216,0.05555555555555555
ACY1,0.0,0.015384615384615385,0.0,0.01639344262295082,0.0,0.014492753623188406,0.014285714285714285,0.0,0.04054054054054054,0.0
ACYP1,0.03,0.015444015444015444,0.034375,0.044977511244377814,0.03592814371257485,0.03498542274052478,0.03294117647058824,0.02147239263803681,0.017857142857142856,0.0033003300330033004
ACYP2,0.0,0.0,0.0,0.022988505747126436,0.030612244897959183,0.0,0.03225806451612903,0.007462686567164179,0.015625,0.009345794392523364
ADA,0.025974025974025976,0.007518796992481203,0.01284796573875803,0.004878048780487805,0.01735357917570499,0.006726457399103139,0.007590132827324478,0.008528784648187633,0.011834319526627219,0.017412935323383085
ADAM8,0.2,0.0,0.125,0.0,0.0,0.17647058823529413,0.4,0.07692307692307693,0.10526315789473684,0.0
ADAM10,0.019255455712451863,0.02032871972318339,0.02168525402726146,0.038050917054475775,0.017269293038316244,0.013870094722598106,0.02141802067946824,0.013328656611715188,0.021235521235521235,0.0135450723960766
ADAR,0.03964321110009911,0.03137951450562463,0.03937881308929562,0.05652025876744978,0.04155276107162384,0.03436988543371522,0.039323273891175126,0.03524729960204662,0.04488662656177696,0.024539877300613498
ADARB1,0.07272727272727272,0.11235955056179775,0.012345679012345678,0.04195804195804196,0.05128205128205128,0.07766990291262135,0.015503875968992248,0.08333333333333333,0.05732484076433121,0.04395604395604396
ADCY3,0.013605442176870748,0.014925373134328358,0.026785714285714284,0.018561484918793503,0.0,0.00510204081632653,0.02040816326530612,0.010309278350515464,0.04435483870967742,0.0058823529411764705
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY7,0.04819277108433735,0.026378896882494004,0.05392156862745098,0.08385093167701864,0.058823529411764705,0.03896103896103896,0.036053130929791274,0.040780141843971635,0.045774647887323945,0.019522776572668113
ADCY9,0.13114754098360656,0.13013698630136986,0.07344632768361582,0.12980769230769232,0.17333333333333334,0.13793103448275862,0.1111111111111111,0.08387096774193549,0.11299435028248588,0.05732484076433121
ADD1,0.03543307086614173,0.021645021645021644,0.040892193308550186,0.05549263873159683,0.025,0.01904761904761905,0.021739130434782608,0.039045553145336226,0.034926470588235295,0.019955654101995565
ADD2,0.028455284552845527,0.02832244008714597,0.027149321266968326,0.03929539295392954,0.01809954751131222,0.0343980343980344,0.02197802197802198,0.008888888888888889,0.015238095238095238,0.014742014742014743
ADD3,0.009592326139088728,0.001718213058419244,0.0022522522522522522,0.025165562913907286,0.0196078431372549,0.009615384615384616,0.008645533141210375,0.013642564802182811,0.015604681404421327,0.006568144499178982
PLIN2,0.020833333333333332,0.06989247311827956,0.06598984771573604,0.046052631578947366,0.03125,0.03202846975088968,0.039568345323741004,0.017167381974248927,0.04377104377104377,0.052132701421800945
ADH5,0.03048780487804878,0.01634877384196185,0.015151515151515152,0.028413028413028413,0.013175230566534914,0.01073345259391771,0.018501387604070305,0.016129032258064516,0.011100832562442183,0.019973368841544607
ADK,0.005758157389635317,0.005082592121982211,0.006756756756756757,0.0021770682148040637,0.014173228346456693,0.005842259006815969,0.004073319755600814,0.01314459049544995,0.00608695652173913,0.003963011889035667
ADORA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2A,0.0,0.0,0.0,0.0,0.2,0.4,0.3333333333333333,0.0,0.0,0.0
ADORA2B,0.11363636363636363,0.033707865168539325,0.04316546762589928,0.10498687664041995,0.07272727272727272,0.057692307692307696,0.06818181818181818,0.06944444444444445,0.05813953488372093,0.05232558139534884
ADORA3,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.42857142857142855,0.25
PARP1,0.019748653500897665,0.007322175732217573,0.005555555555555556,0.0189873417721519,0.012087912087912088,0.007670182166826462,0.01263537906137184,0.012833168805528134,0.016047297297297296,0.008859357696566999
PARP4,0.021739130434782608,0.05,0.0,0.027777777777777776,0.0,0.04918032786885246,0.05555555555555555,0.04918032786885246,0.06944444444444445,0.02631578947368421
ADRB1,1.0,0.0,0.0,0.0,0.5,0.0,0.42857142857142855,0.0,0.5,0.4
ADRB2,0.29411764705882354,0.15789473684210525,0.3076923076923077,0.2857142857142857,0.2222222222222222,0.08333333333333333,0.14814814814814814,0.125,0.22857142857142856,0.07692307692307693
GRK2,0.035897435897435895,0.03523035230352303,0.024657534246575342,0.03475513428120063,0.03943661971830986,0.02577319587628866,0.023064250411861616,0.030364372469635626,0.04040404040404041,0.022573363431151242
GRK3,0.05785123966942149,0.0625,0.0594059405940594,0.0641025641025641,0.05571847507331378,0.03233830845771144,0.041407867494824016,0.05263157894736842,0.05454545454545454,0.02932551319648094
ADSL,0.013986013986013986,0.006600660066006601,0.021052631578947368,0.005714285714285714,0.0,0.005813953488372093,0.012232415902140673,0.015151515151515152,0.015625,0.0038314176245210726
ADSS2,0.0231023102310231,0.006437768240343348,0.032208588957055216,0.017277125086385625,0.018518518518518517,0.007240547063555913,0.013257575757575758,0.006386861313868613,0.01717408274785324,0.008743169398907104
AP2A1,0.016129032258064516,0.0,0.08333333333333333,0.021739130434782608,0.047619047619047616,0.03225806451612903,0.018018018018018018,0.0,0.0,0.0
AP2A2,0.16666666666666666,0.03225806451612903,0.012048192771084338,0.09259259259259259,0.016666666666666666,0.04225352112676056,0.06976744186046512,0.047619047619047616,0.08888888888888889,0.04838709677419355
AP1B1,0.014492753623188406,0.018867924528301886,0.01282051282051282,0.031496062992125984,0.043478260869565216,0.035211267605633804,0.022727272727272728,0.012658227848101266,0.06018518518518518,0.018867924528301886
AP2B1,0.016211604095563138,0.018791264601320468,0.02143569292123629,0.02900717703349282,0.020112254443405052,0.017180616740088105,0.01756440281030445,0.014892685063512922,0.025918762088974853,0.02
AP1G1,0.05421686746987952,0.034715960324616775,0.037914691943127965,0.06151003167898627,0.05130641330166271,0.039186691312384475,0.04277864992150707,0.03761242845461979,0.0404961692812842,0.03632694248234107
TLE5,0.01818181818181818,0.0,0.014563106796116505,0.006211180124223602,0.0,0.0048543689320388345,0.02032520325203252,0.013100436681222707,0.022556390977443608,0.011111111111111112
AFG3L1P,0.08670520231213873,0.0970873786407767,0.07666666666666666,0.08181818181818182,0.09865470852017937,0.10646387832699619,0.08928571428571429,0.06382978723404255,0.11212121212121212,0.09166666666666666
AGA,0.0034602076124567475,0.009501187648456057,0.012106537530266344,0.02054054054054054,0.011904761904761904,0.017828200972447326,0.015209125475285171,0.00784313725490196,0.0096,0.01674641148325359
AGER,0.09375,0.02631578947368421,0.044444444444444446,0.05813953488372093,0.05714285714285714,0.09090909090909091,0.01639344262295082,0.1111111111111111,0.1568627450980392,0.023255813953488372
AGL,0.030837004405286344,0.02456140350877193,0.006944444444444444,0.007731958762886598,0.017142857142857144,0.022727272727272728,0.019867549668874173,0.01440922190201729,0.015267175572519083,0.011278195488721804
JAG1,0.0,0.3333333333333333,0.3,0.0,0.16666666666666666,0.14285714285714285,0.125,0.14285714285714285,0.0,0.0
AGT,0.0,0.0,0.1,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0
AHCY,0.018909899888765295,0.010651629072681704,0.02034428794992175,0.016335227272727272,0.01850709438618137,0.009205983889528193,0.012705882352941176,0.008353221957040573,0.013643254168772108,0.015197568389057751
AHR,0.0708502024291498,0.050073637702503684,0.11204481792717087,0.10216110019646366,0.08958333333333333,0.03870162297128589,0.04871447902571042,0.03592814371257485,0.041720990873533245,0.024844720496894408
AIF1,0.00945179584120983,0.008571428571428572,0.010380622837370242,0.01273148148148148,0.007290400972053463,0.004204625087596356,0.002027027027027027,0.006854009595613434,0.008290816326530613,0.005922165820642978
CRYBG1,0.016260162601626018,0.029177718832891247,0.011976047904191617,0.039473684210526314,0.01808785529715762,0.019193857965451054,0.040632054176072234,0.039473684210526314,0.03571428571428571,0.03125
AK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK2,0.011629301043040403,0.010426849136526556,0.01397433643874143,0.016612767465556195,0.012418133877689887,0.010516922684683537,0.010318195860364535,0.009505577925935706,0.010998552821997106,0.00753370340999207
AK4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.09090909090909091,0.0
AKT1,0.033846153846153845,0.007692307692307693,0.023977433004231313,0.008781558726673985,0.0081799591002045,0.014466546112115732,0.01139240506329114,0.017741935483870968,0.0076045627376425855,0.01073345259391771
AKT2,0.019801980198019802,0.01740506329113924,0.02159468438538206,0.013541666666666667,0.01824817518248175,0.014084507042253521,0.008827238335435058,0.01809954751131222,0.009523809523809525,0.008818342151675485
ALAD,0.04897959183673469,0.021220159151193633,0.03116883116883117,0.03412462908011869,0.05974025974025974,0.02570093457943925,0.03822937625754527,0.0175,0.023668639053254437,0.033419023136246784
ALAS1,0.09523809523809523,0.18181818181818182,0.0,0.15254237288135594,0.14814814814814814,0.11764705882352941,0.13157894736842105,0.18181818181818182,0.07894736842105263,0.09090909090909091
ALCAM,0.023381294964028777,0.009445100354191263,0.01768172888015717,0.021071115013169446,0.015202702702702704,0.011398963730569948,0.020833333333333332,0.010672358591248666,0.01832208293153327,0.015406162464985995
ABCD1,0.03225806451612903,0.046875,0.03614457831325301,0.021052631578947368,0.0,0.03636363636363636,0.043478260869565216,0.03333333333333333,0.017543859649122806,0.022988505747126436
ALDH2,0.0,0.0,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
ALDH1B1,0.042735042735042736,0.025078369905956112,0.023564064801178203,0.051330798479087454,0.046224961479198766,0.05214723926380368,0.05411764705882353,0.04148783977110158,0.04562268803945746,0.060085836909871244
ALDH1A3,0.0,0.0,0.0,0.024390243902439025,0.034482758620689655,0.0,0.03225806451612903,0.04,0.027777777777777776,0.0
ALDH3B1,0.0,0.0,0.027210884353741496,0.012121212121212121,0.04807692307692308,0.021052631578947368,0.019867549668874173,0.008695652173913044,0.014084507042253521,0.0234375
ALDH9A1,0.03793103448275862,0.02062975027144408,0.012300123001230012,0.02935290193462308,0.028950542822677925,0.019924098671726755,0.03145853193517636,0.02564102564102564,0.024691358024691357,0.028255528255528257
ALDH3A2,0.07352941176470588,0.041237113402061855,0.0136986301369863,0.057803468208092484,0.03418803418803419,0.02112676056338028,0.014925373134328358,0.008771929824561403,0.05128205128205128,0.0
ABCD2,0.012345679012345678,0.008130081300813009,0.05172413793103448,0.03260869565217391,0.0,0.007194244604316547,0.008403361344537815,0.015503875968992248,0.02,0.031578947368421054
ALDOA,0.02694300518134715,0.015857284440039643,0.02138804015713662,0.022252747252747253,0.018471010774756286,0.015471167369901548,0.015344311377245509,0.007822685788787484,0.013000702740688685,0.01721593703885883
ALDOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDOC,0.0,0.008333333333333333,0.0,0.0,0.03669724770642202,0.007692307692307693,0.0,0.011976047904191617,0.030534351145038167,0.00847457627118644
AKR1B1,0.013245033112582781,0.006191950464396285,0.022653721682847898,0.005836575875486381,0.007017543859649123,0.0051813471502590676,0.0,0.005797101449275362,0.004694835680751174,0.00906344410876133
ALOX12,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.05555555555555555,0.0,0.0,0.0
ALOX5AP,0.009708737864077669,0.003838771593090211,0.0018248175182481751,0.0008488964346349745,0.005084745762711864,0.007194244604316547,0.0012515644555694619,0.005633802816901409,0.002663115845539281,0.005454545454545455
ALOX15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD1,0.057980248486779226,0.044534412955465584,0.0482225656877898,0.07229082836131538,0.059907834101382486,0.03272450532724505,0.0501368925393566,0.04192520543350663,0.04796992481203007,0.03259041211101766
AMFR,0.045454545454545456,0.05,0.042105263157894736,0.035483870967741936,0.034482758620689655,0.014778325123152709,0.02074688796680498,0.03389830508474576,0.023346303501945526,0.005405405405405406
AMH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPD2,0.13333333333333333,0.023809523809523808,0.06153846153846154,0.06818181818181818,0.10638297872340426,0.09859154929577464,0.04878048780487805,0.02666666666666667,0.028985507246376812,0.016129032258064516
AMPD3,0.0,0.0,0.045454545454545456,0.14285714285714285,0.0,0.0,0.037037037037037035,0.09523809523809523,0.02631578947368421,0.0
AMPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIN1,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0
AMY1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMY1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMY1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMY2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPT1,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
ANGPT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK2,0.0,0.0,0.03571428571428571,0.12903225806451613,0.125,0.021739130434782608,0.04,0.0,0.08163265306122448,0.05263157894736842
SLC25A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A5,0.015736766809728183,0.011068539804171988,0.006764374295377677,0.014191908493963143,0.010885885885885885,0.007460155985079688,0.011079455523899969,0.005947955390334572,0.009785353535353536,0.008639308855291577
SLC25A6,0.023486901535682024,0.024300779458963778,0.029318262098198516,0.025944978751957056,0.022969647251845776,0.019171779141104295,0.020916070955785016,0.015402843601895734,0.021314387211367674,0.014391447368421052
ANXA1,0.029045643153526972,0.015873015873015872,0.01936619718309859,0.026733500417710943,0.03969754253308128,0.021739130434782608,0.03159041394335512,0.021212121212121213,0.021043000914913082,0.03125
ANXA2,0.05325443786982249,0.02197802197802198,0.021604938271604937,0.026273885350318472,0.02014388489208633,0.031081081081081083,0.028350515463917526,0.028985507246376812,0.020689655172413793,0.033386327503974564
303,0.0,0.16666666666666666,0.0,0.0,0.0,0.125,0.0,0.2857142857142857,0.0,0.2
ANXA4,0.01060070671378092,0.005076142131979695,0.003484320557491289,0.0075075075075075074,0.003003003003003003,0.012987012987012988,0.005870841487279843,0.0020161290322580645,0.007246376811594203,0.002544529262086514
ANXA5,0.013377926421404682,0.0071090047393364926,0.024725274725274724,0.019444444444444445,0.011527377521613832,0.01773049645390071,0.026881720430107527,0.01603206412825651,0.031096563011456628,0.019656019656019656
ANXA6,0.0,0.013071895424836602,0.012269938650306749,0.014925373134328358,0.011834319526627219,0.0,0.0058823529411764705,0.015789473684210527,0.005,0.0
ANXA7,0.01107011070110701,0.009195402298850575,0.022535211267605635,0.013831258644536652,0.02005730659025788,0.018867924528301886,0.019736842105263157,0.010845986984815618,0.009025270758122744,0.008356545961002786
ANXA11,0.05982905982905983,0.019083969465648856,0.023809523809523808,0.04265402843601896,0.014084507042253521,0.018726591760299626,0.028089887640449437,0.026615969581749048,0.036619718309859155,0.010948905109489052
AOC2,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APAF1,0.030434782608695653,0.03594771241830065,0.05042016806722689,0.05200945626477541,0.028688524590163935,0.039337474120082816,0.02696629213483146,0.03747072599531616,0.033073929961089495,0.03954802259887006
NUDT2,0.07692307692307693,0.012987012987012988,0.0379746835443038,0.006802721088435374,0.02702702702702703,0.013157894736842105,0.010752688172043012,0.043478260869565216,0.007936507936507936,0.046153846153846156
APBA1,0.06896551724137931,0.049019607843137254,0.05263157894736842,0.043478260869565216,0.06306306306306306,0.09900990099009901,0.042105263157894736,0.050359712230215826,0.0546448087431694,0.08256880733944955
APBA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB2,0.0,0.08823529411764706,0.23076923076923078,0.034482758620689655,0.05555555555555555,0.125,0.08928571428571429,0.030303030303030304,0.08333333333333333,0.13043478260869565
APC,0.08333333333333333,0.08333333333333333,0.0990990990990991,0.11428571428571428,0.050724637681159424,0.05855855855855856,0.08080808080808081,0.06965174129353234,0.07296137339055794,0.04929577464788732
APEH,0.06818181818181818,0.022222222222222223,0.014285714285714285,0.02608695652173913,0.014285714285714285,0.0,0.05504587155963303,0.012345679012345678,0.019417475728155338,0.011235955056179775
APEX1,0.027353177795655673,0.014184397163120567,0.017879948914431672,0.029445861349408763,0.02206836867157075,0.018788343558282208,0.01799775028121485,0.014864864864864866,0.015681983953318747,0.01168348380244291
BIRC2,0.024096385542168676,0.022727272727272728,0.05970149253731343,0.059880239520958084,0.011904761904761904,0.047619047619047616,0.12142857142857143,0.0625,0.04838709677419355,0.033707865168539325
BIRC3,1.0,0.0,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.2857142857142857,0.20833333333333334,0.3333333333333333
XIAP,0.059574468085106386,0.03616133518776078,0.040776699029126215,0.06521739130434782,0.055944055944055944,0.03591470258136925,0.039627039627039624,0.04196642685851319,0.03777335984095427,0.03566121842496285
BIRC5,0.028503562945368172,0.032176656151419555,0.025227750525578137,0.03398259428097804,0.019494584837545126,0.015954415954415956,0.02066115702479339,0.02111801242236025,0.020171457387796268,0.012236573759347382
APLP1,0.0,0.0,0.0,0.1,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
APLP2,0.011971268954509178,0.014208721215090642,0.011122881355932203,0.01625526791089705,0.015889287544848796,0.009983361064891847,0.0091324200913242,0.016569637259292433,0.01592115238817286,0.00972862263184844
APOA1,0.25,0.3333333333333333,0.0,0.0,0.0,0.4,0.0,0.0,0.25,0.0
APOC1,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
APOC2,0.00882825040128411,0.005263157894736842,0.009433962264150943,0.0044444444444444444,0.00872515753756665,0.006817477533312674,0.004965859714463066,0.0054002541296060995,0.007050197405527355,0.006333830104321907
APOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,0.003861003861003861,0.002560819462227913,0.01488095238095238,0.01020408163265306,0.011842105263157895,0.005382131324004306,0.009775171065493646,0.0059382422802850355,0.010683760683760684,0.011363636363636364
APRT,0.007662835249042145,0.010135135135135136,0.014198782961460446,0.016574585635359115,0.017786561264822136,0.008645533141210375,0.005908419497784343,0.0027247956403269754,0.0110803324099723,0.003246753246753247
FAS,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP1,0.17647058823529413,0.24,0.23076923076923078,0.1282051282051282,0.21428571428571427,0.037037037037037035,0.2413793103448276,0.2,0.22641509433962265,0.125
AQP3,0.037037037037037035,0.016129032258064516,0.0,0.03571428571428571,0.0,0.01639344262295082,0.033707865168539325,0.05405405405405406,0.009900990099009901,0.06349206349206349
AQP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ARAF,0.07272727272727272,0.05263157894736842,0.05442176870748299,0.059602649006622516,0.09009009009009009,0.030534351145038167,0.028735632183908046,0.05555555555555555,0.018404907975460124,0.06557377049180328
ARCN1,0.051985981308411214,0.040644452581471986,0.0345086271567892,0.052980132450331126,0.03802281368821293,0.03120220250841236,0.03850710900473934,0.030380556443875918,0.03190619034633215,0.021173848439821695
TRIM23,0.1388888888888889,0.2,0.08823529411764706,0.24,0.125,0.13333333333333333,0.05263157894736842,0.08139534883720931,0.0963855421686747,0.24193548387096775
ARF1,0.02669149596523898,0.02492877492877493,0.019182389937106917,0.040732436472346784,0.03441011235955056,0.03338788870703764,0.025472689075630252,0.029046997389033942,0.02792413066385669,0.02373361671980163
ARF3,0.009012539184952978,0.009078529278256923,0.00965123930686554,0.008037764735902016,0.007579346281383231,0.004985909386516367,0.006997455470737914,0.007453666398066076,0.006772773450728073,0.0045682960255824575
