,mr522-MV411-DMSO-r1_tcount,mr523-MV411-DMSO-r2_tcount,mr524-MV411-DMSO-r3_tcount,mr525-MV411-DMSO-r4_tcount,mr526-MV411-DMSO-r5_tcount,mr527-MV411-Mebendazole-r1_tcount,mr528-MV411-Mebendazole-r2_tcount,mr529-MV411-Mebendazole-r3_tcount,mr530-MV411-Mebendazole-r4_tcount,mr531-MV411-Mebendazole-r5_tcount
A1BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,0.15789473684210525,0.06422018348623854,0.13793103448275862,0.09191176470588236,0.08609271523178808,0.035211267605633804,0.07514450867052024,0.04487179487179487,0.11173184357541899,0.11494252873563218
AAMP,0.03296703296703297,0.01929260450160772,0.01056338028169014,0.03977272727272727,0.021212121212121213,0.0158311345646438,0.015625,0.017811704834605598,0.025943396226415096,0.027855153203342618
AARS1,0.016260162601626018,0.09767441860465116,0.05555555555555555,0.06930693069306931,0.03461538461538462,0.0730593607305936,0.045283018867924525,0.052845528455284556,0.054945054945054944,0.03636363636363636
ABAT,0.0967741935483871,0.013157894736842105,0.07142857142857142,0.0,0.046153846153846156,0.01639344262295082,0.015151515151515152,0.027777777777777776,0.05,0.030303030303030304
ABCA1,0.0,0.0,0.0,0.034482758620689655,0.2,0.02857142857142857,0.05405405405405406,0.08823529411764706,0.08108108108108109,0.11538461538461539
ABCA2,0.1,0.0,0.0,0.02040816326530612,0.10714285714285714,0.0,0.0,0.0,0.0,0.0
ABCB7,0.02564102564102564,0.014285714285714285,0.0,0.0,0.0,0.024691358024691357,0.014925373134328358,0.0,0.010752688172043012,0.03636363636363636
ABCF1,0.07216494845360824,0.06,0.0671462829736211,0.06842105263157895,0.069164265129683,0.03783783783783784,0.06615776081424936,0.04087193460490463,0.03282828282828283,0.03424657534246575
ABL1,0.13861386138613863,0.1005586592178771,0.11848341232227488,0.0684931506849315,0.06349206349206349,0.09411764705882353,0.0963855421686747,0.075,0.13307984790874525,0.09170305676855896
ABL2,0.1377245508982036,0.11440677966101695,0.15492957746478872,0.12471131639722864,0.11794871794871795,0.06882591093117409,0.13909774436090225,0.08677685950413223,0.12962962962962962,0.052132701421800945
ABR,0.06726457399103139,0.028925619834710745,0.04304635761589404,0.0480295566502463,0.03056768558951965,0.08685968819599109,0.05037037037037037,0.05371900826446281,0.06842923794712286,0.041189931350114416
ACAA1,0.027906976744186046,0.012690355329949238,0.02231237322515213,0.023638232271325797,0.03162055335968379,0.025878003696857672,0.024958402662229616,0.02702702702702703,0.024232633279483037,0.018018018018018018
ACACA,0.07723577235772358,0.06666666666666667,0.0709812108559499,0.08464328899637243,0.07640449438202247,0.09900990099009901,0.09859154929577464,0.04925053533190578,0.07305194805194805,0.06418219461697723
ACACB,0.0,0.0,0.5555555555555556,0.08695652173913043,0.0,0.0,0.13636363636363635,0.0,0.05555555555555555,0.07142857142857142
ACADM,0.010484927916120577,0.005509641873278237,0.008726003490401396,0.015544041450777202,0.007331378299120235,0.002191380569758948,0.007805724197745013,0.0038729666924864447,0.0049469964664310955,0.0038860103626943004
ACADS,0.06666666666666667,0.0,0.0,0.0,0.07142857142857142,0.027777777777777776,0.06666666666666667,0.022727272727272728,0.04,0.029411764705882353
ACADSB,0.007072135785007072,0.012345679012345678,0.02192448233861145,0.02008269344359126,0.017985611510791366,0.00881057268722467,0.010566762728146013,0.014005602240896359,0.011715481171548118,0.011312217194570135
ACADVL,0.023809523809523808,0.008888888888888889,0.015267175572519083,0.01818181818181818,0.0,0.01020408163265306,0.013333333333333334,0.014285714285714285,0.009345794392523364,0.017467248908296942
