ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 5_SIM_Channel Alignment_P1-4.czi",1,2,79266962.133639,220.17703813586,143.31492057606,27,0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_SIM_Channel Alignment_P1-4.czi",1,3,68339399.716749,381.2986607975,421.20067246892,27,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_SIM_Channel Alignment_P1-4.czi",6,7,31355.98971848,226,222.1875, , , ,707,2858,11324,396.15625,1894.71875,5810.25,121,1046,638,32,32,32,586,1812,10686,160.10563234335,522.52434636132,2886.1513049109,12677,60631,185928,5816721,123342675,1338514112
"Image 5_SIM_Channel Alignment_P1-4.czi",1,2,147157579.24754,293.1026634705,271.67300572646,28,0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_SIM_Channel Alignment_P1-4.czi",4,5,44094.360541613,156.67777777778,179.01111111111, , , ,708,2409,10447,333.88888888889,1407.2666666667,3924.6444444444,0,489,0,45,45,45,708,1920,10447,214.53016552269,544.96440250717,3268.0075327856,15025,63327,176609,7041701,102185369,1163041953
"Image 5_SIM_Channel Alignment_P1-4.czi",4,6,43114.48586291,226.27272727273,222.22727272727, , , ,630,3392,12711,368.77272727273,1963.25,5828.1136363636,0,811,474,44,44,44,630,2581,12237,174.95379637724,742.10192132072,3343.5420169851,16226,86383,256437,7299886,193272181,1975252725
"Image 5_SIM_Channel Alignment_P1-4.czi",1,2,74801673.222792,217.42647174409,141.61257827032,29,0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_SIM_Channel Alignment_P1-4.czi",1,3,65061718.916489,384.43064550137,422.9180095786,29,0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_SIM_Channel Alignment_P1-4.czi",6,7,37235.237790695,157.68421052632,179.44736842105, , , ,768,2686,10213,459.89473684211,1548.4473684211,3064.5,0,590,0,38,38,38,768,2096,10213,204.30684256162,653.62369111552,3226.091114395,17476,58841,116451,9581548,106919477,741947653
"Image 5_SIM_Channel Alignment_P1-4.czi",6,8,34295.613754588,226.47142857143,222.18571428571, , , ,556,3611,13179,405.48571428571,2333.8571428571,6088.8857142857,39,1031,750,35,35,35,517,2580,12429,140.69645495525,720.33077135998,3479.0397912222,14192,81685,213111,6427700,208282919,1709134931
"Image 5_SIM_Channel Alignment_P1-4.czi",9,10,27436.49100367,421.39285714286,369.35714285714, , , ,215,1981,2197,66.25,1562.3928571429,582.78571428571,0,983,0,28,28,28,215,998,2197,75.302169070132,262.54739808916,613.39011555651,1855,43747,16318,275995,70211141,19668578
"Image 5_SIM_Channel Alignment_P1-4.czi",1,2,73223095.115402,216.64002970814,141.49310824735,30,0,2, , , , , , , , , , , , , , , , , , , , , , , , 
